review_id,score_band,eligible_cutoffs,label,count,best_reference_label,best_similarity_score,assigned_category,manual_correct,manual_notes
78,0.75_to_lt_0.80,0.70;0.75,specific,39,specific-host,0.7619047619047619,Biospecimen Organism,0,
79,0.75_to_lt_0.80,0.70;0.75,virus added,30,virus dose,0.7619047619047619,Treatment Dosage Regimen,1,
80,0.75_to_lt_0.80,0.70;0.75,clone type,24,cancer type,0.7619047619047619,Biospecimen Disease Condition,0,
81,0.75_to_lt_0.80,0.70;0.75,lesion status,57,infection status,0.7586206896551724,Biospecimen Disease Condition,1,
82,0.75_to_lt_0.80,0.70;0.75,nitrogen source,8,control source,0.7586206896551724,Treatment,1,
83,0.75_to_lt_0.80,0.70;0.75,initial preparation,10,tissue preparation,0.7567567567567568,Biospecimen Type,1,
84,0.75_to_lt_0.80,0.70;0.75,tag,1317,stage,0.75,Biospecimen Age,0,
85,0.75_to_lt_0.80,0.70;0.75,selection,567,mouse selection,0.75,Biospecimen Organism,0,
86,0.75_to_lt_0.80,0.70;0.75,growth phase,558,growth stage,0.75,Biospecimen Age,1,
87,0.75_to_lt_0.80,0.70;0.75,mutation,354,duration,0.75,Treatment Dosage Regimen,0,
88,0.75_to_lt_0.80,0.70;0.75,brain location,197,treatment location,0.75,Treatment,0,
89,0.75_to_lt_0.80,0.70;0.75,pathogens,138,pathogen strain,0.75,Biospecimen Organism,1,
90,0.75_to_lt_0.80,0.70;0.75,isolate type,97,disease type,0.75,Biospecimen Disease Condition,0,
91,0.75_to_lt_0.80,0.70;0.75,responder,84,responder cells,0.75,Biospecimen Type,0,
92,0.75_to_lt_0.80,0.70;0.75,specificity,42,specific-host,0.75,Biospecimen Organism,0,
93,0.75_to_lt_0.80,0.70;0.75,translocations,18,treatment location,0.75,Treatment,0,
94,0.75_to_lt_0.80,0.70;0.75,length of culture,15,age of  culture,0.75,Biospecimen Age,1,
95,0.75_to_lt_0.80,0.70;0.75,clone name,12,cell line name,0.75,Biospecimen Type,1,
96,0.75_to_lt_0.80,0.70;0.75,derived culture,9,derived cell_type,0.75,Biospecimen Type,1,
97,0.75_to_lt_0.80,0.70;0.75,process order,9,process day,0.75,Biospecimen Age,0,
98,0.75_to_lt_0.80,0.70;0.75,Growth Medium,6,growth time,0.75,Biospecimen Age,0,
99,0.75_to_lt_0.80,0.70;0.75,sorted,5,sorter day,0.75,Biospecimen Age,0,
100,0.75_to_lt_0.80,0.70;0.75,reference cat,3,reference condition,0.75,Biospecimen Disease Condition,0,
101,>=0.80,0.70;0.75;0.80,infection_state,20,infection state,0.9333333333333333,Biospecimen Disease Condition,1,
102,>=0.80,0.70;0.75;0.80,antibody vendor,12,antibody vendor id,0.9090909090909091,External_sample_id,0,
103,>=0.80,0.70;0.75;0.80,hours_post_infection,48,hours post infection,0.9,Biospecimen Disease Condition,0,
104,>=0.80,0.70;0.75;0.80,animal number,32,animal id number,0.896551724137931,External_sample_id,1,
105,>=0.80,0.70;0.75;0.80,injection,42,infection,0.8888888888888888,Biospecimen Disease Condition,0,
106,>=0.80,0.70;0.75;0.80,differentiation status,43,differentiation stage,0.8837209302325582,Biospecimen Age,1,
107,>=0.80,0.70;0.75;0.80,os_month,156,os month,0.875,Biospecimen Age,1,
108,>=0.80,0.70;0.75;0.80,phase description,15,age description,0.875,Biospecimen Age,1,
109,>=0.80,0.70;0.75;0.80,overall.survival,40,overall.survival.time,0.8648648648648649,Biospecimen Age,1,
110,>=0.80,0.70;0.75;0.80,induction date,385,induction time,0.8571428571428571,Biospecimen Age,1,
111,>=0.80,0.70;0.75;0.80,OS status,297,mouse status,0.8571428571428571,Biospecimen Organism,0,
112,>=0.80,0.70;0.75;0.80,volunteer,171,volunteer id,0.8571428571428571,External_sample_id,1,
113,>=0.80,0.70;0.75;0.80,cag,140,cage,0.8571428571428571,Biospecimen Age,0,
114,>=0.80,0.70;0.75;0.80,polarization state,15,polarization treatment,0.85,Treatment,0,
115,>=0.80,0.70;0.75;0.80,vaccination boost,92,vaccination dose,0.8484848484848485,Treatment Dosage Regimen,1,
116,>=0.80,0.70;0.75;0.80,description,294,age description,0.8461538461538461,Biospecimen Age,0,
117,>=0.80,0.70;0.75;0.80,sampling site,57,sampling time,0.8461538461538461,Biospecimen Age,0,
118,>=0.80,0.70;0.75;0.80,maternal state,10,maternal age,0.8461538461538461,Biospecimen Age,0,
119,>=0.80,0.70;0.75;0.80,parental line,55,parental cell line,0.8387096774193549,Biospecimen Type,1,
120,>=0.80,0.70;0.75;0.80,state of culture,42,age of  culture,0.8387096774193549,Biospecimen Age,1,
121,>=0.80,0.70;0.75;0.80,long description,12,age description,0.8387096774193549,Biospecimen Age,0,
122,>=0.80,0.70;0.75;0.80,subpopulation,9,cell subpopulation,0.8387096774193549,Biospecimen Type,1,
123,>=0.80,0.70;0.75;0.80,survival_yr,876,survival year,0.8333333333333334,Biospecimen Age,1,
124,>=0.80,0.70;0.75;0.80,study,741,studyid,0.8333333333333334,External_sample_id,1,
125,>=0.80,0.70;0.75;0.80,genomic modification,38,chemical modification,0.8292682926829268,Treatment,0,
126,>=0.80,0.70;0.75;0.80,genotype/varation,14,mouse genotype/variation,0.8292682926829268,Biospecimen Organism,1,
127,>=0.80,0.70;0.75;0.80,transduction,629,cell transduction,0.8275862068965517,Biospecimen Type,0,
128,>=0.80,0.70;0.75;0.80,viral infected,33,viral infection,0.8275862068965517,Biospecimen Disease Condition,1,
129,>=0.80,0.70;0.75;0.80,classification,369,classification group,0.8235294117647058,Treatment,0,
130,>=0.80,0.70;0.75;0.80,experimental batch,38,experimental day,0.8235294117647058,Biospecimen Age,0,
131,>=0.80,0.70;0.75;0.80,alternative name,14,alternative sample name,0.8205128205128205,External_sample_id,1,
132,>=0.80,0.70;0.75;0.80,replicate number,6,sample replicate number,0.8205128205128205,External_sample_id,1,
133,>=0.80,0.70;0.75;0.80,case number,726,cell number,0.8181818181818182,Biospecimen Type,0,
134,>=0.80,0.70;0.75;0.80,library date,385,library id,0.8181818181818182,External_sample_id,0,
135,>=0.80,0.70;0.75;0.80,stimulation,2378,cell stimulation,0.8148148148148148,Biospecimen Type,0,
136,>=0.80,0.70;0.75;0.80,library preparation method,500,library preparation protocol,0.8148148148148148,Treatment Dosage Regimen,0,
137,>=0.80,0.70;0.75;0.80,case/control,191,case or control,0.8148148148148148,Treatment,0,
138,>=0.80,0.70;0.75;0.80,preparation,169,cell preparation,0.8148148148148148,Biospecimen Type,1,
139,>=0.80,0.70;0.75;0.80,clinical type,85,clinical stage,0.8148148148148148,Biospecimen Age,0,
140,>=0.80,0.70;0.75;0.80,compartment,69,cell compartment,0.8148148148148148,Biospecimen Type,1,
141,>=0.80,0.70;0.75;0.80,replicate description,362,treatment description,0.8095238095238095,Treatment,0,
142,>=0.80,0.70;0.75;0.80,primary site,1010,primary tumor site,0.8,Biospecimen Disease Condition,1,
143,>=0.80,0.70;0.75;0.80,family,134,family id,0.8,External_sample_id,1,
144,>=0.80,0.70;0.75;0.80,immune status,113,mouse status,0.8,Biospecimen Organism,0,
145,>=0.80,0.70;0.75;0.80,location of onset,92,location of tumors,0.8,Biospecimen Disease Condition,1,
146,>=0.80,0.70;0.75;0.80,experimental status,72,experimental day,0.8,Biospecimen Age,0,
147,>=0.80,0.70;0.75;0.80,Subsets,60,subjects,0.8,External_sample_id,0,
148,>=0.80,0.70;0.75;0.80,parasite isolate,33,parasite stage,0.8,Biospecimen Age,0,
149,>=0.80,0.70;0.75;0.80,experimental factor,28,experimental day,0.8,Biospecimen Age,0,
150,>=0.80,0.70;0.75;0.80,Morphology,3,cell morphology,0.8,Biospecimen Type,1,
