GardID,DataSource,SourceID,SourceLabelID,GeneCount,GeneSymbol,GeneSynonym,GeneTitle,GeneType,Locus,AssociationType,AssociationStatus,Reference,OMIM,Ensembl,IUPHAR,SwissProt,Reactome,GeneIdentifier
GARD:0010955,Orphanet,648,ORPHA:648,14,NRAS,[N-ras],"NRAS proto-oncogene, GTPase",gene with protein product,1p13.2,Disease-causing germline mutation(s) in,Assessed,[PMID:19966803],164790,ENSG00000213281,2823,P01111,P01111,HGNC:7989
GARD:0010955,Orphanet,648,ORPHA:648,14,LZTR1,"[BTBD29, LZTR-1]",leucine zipper like transcription regulator 1,gene with protein product,22q11.21,Disease-causing germline mutation(s) in,Assessed,[PMID:25795793],600574,ENSG00000099949,,Q8N653,,HGNC:6742
GARD:0010955,Orphanet,648,ORPHA:648,14,MRAS,"[M-RAs, R-RAS3, RRAS3]",muscle RAS oncogene homolog,gene with protein product,3q22.3,Disease-causing germline mutation(s) in,Assessed,[PMID:28289718],608435,ENSG00000158186,,O14807,,HGNC:7227
GARD:0010955,Orphanet,648,ORPHA:648,14,RAF1,"[C-Raf proto-oncogene, serine/threonine kinase, CRAF, Raf-1, c-Raf]","Raf-1 proto-oncogene, serine/threonine kinase",gene with protein product,3p25.2,Disease-causing germline mutation(s) (gain of function) in,Assessed,[PMID:17603483],164760,ENSG00000132155,2184,P04049,P04049,HGNC:9829
GARD:0010955,Orphanet,648,ORPHA:648,14,RIT1,"[GTP-binding protein Roc1, MGC125864, MGC125865, RIBB, ROC1, Ric-like, expressed in many tissues]",Ras like without CAAX 1,gene with protein product,1q22,Disease-causing germline mutation(s) (gain of function) in,Assessed,[PMID:23791108],609591,ENSG00000143622,,Q92963,Q92963,HGNC:10023
GARD:0010955,Orphanet,648,ORPHA:648,14,SPRED2,,sprouty related EVH1 domain containing 2,gene with protein product,2p14,Disease-causing germline mutation(s) in,Assessed,[PMID:34626534],609292,ENSG00000198369,,Q7Z698,,HGNC:17722
GARD:0010955,Orphanet,648,ORPHA:648,14,RASA2,[GAP1M],RAS p21 protein activator 2,gene with protein product,3q23,Disease-causing germline mutation(s) (loss of function) in,Assessed,[PMID:25049390],601589,ENSG00000155903,,Q15283,Q15283,HGNC:9872
GARD:0010955,Orphanet,648,ORPHA:648,14,RRAS2,[TC21],RAS related 2,gene with protein product,11p15.2,Disease-causing germline mutation(s) in,Assessed,[PMID:31130285],600098,ENSG00000133818,,P62070,,HGNC:17271
GARD:0010955,Orphanet,648,ORPHA:648,14,SOS1,"[GF1, HGF]",SOS Ras/Rac guanine nucleotide exchange factor 1,gene with protein product,2p22.1,Disease-causing germline mutation(s) (gain of function) in,Assessed,[PMID:17143285],182530,ENSG00000115904,3096,Q07889,Q07889,HGNC:11187
GARD:0010957,Orphanet,209981,ORPHA:209981,1,TMPRSS6,"[FLJ30744, MT2, matriptase-2]",transmembrane serine protease 6,gene with protein product,22q12.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,"[PMID:19357398, PMID:20232450, PMID:25252070]",609862,ENSG00000187045,2422,Q8IU80,Q8IU80,HGNC:16517
GARD:0010959,Orphanet,314777,ORPHA:314777,2,CDH23,"[CDHR23, cadherin-related family member 23]",cadherin related 23,gene with protein product,10q22.1,Major susceptibility factor in,Assessed,[PMID:28413019],605516,ENSG00000107736,,Q9H251,,HGNC:13733
GARD:0010959,Orphanet,314777,ORPHA:314777,2,AIP,"[ARA9, Ah receptor activated 9, FK506-binding protein 37, FKBP prolyl isomerase 16, FKBP16, FKBP37, X-associated protein-2, XAP2, aryl hydrocarbon receptor-associated protein 9, hepatitis B virus X-associated cellular protein 2]",aryl hydrocarbon receptor interacting protein,gene with protein product,11q13.2,Disease-causing germline mutation(s) in,Assessed,[PMID:22720333],605555,ENSG00000110711,,O00170,O00170,HGNC:358
GARD:0010965,Orphanet,313855,ORPHA:313855,1,FGFR2,"[CD332, CEK3, Crouzon syndrome, ECT1, K-SAM, Pfeiffer syndrome, TK14, TK25]",fibroblast growth factor receptor 2,gene with protein product,10q26.13,Disease-causing germline mutation(s) in,Assessed,[PMID:22387015],176943,ENSG00000066468,1809,P21802,P21802,HGNC:3689
GARD:0010966,Orphanet,85414,ORPHA:85414,4,IL6,"[BSF2, HGF, HSF, IL-6, interferon, beta 2]",interleukin 6,gene with protein product,7p15.3,Major susceptibility factor in,Not yet assessed,,147620,ENSG00000136244,,P05231,P05231,HGNC:6018
GARD:0010966,Orphanet,85414,ORPHA:85414,4,LACC1,"[FAMIN, FLJ38725, fatty acid metabolismimmunity nexus]",laccase domain containing 1,gene with protein product,13q14.11,Disease-causing germline mutation(s) in,Assessed,[PMID:25220867],613409,ENSG00000179630,,Q8IV20,,HGNC:26789
GARD:0010966,Orphanet,85414,ORPHA:85414,4,MIF,"[GIF, glycosylation-inhibiting factor, phenylpyruvate tautomerase]",macrophage migration inhibitory factor,gene with protein product,22q11.23,Major susceptibility factor in,Not yet assessed,,153620,ENSG00000240972,,P14174,P14174,HGNC:7097
GARD:0010966,Orphanet,85414,ORPHA:85414,4,HLA-DRB1,,"major histocompatibility complex, class II, DR beta 1",gene with protein product,6p21.32,Major susceptibility factor in,Not yet assessed,[PMID:26598658],142857,ENSG00000196126,,P01911,P04229,HGNC:4948
GARD:0010974,Orphanet+OMIM,609634,OMIM:609634,1,SCN1A,"[GEFSP2, HBSCI, NAC1, Nav1.1, SMEI]",sodium voltage-gated channel alpha subunit 1,gene with protein product,2q24.3,The molecular basis of the disorder is known,Unknown,,182389,ENSG00000144285,objectId:578,P35498,P35498,HGNC:10585
GARD:0010981,Orphanet,313808,ORPHA:313808,2,AARS2,"[KIAA1270, alanine tRNA ligase 2, mitochondrial, bA444E17.1]","alanyl-tRNA synthetase 2, mitochondrial",gene with protein product,6p21.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,[PMID:27749956],612035,ENSG00000124608,,Q5JTZ9,Q5JTZ9,HGNC:21022
GARD:0010981,Orphanet,313808,ORPHA:313808,2,CSF1R,"[C-FMS, CD115, CSFR]",colony stimulating factor 1 receptor,gene with protein product,5q32,Disease-causing germline mutation(s) (loss of function) in,Assessed,[PMID:22197934],164770,ENSG00000182578,1806,P07333,P07333,HGNC:2433
GARD:0010983,Orphanet,79152,ORPHA:79152,4,FDPS,"[farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase]",farnesyl diphosphate synthase,gene with protein product,1q22,Disease-causing germline mutation(s) in,Assessed,[PMID:26202976],134629,ENSG00000160752,644,P14324,P14324,HGNC:3631
GARD:0010983,Orphanet,79152,ORPHA:79152,4,SLC17A9,"[FLJ23412, VNUT]",solute carrier family 17 member 9,gene with protein product,20q13.33,Disease-causing germline mutation(s) in,Assessed,[PMID:25180256],612107,ENSG00000101194,1010,Q9BYT1,,HGNC:16192
GARD:0010983,Orphanet,79152,ORPHA:79152,4,MVD,"[MPD, diphosphomevalonate decarboxylase, mevalonate pyrophosphate decarboxylase]",mevalonate diphosphate decarboxylase,gene with protein product,16q24.2,Disease-causing germline mutation(s) in,Assessed,[PMID:26202976],603236,ENSG00000167508,642,P53602,P53602,HGNC:7529
GARD:0010983,Orphanet,79152,ORPHA:79152,4,MVK,"[LH receptor mRNA-binding protein, LRBP, MK, mevalonic aciduria]",mevalonate kinase,gene with protein product,12q24.11,Disease-causing germline mutation(s) in,Assessed,"[PMID:22983302, PMID:26202976]",251170,ENSG00000110921,640,Q03426,Q03426,HGNC:7530
GARD:0010984,Orphanet,319552,ORPHA:319552,1,IL12RB1,[CD212],interleukin 12 receptor subunit beta 1,gene with protein product,19p13.11,Disease-causing germline mutation(s) in,Assessed,,601604,ENSG00000096996,1715,P42701,P42701,HGNC:5971
GARD:0010985,Orphanet,54260,ORPHA:54260,14,PRDM16,"[KIAA1675, KMT8F, MDS1/EVI1-like, MEL1, MGC166915, PFM13, PR-domain zinc finger protein 16, Transcription factor MEL1, transcription factor MEL1]",PR/SET domain 16,gene with protein product,1p36.32,Disease-causing germline mutation(s) in,Assessed,[PMID:23768516],605557,ENSG00000142611,,Q9HAZ2,Q9HAZ2,HGNC:14000
GARD:0010985,Orphanet,54260,ORPHA:54260,14,PKP2,,plakophilin 2,gene with protein product,12p11.21,Disease-causing germline mutation(s) in,Assessed,[PMID:27030002],602861,ENSG00000057294,,Q99959,Q99959,HGNC:9024
GARD:0010985,Orphanet,54260,ORPHA:54260,14,MIB2,"[FLJ39787, ZZZ5, skeletrophin]",MIB E3 ubiquitin protein ligase 2,gene with protein product,1p36.33,Major susceptibility factor in,Assessed,[PMID:28013292],611141,ENSG00000197530,,Q96AX9,Q96AX9,HGNC:30577
GARD:0010985,Orphanet,54260,ORPHA:54260,14,TNNT2,[CMPD2],"troponin T2, cardiac type",gene with protein product,1q32.1,Disease-causing germline mutation(s) in,Assessed,[PMID:20083571],191045,ENSG00000118194,,P45379,P45379,HGNC:11949
GARD:0010985,Orphanet,54260,ORPHA:54260,14,LDB3,"[KIAA0613, PDLIM6, Z-band alternatively spliced PDZ motif protein, ZASP, cypher, oracle]",LIM domain binding 3,gene with protein product,10q23.2,Major susceptibility factor in,Not yet assessed,,605906,ENSG00000122367,,O75112,,HGNC:15710
GARD:0010985,Orphanet,54260,ORPHA:54260,14,MYH7B,"[KIAA1512, MHC14, MYH14, dJ756N5.1]",myosin heavy chain 7B,gene with protein product,20q11.22,Disease-causing germline mutation(s) in,Assessed,[PMID:23800289],609928,ENSG00000078814,,A7E2Y1,A7E2Y1,HGNC:15906
GARD:0010985,Orphanet,54260,ORPHA:54260,14,ACTC1,[CMD1R],actin alpha cardiac muscle 1,gene with protein product,15q14,Major susceptibility factor in,Assessed,"[PMID:17611253, PMID:18506004]",102540,ENSG00000159251,,P68032,P68032,HGNC:143
GARD:0010985,Orphanet,54260,ORPHA:54260,14,PLEKHM2,[KIAA0842],pleckstrin homology and RUN domain containing M2,gene with protein product,1p36.21,Major susceptibility factor in,Assessed,[PMID:26464484],609613,ENSG00000116786,,Q8IWE5,,HGNC:29131
GARD:0010985,Orphanet,54260,ORPHA:54260,14,DTNA,"[D18S892E, DRP3, DTN, DTN-1, DTN-2, DTN-3, dystrophin-related protein 3]",dystrobrevin alpha,gene with protein product,18q12.1,Candidate gene tested in,Not yet assessed,[PMID:11238270],601239,ENSG00000134769,,Q9Y4J8,Q9Y4J8,HGNC:3057
GARD:0010985,Orphanet,54260,ORPHA:54260,14,LMNA,"[HGPS, MADA, mandibuloacral dysplasia type A]",lamin A/C,gene with protein product,1q22,Major susceptibility factor in,Not yet assessed,,150330,ENSG00000160789,,P02545,P02545,HGNC:6636
GARD:0010985,Orphanet,54260,ORPHA:54260,14,TPM1,,tropomyosin 1,gene with protein product,15q22.2,Disease-causing germline mutation(s) in,Assessed,[PMID:21551322],191010,ENSG00000140416,,P09493,P09493,HGNC:12010
GARD:0010985,Orphanet,54260,ORPHA:54260,14,MYBPC3,"[FHC, MYBP-C, cMyBP-C]",myosin binding protein C3,gene with protein product,11p11.2,Candidate gene tested in,Not yet assessed,[PMID:21551322],600958,ENSG00000134571,2880,Q14896,Q14896,HGNC:7551
GARD:0010985,Orphanet,54260,ORPHA:54260,14,MYH7,[CMD1S],myosin heavy chain 7,gene with protein product,14q11.2,Disease-causing germline mutation(s) in,Assessed,[PMID:25415959],160760,ENSG00000092054,,P12883,P12883,HGNC:7577
GARD:0010985,Orphanet,54260,ORPHA:54260,14,MIB1,"[DAPK-interacting protein 1, DIP-1, KIAA1323, MIB, ZZANK2, ZZZ6]",MIB E3 ubiquitin protein ligase 1,gene with protein product,18q11.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,[PMID:23314057],608677,ENSG00000101752,,Q86YT6,Q86YT6,HGNC:21086
GARD:0010989,Orphanet,363649,ORPHA:363649,1,POLD1,"[CDC2, CDC2 homolog (S. cerevisiae)]","DNA polymerase delta 1, catalytic subunit",gene with protein product,19q13.3,Disease-causing germline mutation(s) in,Assessed,[PMID:23770608],174761,ENSG00000062822,,P28340,P28340,HGNC:9175
GARD:0010992,Orphanet,254343,ORPHA:254343,1,MTPAP,"[FLJ10486, SPAX4, TENT6, TUTase1, mtPAP]",mitochondrial poly(A) polymerase,gene with protein product,10p11.23,Disease-causing germline mutation(s) in,Assessed,[PMID:20970105],613669,ENSG00000107951,,Q9NVV4,Q9NVV4,HGNC:25532
GARD:0010994,Orphanet,85201,ORPHA:85201,1,KAT6B,"[MOZ-related factor, MOZ2, Morf, ZC2HC6B, qkf, querkopf]",lysine acetyltransferase 6B,gene with protein product,10q22.2,Disease-causing germline mutation(s) in,Assessed,"[PMID:22265014, PMID:22265017, PMID:23236640]",605880,ENSG00000156650,2666,Q8WYB5,Q8WYB5,HGNC:17582
GARD:0010995,Orphanet,402364,ORPHA:402364,1,MED17,"[CRSP77, DRIP80, SRB4, TRAP80]",mediator complex subunit 17,gene with protein product,11q21,Disease-causing germline mutation(s) in,Assessed,[PMID:20950787],603810,ENSG00000042429,,Q9NVC6,Q9NVC6,HGNC:2375
GARD:0010997,Orphanet,284984,ORPHA:284984,1,SMAD3,"[HsT17436, JV15-2]",SMAD family member 3,gene with protein product,15q22.33,Disease-causing germline mutation(s) in,Assessed,[PMID:22167769],603109,ENSG00000166949,,P84022,P84022,HGNC:6769
GARD:0010998,Orphanet,228402,ORPHA:228402,1,MBD5,"[FLJ11113, KIAA1461]",methyl-CpG binding domain protein 5,gene with protein product,2q23.2,Role in the phenotype of,Assessed,[PMID:19809484],611472,ENSG00000204406,,Q9P267,Q9P267,HGNC:20444
GARD:0010999,Orphanet,280763,ORPHA:280763,4,AP4E1,"[AP-4-EPSILON, SPG51]",adaptor related protein complex 4 subunit epsilon 1,gene with protein product,15q21.2,Disease-causing germline mutation(s) in,Assessed,"[PMID:20972249, PMID:21620353]",607244,ENSG00000081014,,Q9UPM8,Q9UPM8,HGNC:573
GARD:0010999,Orphanet,280763,ORPHA:280763,4,AP4S1,"[AP47B, CLA20, SPG52]",adaptor related protein complex 4 subunit sigma 1,gene with protein product,14q12,Disease-causing germline mutation(s) in,Assessed,[PMID:21620353],607243,ENSG00000100478,,Q9Y587,Q9Y587,HGNC:575
GARD:0010999,Orphanet,280763,ORPHA:280763,4,AP4B1,"[AP-4 complex subunit beta-1, BETA-4, beta 4 subunit of AP-4]",adaptor related protein complex 4 subunit beta 1,gene with protein product,1p13.2,Disease-causing germline mutation(s) in,Assessed,"[PMID:21620353, PMID:22290197]",607245,ENSG00000134262,,Q9Y6B7,Q9Y6B7,HGNC:572
GARD:0010999,Orphanet,280763,ORPHA:280763,4,AP4M1,"[AP-4 adapter complex mu subunit, MU-4, MU-ARP2, SPG50, adaptor-related protein complex AP-4 mu4 subunit, mu subunit of AP-4, mu-adaptin-related protein-2]",adaptor related protein complex 4 subunit mu 1,gene with protein product,7q22.1,Disease-causing germline mutation(s) in,Assessed,[PMID:19559397],602296,ENSG00000221838,,O00189,O00189,HGNC:574
GARD:0011000,Orphanet,319651,ORPHA:319651,1,DHFR,,dihydrofolate reductase,gene with protein product,5q14.1,Disease-causing germline mutation(s) in,Assessed,"[PMID:21310276, PMID:21310277]",126060,ENSG00000228716,2603,P00374,P00374,HGNC:2861
GARD:0011003,Orphanet,401996,ORPHA:401996,1,FAN1,,FANCD2 and FANCI associated nuclease 1,gene with protein product,15q13.3,Disease-causing germline mutation(s) in,Assessed,[PMID:22772369],613534,ENSG00000198690,,Q9Y2M0,Q9Y2M0,HGNC:29170
GARD:0011008,Orphanet,280576,ORPHA:280576,1,BANF1,[BAF],BAF nuclear assembly factor 1,gene with protein product,11q13.1,Disease-causing germline mutation(s) in,Assessed,[PMID:21549337],603811,ENSG00000175334,,O75531,O75531,HGNC:17397
GARD:0011009,Orphanet,280586,ORPHA:280586,1,BPNT2,"['Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase', FLJ20421, IMPA3, gPAPP, golgi-resident nucleotide phosphatase]","3'(2'), 5'-bisphosphate nucleotidase 2",gene with protein product,8q12.1,Disease-causing germline mutation(s) in,Assessed,[PMID:21549340],614010,ENSG00000104331,,Q9NX62,Q9NX62,HGNC:26019
GARD:0011010,Orphanet,280598,ORPHA:280598,1,FBLN5,"[ARMD3, DANCE, EVEC, UP50, developmental arteries and neural crest EGF-like, embryonic vascular EGF-like repeat-containing protein]",fibulin 5,gene with protein product,14q32.12,Disease-causing germline mutation(s) in,Assessed,[PMID:21576112],604580,ENSG00000140092,,Q9UBX5,Q9UBX5,HGNC:3602
GARD:0011894,Orphanet,60025,ORPHA:60025,1,SLC34A2,[NAPI-3B],solute carrier family 34 member 2,gene with protein product,4p15.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,"[PMID:20046000, PMID:23164546]",604217,ENSG00000157765,1136,O95436,O95436,HGNC:11020
GARD:0011897,Orphanet,1871,ORPHA:1871,4,GNAT2,[ACHM4],G protein subunit alpha transducin 2,gene with protein product,1p13.3,Disease-causing germline mutation(s) in,Assessed,[PMID:14609822],139340,ENSG00000134183,,P19087,P19087,HGNC:4394
GARD:0011897,Orphanet,1871,ORPHA:1871,4,GUCA1A,"[COD3, CORD14, GCAP, GCAP1, cone dystrophy 3, dJ139D8.6]",guanylate cyclase activator 1A,gene with protein product,6p21.1,Disease-causing germline mutation(s) in,Assessed,"[PMID:15735604, PMID:9425234]",600364,ENSG00000048545,,P43080,P43080,HGNC:4678
GARD:0011897,Orphanet,1871,ORPHA:1871,4,PDE6C,"[ACHM5, COD4, Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha, PDEA2]",phosphodiesterase 6C,gene with protein product,10q23.33,Disease-causing germline mutation(s) in,Assessed,[PMID:19615668],600827,ENSG00000095464,1314,P51160,,HGNC:8787
GARD:0011897,Orphanet,1871,ORPHA:1871,4,CNGB3,,cyclic nucleotide gated channel subunit beta 3,gene with protein product,8q21.3,Disease-causing germline mutation(s) in,Assessed,[PMID:15161866],605080,ENSG00000170289,399,Q9NQW8,,HGNC:2153
GARD:0011901,Orphanet,300605,ORPHA:300605,5,ALS2,"[Alsin, alsin]",alsin Rho guanine nucleotide exchange factor ALS2,gene with protein product,2q33.1,Disease-causing germline mutation(s) in,Assessed,[PMID:23282280],606352,ENSG00000003393,,Q96Q42,Q96Q42,HGNC:443
GARD:0011901,Orphanet,300605,ORPHA:300605,5,SPG11,"[FLJ21439, spatacsin]","SPG11 vesicle trafficking associated, spatacsin",gene with protein product,15q21.1,Disease-causing germline mutation(s) in,Assessed,"[PMID:20110243, PMID:22154821, PMID:24085347]",610844,ENSG00000104133,,Q96JI7,,HGNC:11226
GARD:0011901,Orphanet,300605,ORPHA:300605,5,FUS,"[FUS1, HNRNPP2, TLS, heterogeneous nuclear ribonucleoprotein P2, hnRNP-P2, translocated in liposarcoma]",FUS RNA binding protein,gene with protein product,16p11.2,Disease-causing germline mutation(s) in,Assessed,"[PMID:20579074, PMID:20668261, PMID:21907581, PMID:22248478, PMID:23046859]",137070,ENSG00000089280,,P35637,P35637,HGNC:4010
GARD:0011901,Orphanet,300605,ORPHA:300605,5,SPTLC1,"[HSAN1, LCB1, SPTI, hLCB1]",serine palmitoyltransferase long chain base subunit 1,gene with protein product,9q22.31,Disease-causing germline mutation(s) in,Assessed,[PMID:34459874],605712,ENSG00000090054,2509,O15269,O15269,HGNC:11277
GARD:0011901,Orphanet,300605,ORPHA:300605,5,SIGMAR1,[SR-BP1],sigma non-opioid intracellular receptor 1,gene with protein product,9p13.3,Disease-causing germline mutation(s) in,Assessed,"[PMID:21842496, PMID:24085347]",601978,ENSG00000147955,2552,Q99720,,HGNC:8157
GARD:0011904,Orphanet,137667,ORPHA:137667,2,RASA1,"[CM-AVM, GAP, capillary malformation-arteriovenous malformation, p120, p120 RAS GTPase activating protein, p120GAP, p120RASGAP]",RAS p21 protein activator 1,gene with protein product,5q14.3,Disease-causing germline mutation(s) in,Assessed,"[PMID:14639529, PMID:21348050]",139150,ENSG00000145715,,P20936,P20936,HGNC:9871
GARD:0011904,Orphanet,137667,ORPHA:137667,2,EPHB4,[Tyro11],EPH receptor B4,gene with protein product,7q22.1,Disease-causing germline mutation(s) in,Assessed,[PMID:28687708],600011,ENSG00000196411,1833,P54760,,HGNC:3395
GARD:0011910,Orphanet,79474,ORPHA:79474,1,LMNA,"[HGPS, MADA, mandibuloacral dysplasia type A]",lamin A/C,gene with protein product,1q22,Disease-causing germline mutation(s) in,Assessed,"[PMID:12927431, PMID:19270485]",150330,ENSG00000160789,,P02545,P02545,HGNC:6636
GARD:0011911,Orphanet,94064,ORPHA:94064,2,CATSPER2,,cation channel sperm associated 2,gene with protein product,15q15.3,Role in the phenotype of,Assessed,[PMID:17098888],607249,ENSG00000166762,389,Q96P56,Q96P56,HGNC:18810
GARD:0011911,Orphanet,94064,ORPHA:94064,2,STRC,,stereocilin,gene with protein product,15q15.3,Role in the phenotype of,Assessed,[PMID:17098888],606440,ENSG00000242866,,Q7RTU9,,HGNC:16035
GARD:0011914,Orphanet,275777,ORPHA:275777,8,KCNK3,"[K2p3.1, TASK, TASK-1, TASK1, TWIK-related acid-sensitive K+ 1]",potassium two pore domain channel subfamily K member 3,gene with protein product,2p23.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,"[PMID:23883380, PMID:24951767]",603220,ENSG00000171303,515,O14649,O14649,HGNC:6278
GARD:0011914,Orphanet,275777,ORPHA:275777,8,EIF2AK4,"[GCN2, KIAA1338]",eukaryotic translation initiation factor 2 alpha kinase 4,gene with protein product,15q15.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,[PMID:25512148],609280,ENSG00000128829,2018,Q9P2K8,,HGNC:19687
GARD:0011914,Orphanet,275777,ORPHA:275777,8,TBX4,,T-box transcription factor 4,gene with protein product,17q23.2,Disease-causing germline mutation(s) in,Assessed,"[PMID:23502781, PMID:23592887]",601719,ENSG00000121075,,P57082,,HGNC:11603
GARD:0011914,Orphanet,275777,ORPHA:275777,8,SMAD9,"[SMAD8, SMAD8/9]",SMAD family member 9,gene with protein product,13q13.3,Disease-causing germline mutation(s) in,Assessed,[PMID:21920918],603295,ENSG00000120693,,O15198,O15198,HGNC:6774
GARD:0011914,Orphanet,275777,ORPHA:275777,8,ENG,"[CD105, END, HHT1]",endoglin,gene with protein product,9q34.11,Candidate gene tested in,Not yet assessed,"[PMID:15115879, PMID:15687131, PMID:23298310, PMID:24951767]",131195,ENSG00000106991,2895,P17813,P17813,HGNC:3349
GARD:0011914,Orphanet,275777,ORPHA:275777,8,BMPR2,"[BMPR-II, BMPR3, BRK-3, T-ALK]",bone morphogenetic protein receptor type 2,gene with protein product,2q33.1-q33.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,"[PMID:19555857, PMID:20301658, PMID:24951767]",600799,ENSG00000204217,1794,Q13873,Q13873,HGNC:1078
GARD:0011914,Orphanet,275777,ORPHA:275777,8,ACVRL1,"[ALK1, HHT, HHT2, activin receptor-like kinase 1]",activin A receptor like type 1,gene with protein product,12q13.13,Candidate gene tested in,Not yet assessed,"[PMID:22632830, PMID:23298310, PMID:24936649, PMID:24951767, PMID:24956016]",601284,ENSG00000139567,1784,P37023,P37023,HGNC:175
GARD:0011914,Orphanet,275777,ORPHA:275777,8,CAV1,,caveolin 1,gene with protein product,7q31.2,Disease-causing germline mutation(s) in,Assessed,[PMID:22474227],601047,ENSG00000105974,,Q03135,Q03135,HGNC:1527
GARD:0011915,Orphanet,171881,ORPHA:171881,3,TPM3,[TRK],tropomyosin 3,gene with protein product,1q21.3,Disease-causing germline mutation(s) in,Assessed,[PMID:20554445],191030,ENSG00000143549,,P06753,P06753,HGNC:12012
GARD:0011915,Orphanet,171881,ORPHA:171881,3,TPM2,"[DA1, NEM4, nemaline myopathy type 4]",tropomyosin 2,gene with protein product,9p13.3,Disease-causing germline mutation(s) in,Assessed,"[PMID:17846275, PMID:20301465]",190990,ENSG00000198467,,P07951,P07951,HGNC:12011
GARD:0011915,Orphanet,171881,ORPHA:171881,3,MYPN,"['sarcomeric protein myopalladin, 145 kDa', MYOP, Sarcomeric protein myopalladin, 145 kDa]",myopalladin,gene with protein product,10q21.3,Disease-causing germline mutation(s) in,Assessed,[PMID:28220527],608517,ENSG00000138347,,Q86TC9,,HGNC:23246
