DiseaseID,DiseaseName,References,SummaryText,Source,SummaryTextNew
GARD:0000020,Barrett esophagus,"[9272,9273]","DiseaseName is a condition in which the lining of the esophagus (the tube that carries food from the throat to the stomach) is replaced by tissue that is similar to the lining of the intestines. Although this change does not cause any specific signs or symptoms, it is typically diagnosed in people who have long-term gastroesophageal reflux disease (GERD). The exact underlying cause of DiseaseName is not known; however, it generally occurs sporadically in people with no family history of the condition.",GARD,"Barrett esophagus is a condition in which the lining of the esophagus (the tube that carries food from the throat to the stomach) is replaced by tissue that is similar to the lining of the intestines. Although this change does not cause any specific signs or symptoms, it is typically diagnosed in people who have long-term gastroesophageal reflux disease (GERD). The exact underlying cause of Barrett esophagus is not known; however, it generally occurs sporadically in people with no family history of the condition."
GARD:0000026,Cat eye syndrome,"[8634,8635,8636]","DiseaseName is a chromosome abnormality that affects many different parts of the body. The signs and symptoms of the condition vary widely but may include abnormalities of the eyes, ears, anal region, heart, and/or kidney. In people affected by DiseaseName, each cell has at least one small extra (duplicate) chromosome made up of genetic material from chromosome 22. This extra genetic material leads to the characteristic signs and symptoms of the condition. Most cases of DiseaseName occur sporadically in people with no family history of the condition.",GARD,"Cat eye syndrome is a chromosome abnormality that affects many different parts of the body. The signs and symptoms of the condition vary widely but may include abnormalities of the eyes, ears, anal region, heart, and/or kidney. In people affected by Cat eye syndrome, each cell has at least one small extra (duplicate) chromosome made up of genetic material from chromosome 22. This extra genetic material leads to the characteristic signs and symptoms of the condition. Most cases of Cat eye syndrome occur sporadically in people with no family history of the condition."
GARD:0000027,Cat scratch disease,"[1015,15302]","DiseaseName (CSD) is a bacterial infection that primarily affects the lymph nodes. It is typically caused by the bacteria bartonella (Bartonella henselae). It is usually transmitted by being scratched or bitten by a cat, but rarely, no scratch or bite is involved. Symptoms frequently include the formation of a small bump at the site of the scratch or bite, followed by fever and swollen lymph nodes (lymphadenopathy) within 1-3 weeks. People with weakened immune systems (and less commonly, people with healthy immune systems) may develop more widespread disease and additional symptoms or neurological complications, which can be severe. In most cases, particularly in children and adolescents, having CSD once means that it cannot occur again.",GARD,"Cat scratch disease (CSD) is a bacterial infection that primarily affects the lymph nodes. It is typically caused by the bacteria bartonella (Bartonella henselae). It is usually transmitted by being scratched or bitten by a cat, but rarely, no scratch or bite is involved. Symptoms frequently include the formation of a small bump at the site of the scratch or bite, followed by fever and swollen lymph nodes (lymphadenopathy) within 1-3 weeks. People with weakened immune systems (and less commonly, people with healthy immune systems) may develop more widespread disease and additional symptoms or neurological complications, which can be severe. In most cases, particularly in children and adolescents, having CSD once means that it cannot occur again."
GARD:0000029,CHARGE syndrome,"[4191,5880,13068]","DiseaseName is a congenital condition (present from birth) that affects many areas of the body. CHARGE stands for coloboma, heart defect, atresia choanae (also known as choanal atresia), restricted growth and development, genital abnormality, and ear abnormality. Signs and symptoms vary among people with this condition; however, infants often have multiple medical conditions. The diagnosis of DiseaseName is based on a combination of major and minor characteristics. In more than half of all cases, genetic changes in the CHD7 gene cause DiseaseName. When caused by a genetic change in the CHD7 gene, it can be inherited in an autosomal dominant pattern; although most cases result from new (de novo) genetic changes in the gene and occur in people with no history of the condition in their family.",GARD,"CHARGE syndrome is a congenital condition (present from birth) that affects many areas of the body. CHARGE stands for coloboma, heart defect, atresia choanae (also known as choanal atresia), restricted growth and development, genital abnormality, and ear abnormality. Signs and symptoms vary among people with this condition; however, infants often have multiple medical conditions. The diagnosis of CHARGE syndrome is based on a combination of major and minor characteristics. In more than half of all cases, genetic changes in the CHD7 gene cause CHARGE syndrome. When caused by a genetic change in the CHD7 gene, it can be inherited in an autosomal dominant pattern; although most cases result from new (de novo) genetic changes in the gene and occur in people with no history of the condition in their family."
GARD:0000031,Serpiginous choroiditis,"[1097,1098,1099]",Affected individuals have lesions in the eye that last from weeks to months and involve scarring of the eye tissue. Recurrence of these lesions is common in DiseaseName. Vision loss may occur in one or both eyes when the macula is involved. ,GARD,Affected individuals have lesions in the eye that last from weeks to months and involve scarring of the eye tissue. Recurrence of these lesions is common in Serpiginous choroiditis. Vision loss may occur in one or both eyes when the macula is involved. 
GARD:0000035,Chromosome 18p tetrasomy,"[1047,1048,11914]","DiseaseName is a chromosomal disorder that affects many parts of the body. It occurs when the short arm of chromosome 18 (18p) appears four times (tetrasomy) rather than the normal two times in cells of the body. The symptoms of chromosomy 18p tetrasomy vary from case to case but may include abnormalities of the head and face (craniofacial) area, malformations of the spine, hands, and/or feet, neuromuscular abnormalities, kidney malformations, intellectual disability, speech delays, and behavioral abnormalities. In most cases, DiseaseName is the result of a spontaneous (de novo) genetic change early in fetal development during pregnancy.",GARD,"Chromosome 18p tetrasomy is a chromosomal disorder that affects many parts of the body. It occurs when the short arm of chromosome 18 (18p) appears four times (tetrasomy) rather than the normal two times in cells of the body. The symptoms of chromosomy 18p tetrasomy vary from case to case but may include abnormalities of the head and face (craniofacial) area, malformations of the spine, hands, and/or feet, neuromuscular abnormalities, kidney malformations, intellectual disability, speech delays, and behavioral abnormalities. In most cases, Chromosome 18p tetrasomy is the result of a spontaneous (de novo) genetic change early in fetal development during pregnancy."
GARD:0000037,Partial deletion of the short arm of chromosome 3,"[8696,8697,8698,8699]","Chromosome 3p partial deletion is a chromosome abnormality that affects many different parts of the body. People with this condition are missing genetic material located on the short arm (p) of chromosome 3 in each cell. The severity of the condition and the associated signs and symptoms vary based on the size and location of the deletion and which genes are involved. Most cases are not inherited, although affected people can pass the deletion on to their children.",GARD,"Chromosome 3p partial deletion is a chromosome abnormality that affects many different parts of the body. People with this condition are missing genetic material located on the short arm (p) of chromosome 3 in each cell. The severity of the condition and the associated signs and symptoms vary based on the size and location of the deletion and which genes are involved. Most cases are not inherited, although affected people can pass the deletion on to their children."
GARD:0000043,Mosaic trisomy 9,"[8129,8130,8131]","DiseaseName is a chromosomal abnormality that can affect may parts of the body. In people affected by this condition, some of the body's cells have three copies of chromosome 9 (trisomy), while other cells have the usual two copies of this chromosome. The signs and symptoms vary but may include mild to severe intellectual disability, developmental delay, growth problems (both before and after birth), congenital heart defects, and/or abnormalities of the craniofacial (skull and face) region. Most cases are not inherited; it often occurs sporadically as a random event during the formation of the reproductive cells (egg and sperm) or as the fertilized egg divides.",GARD,"Mosaic trisomy 9 is a chromosomal abnormality that can affect may parts of the body. In people affected by this condition, some of the body's cells have three copies of chromosome 9 (trisomy), while other cells have the usual two copies of this chromosome. The signs and symptoms vary but may include mild to severe intellectual disability, developmental delay, growth problems (both before and after birth), congenital heart defects, and/or abnormalities of the craniofacial (skull and face) region. Most cases are not inherited; it often occurs sporadically as a random event during the formation of the reproductive cells (egg and sperm) or as the fertilized egg divides."
GARD:0000045,Congenital varicella syndrome,[4014],"DiseaseName is an extremely rare disorder in which affected infants have distinctive abnormalities at birth due to the mother's infection with chickenpox (maternal varicella zoster) early during pregnancy (i.e., up to 20 weeks gestation). Affected newborns may have a low birth weight and characteristic abnormalities of the skin, brain, eyes, the arms, legs, hands, and/or feet, and/or, in rare cases, other areas of the body. The range and severity of associated symptoms and physical findings may vary greatly from case to case depending upon when maternal varicella zoster infection occurred during fetal development.",GARD,"Congenital varicella syndrome is an extremely rare disorder in which affected infants have distinctive abnormalities at birth due to the mother's infection with chickenpox (maternal varicella zoster) early during pregnancy (i.e., up to 20 weeks gestation). Affected newborns may have a low birth weight and characteristic abnormalities of the skin, brain, eyes, the arms, legs, hands, and/or feet, and/or, in rare cases, other areas of the body. The range and severity of associated symptoms and physical findings may vary greatly from case to case depending upon when maternal varicella zoster infection occurred during fetal development."
GARD:0000046,Corticobasal degeneration,"[2370,13181]","DiseaseName is characterized by the break down (degeneration) of parts of the brain, including the cerebral cortex and basal ganglia. The cerebral cortex is responsible for most of the brain's processing of information, and the basal ganglia are deep brain structures that help start and control movement. Signs and symptoms of DiseaseName include poor coordination, loss of movement, rigidity, poor balance, unnatural posturing of the muscles, intellectual (cognitive) impairment, speech impairment, muscular jerks, and difficulty swallowing. Currently the cause of DiseaseName is not known.",GARD,"Corticobasal degeneration is characterized by the break down (degeneration) of parts of the brain, including the cerebral cortex and basal ganglia. The cerebral cortex is responsible for most of the brain's processing of information, and the basal ganglia are deep brain structures that help start and control movement. Signs and symptoms of Corticobasal degeneration include poor coordination, loss of movement, rigidity, poor balance, unnatural posturing of the muscles, intellectual (cognitive) impairment, speech impairment, muscular jerks, and difficulty swallowing. Currently the cause of Corticobasal degeneration is not known."
GARD:0000047,"Crigler Najjar syndrome, type 1","[2998,2999]","DiseaseName is an inherited disorder in which bilirubin, a substance made by the liver, cannot be broken down. This condition occurs when the enzyme that normally converts bilirubin into a form that can easily be removed from the body does not work correctly. Without this enzyme, bilirubin can build up in the body and lead to jaundice and damage to the brain, muscles, and nerves. DiseaseName is caused by genetic changes in the UGT1A1 gene. The condition is inherited in an autosomal recessive manner. ",GARD,"Crigler Najjar syndrome, type 1 is an inherited disorder in which bilirubin, a substance made by the liver, cannot be broken down. This condition occurs when the enzyme that normally converts bilirubin into a form that can easily be removed from the body does not work correctly. Without this enzyme, bilirubin can build up in the body and lead to jaundice and damage to the brain, muscles, and nerves. Crigler Najjar syndrome, type 1 is caused by genetic changes in the UGT1A1 gene. The condition is inherited in an autosomal recessive manner. "
GARD:0000048,Cytochrome c oxidase deficiency,"[5966,5967]","DiseaseName (COX deficiency) is a condition that can affect several parts of the body including the skeletal muscles, heart, brain, and liver. There are four types of COX deficiency differentiated by symptoms and age of onset: benign infantile mitochondrial type, French-Canadian type, infantile mitochondrial myopathy type, and Leigh syndrome. The range and severity of signs and symptoms can vary widely among affected individuals (even within the same subtype and same family) and depend on the form of the condition present. Features in mildly affected individuals may include muscle weakness and hypotonia; in more severely affected individuals, brain dysfunction; heart problems; an enlarged liver; lactic acidosis; and/or a specific group of features known as Leigh syndrome may also be present. COX deficiency is caused by genetic changes in any of at least 14 genes; the inheritance pattern depends on the gene involved.",GARD,"Cytochrome c oxidase deficiency (COX deficiency) is a condition that can affect several parts of the body including the skeletal muscles, heart, brain, and liver. There are four types of COX deficiency differentiated by symptoms and age of onset: benign infantile mitochondrial type, French-Canadian type, infantile mitochondrial myopathy type, and Leigh syndrome. The range and severity of signs and symptoms can vary widely among affected individuals (even within the same subtype and same family) and depend on the form of the condition present. Features in mildly affected individuals may include muscle weakness and hypotonia; in more severely affected individuals, brain dysfunction; heart problems; an enlarged liver; lactic acidosis; and/or a specific group of features known as Leigh syndrome may also be present. COX deficiency is caused by genetic changes in any of at least 14 genes; the inheritance pattern depends on the gene involved."
GARD:0000049,De Barsy syndrome,"[4599,12400,12401]","DiseaseName is a rare genetic disorder originally described in 1968 and classified as a form of cutis laxa. Cutis laxa is characterized by skin that is loose (lax), wrinkled, sagging, and lacking elasticity. The specific symptoms and the severity of DiseaseName can vary greatly. Features that may be seen include eye abnormalities, growth abnormalities, and a prematurely-aged appearance. Distinctive facial features, skeletal malformations, and neurological abnormalities may also occur.  Some cases of DiseaseName have been linked to genetic changes in either the PYCR1 or ALDH18A1 genes. DiseaseName is inherited in an autosomal recessive manner. ",GARD,"De Barsy syndrome is a rare genetic disorder originally described in 1968 and classified as a form of cutis laxa. Cutis laxa is characterized by skin that is loose (lax), wrinkled, sagging, and lacking elasticity. The specific symptoms and the severity of De Barsy syndrome can vary greatly. Features that may be seen include eye abnormalities, growth abnormalities, and a prematurely-aged appearance. Distinctive facial features, skeletal malformations, and neurological abnormalities may also occur.  Some cases of De Barsy syndrome have been linked to genetic changes in either the PYCR1 or ALDH18A1 genes. De Barsy syndrome is inherited in an autosomal recessive manner. "
GARD:0000060,Iridocorneal endothelial syndrome,"[2259,10119]","Iridocorneal endothelial (ICE) syndrome describes a group of eye diseases that are characterized by three main features: Visible changes in the iris (the colored part of the eye that regulates the amount of light entering the eye)       Swelling of the cornea, and       The development of glaucoma (a disease that can cause severe vision loss when normal fluid inside the eye cannot drain properly)   ICE syndrome, is more common in women than men and is usually present in only one eye. The condition is actually a grouping of three closely linked conditions: Cogan-Reese syndrome; Chandler's syndrome; and essential (progressive) iris atrophy. The cause of ICE syndrome is unknown, however there is a theory that it is triggered by a virus that leads to swelling of the cornea.",GARD,"Iridocorneal endothelial (ICE) syndrome describes a group of eye diseases that are characterized by three main features: Visible changes in the iris (the colored part of the eye that regulates the amount of light entering the eye)       Swelling of the cornea, and       The development of glaucoma (a disease that can cause severe vision loss when normal fluid inside the eye cannot drain properly)   ICE syndrome, is more common in women than men and is usually present in only one eye. The condition is actually a grouping of three closely linked conditions: Cogan-Reese syndrome; Chandler's syndrome; and essential (progressive) iris atrophy. The cause of ICE syndrome is unknown, however there is a theory that it is triggered by a virus that leads to swelling of the cornea."
GARD:0000061,Femoral facial syndrome,"[2348,2349,13416,13417]","DiseaseName (FFS) is a rare condition characterized by underdevelopment of the thigh bone (femoral hypoplasia) and characteristic facial features. Facial features may include upward-slanting eyes, short nose with a broad tip, long space between the nose and upper lip (philtrum), thin upper lip, small lower jaw (micrognathia), and cleft palate. Other features of FFS may include defects of the spinal bones (vertebrae), extra fingers or toes (polydactyly), ear defects, genitourinary abnormalities, underdeveloped lungs, abnormal kidney development, and patent ductus arteriosus. Intellectual development typically is normal. The cause of FFS typically is not known, although genetic factors are thought to play a role. One case has been associated with a chromosome abnormality. Some cases have been reported in association with diabetes in the mother during pregnancy. Familial cases have rarely been described.",GARD,"Femoral facial syndrome (FFS) is a rare condition characterized by underdevelopment of the thigh bone (femoral hypoplasia) and characteristic facial features. Facial features may include upward-slanting eyes, short nose with a broad tip, long space between the nose and upper lip (philtrum), thin upper lip, small lower jaw (micrognathia), and cleft palate. Other features of FFS may include defects of the spinal bones (vertebrae), extra fingers or toes (polydactyly), ear defects, genitourinary abnormalities, underdeveloped lungs, abnormal kidney development, and patent ductus arteriosus. Intellectual development typically is normal. The cause of FFS typically is not known, although genetic factors are thought to play a role. One case has been associated with a chromosome abnormality. Some cases have been reported in association with diabetes in the mother during pregnancy. Familial cases have rarely been described."
GARD:0000062,Filippi syndrome,"[15908,15909,15910]","DiseaseName is present at birth and impacts the development of the head, face, and limbs. Signs and symptoms include a small head (microcephaly), webbing of the fingers and toes (syndactyly), intellectual disability, growth delay, and distinctive facial features (high and broad nasal bridge, thin nostrils, small chin or micrognathia, and a high frontal hairline). Other features may can include vision problems, extra fingers and toes, and seizures. Because DiseaseName is very rare, it is not known how this condition changes over time. DiseaseName is caused by a genetic variant in the CKAP2L gene and is inherited in an autosomal recessive pattern. Diagnosis is based on the symptoms, clinical exam, and may be confirmed by the results of genetic testing.",GARD,"Filippi syndrome is present at birth and impacts the development of the head, face, and limbs. Signs and symptoms include a small head (microcephaly), webbing of the fingers and toes (syndactyly), intellectual disability, growth delay, and distinctive facial features (high and broad nasal bridge, thin nostrils, small chin or micrognathia, and a high frontal hairline). Other features may can include vision problems, extra fingers and toes, and seizures. Because Filippi syndrome is very rare, it is not known how this condition changes over time. Filippi syndrome is caused by a genetic variant in the CKAP2L gene and is inherited in an autosomal recessive pattern. Diagnosis is based on the symptoms, clinical exam, and may be confirmed by the results of genetic testing."
