gard_id,gard_name,disease_name,found_by,all_synonyms,
GARD:0000073,Immunodeficiency with hyper IgM type 1,immunodeficiency with hyper igm type 1,exact_match,"[X-linked hyper IgM syndrome,Hyper IgM immunodeficiency, x-linked,Hyper IgM syndrome,Hyper IgM syndrome 1,XHIM,HIGM,IHIS,HIGM1]",
GARD:0000076,Hypohidrotic ectodermal dysplasia,hypohidrotic ectodermal dysplasia,exact_match,"[HED,Ectodermal dysplasia, hypohidrotic,Anhidrotic ectodermal dysplasia,Ectodermal dysplasia anhidrotic,EDA]",
GARD:0000079,Jansen type metaphyseal chondrodysplasia,jansen type metaphyseal chondrodysplasia,exact_match,"[Metaphyseal chondrodysplasia Murk Jansen type,Murk Jansen type metaphyseal chondrodysplasia]",
GARD:0000094,Mucolipidosis type 4,mucolipidosis type 4,exact_match,"[ML 4,Berman syndrome,Ganglioside neuraminidase deficiency,Ganglioside sialidase deficiency,Mucolipidosis type IV]",
GARD:0000101,Centronuclear myopathy,centronuclear myopathy,exact_match,null,
GARD:0000105,Oculocerebral syndrome with hypopigmentation,oculocerebral syndrome with hypopigmentation,exact_match,"[Cross syndrome,Kramer syndrome,Oculocerebral hypopigmentation syndrome,Hypopigmentation oculocerebral syndrome Cross type]",
GARD:0000108,Adult polyglucosan body disease,adult polyglucosan body disease,exact_match,"[APBD,Polyglucosan body disease, adult form,Polyglucosan body neuropathy, adult form,APBN]",
GARD:0000111,Recurrent respiratory papillomatosis,recurrent respiratory papillomatosis,exact_match,"[RRP,Juvenile laryngeal papilloma,Laryngeal papilloma, recurrent,Juvenile-onset recurrent respiratory papillomatosis (type),JORRP (type),Adult-onset recurrent respiratory papillomatosis (type),AORRP (type),Respiratory papillomatosis, recurrent]",
GARD:0000112,"Respiratory distress syndrome, infant","respiratory distress syndrome, infant",exact_match,"[Hyaline membrane disease,Infantile respiratory distress syndrome,IRDS,NRDS,Neonatal respiratory distress syndrome,RDS - infants]",
GARD:0000122,Singleton-Merten syndrome,singleton-merten syndrome,exact_match,"[Merten-Singleton syndrome,SM syndrome,Widened medullary cavities of bone, aortic calcification, abnormal dentition, and muscular weakness,Syndrome of widened medullary cavities of the metacarpals and phalanges, aortic calcification and abnormal dentition,Singleton-Merten dysplasia]",
GARD:0000132,Primary cutaneous amyloidosis,primary cutaneous amyloidosis,exact_match,"[Primary localized cutaneous amyloidosis,PLCA,Lichen amyloidosis familial,Amyloidosis familial cutaneous lichen,Amyloidosis 9,Amyloidosis IX]",
GARD:0000139,"Atrial myxoma, familial","atrial myxoma, familial",exact_match,[Intracardiac myxoma],
GARD:0000156,Muscle eye brain disease,muscle eye brain disease,exact_match,"[MEB,Muscle-eye-brain disease,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A3]",
GARD:0000180,MYH9 related thrombocytopenia,myh9 related thrombocytopenia,exact_match,"[MYH9 related disorders,Sebastian syndrome (subtype),May-Hegglin anomaly (subtype),Fechtner syndrome (subtype),Epstein syndrome (subtype),Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,MYH9-RD,MYH9-related disease,MYH9-related disorder,MYH9-related syndrome,MYH9-related syndromic thrombocytopenia]",
GARD:0000181,Stargardt disease,stargardt disease,exact_match,"[Stargardt macular dystrophy,Juvenile onset macular degeneration]",
GARD:0000182,Best vitelliform macular dystrophy,best vitelliform macular dystrophy,exact_match,"[Best disease,Best macular dystrophy,Macular degeneration, polymorphic vitelline,Vitelliform macular dystrophy type 2,VMD2,BVMD,Early-onset vitelliform macular dystrophy,Juvenile-onset vitelliform macular dystrophy,Polymorphic vitelline macular degeneration]",
GARD:0000183,Bubonic plague,bubonic plague,exact_match,null,
GARD:0000185,Y chromosome infertility,y chromosome infertility,exact_match,"[Male sterility due to Y-chromosome deletions,DAZ,Deleted in azoospermia,Y chromosome microdeletions]",
GARD:0000195,Hyperkalemic periodic paralysis,hyperkalemic periodic paralysis,exact_match,"[HYPP,Gamstorp disease,Gamstorp episodic adynamy,Adynamia episodica hereditaria with or without myotonia,Sodium channel muscle disease]",
GARD:0000198,Spinal muscular atrophy type 3,spinal muscular atrophy type 3,exact_match,"[SMA3,Muscular atrophy, juvenile,SMA 3,Kugelberg-Welander syndrome,KWS,Spinal muscular atrophy, mild childhood and adolescent form]",
GARD:0000200,Central serous chorioretinopathy,central serous chorioretinopathy,exact_match,"[Central serous chorioretinopathy after bone marrow transplantation,Central serous choroidopathy]",
GARD:0000206,Nephronophthisis,nephronophthisis,exact_match,null,
GARD:0000207,Alveolar echinococcosis,alveolar echinococcosis,exact_match,[Echinococcosis],
GARD:0000220,Peripartum cardiomyopathy,peripartum cardiomyopathy,exact_match,"[Postpartum cardiomyopathy,Meadows' syndrome]",
GARD:0000221,Dilated cardiomyopathy,dilated cardiomyopathy,exact_match,"[DCM,Idiopathic dilated cardiomyopathy]",
GARD:0000223,Acoustic neuroma,acoustic neuroma,exact_match,"[Acoustic neurilemoma,Acoustic neurinoma,Cerebellopontine angle tumor,Vestibular schwannoma,Neurinoma of the acoustic nerve,Acoustic tumor]",
GARD:0000231,Leukoencephalopathy with vanishing white matter,leukoencephalopathy with vanishing white matter,exact_match,"[Childhood ataxia with diffuse central nervous system hypomyelination,CACH syndrome,CACH/VWM syndrome,Myelinosis centralis diffusa,Cree leukoencehalopathy,Childhood ataxia with central nervous system hypomyelination/vanishing white matter,CACH/VWM,Vanishing white matter leukodystrophy,Vanishing white matter disease]",
GARD:0000264,Lowry Wood syndrome,lowry wood syndrome,exact_match,"[Epiphyseal dysplasia, microcephaly and nystagmus,LWS]",
GARD:0000270,Nicolaides-Baraitser syndrome,nicolaides-baraitser syndrome,exact_match,"[Sparse hair and mental retardation,NCBRS]",
GARD:0000301,Generalized resistance to thyroid hormone,generalized resistance to thyroid hormone,exact_match,"[GRTH,Thyroid hormone receptor BETA,THRB,Refetoff syndrome]",
GARD:0000307,Jacobsen syndrome,jacobsen syndrome,exact_match,"[JBS,Chromosome 11q deletion syndrome,Partial 11q monosomy syndrome]",
GARD:0000319,Sacrococcygeal Teratoma,sacrococcygeal teratoma,exact_match,null,
GARD:0000322,Senior Loken Syndrome,senior loken syndrome,exact_match,"[Senior-Loken Syndrome,Renal dysplasia retinal aplasia,Renal-retinal syndrome,Juvenile nephronophthisis with Leber amaurosis,Loken-Senior syndrome]",
GARD:0000325,Twin to twin transfusion syndrome,twin to twin transfusion syndrome,exact_match,"[TTTS,Twin-to-twin transfusion syndrome,Fetofetal transfusion syndrome,Fetal transfusion syndrome]",
GARD:0000329,Wells syndrome,wells syndrome,exact_match,"[Eosinophilic cellulitis,Bullous cellulitis with eosinophilia,Wells' syndrome]",
GARD:0000346,Hoyeraal Hreidarsson syndrome,hoyeraal hreidarsson syndrome,exact_match,"[Cerebellar hypoplasia with pancytopenia,Growth retardation prenatal with progressive pancytopenia and cerebellar hypoplasia,Hoyeraal-Hreidarsson syndrome,Progressive pancytopenia-immunodeficiency-cerebellar hypoplasia syndrome]",
GARD:0000348,Testicular yolk sac tumor,testicular yolk sac tumor,exact_match,"[Endodermal-sinus tumor,Orchidoblastoma]",
GARD:0000359,Cranioectodermal dysplasia,cranioectodermal dysplasia,exact_match,"[Levin syndrome 1,Sensenbrenner syndrome]",
GARD:0000364,Arrhinia,arrhinia,exact_match,"[Congenital absence of the nose,Nose agenesia]",
GARD:0000368,Laryngoonychocutaneous syndrome,laryngoonychocutaneous syndrome,exact_match,"[LOCS,Logic syndrome,Laryngo-onycho-cutaneous syndrome]",
GARD:0000372,Neurofibromatosis-Noonan syndrome,neurofibromatosis-noonan syndrome,exact_match,"[NFNS,Noonan neurofibromatosis syndrome,Neurofibromatosis with Noonan phenotype]",
GARD:0000373,Quinquaud folliculitis decalvans,quinquaud folliculitis decalvans,exact_match,"[Quinquaudâs disease,Folliculitis decalvans]",
GARD:0000383,Osteopetrosis autosomal dominant type 2,osteopetrosis autosomal dominant type 2,exact_match,"[OPTA2,Autosomal dominant osteopetrosis type 2,Albers-SchÃ¶nberg osteopetrosis]",
GARD:0000384,ADULT syndrome,adult syndrome,exact_match,"[Acro-dermato-ungual-lacrimal-tooth syndrome,Acro dermato ungual lacrimal tooth syndrome]",
GARD:0000396,Tularemia,tularemia,exact_match,"[Francisella tularensis infection,Deerfly fever,Rabbit fever,Pahvant Valley plague,Ohara disease,Yatobyo (Japan),Lemming fever]",
GARD:0000420,Turcot syndrome,turcot syndrome,exact_match,"[Malignant tumors of the central nervous system associated with familial polyposis of the colon,CNS tumors with Familial polyposis of the colon,Mismatch Repair Cancer Syndrome,MMRCS,Mismatch Repair Deficiency,MMR Deficiency,Brain tumor-polyposis syndrome,Glioma-polyposis syndrome]",
GARD:0000425,Tufted angioma,tufted angioma,exact_match,[Angioma tufted],
GARD:0000429,Amniotic band syndrome,amniotic band syndrome,exact_match,"[Amniotic bands sequence,Familial amniotic bands,Streeter anomaly,Congenital constricting bands]",
GARD:0000431,Microtia-Anotia,microtia-anotia,exact_match,[M-A],
GARD:0000433,Apparent mineralocorticoid excess,apparent mineralocorticoid excess,exact_match,"[Cortisol 11-beta-ketoreductase deficiency,AME 1,AME]",
GARD:0000436,Adult-onset Still's disease,adult-onset still's disease,exact_match,"[Adult Still's disease,Still's disease adult onset]",
GARD:0000438,"Limb-girdle muscular dystrophy, type 2D","limb-girdle muscular dystrophy, type 2d",exact_match,"[LGMD2D,Muscular dystrophy limb-girdle with alpha-sarcoglycan,Alpha-sarcoglycanopathy,Duchenne-like autosomal recessive muscular dystrophy, type 2,DMDA2]",
GARD:0000457,Triple A syndrome,triple a syndrome,exact_match,"[Achalasia Addisonianism Alacrimia syndrome,AAA syndrome,AAA,Alacrima-achalasia-adrenal insufficiency neurologic disorder,Addisonian achalasia syndrome,Achalasia alacrima syndrome,Allgrove syndrome]",
GARD:0000467,Propionic acidemia,propionic acidemia,exact_match,"[Propionyl-CoA carboxylase deficiency,PCC deficiency,Glycinemia, ketotic,Hyperglycinemia with ketoacidosis and leukopenia,Ketotic hyperglycinemia,Ketotic glycinemia,PROP,Propionicacidemia]",
GARD:0000518,Acute articular rheumatism,acute articular rheumatism,exact_match,[Acute rheumatism],
GARD:0000522,Acute lymphoblastic leukemia,acute lymphoblastic leukemia,exact_match,"[ALL,Acute lymphocytic leukemia]",
GARD:0000524,Acute megakaryoblastic leukemia,acute megakaryoblastic leukemia,exact_match,"[Acute myeloblastic leukemia type 7,Acute megakaryocytic leukemia,Acute myeloid leukemia M7,AMKL,AML M7]",
GARD:0000525,Acute monoblastic leukemia,acute monoblastic leukemia,exact_match,"[Acute myeloblastic leukemia type 5,Acute monocytic leukemia,AML-M5,AML M5]",
GARD:0000526,Acute myeloblastic leukemia without maturation,acute myeloblastic leukemia without maturation,exact_match,"[Acute myeloblastic leukemia type 1,Acute myeloblastic leukemia M1,AML M1]",
GARD:0000527,Acute myeloblastic leukemia with maturation,acute myeloblastic leukemia with maturation,exact_match,"[Acute myeloblastic leukemia type 2,Acute myeloblastic leukemia M2,AML M2,LAM M2]",
GARD:0000529,Acute myelomonocytic leukemia,acute myelomonocytic leukemia,exact_match,"[AML-M4,Acute myeloblastic leukemia type 4,AML M4,AMMoL]",
GARD:0000537,Acute non lymphoblastic leukemia,acute non lymphoblastic leukemia,exact_match,null,
GARD:0000538,Acute promyelocytic leukemia,acute promyelocytic leukemia,exact_match,"[Acute myeloblastic leukemia type 3,Acute myeloid leukemia with t(15;17)(q22;q12);(PML/RARalpha) and variants,AML M3,AML with t(15;17)(q22;q12);(PML/RARalpha) and variants,Acute myeloblastic leukemia 3,APML]",
GARD:0000540,Medium-chain acyl-coenzyme A dehydrogenase deficiency,medium-chain acyl-coenzyme a dehydrogenase deficiency,exact_match,"[MCAD deficiency,Acyl-CoA dehydrogenase medium chain deficiency of,MCADH deficiency,ACADM deficiency,MCADD,Medium chain acyl CoA dehydrogenase deficiency,Medium-chain acyl-CoA dehydrogenase deficiency]",
GARD:0000546,Adenine phosphoribosyltransferase deficiency,adenine phosphoribosyltransferase deficiency,exact_match,"[2,8-dihydroxyadenine urolithiasis,APRT deficiency]",
GARD:0000550,Adenylosuccinase deficiency,adenylosuccinase deficiency,exact_match,"[Adenylosuccinate lyase deficiency,ADSL deficiency]",
GARD:0000555,X-linked adrenal hypoplasia congenita,x-linked adrenal hypoplasia congenita,exact_match,"[X-linked congenital adrenal hypoplasia,X-linked AHC,Adrenal hypoplasia congenita,Congenital adrenal hypoplasia]",
GARD:0000558,Adrenocortical carcinoma,adrenocortical carcinoma,exact_match,[ACC],
GARD:0000559,Neonatal adrenoleukodystrophy,neonatal adrenoleukodystrophy,exact_match,"[Adrenoleukodystrophy autosomal neonatal form,NALD]",
GARD:0000564,Spinal muscular atrophy type 4,spinal muscular atrophy type 4,exact_match,"[Spinal muscular atrophy, adult form,SMA 4,Spinal muscular atrophy 4,Spinal muscular atrophy, proximal, adult, autosomal recessive,Adult-onset spinal muscular atrophy,Proximal spinal muscular atrophy type 4,SMA type 4,SMA type IV,SMA-IV,SMA4]",
GARD:0000575,Aicardi-Goutieres syndrome,aicardi-goutieres syndrome,exact_match,"[AGS,Aicardi Goutieres syndrome,Encephalopathy, familial infantile, with calcification of basal ganglia and chronic cerebrospinal fluid lymphocytosis,Pseudotoxoplasmosis syndrome,Encephalopathy with intracranial calcification and chronic lymphocytosis of cerebrospinal fluid,CREE ENCEPHALITIS,Encephalopathy with basal ganglia calcification]",
GARD:0000602,Allergic bronchopulmonary aspergillosis,allergic bronchopulmonary aspergillosis,exact_match,"[ABPA,Allergic bronchopulmonary mycosis,Aspergillosis, allergic bronchopulmonary,Hinson-Pepys disease]",
GARD:0000613,Alopecia totalis,alopecia totalis,exact_match,[Loss of all scalp hair],
GARD:0000614,Alopecia universalis,alopecia universalis,exact_match,"[Alopecia areata universalis,AU]",
GARD:0000621,Alpha-thalassemia,alpha-thalassemia,exact_match,"[A-Thalassemia,Alpha thalassemia]",
GARD:0000632,Familial Alzheimer disease,familial alzheimer disease,exact_match,"[Familial Alzheimer disease,FAD]",
GARD:0000634,Leber congenital amaurosis,leber congenital amaurosis,exact_match,"[LCA,Congenital absence of the rods and cones,Congenital retinal blindness,Leber's amaurosis,Leber's congenital tapetoretinal degeneration,Leber's congenital tapetoretinal dysplasia,Amaurosis congenita of Leber]",
GARD:0000636,Leber congenital amaurosis 2,leber congenital amaurosis 2,exact_match,"[LCA2,Amaurosis congenita of Leber, type 2,Leber congenital amaurosis type 2]",
GARD:0000640,Congenital amegakaryocytic thrombocytopenia,congenital amegakaryocytic thrombocytopenia,exact_match,"[Thrombocytopenia congenital amegakaryocytic,CAMT]",
GARD:0000652,Amebiasis,amebiasis,exact_match,"[Amoebic dysentery due to Entamoeba histolytica,Amoebiasis due to Entamoeba histolytica,Amebic dysentery,Intestinal amebiasis]",
GARD:0000656,Familial transthyretin amyloidosis,familial transthyretin amyloidosis,exact_match,"[Amyloidosis, hereditary, transthyretin-related,Transthyretin amyloidosis,Familial amyloid polyneuropathy,Amyloidosis Transthyretin related,Transthyretin amyloid neuropathy,TTR amyloid neuropathy,Transthyretin amyloid polyneuropathy,Hereditary ATTR amyloidosis]",
GARD:0000664,Anaplastic thyroid cancer,anaplastic thyroid cancer,exact_match,"[Thyroid cancer, anaplastic,Thyroid carcinoma, anaplastic,Anaplastic thyroid carcinoma]",
GARD:0000683,Angiostrongyliasis,angiostrongyliasis,exact_match,null,
GARD:0000689,Aniridia - ptosis - intellectual disability - familial obesity,aniridia - ptosis - intellectual disability - familial obesity,exact_match,[Aniridia-ptosis-intellectual disability-familial obesity syndrome],
GARD:0000693,Anisakiasis,anisakiasis,exact_match,"[Anisakis infection,Pseudoterranova infection]",
GARD:0000701,Ankylosis of teeth,ankylosis of teeth,exact_match,"[Molar I reinclusion,Dental ankylosis,Secondary retention of permanent molars,Abnormal fusion of dental cementum with alveolar bone]",
GARD:0000735,Antisynthetase syndrome,antisynthetase syndrome,exact_match,"[Anti-Jo1 syndrome,AS syndrome]",
GARD:0000740,Aortic arch interruption,aortic arch interruption,exact_match,null,
GARD:0000743,Supravalvular aortic stenosis,supravalvular aortic stenosis,exact_match,"[SVAS,Supravalvar aortic stenosis, Eisenberg type,Aortic supravalvular stenosis]",
GARD:0000745,Aortopulmonary window,aortopulmonary window,exact_match,"[Aortic-pulmonary window,Aortopulmonary septal defect,Aorto-pulmonary window]",
GARD:0000770,Aromatic L-amino acid decarboxylase deficiency,aromatic l-amino acid decarboxylase deficiency,exact_match,"[Aromatic amino acid decarboxylase deficiency,AADC deficiency,DDC deficiency,Dopa decarboxylase deficiency]",
GARD:0000774,Arterial tortuosity syndrome,arterial tortuosity syndrome,exact_match,"[Arterial tortuosity,ATS]",
GARD:0000777,Arthrogryposis multiplex congenita,arthrogryposis multiplex congenita,exact_match,"[Arthrogryposis,Congenital multiple arthrogryposis,Fibrous ankylosis of multiple joints,Congenital arthromyodysplasia,Myodystrophia fetalis deformans,GuÃ©rin-Stern syndrome,Otto syndrome,Rocher-Sheldon syndrome,Rossi syndrome,Guerin-Stern syndrome]",
GARD:0000786,Distal arthrogryposis,distal arthrogryposis,exact_match,[Arthrogryposis multiplex congenita distal],
GARD:0000787,Distal arthrogryposis type 1,distal arthrogryposis type 1,exact_match,"[AMCD1,Digitotalar dysmorphism,Arthrogryposis multiplex congenita distal type 1,Distal arthrogryposis type 1B (sub-type),Distal arthrogryposis type 1A (sub-type),DA1A]",
GARD:0000802,Atrioventricular septal defect,atrioventricular septal defect,exact_match,null,
GARD:0000804,Alagille syndrome,alagille syndrome,exact_match,"[Hepatic ductular hypoplasia,Watson Alagille syndrome,Alagille-Watson syndrome,Cholestasis with peripheral pulmonary stenosis,Arteriohepatic dysplasia,Paucity of interlobular bile ducts,Cardiovertebral syndrome,Watson-Miller syndrome,Hepatofacioneurocardiovertebral syndrome]",
GARD:0000820,Bardet-Biedl syndrome 1,bardet-biedl syndrome 1,exact_match,"[BBS1,Bardet-Biedl syndrome,BBS]",
GARD:0000821,Bardet-Biedl syndrome 2,bardet-biedl syndrome 2,exact_match,"[BBS2,Bardet-Biedl syndrome,BBS]",
GARD:0000824,Bare lymphocyte syndrome 2,bare lymphocyte syndrome 2,exact_match,"[Bare lymphocyte syndrome type 2,BLS 2,Severe combined immunodeficiency, HLA class ii-negative,SCID, HLA Class 2-Negative]",
GARD:0000842,Ankylosing vertebral hyperostosis with tylosis,ankylosing vertebral hyperostosis with tylosis,exact_match,[Familial ankylosing vertebral hyperostosis with tylosis],
GARD:0000855,Benign autosomal dominant myopathy,benign autosomal dominant myopathy,exact_match,null,
GARD:0000863,IgA nephropathy,iga nephropathy,exact_match,"[Nephritis, IGA type,IGAN,Glomerulonephritis, IGA,Berger's disease,Berger disease]",
GARD:0000867,Beryllium disease,beryllium disease,exact_match,"[Subacute Berylliosis,Reversible Berylliosis,Acute Berylliosis,Chronic pulmonary Berylliosis,Beryllliosis]",
GARD:0000869,"Mannosidosis, beta A, lysosomal","mannosidosis, beta a, lysosomal",exact_match,"[Beta-mannosidosis,Lysosomal beta-mannosidase deficiency,Beta-mannosidase deficiency]",
GARD:0000871,Beta-thalassemia,beta-thalassemia,exact_match,"[Beta thalassemia major,Cooley's anemia,Beta thalassemia intermedia,Beta thalassemia minor,Erythroblastic anemia,Mediterranean anemia,Thalassemia, Hispanic gamma-delta-beta,Thalassemias, beta-]",
GARD:0000873,Bethlem myopathy,bethlem myopathy,exact_match,"[Myopathy, benign congenital, with contractures,Muscular dystrophy, benign congenital]",
GARD:0000888,Biliary atresia intrahepatic syndromic form,biliary atresia intrahepatic syndromic form,exact_match,null,
GARD:0000894,Biotinidase deficiency,biotinidase deficiency,exact_match,"[Biotin deficiency,BTD deficiency,Late-onset biotin-responsive multiple carboxylase deficiency,Late-onset multiple carboxylase deficiency]",
GARD:0000915,Bloom syndrome,bloom syndrome,exact_match,"[BS,Bloom-Torre-Machacek syndrome,BLM,Growth deficiency, sun-sensitive, telangiectatic, hypo and hyperpigmented skin, predisposition to malignancy and chromosomal instability,BLS,Congenital Telangiectatic Erythema]",
GARD:0000916,Blount disease,blount disease,exact_match,"[Tibia vara,Osteochondrosis deformans tibiae,Blount's disease,Blount-Barber syndrome,Erlacher-Blount syndrome,Osteochondrosis deformans tibiae, familial infantile type]",
GARD:0000943,Botulism,botulism,exact_match,"[Foodborne botulism (subtype),Infant botulism (subtype),Wound botulism (subtype)]",
GARD:0000971,Biemond syndrome,biemond syndrome,exact_match,"[Brachydactyly, nystagmus and cerebellar ataxia,Brachydactyly - nystagmus - cerebellar ataxia,Brachydactyly-nystagmus-cerebellar ataxia syndrome]",
GARD:0001017,Osteogenesis imperfecta,osteogenesis imperfecta,exact_match,"[OI,Brittle bone disease,Vrolik disease,Fragilitas ossium,Lobstein disease,Osteopsathyrosis,Porak and Durante disease]",
GARD:0001019,Brittle cornea syndrome,brittle cornea syndrome,exact_match,"[EDS VIB (formerly),Ehlers-Danlos syndrome type 6B (formerly),Fragilitas oculi with joint hyperextensibility,Corneal fragility, keratoglobus, blue sclerae, joint hyperextensibility,Dysgenesis mesodermalis corneae et sclerae]",
GARD:0001030,Brugada syndrome,brugada syndrome,exact_match,"[Right bundle branch block, ST segment elevation, and sudden death syndrome,Sudden unexpected nocturnal death syndrome]",
GARD:0001033,X-linked agammaglobulinemia,x-linked agammaglobulinemia,exact_match,"[Bruton type agammaglobulinemia,Bruton's agammaglobulinemia,XLA,Agammaglobulinemia, BTK,Agammaglobulinemia, Bruton tyrosine kinase,BTK-deficiency]",
GARD:0001039,Epidermolytic ichthyosis,epidermolytic ichthyosis,exact_match,"[EHK,Congenital bullous ichthyosiform erythroderma,Bullous congenital ichthyosiform erythroderma,BCIE,Bullous ichthyosiform erythroderma congenita,Bullous ichthyosiform erythroderma,Bullous erythroderma ichthyosiformis congenita of Brocq,epidermolytic hyperkeratosis]",
GARD:0001049,CADASIL,cadasil,exact_match,"[Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy,Dementia, hereditary multi-infarct type,Familial vascular leukoencephalopathy,Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy,CASIL]",
GARD:0001053,Limited cutaneous systemic sclerosis,limited cutaneous systemic sclerosis,exact_match,"[Limited cutaneous systemic scleroderma,CREST syndrome]",
GARD:0001057,Limb-girdle muscular dystrophy type 2A,limb-girdle muscular dystrophy type 2a,exact_match,"[LGMD2A,Calpainopathy,Limb-girdle muscular dystrophy type 2,LGMD2,Muscular dystrophy, pelvofemoral,Leyden-Moebius muscular dystrophy]",
GARD:0001072,Camurati-Engelmann disease,camurati-engelmann disease,exact_match,"[CED,Diaphyseal dysplasia 1, progressive,DPD1,Engelmann disease,Progressive diaphyseal dysplasia,PDD]",
GARD:0001076,Systemic candidiasis,systemic candidiasis,exact_match,"[Systemic candida infections,Invasive Candidiasis]",
GARD:0001084,Systemic capillary leak syndrome,systemic capillary leak syndrome,exact_match,"[SCLS,Clarkson disease,Capillary leak syndrome,Capillary leak syndrome with monoclonal gammopathy,Periodic systemic capillary leak syndrome]",
GARD:0001100,LEOPARD syndrome,leopard syndrome,exact_match,"[Lentigines, Electrocardiographic conduction abnormalities, Ocular hypertelorism, Pulmonic stenosis, Abnormal genitalia, Retardation of growth, Deafnes,Multiple lentigines syndrome,Cardiomyopathic lentiginosis,Noonan syndrome with multiple lentigines]",
GARD:0001107,Cardiomyopathy due to anthracyclines,cardiomyopathy due to anthracyclines,exact_match,null,
GARD:0001119,Carney complex,carney complex,exact_match,"[Carney syndrome,CNC1,Carney myxoma-endocrine complex,CAR,Myxoma, spotty pigmentation, and endocrine overactivity,NAME syndrome,LAMB syndrome,Myxoma - spotty pigmentation - endocrine overactivity,Myxoma-spotty pigmentation-endocrine overactivity syndrome]",
GARD:0001121,Carnitine palmitoyltransferase 2 deficiency,carnitine palmitoyltransferase 2 deficiency,exact_match,"[Carnitine palmitoyltransferase deficiency type 2,CPT2,Carnitine palmitoyltransferase II (CPT II) deficiency]",
GARD:0001130,Chronic eosinophilic pneumonia,chronic eosinophilic pneumonia,exact_match,"[Eosinophilic idiopathic chronic pneumopathy,Chronic idiopathic eosinophilic pneumonia,Carrington's pulmonary eosinophilia,Carrington's Disease,Carrington syndrome,Idiopathic eosinophilic chronic pneumopathy,Idiopathic chronic eosinophilic pneumonia]",
GARD:0001189,Cerebellar ataxia ectodermal dysplasia,cerebellar ataxia ectodermal dysplasia,exact_match,"[Ectodermal dysplasia and cerebellar ataxia,Cerebellar ataxia - ectodermal dysplasia,Cerebellar ataxia-ectodermal dysplasia syndrome]",
GARD:0001194,Cerebellar hypoplasia,cerebellar hypoplasia,exact_match,null,
