org_name,num_clinical,num_papers,num_patent,total_cost1,Totla_pub,per_$
WM S MIDDLETON MEMORIAL VETERANS HOSP,0,0,0,0,0,0
TRANSMOLECULAR INC,0,0,0,0,0,0
CANCER TREATMENT,0,0,0,0,0,0
CANCER BIOLOGY AND DIAGNOSIS,0,0,0,0,0,0
US NATIONAL INST ALLERGY  INFECT DIS,0,0,0,0,0,0
RESEARCH RESOURCES,0,0,0,0,0,0
MORRIS BROWN COLLEGE,0,0,0,0,0,0
HARRY S TRUMAN MEMORIAL VA HOSPITAL,0,0,0,0,0,0
WHITE RIVER JUNCTION VA MEDICAL CENTER,0,0,0,0,0,0
BIOLOGICS STANDARDS,0,0,0,0,0,0
HEALTH PLANNING RESOURCES DEVELOPMENT,0,0,0,0,0,0
KANSAS CITY VA MEDICAL CENTER,0,0,0,0,0,0
G V SONNY MONTGOMERY VA MEDCIAL CENTER,0,0,0,0,0,0
ARTHRITIS DIABETES DIGESTIVE KID DIS,0,0,0,0,0,0
KESTREL CORPORATION,0,0,0,0,0,0
VA WESTERN NEW YORK HEALTHCARE SYSTEM,0,0,0,0,0,0
COMPUTER RESEARCH AND TECHNOLOGY,0,0,0,0,0,0
CANCER PREVENTION AND CONTROL,0,0,0,0,0,0
UNIVERSITY OF PR CAYEY UNIVERSITY COLL,0,0,0,0,0,0
DC DEPARTMENT OF HEALTH,0,0,0,0,0,0
DETROIT DEPT HEALTH  WELLNES PROMOTION,0,0,0,0,0,0
CHICAGO DEPARTMENT OF PUBLIC HEALTH,0,0,0,0,0,0
HRA PHARMA,0,0,0,0,0,0
GREAT LAKES HEMOPHILIA FOUNDATION,0,0,0,0,0,0
CENTER BIOLOGICS EVAL RES HEMATOLOGY,0,0,0,0,0,0
HASKINS LABORATORIES INC,0,0,0,0,0,0
OFFICE OF THE DIRECTOR NIH,0,0,0,0,0,0
RESEARCH SERVICES,0,0,0,0,0,0
EXSAR CORPORATION,0,0,0,0,0,0
ENOBIA PHARMA INC,0,0,0,0,0,0
LONG ISLAND COLLEGE HOSP BROOKLYN,0,2,0,1,2,0.181818182
IMMUNEX CORPORATION,0,0,0,5,0,0
JOHNS HOPKINS UNIVERSITY,210,20831,377,2046120072,21418,1.04676E-05
STANFORD UNIVERSITY,125,10453,291,1277526197,10869,8.50785E-06
UNIVERSITY OF PENNSYLVANIA,40,13924,252,1657813328,14216,8.57515E-06
MASSACHUSETTS GENERAL HOSPITAL,34,10658,220,1884257548,10912,5.79114E-06
UNIVERSITY OF CALIFORNIA SAN DIEGO,11,9502,218,443700421,9731,2.19315E-05
UNIVERSITY OF CALIFORNIA LOS ANGELES,358,13744,211,1325406886,14313,1.07989E-05
UNIVERSITY OF MICHIGAN AT ANN ARBOR,75,13133,198,1167012481,13406,1.14875E-05
DANAFARBER CANCER INST,77,5050,195,729007654,5322,7.30033E-06
DANAFARBER CANCER INSTITUTE,13,4386,183,264088531,4582,1.73502E-05
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,31,12386,179,477123869,12596,2.63999E-05
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,85,10837,170,1368081559,11092,8.1077E-06
UNIVERSITY OF WASHINGTON,30,13090,160,1510828150,13280,8.78988E-06
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2,2200,147,225113733,2349,1.04347E-05
WASHINGTON UNIVERSITY,38,11384,139,1357688118,11561,8.51521E-06
COLUMBIA UNIVERSITY HEALTH SCIENCES,52,9276,135,1320769854,9463,7.16476E-06
BRIGHAM AND WOMENS HOSPITAL,25,10229,124,1199179899,10378,8.65425E-06
ST JUDE CHILDRENS RESEARCH HOSPITAL,45,9183,117,885018756,9345,1.05591E-05
UNIVERSITY OF MINNESOTA,33,5090,113,653870625,5236,8.0077E-06
UNIVERSITY OF MICHIGAN,26,7543,111,386841247,7680,1.98531E-05
CASE WESTERN RESERVE UNIVERSITY,262,8863,106,923867677,9231,9.99169E-06
EMORY UNIVERSITY,140,10327,99,1232264430,10566,8.57446E-06
OHIO STATE UNIVERSITY,123,8633,98,703491057,8854,1.25858E-05
UNIVERSITY OF CHICAGO,1,5386,93,490799998,5480,1.11654E-05
UNIVERSITY OF WISCONSINMADISON,9,6030,92,466251343,6131,1.31496E-05
UNIVERSITY OF MARYLAND BALTIMORE,7,4263,92,737247376,4362,5.9166E-06
UNIVERSITY OF IOWA,42,9771,91,870769804,9904,1.13738E-05
VANDERBILT UNIVERSITY,28,7743,89,581623246,7860,1.35139E-05
SLOANKETTERING INSTITUTE FOR CANCER RES,4,2953,88,191266118,3045,1.59202E-05
UNIVERSITY OF CALIFORNIA SAN DIEGO,5,5482,85,481441903,5572,1.15736E-05
YALE UNIVERSITY,89,8172,84,954469249,8345,8.74308E-06
UNIVERSITY OF WISCONSIN MADISON,4,5827,84,146136566,5915,4.04758E-05
HARVARD MEDICAL SCHOOL,4,2903,83,562533141,2990,5.31524E-06
FRED HUTCHINSON CANCER RESEARCH CENTER,382,6431,81,574808512,6894,1.19936E-05
SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,0,1894,81,169903144,1975,1.16243E-05
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,77,10580,80,2168603235,10737,4.95111E-06
DUKE UNIVERSITY,69,7500,80,1069094651,7649,7.15465E-06
HARVARD UNIVERSITY MEDICAL SCHOOL,1,3573,80,148838695,3654,2.45501E-05
THOMAS JEFFERSON UNIVERSITY,2,2657,78,437857157,2737,6.2509E-06
UNIVERSITY OF TX MD ANDERSON CAN CTR,790,22633,76,665293428,23499,3.53213E-05
SLOANKETTERING INST CAN RESEARCH,9,3445,76,584483750,3530,6.03952E-06
UNIVERSITY OF MINNESOTA TWIN CITIES,11,4295,74,242188530,4380,1.80851E-05
UNIVERSITY OF FLORIDA,28,4131,73,943119214,4232,4.48724E-06
UNIVERSITY OF CALIFORNIAIRVINE,2,3783,73,456348638,3858,8.45406E-06
JACKSON LABORATORY,0,2089,73,177470311,2162,1.21823E-05
UNIVERSITY OF CALIFORNIA IRVINE,0,2311,72,100477070,2383,2.37169E-05
UNIVERSITY OF CALIFORNIA BERKELEY,0,2225,71,215800810,2296,1.06394E-05
DARTMOUTH COLLEGE,4,1919,70,184736743,1993,1.07883E-05
WISTAR INSTITUTE,0,2734,69,134159231,2803,2.08931E-05
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,8,4679,68,217077351,4755,2.19046E-05
UNIVERSITY OF ALABAMA AT BIRMINGHAM,32,8202,67,869844427,8301,9.54309E-06
UNIV OF NORTH CAROLINA CHAPEL HILL,54,7348,67,840673315,7469,8.88455E-06
SCRIPPS RESEARCH INSTITUTE,0,3225,64,339350909,3289,9.69203E-06
UNIV OF MASSACHUSETTS MED SCH WORCESTER,3,2821,64,648787897,2888,4.45138E-06
ROCKEFELLER UNIVERSITY,1,2299,62,164524495,2362,1.43565E-05
UNIVERSITY OF UTAH,25,5673,61,469797430,5759,1.22585E-05
NORTHWESTERN UNIVERSITY AT CHICAGO,123,5965,60,625652148,6148,9.82655E-06
STATE UNIVERSITY NEW YORK STONY BROOK,1,2128,60,181102137,2189,1.20871E-05
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,10,3689,57,565505910,3756,6.64184E-06
CALIFORNIA INSTITUTE OF TECHNOLOGY,0,327,56,141943696,383,2.69825E-06
SCRIPPS CLINIC AND RESEARCH FOUNDATION,0,1997,55,10861957,2052,0.000188916
UNIVERSITY OF COLORADO DENVER,87,9514,52,749113816,9653,1.28859E-05
YESHIVA UNIVERSITY,0,2306,48,124392072,2354,1.8924E-05
BOSTON CHILDRENS HOSPITAL,9,4610,47,605208209,4666,7.70974E-06
CHILDRENS HOSPITAL CORPORATION,6,3240,47,197668053,3293,1.66592E-05
BASIC SCIENCES,0,3578,46,773699836,3624,4.68399E-06
UT SOUTHWESTERN MEDICAL CENTER,14,5481,45,613533594,5540,9.02966E-06
BECKMAN RESEARCH INSTITUTECITY OF HOPE,316,2720,45,332584239,3081,9.26382E-06
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,7,3300,44,463341250,3351,7.23225E-06
BOSTON UNIVERSITY MEDICAL CAMPUS,20,4726,43,411921720,4789,1.1626E-05
NORTHWESTERN UNIVERSITY,3,2873,43,161678822,2919,1.80543E-05
CHILDRENS HOSPITAL BOSTON,16,2287,43,146145832,2346,1.60525E-05
BAYLOR COLLEGE OF MEDICINE,21,9119,42,1115173428,9182,8.2337E-06
UNIVERSITY OF ROCHESTER,26,3205,41,615556927,3272,5.31551E-06
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,2,2651,41,414653891,2694,6.49698E-06
DIVISION OF BASIC SCIENCES  NCI,0,3389,39,881557443,3428,3.88857E-06
MAYO CLINIC ROCHESTER,526,6966,38,960818974,7530,7.83706E-06
NIAID EXTRAMURAL ACTIVITIES,0,5887,38,893734625,5925,6.62948E-06
FRED HUTCHINSON CANCER CENTER,371,4321,38,58418628,4730,8.09673E-05
COLUMBIA UNIV NEW YORK MORNINGSIDE,3,2880,37,83471825,2920,3.49819E-05
CHILDRENS HOSPITAL OF PHILADELPHIA,1,2506,37,157612283,2544,1.61409E-05
WEILL MEDICAL COLLEGE OF CORNELL UNIV,0,1986,37,113705183,2023,1.77916E-05
UNIVERSITY OF ARIZONA,5,2157,36,243669641,2198,9.02041E-06
CEDARSSINAI MEDICAL CENTER,4,1526,35,209321798,1565,7.47653E-06
OREGON HEALTH AND SCIENCE UNIVERSITY,14,3348,34,121553553,3396,2.79383E-05
BETH ISRAEL DEACONESS MEDICAL CENTER,18,3287,34,415864438,3339,8.02906E-06
NEW YORK UNIVERSITY,6,1947,34,160448761,1987,1.2384E-05
CITY OF HOPEBECKMAN RESEARCH INSTITUTE,18,691,34,33435272,743,2.2222E-05
GEORGETOWN UNIVERSITY,18,2818,33,124991618,2869,2.29535E-05
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,1,1617,33,69837968,1651,2.36404E-05
UNIV OF ARKANSAS FOR MED SCIS,1,1490,33,101035677,1524,1.50838E-05
UNIVERSITY OF VERMONT ST AGRIC COLLEGE,9,1476,33,28788314,1518,5.27297E-05
CHILDRENS HOSP OF PHILADELPHIA,20,3090,32,901707634,3142,3.4845E-06
UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK,1,956,32,73182525,989,1.35142E-05
UNIVERSITY OF CENTRAL FLORIDA,0,285,32,77299695,317,4.10092E-06
FOX CHASE CANCER CENTER,42,4015,31,116903784,4088,3.49689E-05
CLINICAL SCIENCES,0,1574,31,167532301,1605,9.58024E-06
UNIVERSITY OF TEXAS AUSTIN,1,556,31,66735037,588,8.81096E-06
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,19,3644,29,163722962,3692,2.25503E-05
MAYO CLINIC,10,3479,29,65943715,3518,5.33485E-05
UNIVERSITY OF SOUTHERN CALIFORNIA,5,6061,28,454616308,6094,1.34047E-05
MOUNT SINAI SCHOOL OF MEDICINE OF CUNY,1,2594,28,19686041,2623,0.000133242
UNIVERSITY OF CALIFORNIA DAVIS,2,3225,27,82300830,3254,3.95379E-05
ALBERT EINSTEIN COLLEGE OF MEDICINE,6,2205,27,366509994,2238,6.10625E-06
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,1,1691,27,58851509,1719,2.92091E-05
UNIVERSITY OF NEVADA RENO,2,1020,27,58657826,1049,1.78834E-05
NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,0,5093,26,1108847645,5119,4.6165E-06
CINCINNATI CHILDRENS HOSP MED CTR,38,3004,26,665235454,3068,4.6119E-06
CHILD HEALTH AND HUMAN DEVELOPMENT,0,2427,26,321929845,2453,7.61967E-06
WEILL MEDICAL COLL OF CORNELL UNIV,4,2158,26,894050896,2188,2.44729E-06
MEDICAL COLLEGE OF WISCONSIN,0,2530,25,298744614,2555,8.55246E-06
CORNELL UNIVERSITY,0,1644,24,128813680,1668,1.29489E-05
CITY OF HOPE NATIONAL MEDICAL CENTER,6,436,24,3268454,466,0.000142575
UNIVERSITY OF ILLINOIS AT CHICAGO,16,3821,23,460842418,3860,8.37596E-06
ALBERT EINSTEIN COLLEGE OF MEDICINE INC,1,936,23,160847119,960,5.9684E-06
OREGON HEALTH SCIENCE UNIVERSITY,19,2593,22,60137145,2634,4.37999E-05
UNIVERSITY OF VIRGINIA,6,2241,22,359948763,2269,6.30367E-06
UNIVERSITY OF KANSAS LAWRENCE,2,2128,22,46720419,2152,4.60612E-05
UNIVERSITY OF NOTRE DAME,1,913,22,121076889,936,7.73062E-06
INDIANA UNIVPURDUE UNIV AT INDIANAPOLIS,37,4978,21,563795797,5036,8.93231E-06
MAYO CLINIC COLL OF MEDICINE ROCHESTER,49,4743,21,92502796,4813,5.20309E-05
UNIVERSITY OF TEXAS SW MED CTRDALLAS,17,3205,21,161365693,3243,2.00972E-05
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,16,2038,21,100789956,2075,2.05874E-05
CORNELL UNIVERSITY ITHACA,0,1345,21,26502710,1366,5.15419E-05
BOSTON MEDICAL CENTER,4,689,21,205847431,714,3.46859E-06
SIGA TECHNOLOGIES INC,0,7,21,25215146,28,1.11044E-06
VIROPHARMA INC,0,2,21,1241253,23,1.85295E-05
VANDERBILT UNIVERSITY MEDICAL CENTER,12,3420,20,438094232,3452,7.87958E-06
WAKE FOREST UNIVERSITY HEALTH SCIENCES,160,2374,20,132277186,2554,1.93079E-05
OKLAHOMA MEDICAL RESEARCH FOUNDATION,1,1314,20,234519172,1335,5.6925E-06
H LEE MOFFITT CANCER CTR RES INST,0,441,20,48960345,461,9.41578E-06
UNIVERSITY OF WESTERN AUSTRALIA,0,79,20,3027187,99,3.27035E-05
CORIXA CORPORATION,0,63,20,6601401,83,1.25731E-05
UNIVERSITY OF GEORGIA,0,1426,19,199892750,1445,7.22888E-06
UNIVERSITY OF SOUTH FLORIDA,2,1202,19,126779058,1223,9.6467E-06
BROWN UNIVERSITY,1,748,19,136769443,768,5.61529E-06
MEMORIAL HOSPITAL FOR CANCER ALLIED DI,0,558,19,5393452,577,0.000106981
UNIVERSITY OF ILLINOIS AT URBANACHAMPAIGN,0,312,19,66437943,331,4.98209E-06
VIRGINIA COMMONWEALTH UNIVERSITY,2,2125,18,168162079,2145,1.27556E-05
UNIVERSITY OF GEORGIA UGA,1,867,18,29171664,886,3.03719E-05
TEMPLE UNIVERSITY,0,716,18,57457149,734,1.27747E-05
SALK INSTITUTE FOR BIOLOGICAL STUDIES,0,544,18,100302254,562,5.60306E-06
RHODE ISLAND HOSPITAL PROVIDENCE RI,0,232,18,4891861,250,5.11052E-05
WAYNE STATE UNIVERSITY,9,1675,17,161660960,1701,1.0522E-05
HUGO W MOSER RES INST KENNEDY KRIEGER,5,1355,17,147702435,1377,9.3228E-06
UNIVERSITY OF MISSOURICOLUMBIA,1,819,17,127241259,837,6.57805E-06
BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE,0,158,17,28765229,175,6.08373E-06
UNIVERSITY OF CALIFORNIA AT DAVIS,7,4132,16,494613720,4155,8.40049E-06
OREGON HEALTH  SCIENCE UNIVERSITY,24,1616,16,450706280,1656,3.67423E-06
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,4,1230,16,192782482,1250,6.48399E-06
COLD SPRING HARBOR LABORATORY,0,768,16,34921487,784,2.24504E-05
SYNTRIX BIOSYSTEMS INC,2,6,16,26822857,24,8.94759E-07
UNIVERSITY OF KANSAS MEDICAL CENTER,8,2988,15,152133347,3011,1.97918E-05
CHILDRENS HOSPITAL MED CTR CINCINNATI,39,1992,15,144624480,2046,1.4147E-05
TUFTS MEDICAL CENTER,6,1617,15,129511405,1638,1.26475E-05
H LEE MOFFITT CANCER CTR  RES INST,2,711,15,126238714,728,5.76685E-06
EASTERN VIRGINIA MEDICAL SCHOOL,0,318,15,4853904,333,6.86044E-05
TUFTS UNIVERSITY BOSTON,2,1286,14,214337250,1302,6.07454E-06
J DAVID GLADSTONE INSTITUTES,0,804,14,137416353,818,5.95271E-06
CHILDRENS HOSPITAL LOS ANGELES,18,757,14,69484031,789,1.13551E-05
COLORADO STATE UNIVERSITY,1,735,14,182747524,750,4.10402E-06
RESEARCH INST OF FOX CHASE CAN CTR,0,550,14,64612323,564,8.72898E-06
CHILDRENS HOSPITAL RES CTR AT OAKLAND,5,158,14,41281421,177,4.28764E-06
UNIVERSITY OF CINCINNATI,1,1984,13,139435495,1998,1.43292E-05
ARIZONA STATE UNIVERSITYTEMPE CAMPUS,1,1686,13,44374930,1700,3.83099E-05
HUMAN GENOME RESEARCH,0,1674,13,427693077,1687,3.94442E-06
STATE UNIVERSITY OF NEW YORK AT BUFFALO,2,1039,13,116677248,1054,9.03347E-06
BOSTON CITY HOSPITAL,1,174,13,12286099,188,1.53018E-05
MEDICAL UNIVERSITY OF SOUTH CAROLINA,12,2930,12,237817026,2954,1.24213E-05
UNIVERSITY OF NEBRASKA MEDICAL CENTER,53,2809,12,146264439,2874,1.96493E-05
PENNSYLVANIA STATE UNIV HERSHEY MED CTR,7,1511,12,168350548,1530,9.08818E-06
HEART LUNG AND BLOOD INSTITUTE,0,1422,12,122762202,1434,1.16811E-05
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,0,756,12,47010353,768,1.63368E-05
SAINT LOUIS UNIVERSITY,0,722,12,81516821,734,9.00428E-06
UPSTATE MEDICAL UNIVERSITY,2,686,12,119421259,700,5.8616E-06
BARNESJEWISH HOSPITAL,0,651,12,11136671,663,5.9533E-05
JEWISH HOSPITAL OF SAINT LOUIS,0,562,12,13441009,574,4.27051E-05
RHODE ISLAND HOSPITAL,3,380,12,57949883,395,6.81623E-06
BRANDEIS UNIVERSITY,0,278,12,24847020,290,1.16714E-05
HARVARD UNIVERSITY,0,252,12,45414576,264,5.81311E-06
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,31,4030,11,858367949,4072,4.74389E-06
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,15,2355,11,400627314,2381,5.94318E-06
UNIVERSITY OF CONNECTICUT SCH OF MEDDNT,4,1632,11,142893124,1647,1.15261E-05
UNIVERSITY OF IDAHO,0,1043,11,11791562,1054,8.93859E-05
DREXEL UNIVERSITY,1,833,11,174285943,845,4.84835E-06
RESEARCH INST NATIONWIDE CHILDRENS HOSP,3,822,11,276118933,836,3.02768E-06
DIVISION OF CLINICAL SCIENCES  NCI,0,770,11,52786883,781,1.47953E-05
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,2,2450,10,142638016,2462,1.72605E-05
UNIVERSITY OF KENTUCKY,1,1961,10,220051791,1972,8.96153E-06
OREGON REGIONAL PRIMATE RESEARCH CENTER,0,1502,10,260554,1512,0.005802797
CHILDRENS HOSPITAL OF PHILADELPHIA,2,1409,10,96194411,1421,1.47722E-05
COLORADO STATE UNIVERSITYFORT COLLINS,0,1368,10,75722490,1378,1.8198E-05
SEATTLE CHILDRENS HOSPITAL,9,1024,10,425399087,1043,2.45182E-06
MAYO CLINIC ARIZONA,3,727,10,206231576,740,3.5882E-06
BLOODCENTER OF WISCONSIN INC,3,588,10,51351412,601,1.17037E-05
BURNHAM INSTITUTE FOR MEDICAL RESEARCH,0,518,10,34419992,528,1.53399E-05
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,0,190,10,226225656,200,8.84073E-07
SANARIA INC,0,63,10,146173450,73,4.99407E-07
EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH  HUMAN DEVELOPMENT,0,1699,9,254840284,1708,6.70224E-06
LA BIOMED RES INST HARBOR UCLA MED CTR,0,1576,9,18637150,1585,8.50451E-05
UNIVERSITY OF NEW MEXICO,24,1527,9,95590774,1560,1.63196E-05
AGING,1,1396,9,97825918,1406,1.43725E-05
MAYO CLINIC  JACKSONVILLE,2,1237,9,183770234,1248,6.79109E-06
WADSWORTH CENTER,0,1012,9,116720176,1021,8.74742E-06
UNIVERSITY OF TEXAS EL PASO,2,375,9,12903927,386,2.99134E-05
LOUISIANA STATE UNIV HSC NEW ORLEANS,0,364,9,13040290,373,2.86036E-05
UNIVERSITY OF TEXAS AUSTIN,0,341,9,7856338,350,4.455E-05
SCHEPENS EYE RESEARCH INSTITUTE,2,280,9,45446825,291,6.40309E-06
MAINE MEDICAL CENTER,0,194,9,10169793,203,1.99611E-05
PROTHELIA INC,0,2,9,992988,11,1.10776E-05
CLEVELAND CLINIC LERNER COMCWRU,5,1722,8,345239016,1735,5.0255E-06
NATIONAL HUMAN GENOME RESEARCH INSTITUTE,0,1385,8,377769937,1393,3.68743E-06
UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,0,1377,8,54658557,1385,2.53391E-05
UNIVERSITY OF HAWAII AT MANOA,0,1226,8,45575086,1234,2.70762E-05
MICHIGAN STATE UNIVERSITY,4,1080,8,222806527,1092,4.90111E-06
UNIV OF MEDDENT NJR W JOHNSON MED SCH,1,699,8,40198849,708,1.76124E-05
DENTAL CRANIOFACIAL  RESEARCH,0,615,8,13353564,623,4.66542E-05
SANFORDBURNHAM MEDICAL RESEARCH INSTIT,0,597,8,20860079,605,2.90028E-05
UNIVERSITY OF ILLINOIS URBANACHAMPAIGN,0,476,8,28943281,484,1.67224E-05
TRANSLATIONAL GENOMICS RESEARCH INST,0,146,8,31977765,154,4.81584E-06
TISSUETECH INC,0,112,8,7963702,120,1.50684E-05
CAMBRIA BIOSCIENCES LLC,0,13,8,1161024,21,1.80873E-05
GLYCOMIRA LLC,0,3,8,1000120,11,1.09986E-05
ALECTOR LLC,0,1,8,2984598,9,3.01547E-06
WEST VIRGINIA UNIVERSITY,1,2657,7,63035638,2665,4.22777E-05
UNIVERSITY OF LOUISVILLE,8,1808,7,232135983,1823,7.85316E-06
NATIONAL EYE INSTITUTE,0,1363,7,560861292,1370,2.44267E-06
ROSWELL PARK CANCER INSTITUTE CORP,11,790,7,129104402,808,6.2585E-06
EUNICE KENNEDY SHRIVER CTR MTL RETARDATN,0,743,7,11815707,750,6.34748E-05
RBHSNEW JERSEY MEDICAL SCHOOL,0,725,7,318956241,732,2.29499E-06
CHILDRENS HOSP PITTSBURGHUPMC HLTH SYS,2,715,7,22886584,724,3.16342E-05
HENRY M JACKSON FDN FOR THE ADV MILMED,1,693,7,98832816,701,7.09279E-06
MASSACHUSETTS EYE AND EAR INFIRMARY,1,598,7,62558569,606,9.68692E-06
CARNEGIEMELLON UNIVERSITY,0,573,7,20110321,580,2.88409E-05
