NCTId,GARDId,OfficialTitle,BriefTitle,BriefSummary,Condition
NCT00795197,GARD:0002441,A Screening Protocol to Characterize the Disease Status of Gaucher Type 1 Patients for Potential Inclusion in a Subsequent Phase 3 Clinical Study,A Screening Study Evaluating Disease Status of Gaucher Type I Patients,A screening study to identify and characterize the disease status of patients with Gaucher Type 1 disease for potential inclusion in a subsequent phase 3 clinical study.,"['Gaucher Disease, Type 1']"
NCT03746587,GARD:0002443,"Multicentre Double-blinded, Randomized Placebo-controlled Study of Arimoclomol in Patients Diagnosed With Gaucher Disease Type 1 or 3",Study of Arimoclomol in Patients Diagnosed With Gaucher Disease Type 1 or 3,"Multicenter, doubleblinded, randomized placebo-controlled study of arimoclomol in patients with Gaucher Disease Type 1 or 3","['Gaucher Disease, Type 3']"
NCT02441322,GARD:0002491,High Resolution MRI and MRS to Evaluate Therapeutic Response to Novo-TTF in Newly and Recurrent Glioblastomas,Evaluating Therapeutic Response to Novo-TTF,This study is to assess the utility of high resolution 3D echo planar magnetic resonance spectroscopy (3D EPSI) in monitoring Novo-TTF response in glioblastoma multiforme (GBM) patients.,['Glioblastoma Multiforme']
NCT05176249,GARD:0003329,Lurie Children's Eosinophilic Esophagitis Patient Database,Prospective Database for Eosinophilic Esophagitis (EoE) of Pediatric Population,"Eosinophilic Esophagitis (EoE) is a chronic, immune-mediated allergic inflammatory disorder that is being diagnosed with increased frequency. Compelling evidence suggests the etiopathogenesis is allergic and the immune response is triggered by food antigens in most children afflicted with this condition. The literature characterization of EoE is descriptive and retrospective thus far. Our aim in collecting and analyzing data prospectively of all EoE patients seen at Ann & Robert H. Lurie Children's Hospital (Lurie Children's) is to better understand the etiology, pathogenesis and clinical presentation of EoE in patients to better delineate its association with other atopic conditions including reactive airway disease, seasonal allergies and atopic dermatitis. This will allow us to better evaluate the effectiveness of therapeutic strategies used to treat patients with EoE. In addition to collecting data prospectively, the investigators will also review the charts of EoE patients and those suspected of having EoE seen at Lurie Children's. This will allow us to also gather information on control patients, not diagnosed with EoE, who may not be followed in EoE clinic.",['Eosinophilic Esophagitis']
NCT00662168,GARD:0003829,An Investigation of Eight Reported Cases of Small Intestinal Carcinoid Carcinoma in Multiple Family Members,An Investigation of Small Intestinal Carcinoid Carcinoma in Families,"This proposed pilot study is to conduct detailed interviews into the medical, environmental, and family histories The second phase of this study project is to and to collect blood specimen to obtain DNA. The Blood specimen and DNA will be processed by the Rutgers University Cell and DNA Repository (RUCDR) and stored for a second phase of this pilot. The purpose is to rule out Familial Multiple Endocrine Neoplasia (MEN 1), and succinate dehydrogenase complex, subunit D (SDHD), gene inactivation thought to be associated with different types of carcinoid cancer.",['Carcinoid Carcinoma']
NCT03488784,GARD:0003851,Natural History of Disease Progression in Individuals With Limb Girdle Muscular Dystrophy Type 2A and Type 2E,Natural History of Limb Girdle Muscular Dystrophy Type 2A and Type 2E,"This is an observational study, no drug (marketed or investigational) will be provided as part of the study, and the study procedures will have no impact on the medical care delivered to patients participating in this study. The overall study data collection period is planned to last up to 5 years with assessments occurring at baseline, and every 6 months thereafter for a total period of 3 years.

Medical records for enrolled patients will be abstracted at baseline and annually to obtain clinical information, and data will be recorded for the study. Eligible patients will be asked to provide informed consent and to complete semi-annual patient surveys and functional assessments. The patient surveys will include selected PRO instrument(s) along with additional questions to characterize the patient's perception of disease.","['Limb-Girdle Muscular Dystrophy, Type 2E']"
NCT00075582,GARD:0004702,"Vincristine, Dactinomycin, and Lower Doses of Cyclophosphamide With or Without Radiation Therapy for Patients With Newly Diagnosed Low-Risk Embryonal/Botryoid/Spindle Cell Rhabdomyosarcoma","Vincristine, Dactinomycin, and Cyclophosphamide With or Without Radiation Therapy in Treating Patients With Newly Diagnosed Low-Risk Rhabdomyosarcoma","This phase III trial is studying how well combination chemotherapy and radiation therapy work in treating patients with newly diagnosed low-risk rhabdomyosarcoma. Drugs used in chemotherapy, such as vincristine, dactinomycin, and cyclophosphamide, work in different ways to stop tumor cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage tumor cells. Combining chemotherapy with radiation therapy may kill more tumor cells. It is not yet known which treatment regimen is more effective in treating low-risk rhabdomyosarcoma.",['Previously Untreated Childhood Rhabdomyosarcoma']
NCT03041701,GARD:0004702,A Phase I/II Trial of the Insulin-Like Growth Factor 1 Receptor (IGF-1R) Antibody AMG479 (Ganitumab) in Combination With the Src Family Kinase (SFK) Inhibitor Dasatinib in Patients With Embryonal and Alveolar Rhabdomyosarcoma,Insulin-like Growth Factor 1 Receptor (IGF-1R) Antibody AMG479 (Ganitumab) in Combination With the Src Family Kinase (SFK) Inhibitor Dasatinib in People With Embryonal and Alveolar Rhabdomyosarcoma,"Background:

Rhabdomyosarcoma (RMS) is the most common soft tissue sarcoma of childhood. Two types are embryonal RMS (ERMS) and alveolar RMS (ARMS). Dasatinib may block over-expression of a certain enzyme. Ganitumab may block a certain growth factor, which might suppress tumor growth. This drug combination may help slow tumor growth in people with ERMS and ARMS.

Objective:

To see if dasatinib combined with ganitumab is safe and shrinks or slows the growth of tumors in people with ERMS and ARMS.

Eligibility:

People any age who have ERMS or ARMS that did not respond to previous treatment and who can swallow tablets

Design:

Participants will be screened with:

Medical history
Physical exam
Blood, urine, and heart tests
Scans/x-rays
Tissue sample: This can be from previous surgery or biopsy.
Optional biopsy: A small piece of the tumor is removed with a needle.

Participants will be asked to co-enroll in another protocol.

Participants will get a drug interaction handout and wallet card that show what foods and medications to avoid.

Participants will be treated in cycles. The first cycle is 35 days, and the rest are 28 days. Participants will take dasatinib by mouth daily. They will get ganitumab through an intravenous (IV) every 2 weeks. They will have a physical exam every 1-2 weeks, and urine and heart tests before most cycles.

Participants will continue treatment as long as they do not have severe side effects, or their tumors do not get worse.

After ending treatment, participants will have a visit. This includes repeats of the screening tests.","['Rhabdomyosarcoma, Embryonal']"
NCT05204472,GARD:0005161,"Burst-Deep Brain Stimulation of the Thalamus for Neuropathic Facial Pain and Central Poststroke Pain: a Prospective, Randomized Cross-over Feasibility Trial",Thalamic-Burst-DBS for Neuropathic Pain,"Central post-stroke pain (CPSP) is a neuropathic pain syndrome and one of the major sequelae after ischemic or hemorrhagic cerebral stroke.

Recently, a modified stimulation paradigm has been developed in the field of spinal cord stimulation (SCS) for a variety of neuropathic pain disorders. To date, this stimulation paradigm has not yet been evaluated systematically for deep brain stimulation to treat neuropathic pain disorders.

The purpose of this clinical investigation is to investigate if Burst-DBS of the thalamus is more effective compared to classical continuous low-frequency stimulation DBS to reduce the subjective pain intensity in patients with chronic neuropathic pain after stroke or in patients with neuropathic facial pain.",['Neuropathic Pain']
NCT01072656,GARD:0005161,Deep Brain Stimulation for Thalamic Pain Syndrome,Safety Study of Deep Brain Stimulation to Manage Thalamic Pain Syndrome,"The purpose of this study is to determine the safety and efficacy of Deep Brian Stimulation (DBS) of the ventral capsular/ventral striatal as a treatment for patients with Thalamic Pain Syndrome (TPS). The central hypothesis to be tested in this investigation is that VC/VS stimulation will modulate the affective component of TPS and, consequently, improve pain related disability.",['Chronic Pain']
NCT01794858,GARD:0005698,"Therapeutic Hypothermia for Severe Acute Pancreatitis: A Clinical Model for ""Suspended Inflammation""",Therapeutic Hypothermia for Severe Acute Pancreatitis,"Background: Acute pancreatitis is characterized by a high mortality rate (10%-15%), and a remarkably unpredictable clinical course. Approximately 50% of deaths in acute pancreatitis occur early-within the first 14 days-and early mortality is attributable to sequelae of a severe systemic inflammatory response syndrome (SIRS), which is associated with multi-organ dysfunction syndrome (MODS) that can escalate to renal failure, respiratory failure, and death. Significant improvements in acute pancreatitis mortality will demand innovative approaches to counteract early organ failure. A series of destructive cellular processes begins within minutes of initial pancreatic injury, and the ensuing inflammatory cascade is compounded by disease sequelae including edema, ischemia, and tissue necrosis. Early interventions to reduce inflammation within the first 36 hours have been shown to have significant effects in minimizing progressive organ dysfunction.

Hypothermia is clinically employed to combat cellular injury and systemic responses following ischemia-reperfusion, and is been studied as a mechanism of acute inflammatory inhibition in processes including cardiogenic shock, lung injury, local intestinal injury, and reperfusion injuries to the lung, liver, and endothelium. In numerous studies, effective immunomodulations have been observed including reduction of pro-inflammatory cytokines (TNF-α, IL-6), stimulation of anti-inflammatory cytokines (IL-10), inhibition of pro-apoptotic JNK signaling, reduction of systemic oxidative stress, and inhibition of neutrophils, monocytes, and monocyte-derived macrophages. Most saliently, in the caerulein model of murine acute pancreatitis, therapeutic hypothermia has been shown to reduce serum IL-1, IL-6, and TNF-α, increased serum IL-10, decrease serum amylase and lipase, lower the histological grade of pancreatic injury as compared to normothermic mice, and significant survival benefit. Although therapeutic hypothermia is actively employed in the treatment of traumatic brain injury, neonatal asphyxia, spinal cord injury, and cardiac arrest, no studies have yet been made of its application to acute pancreatitis.

Hypothesis: Patients treated with therapeutic hypothermia (32-34°C) will sustain reduced organ-specific injury in acute pancreatitis.

Proposal: In a Phase IIa pilot clinical trial, we will examine the effects of therapeutic hypothermia on organ-specific outcomes during the early stage of acute pancreatitis. We will recruit five patients aged 18 to 80 receiving medically-necessitated ventilator support under ICU monitoring with core temperatures ≥36°C and severe acute pancreatitis defined as either a Ranson Score ≥7, a CT indicating ≥50% pancreatic necrosis, or a significant deterioration in clinical status including dysfunction of two or more organ systems (defined by ACCP/SCCM Organ Failure Guidelines, Chest 2009). All patients will receive current standard management for severe acute pancreatitis and a standardized protocol for application of therapeutic hypothermia and rewarming. Our primary endpoints are organ-specific cardiovascular, respiratory, hematological, renal, and metabolic dysfunction as measured at 28 days. Logistic Organ Dysfunction Scores (LOD) will be compared before and after therapeutic hypothermia, establishing day 4 versus day 1 changes in LOD. Secondary endpoints include D-dimer, IL-6, C-reactive protein, APACHE II scores on day 1 and day 4, inpatient and ICU length-of-stay, infection, mortality, and hypothermia-associated side effects including cardiac arrhythmia, electrolyte imbalance, hyperglycemia, major bleeding, and acute pancreatitis. We believe that such a study will supply preliminary answers to our chief research questions: does therapeutic hypothermia reduce morbidity as assessed by organ-specific outcomes, does therapeutic hypothermia attenuate the steep rise in inflammation observed in severe acute pancreatitis, and does therapeutic hypothermia shorten the clinical course for these patients.",['Pancreatitis']
NCT04824469,GARD:0005698,"The Effects of Web-Based Training and Telephone Follow-up Developed for Covid-19 Patients on Symptom Management, Medication Compliance and Quality of Life","The Effects of Web-Based Training for Covid-19 Patients on Symptom Management, Medication Compliance and Quality of Life","2019 coronavirus disease (Covid-19) is a virus that emerged in Wuhan, China in late 2019, spread all over the world in a short time and causes severe acute respiratory syndrome and pneumonia. The World Health Organization classified the COVID-19 outbreak as an ""international public health emergency"" on January 30 and declared a global epidemic (pandemic) on March 11, 2020, due to the rapid spread of the virus all over the world. speed in the number of cases and deaths. Covidien-19 first cases were reported in Turkey on 10 March 2020 and the number of cases has risen steadily.

The total number of COVID-19 cases worldwide on 31.01.2021; It was reported to be 101,917,147 and the total number of deaths was 2,205,515 (https://covid19.who.int/).

Considering that the number of cases is constantly increasing, it is obvious that hospitals will not meet the entire epidemic burden. During this period, home care has emerged as an alternative way to effectively alleviate the epidemic burden. Home healthcare during the COVID-19 pandemic; Four roles have stood out: home diagnosis, follow-up, treatment, and care.

Protective measures for home isolation of Covid-19 patients are the current method used to prevent the spread of cases. Possible or definite cases that do not have an indication for hospitalization, have a mild clinic and do not accompany severe chronic disease that may lead to a severe course of covid-19 are followed at home until their symptoms improve. In addition, patients who are hospitalized and meet discharge criteria can complete their recovery processes at home. Isolation is terminated on the 14th day at the earliest following the improvement of symptoms in patients who are followed at home. Reducing the contact of people, isolating certain and suspicious cases and effective use of personal protective equipment play an important role in combating the epidemic. It is thought that the training that COVID-19 cases to be followed up and treated at home will be effective in drug compliance, symptom management and quality of life will be effective in the management of the disease.

1251 / 5000 Çeviri sonuçları The universe of the research will be composed of people who apply to Zonguldak Atatürk State Hospital Emergency Service and Covid-19 Polyclinics. . The sample of the study, who accepted to participate in the study, was diagnosed with Covid-19 with U07.3 ICD code according to the results of PCR (Polymerase Chain Reaction) test and Thorax CT (Thorax CT), and was recommended to be followed up and treated at home by the Zonguldak Public Health Department It is planned to create individuals who meet the criteria.",['COVID-19']
NCT02714985,GARD:0005698,RT-PCR on Urine Samples: Added Value for the Diagnosis of Chikungunya Virus Infection,RT-PCR on Urine Samples: Added Value for the Diagnosis of Chikungunya Virus Infection,"Retrospective laboratory evaluation of the detection rate of CHIKV infection by real-time Reverse Transcriptase Polymerase Chain Reaction (RT-PCR) on urine. Urine and serum samples from patients with confirmed CHIKV infections from an endemic area (Aruba) and from ITM will be analyzed. The results will be evaluated on a case-by-case basis: time since onset, patient characteristics, severity of symptoms, serology results.

The positivity in-time of CHIKV RNA in urine will be evaluated in comparison with viremia. Patients with suspected acute CHIKV infection will be asked (by written informed consent; annex 1) to provide urine samples within 72 hours after onset of disease, followed by urine samples on day 7, day 10, day 14 and three urine samples 3, 4 and 12 weeks after onset. They will be asked to provide serum samples within 72 hours after onset of disease, followed by serum samples on day 7, day 10, day 14. In total, twenty patients with an initial positive result of CHIKV RT-PCR on serum will be included for follow-up. The number of urine samples that will be tested is 140.",['Chikungunya Fever']
NCT04370847,GARD:0005698,Ultrasonography for Fluid Assessment in Parturients With Preeclampsia Undergoing Elective Cesarean Section Under Spinal Anesthesia,Ultrasonography for Fluid Assessment in Parturients With Preeclampsia Undergoing Cesarean Section,"Preeclampsia is a multifocal syndrome reported in 2-8 % of pregnancies. It is diagnosed in the second half of pregnancy by two separate measurements of systolic blood pressure ≥140 mmHg and/or a diastolic blood pressure ≥ 90 mmHg in the same arm and proteinuria >300 mg in 24 h urine collection. The risk for serious complications such as pulmonary edema, cerebrovascular accidents, coagulopathy, and hemorrhage is 10 to 30 fold higher among parturients with severe preeclampsia.

Severe preeclampsia is defined by one or more of the following clinical features: severe hypertension (systolic arterial pressure 160 mmHg and/or diastolic arterial pressure 110 mmHg on more than one occasion at least 4 h apart while the patient is on bed rest, renal dysfunction (serum creatinine >1.1mg/dl or doubling of serum creatinine in the absence of another renal disease, platelet count less than <100,000 mm3, acute pulmonary edema, epigastric pain not responding to medical treatment, new-onset cerebral and visual manifestation, hemolysis, elevated liver enzymes and low platelet count syndrome (HELLP syndrome)",['Preeclampsia']
NCT04441814,GARD:0005698,Frequency and OUtcome of Sub-solid Pulmonary Nodules in Asymptomatic Subjects Tested by Chest CT Screening Versus COVID-19 Patients (FOUND) - Ancillary Study to Smile Protocol NCT03654105,FOUND - Ancillary Study to Smile Protocol NCT03654105,"During the current pandemic, in Italy the majority of asymptomatic or pauci-symptomatic COVID-19 cases were not identified nor diagnosed and this fact caused a decrease in the effectiveness of the various containment measures implemented. Therefore, in a future scenario where a new viral swarm is expected, the early identification of all infected cases becomes essential to plan and activate a containment strategy for the spread of the virus, given the current absence of vaccines.

The typical radiological finding of COVID-19 is an interstitial pneumonia, which can be responsible, in a significant portion of patients, of an acute respiratory distress syndrome (ARDS).

Low-dose chest CT and simple blood tests could identify sub-solid pulmonary nodules (SSNs) indicative of COVID-19 infection in asymptomatic subjects.

Objectives of this observational study are the early detection of COVID-19 markers indicative of prior exposure or persisting viral infection in asymptomatic subjects and the assessment of the frequency and outcome of COVID-19-related SSNs in asymptomatic subjects by time, domicile, and other individual risk factors.

SMILE lung CT screening program cohort has been considered, based on 960 subjects at high lung cancer risk for tobacco smoking (≥20 pack/year) and age (50-75 years), together with inflammatory and respiratory profile. SMILE utilizes a top technology dual-source CT scanner (Somatom Force) with the lowest radiation dose ever applied to lung screening. All chest CT images from screening subjects will be re-evaluated by two additional CAD programs, specifically designed for the analysis of SSNs and quantification of the total volume of lung parenchyma showing an increased density. This re-evaluation will improve the sensitivity and specificity of radiomic assessment.

This study cohort, enriched by the already established longitudinal biobank of frozen plasma samples, represent an ideal opportunity to assess the frequency of SSNs in asymptomatic subjects, due to the effect of COVID-19, particularly among subjects living in areas at high risk of viral exposure. It will also be possible to evaluate if COVID-19-related SSNs are associated with chronic co-morbidity, other individual risk factors, inflammatory (CRP) / immunomodulatory (25(OH)D) blood profile, and/or can be traced by immune markers such as IgM/IgG and other cytokines.

Clinical data will be integrated with an analysis of the IgG-IgM profile specific for covid-19, on the plasma samples taken at the time of the CT scan, or subsequently, in collaboration with University of Milan, Luigi Devoto Work Clinic.

The lasting collaboration with the Radiological Science Department of the University of Parma in lung screening also offers the opportunity to validate the results obtained in this cohort on chest CT performed at the University Parma Hospital during the last two months in symptomatic subjects for suspected covid-19 pneumonia.

In collaboration with University of Milano Bicocca, Machine Learning (ML) tools will be applied to predict the clinical relevance, severity and ultimate outcome of SSNs, based on radiomic CT features, epidemiologic risk, co-morbidity and inflammatory/immune blood biomarkers. ML analysis will generate a predictive algorithm for clinical outcome of SSNs, and specifically the risk of COV-I9 infection and unfavorable disease prognosis.",['Inflammatory Status']
NCT05470478,GARD:0005786,Enhancement and Optimization of a Mobile iBCI for Veterans With Paralysis,iBCI Optimization for Veterans With Paralysis,"VA research has been advancing a high-performance brain-computer interface (BCI) to improve independence for Veterans and others living with tetraplegia or the inability to speak resulting from amyotrophic lateral sclerosis, spinal cord injury or stoke. In this project, the investigators enhance deep learning neural network decoders and multi-state gesture decoding for increased accuracy and reliability and deploy them on a battery-powered mobile BCI device for independent use of computers and touch-enabled mobile devices at home. The accuracy and usability of the mobile iBCI will be evaluated with participants already enrolled separately in the investigational clinical trial of the BrainGate neural interface.",['Muscular Dystrophy']
NCT00005802,GARD:0005836,Chemotherapy (CT) Followed by Donor Lymphocyte Infusion (DLI) Plus Interleukin 2 (IL-2) for Patients With Relapse Acute Myeloid or Lymphoid Leukemia After Allogeneic Hematopoietic Transplant,Chemotherapy Followed by Donor White Blood Cells Plus Interleukin-2 in Treating Patients With Acute Myeloid or Lymphocytic Leukemia,"RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Interleukin-2 may stimulate a person's white blood cells to kill leukemia cells. Treating donor white blood cells with interleukin-2 in the laboratory may help them kill more cancer cells.

PURPOSE: This phase I/II trial is studying the side effects and best dose of interleukin-2 when given after chemotherapy and donor white blood cells and to see how well they work in treating patients with acute myeloid leukemia or acute lymphoid leukemia.",['Leukemia']
