GardID,GardIDStatus,DataSource,SourceID,ClassificationLevel,DisorderType,SourceName,SourceSynonym,SourceDescription,OmimMember,ParentOrphaCode,ParentOrphaName,ParentGardID,RdRequestID,GardLegacy_DiseaseName,GardLegacy_GARDisRare,GardLegacy_isSpanish,GardLegacy_StatusName
GARD:10018,Active,Orphanet,ORPHA:98974,Disorder,[Disease],Fuchs endothelial corneal dystrophy,"[Endoepithelial corneal dystrophy, FECD, Late hereditary endothelial dystrophy]","A disorder that is the most frequent form of posterior corneal dystrophy and is characterized by excrescences on a thickened Descemet membrane (corneal guttae), generalized corneal edema, with gradually decreased visual acuity.","[613270, 613267, 613271, 136800, 613268, 610158, 615523, 613269]",,,,,Fuchs endothelial corneal dystrophy,FALSE,FALSE,Active
GARD:10019,Legacy,GARD,,,,,,,,,,,,Corneal dystrophy Fuchs endothelial 2,FALSE,FALSE,Retired
GARD:1002,Active,Orphanet,ORPHA:1131,Disorder,[Malformation syndrome],X-linked mandibulofacial dysostosis,"[Mandibulofacial dysostosis, Toriello type, X-linked branchial arch syndrome, X-linked mandibulofacial dysostosis with limb anomalies]","X-linked mandibulofacial dysostosis is an extremely rare multiple congenital abnormality syndrome that is characterized by microcephaly, malar hypoplasia with downslanting palpebral fissures, highly arched palate, apparently low-set and protruding ears, micrognathia, short stature, bilateral hearing loss, and learning disability. Occasionally, additional features have been observed such as bilateral cryptorchidism, cardiac valvular lesions, body asymmetry, and pectus excavatum.",[301950],,,,,Branchial arch syndrome X-linked,TRUE,FALSE,Active
GARD:10022,Legacy,GARD,,,,,,,,,,,,"Vagina, absence of",TRUE,FALSE,Active
GARD:10023,Active,Orphanet+OMIM,OMIM:609220,Subtype of disorder,[Malformation syndrome subtype],Bruck syndrome 2,[Osteogenesis imperfecta with congenital joint contractures],,[609220],[2771],[Bruck syndrome],[1029],,Bruck syndrome 2,TRUE,FALSE,Active
GARD:10024,Active,Orphanet+OMIM,OMIM:277720,Subtype of disorder,[Malformation syndrome subtype],"Whistling face syndrome, recessive form",,"Whistling face syndrome is characterized by an atypical facial appearance with anomalies of the hands and feet. Most cases show autosomal dominant inheritance: see distal arthrogryposis 2A (DA2A; {193700}). There are rare reports of presumably autosomal recessive inheritance (summary by {1:Altunhan et al., 2010}).",[277720],[2053],[Freeman-Sheldon syndrome],[6466],,"Whistling face syndrome, recessive form",TRUE,FALSE,Active
GARD:10025,Active,Orphanet,ORPHA:88632,Group of disorders,[Category],Anterior segment developmental anomaly,[Anterior segment dysgenesis],,"[107250, 617315, 617319]",,,,,Anterior segment dysgenesis,TRUE,FALSE,Active
GARD:10026,Legacy,GARD,,,,,,,,,,,,Piriformis syndrome,TRUE,FALSE,Active
GARD:10027,Active,Orphanet,ORPHA:140,Disorder,[Malformation syndrome],Campomelic dysplasia,[Campomelic dwarfism],"A rare skeletal dysplasia characterized by peculiar facial anomalies, Pierre Robin sequence, cleft palate, shortening and bowing of long bones. Sexual ambiguity or female external genitalia is possible individuals with a male karyotype.","[602196, 211990, 114290]",,,,,Campomelic dysplasia,TRUE,FALSE,Active
GARD:10028,Active,Orphanet,ORPHA:99960,Subtype of disorder,[Clinical subtype],Benign recurrent intrahepatic cholestasis type 1,"[BRIC type 1, BRIC1]",,[243300],,,,,Benign recurrent intrahepatic cholestasis 1,TRUE,FALSE,Active
GARD:10029,Active,Orphanet,ORPHA:99961,Subtype of disorder,[Clinical subtype],Benign recurrent intrahepatic cholestasis type 2,"[BRIC type 2, BRIC2]",,[605479],,,,,Benign recurrent intrahepatic cholestasis 2,TRUE,FALSE,Active
GARD:10030,Legacy,GARD,,,,,,,,,,,,Hemorrhagic shock and encephalopathy syndrome,TRUE,FALSE,Active
GARD:10031,Legacy,GARD,,,,,,,,,,,,"Sebaceous gland hyperplasia, familial presenile",TRUE,FALSE,Active
GARD:10032,Legacy,GARD,,,,,,,,,,,,"Presenile dementia, Kraepelin type",TRUE,FALSE,Active
GARD:10033,Active,Orphanet+OMIM,OMIM:608542,Subtype of disorder,[Disease subtype],"Aneurysm, intracranial berry, 2",,"Intracranial berry aneurysms are saccular outpouchings of the intracranial arteries, most commonly at arterial bifurcations, characterized by arterial wall remodeling. Most cases of ruptured intracranial berry aneurysms result in a subarachnoid hemorrhage, associated with high morbidity and mortality (summary by {2:van der Voet et al., 2004}).\n\nFor a discussion of genetic heterogeneity of intracranial berry aneurysm, see ANIB1 ({105800}).",[608542],[231160],[Familial cerebral saccular aneurysm],[17161],,"Aneurysm, intracranial berry, 2",TRUE,FALSE,Active
GARD:10034,Active,Orphanet,ORPHA:231013,Disorder,[Disease],Congenital trigeminal anesthesia,,"Congenital trigeminal anesthesia is a rare neuro-ophtalmological disorder characterized by a congenital sensory deficit involving all or some of the sensory components of the trigeminal nerve. Due to corneal anesthesia, it usually presents with recurrent, painless eye infections, painless corneal opacities and/or poorly healing, ulcerated wounds on the facial skin and mucosa (typically the buccal mucosa and/or nasal septum).",[122450],,,,,"Corneal hypesthesia, familial",TRUE,FALSE,Active
GARD:10035,Legacy,GARD,,,,,,,,,,,,Developmental prosopagnosia,TRUE,FALSE,Active
GARD:10036,Legacy,GARD,,,,,,,,,,,,Autosomal dominant compelling helio ophthalmic outburst syndrome,TRUE,FALSE,Active
GARD:10037,Active,Orphanet,ORPHA:85110,Disorder,[Disease],Familial encephalopathy with neuroserpin inclusion bodies,[FENIB],"A rare serpinopathy characterized by progressive myoclonus epilepsy and/or pre-senile dementia with prominent frontal-lobe features and relative sparing of recall memory. In addition, other neurological manifestations like cerebellar symptoms and pyramidal signs may be present. Age of onset is variable, the disease having been reported in children as well as elderly patients. Neuropathological examination reveals the typical neuronal inclusions of mutated neuroserpin (Collins bodies).",[604218],,,,,Familial encephalopathy with neuroserpin inclusion bodies,TRUE,FALSE,Active
GARD:10038,Legacy,GARD,,,,,,,,,,,,Pleomorphic malignant fibrous histiocytoma,TRUE,FALSE,Retired
GARD:10039,Active,Orphanet,ORPHA:79155,Disorder,[Disease],Hydroxykynureninuria,"[Kynureninase deficiency, Xanthurenic aciduria]","A rare, genetic disorder of tryptophan metabolism characterized by massive urinary excretion of xanthurenic acid (XA), 3-hydroxykynurenine and kynurenine and increased XA concentration in plasma. The clinical phenotype is highly variable, ranging from asymptomatic or mild cases presentating with jaundice and vomiting, with subsequent normal development and growth, to more severe cases with manifestions which include intellectual disability, cerebellar ataxia, pellagra, progressive encephalopathy with muscular hypotonia, global developmental delay, stereotyped gestures and/or congenital deafness.",[236800],,,,,Hydroxykynureninuria,TRUE,FALSE,Active
GARD:1004,Legacy,GARD,,,,,,,,,,,,Oculootofacial dysplasia,TRUE,FALSE,Retired
GARD:10040,Legacy,GARD,,,,,,,,,,,,Potato nose,TRUE,FALSE,Active
GARD:10041,Active,Orphanet,ORPHA:1200,Disorder,[Malformation syndrome],Burn-McKeown syndrome,[Choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome],"A rare multiple congenital anomaly syndrome characterized by bilateral choanal atresia associated with characteristic cranio-facial dysmorphisms (hypertelorism with narrow palpebral fissures, coloboma of inferior eyelid with presence of eyelashes medial to the defect, prominent nasal bridge, thin lips, prominent ears), that can be accompanied by hearing loss, unilateral cleft lip, preauricular tags, cardiac septal defects and anomalies of the kidneys. Affected individuals have normal intelligence.","[608572, 616462]",,,,,Choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome,TRUE,FALSE,Active
GARD:10043,Active,Orphanet+OMIM,OMIM:602083,Subtype of disorder,[Clinical subtype],"Usher syndrome, type if",,Usher syndrome constitutes a group of autosomal recessive disorders characterized by progressive pigmentary retinopathy and sensorineural hearing loss. Phenotypic distinctions are based on auditory and vestibular differences. Persons with forms of Usher syndrome type I ({276900}) have congenital severe to profound hearing loss and vestibular dysfunction.,[602083],[231169],[Usher syndrome type 1],[5435],,"Usher syndrome, type 1F",TRUE,FALSE,Active
GARD:10044,Legacy,GARD,,,,,,,,,,,,Posterior column ataxia,TRUE,FALSE,Active
GARD:10045,Active,Orphanet,ORPHA:79303,Disorder,[Disease],Congenital bile acid synthesis defect type 2,"[BASD2, Cholestasis with delta(4)-3-oxosteroid 5-beta-reductase deficiency]","Congenital bile acid synthesis defect type 2 (BAS defect type 2) is an anomaly of bile acid synthesis (see this term) characterized by severe and rapidly progressive cholestatic liver disease, and malabsorption of fat and fat-soluble vitamins.",[235555],,,,,"Congenital bile acid synthesis defect, type 2",TRUE,FALSE,Active
GARD:10046,Active,Orphanet,ORPHA:79095,Disorder,[Disease],Congenital bile acid synthesis defect type 4,"[2-methylacyl-CoA racemase deficiency, AMACR deficiency, Alpha-methyl-acyl-CoA racemase deficiency, BASD4, Liver disease-retinitis pigmentosa-polyneuropathy-epilepsy syndrome]","Congenital bile acid synthesis defect type 4 (BAS defect type 4) is an anomaly of bile acid synthesis (see this term) characterized by mild cholestatic liver disease, fat malabsorption and/or neurological disease.","[614307, 214950]",,,,,"Bile acid synthesis defect, congenital, 4",TRUE,FALSE,Active
GARD:10047,Active,Orphanet,ORPHA:32,Disorder,[Disease],Glutathione synthetase deficiency,[Pyroglutamicaciduria],"A rare disorder characterised by hemolytic anemia, associated with metabolic acidosis and 5-oxoprolinuria in moderate forms, and with progressive neurological symptoms and recurrent bacterial infections in the most severe forms.","[266130, 231900]",,,,,Glutathione synthetase deficiency,TRUE,FALSE,Active
GARD:10048,Active,Orphanet,ORPHA:79143,Disorder,[Disease],Isolated congenital anonychia,[Isolated anonychia],"Isolated congenital anonychia is characterized by nail abnormalities ranging from onychodystrophy (dystrophic nails) to anonychia (absence of nails). Onychodystrophy-anonychia has been described in at least four generations of a family with male-to-male transmission, suggesting autosomal dominant transmission. Anonychia has been described in approximately less than 20 cases; it is likely to be transmitted as an autosomal recessive trait. Total anonychia congenita, in which all the fingernails and toenails are absent, may have an autosomal dominant inheritance pattern.","[107000, 206800, 614149]",,,,,Anonychia congenita,TRUE,FALSE,Retired
GARD:10049,Active,Orphanet,ORPHA:75377,Disorder,[Disease],Central areolar choroidal dystrophy,"[Areolar atrophy of the macula, CACD, Central areolar choroidal sclerosis]","A hereditary macular disorder, usually presenting between the ages of 30-60, characterized by a large area of atrophy in the centre of the macula and the loss or absence of photoreceptors, retinal pigment epithelium and choriocapillaris in this area, resulting in a progressive decrease in visual acuity.","[215500, 613144, 613105]",,,,,Choroidal dystrophy central areolar,TRUE,FALSE,Active
GARD:10050,Active,Orphanet,ORPHA:41751,Disorder,[Disease],Bietti crystalline dystrophy,"[BCD, Bietti crystalline corneoretinal dystrophy, Bietti crystalline retinopathy]","Bietti's crystalline dystrophy (BCD) is a rare progressive autosomal recessive tapetoretinal degeneration disease, occurring in the third decade of life, characterized by small sparkling crystalline deposits in the posterior retina and corneal limbus in addition to sclerosis of the choroidal vessels and manifesting as nightblindness, decreased vision, paracentral scotoma, and, in the end stages of the disease, legal blindness.",[210370],,,,,Bietti crystalline corneoretinal dystrophy,TRUE,FALSE,Active
GARD:10051,Active,Orphanet,ORPHA:69085,Disorder,[Malformation syndrome],Limb-mammary syndrome,[LMS],"A rare, genetic, ectodermal dysplasia syndrome characterized by severe hand/foot anomalies, breast and/or nipple hypoplasia, and ectodermal dysplasia (principally teeth and nail anomalies). Cleft lip/palate may be variably present.",[603543],,,,,Limb-mammary syndrome,TRUE,FALSE,Active
GARD:10052,Legacy,GARD,,,,,,,,,,,,Devriendt syndrome,TRUE,FALSE,Active
GARD:10053,Active,Orphanet,ORPHA:268835,Disorder,[Morphological anomaly],Lipomyelomeningocele,,"Lipomyelomeningocele is a rare neural tube closure defect characterized by a subcutaneous lipoma that extends through a defect in the lumbodorsal fascia, vertebral neural arch, and dura. This painless lesion can occur anywhere along the spinal canal but usually is found in the sacral or lumbar region. If left untreated it can cause tethered cord syndrome.",,,,,,Lipomyelomeningocele,TRUE,FALSE,Active
GARD:10054,Active,Orphanet,ORPHA:2725,Disorder,[Malformation syndrome],Eye defects-arachnodactyly-cardiopathy syndrome,"[Al Gazali-Al Talabani syndrome, Al Gazali-Lytle syndrome]","A rare genetic bone development disorder characterized by pre- and postnatal growth retardation, skeletal anomalies such as arachnodactyly and bilateral talipes equinovarus, joint contractures with camptodactyly, dysmorphic facial features (including midface hypoplasia or micrognathia), and abnormalities of the anterior segment of the eye. Skeletal imaging may show diffuse osteopenia and multiple fractures. The syndrome is lethal within the first year of life.",[609465],,,,,Al Gazali syndrome,TRUE,FALSE,Active
GARD:10055,Legacy,GARD,,,,,,,,,,,,"Holoprosencephaly, recurrent infections, and monocytosis",TRUE,FALSE,Active
GARD:10056,Active,Orphanet,ORPHA:79113,Disorder,[Malformation syndrome],Mandibulofacial dysostosis-microcephaly syndrome,"[MFDM syndrome, Mandibulofacial dysostosis, Guion-Almeida type]","A rare genetic, multiple congenital malformation syndrome characterized by malar and mandibular hypoplasia, microcephaly, ear malformations with associated conductive hearing loss, distinctive facial dysmorphism (with significantly overlap to Treacher Collins syndrome), developmental delay, and intellectual disability.",[610536],,,,,Mandibulofacial dysostosis with microcephaly,TRUE,FALSE,Active
GARD:10057,Active,Orphanet,ORPHA:168454,Disorder,[Disease],"Spondyloepimetaphyseal dysplasia, Geneviève type","[SEMD, Geneviève type, SEMDG]","Spondyloepimetaphyseal dysplasia, Geneviève type is a rare primary bone dysplasia characterized by severe developmental delay and skeletal dysplasia (including short stature, premature carpal ossification, platyspondyly, longitudinal metaphyseal striations, and small epiphyses), as well as moderate to severe intellectual disability and facial dysmorphism, including prominent forehead, mild synophrys, depressed nasal bridge, prominent bulbous nasal tip and full lips.",[610442],,,,,Spondyloepimetaphyseal dysplasia Genevieve type,TRUE,FALSE,Active
GARD:10058,Legacy,GARD,,,,,,,,,,,,Iridogoniodysgenesis and skeletal anomalies,TRUE,FALSE,Active
GARD:10059,Legacy,GARD,,,,,,,,,,,,Dystelephalangy,TRUE,FALSE,Active
GARD:10061,Active,Orphanet,ORPHA:50809,Disorder,[Malformation syndrome],Talo-patello-scaphoid osteolysis,[Singh-Williams-McAlister syndrome],"Talo-patello-scaphoid osteolysis is an extremely rare form of primary osteolysis (see this term), described in two sisters to date, characterized by bilateral osteolysis of the tali, scaphoids, and patellae (accompanied by periarticular swelling and pain) and short fourth metacarpals (brachydactyly type E; see this term), in the absence of renal disease. Autosomal recessive inheritance has been suggested.",[609655],,,,,"Talo-patello-scaphoid osteolysis, synovitis, and short fourth metacarpals",TRUE,FALSE,Active
GARD:10062,Legacy,GARD,,,,,,,,,,,,Talonavicular coalition,TRUE,FALSE,Active
GARD:10063,Legacy,GARD,,,,,,,,,,,,"Cleft palate, midfacial hypoplasia, triangular facies, and sensorineural hearing loss",TRUE,FALSE,Active
GARD:10064,Legacy,GARD,,,,,,,,,,,,"Mental retardation, keratoconus, febrile seizures, and sinoatrial block",TRUE,FALSE,Retired
GARD:10065,Legacy,GARD,,,,,,,,,,,,"Leukoencephalopathy, arthritis, colitis, and hypogammaglobulinema",TRUE,FALSE,Active
GARD:10066,Active,Orphanet,ORPHA:498485,Disorder,[Malformation syndrome],Overgrowth-metaphyseal undermodeling-spondylar dysplasia syndrome,,"A rare overgrowth syndrome with skeletal involvement characterized by pre- or postnatal onset of overgrowth, accelerated bone age in infancy and early childhood, tall stature, bony overgrowth of the skull base, spondylar dysplasia, and undermodeling of the tubular bones. Facial dysmorphism includes mild hypertelorism, depressed nasal bridge, short and broad nose, and full lower lip. Additional reported features are scoliosis, as well as delayed puberty, cryptorchidism, and hypospadias.",[608811],,,,,"Metaphyseal undermodeling, spondylar dysplasia, and overgrowth",TRUE,FALSE,Active
GARD:10067,Legacy,GARD,,,,,,,,,,,,"Lateral semicircular canal malformation, familial, with external and middle ear abnormalities",TRUE,FALSE,Active
GARD:10068,Legacy,GARD,,,,,,,,,,,,"Taurodontism, microdontia, and dens invaginatus",TRUE,FALSE,Active
GARD:10069,Legacy,GARD,,,,,,,,,,,,Dens in dente and palatal invaginations,TRUE,FALSE,Active
GARD:10070,Active,Orphanet,ORPHA:251639,Disorder,[Disease],Subependymoma,,"Subependymoma is a rare and slow growing type of ependymoma (see this term), often presenting in middle-aged adults, found more commonly in men than in women, usually located in the fourth and lateral ventricles and manifesting with variable symptoms including headache, nausea, and loss of balance. In some cases it can be asymptomatic. It is usually associated with a better prognosis than other forms of ependymoma.",,,,,,Subependymoma,TRUE,FALSE,Active
GARD:10071,Legacy,GARD,,,,,,,,,,,,Pulmonic stenosis,TRUE,FALSE,Active
GARD:10072,Active,Orphanet,ORPHA:85182,Disorder,[Disease],Diaphyseal medullary stenosis-bone malignancy syndrome,"[Bone dysplasia-medullary fibrosarcoma syndrome, Diaphyseal medullary stenosis-malignant fibrous histiocytoma syndrome, Hardcastle syndrome]","Diaphyseal medullary stenosis with malignant fibrous histiocytoma is a very rare autosomal dominant bone dysplasia/cancer syndrome characterized clinically by bone infarctions, cortical growth abnormalities, pathological fractures, and development of bone sarcoma (malignant fibrous histiocytoma).",[112250],,,,,Diaphyseal medullary stenosis with malignant fibrous histiocytoma,TRUE,FALSE,Active
GARD:10073,Legacy,GARD,,,,,,,,,,,,Cerebral sarcoma,TRUE,FALSE,Active
GARD:10074,Legacy,GARD,,,,,,,,,,,,Abderhalden Kaufmann Lignac syndrome,TRUE,FALSE,Retired
GARD:10075,Active,Orphanet+OMIM,OMIM:601230,Subtype of disorder,[Disease subtype],"Dermatitis herpetiformis, familial",[Dh],"Dermatitis herpetiformis (DH) and celiac disease (CD; {212750}) are gluten-sensitive diseases. In classic CD the small intestine is predominantly affected, whereas in DH the skin is also affected, showing typical rash and IgA deposits.\n\n{3:Reunala (1996)} reported on the familial incidence of DH in a prospective study started in 1969 in Finland. A total of 1,018 patients with DH were diagnosed and questioned for positive family histories. Of the 999 unrelated DH patients, 105 (10.5%) had 1 or several affected first-degree relatives. Disease in the relatives was either DH (4.4%) or CD (6.1%). Analysis of the 105 families showed that 13.6% of parents, 18.7% of sibs, and 14% of children were affected, a segregation pattern that fitted well to a mendelian dominant mode of inheritance. Gender may also be important because the first-degree relatives affected with DH were more often females and those affected with CD twice as often females as males.\n\nDH and CD have a common immunogenetic background; both disorders are associated with HLA alleles DQA1*0501 (see {146880}) and B1*0201 (see {142857}). {1:Karell et al. (2002)} evaluated the role of the HLA-DQ locus in 25 families in which both classic CD and DH occurred in sibs. By using a family-based approach, they assumed that within each family, variation in environmental factors was substantially lower than in the standard case-control setting, and that the problems related to population stratification could be avoided. Results from Finnish family material comprising 25 discordant and 85 concordant sib pairs, and from case-control material comprising 71 unrelated Hungarian DH and 68 classic CD patients, together indicated that the HLA-DQ locus did not differ between the 2 major outcomes of gluten-sensitive enteropathy. The authors concluded that non-HLA-DR;DQ factors are crucial for the different clinical manifestations of gluten sensitivity.\n\nUsing ELISA, {4:Sardy et al. (2002)} found that sera from both CD and DH reacted with tissue transglutaminase (TGM2; {190196}) and epidermal transglutaminase (TGM3; {600238}), but the DH antibodies had a markedly higher avidity for TGM3. Immunofluorescence and confocal microscopy demonstrated that IgA precipitates in the papillary dermis of DH patients contained TGM3, but not keratinocyte transglutaminase (TGM1; {190195}) or TGM2. {4:Sardy et al. (2002)} concluded that TGM3 is the dominant autoantigen in DH, explaining why skin symptoms rather than intestinal symptoms appear in a proportion of patients with gluten-sensitive disease.",[601230],[1656],[Dermatitis herpetiformis],[1917],,Dermatitis herpetiformis familial,TRUE,FALSE,Retired
GARD:10076,Legacy,GARD,,,,,,,,,,,,"Acrodysplasia with ossification abnormalities, short stature and fibular hypoplasia",TRUE,FALSE,Active
GARD:10077,Legacy,GARD,,,,,,,,,,,,Chondrodysplasia acromesomelic with genital anomalies,TRUE,FALSE,Active
GARD:10078,Legacy,GARD,,,,,,,,,,,,Crumpled helices and small mouth,TRUE,FALSE,Active
GARD:10079,Legacy,GARD,,,,,,,,,,,,"Hydroa vacciniforme, familial",TRUE,FALSE,Active
GARD:10080,Legacy,GARD,,,,,,,,,,,,Catatrichy,TRUE,FALSE,Active
GARD:10081,Active,Orphanet,ORPHA:2475,Disorder,[Malformation syndrome],White forelock with malformations,,"White forelock with malformations is a multiple congenital anomalies syndrome characterized by poliosis, distinct facial features (epicanthal folds, hypertelorism, posterior rotation of ears, prominent philtrum, high-arched palate) and congenital anomalies/malformations of the eye (blue sclera), cardiopulmonary (atrial septal defect, prominent thoracic and abdominal veins), and skeletal (clinodactyly, syndactyly of the fingers and 2nd and 3rd toes) systems. There have been no further descriptions in the literature since 1980.",[277740],,,,,White forelock with malformations,TRUE,FALSE,Active
GARD:10082,Active,Orphanet,ORPHA:85179,Disorder,[Malformation syndrome],Infantile osteopetrosis with neuroaxonal dysplasia,,"This syndrome is characterized by osteopetrosis, agenesis of the corpus callosum, cerebral atrophy and a small hippocampus.","[259720, 600329]",,,,,Osteopetrosis and infantile neuroaxonal dystrophy,TRUE,FALSE,Active
GARD:10083,Active,Orphanet,ORPHA:79124,Disorder,[Disease],Hepatic veno-occlusive disease-immunodeficiency syndrome,[VODI syndrome],"A rare syndrome with combined immunodeficiency characterized by the association of severe hypogammaglobulinemia, combined T and B cell immunodeficiency, absent lymph node germinal centers, absent tissue plasma cells and hepatic veno-occlusive disease.",[235550],,,,,Hepatic venoocclusive disease with immunodeficiency,TRUE,FALSE,Active
