GardID,XrefSource,SourceID,MapRelationship
GARD:0000012,SNOMED-CT,37471005,NA
GARD:0000012,UMLS,C0002390,Exact
GARD:0000013,ICD-10,G11.0,NTBT
GARD:0000013,OMIM,206700,Exact
GARD:0000013,Orphanet,1065,Exact
GARD:0000013,SNOMED-CT,253176002,NA
GARD:0000013,UMLS,C0431401,Exact
GARD:0000016,ICD-10,H51.8,NTBT
GARD:0000016,MeSH,C537423,Exact
GARD:0000016,OMIM,257550,Exact
GARD:0000016,Orphanet,1125,Exact
GARD:0000016,SNOMED-CT,405809000,NA
GARD:0000016,UMLS,C0543874,Exact
GARD:0000017,ICD-10,G93.0,NTBT
GARD:0000017,MeSH,D016080,Exact
GARD:0000017,MedDRA,10049005,Exact
GARD:0000017,OMIM,207790,Exact
GARD:0000017,OMIM,182990,BTNT
GARD:0000017,Orphanet,2356,Exact
GARD:0000017,SNOMED-CT,33595009,NA
GARD:0000017,UMLS,C0078981,Exact
GARD:0000019,ICD-10,E79.8,NTBT
GARD:0000019,MeSH,D054067,Exact
GARD:0000019,MedDRA,10052622,Exact
GARD:0000019,OMIM,274270,Exact
GARD:0000019,Orphanet,1675,Exact
GARD:0000019,SNOMED-CT,77365006,NA
GARD:0000019,UMLS,C1959620,Exact
GARD:0000022,ICD-10,E88.8,NTBT
GARD:0000022,MeSH,C537633,Exact
GARD:0000022,OMIM,262000,Exact
GARD:0000022,Orphanet,123,Exact
GARD:0000022,SNOMED-CT,67817003,NA
GARD:0000022,UMLS,C0266006,Exact
GARD:0000023,ICD-10,Q10.3,NTBT
GARD:0000023,OMIM,110100,Exact
GARD:0000023,Orphanet,126,Exact
GARD:0000023,SNOMED-CT,715391004,NA
GARD:0000023,UMLS,C0220663,Exact
GARD:0000026,ICD-10,Q92.8,NTBT
GARD:0000026,MeSH,C535918,Exact
GARD:0000026,OMIM,115470,Exact
GARD:0000026,Orphanet,195,Exact
GARD:0000026,SNOMED-CT,26445008,NA
GARD:0000026,UMLS,C0265493,Exact
GARD:0000027,ICD-10,A28.1,Exact
GARD:0000027,ICD-11,1B98,Exact
GARD:0000027,MeSH,D002372,Exact
GARD:0000027,MedDRA,10007729,Exact
GARD:0000027,Orphanet,50839,Exact
GARD:0000027,SNOMED-CT,79974007,NA
GARD:0000027,UMLS,C0238909,Exact
GARD:0000027,UMLS,C0007361,Exact
GARD:0000028,ICD-10,Q87.8,NTBT
GARD:0000028,MeSH,C535347,Exact
GARD:0000028,OMIM,302380,ND (not yet decided/unable to decide)
GARD:0000028,OMIM,616145,Exact
GARD:0000028,Orphanet,1388,Exact
GARD:0000028,SNOMED-CT,722383001,NA
GARD:0000028,UMLS,C1844887,Exact
GARD:0000029,ICD-10,Q87.8,NTBT
GARD:0000029,MeSH,D058747,Exact
GARD:0000029,MedDRA,10064063,Exact
GARD:0000029,OMIM,214800,Exact
GARD:0000029,Orphanet,138,Exact
GARD:0000029,SNOMED-CT,47535005,NA
GARD:0000029,UMLS,C0265354,Exact
GARD:0000031,ICD-10,H30.8,NTBT
GARD:0000031,Orphanet,35686,Exact
GARD:0000031,SNOMED-CT,312491004,NA
GARD:0000031,UMLS,C0729842,Exact
GARD:0000035,ICD-10,Q99.8,NTBT
GARD:0000035,OMIM,614290,Exact
GARD:0000035,Orphanet,3307,Exact
GARD:0000035,SNOMED-CT,698849002,NA
GARD:0000035,UMLS,C0795868,Exact
GARD:0000037,ICD-10,Q93.5,NTBT
GARD:0000037,ICD-11,LD44.31,Exact
GARD:0000037,Orphanet,261875,Exact
GARD:0000039,ICD-10,D61.0,NTBT
GARD:0000039,MeSH,C536751,Exact
GARD:0000039,OMIM,194350,Exact
GARD:0000039,Orphanet,3466,Exact
GARD:0000039,SNOMED-CT,719019000,NA
GARD:0000039,UMLS,C1327917,Exact
GARD:0000042,ICD-10,Q99.8,NTBT
GARD:0000042,MeSH,C538027,Exact
GARD:0000042,Orphanet,3310,Exact
GARD:0000042,SNOMED-CT,715530004,NA
GARD:0000042,UMLS,C0795832,Exact
GARD:0000043,ICD-10,Q92.1,NTBT
GARD:0000043,MeSH,C535454,Exact
GARD:0000043,Orphanet,99776,Exact
GARD:0000043,SNOMED-CT,764989007,NA
GARD:0000043,UMLS,C2930908,Exact
GARD:0000044,ICD-10,Q82.8,NTBT
GARD:0000044,MeSH,C537627,Exact
GARD:0000044,OMIM,245010,Exact
GARD:0000044,Orphanet,2342,Exact
GARD:0000044,SNOMED-CT,719973009,NA
GARD:0000044,UMLS,C1855627,Exact
GARD:0000045,ICD-10,P35.8,Exact
GARD:0000045,ICD-11,KA62.2,Exact
GARD:0000045,Orphanet,291,Exact
GARD:0000045,SNOMED-CT,715223009,NA
GARD:0000047,ICD-10,E80.5,NTBT
GARD:0000047,MeSH,C536212,Exact
GARD:0000047,MedDRA,10057034,Exact
GARD:0000047,OMIM,218800,Exact
GARD:0000047,Orphanet,79234,Exact
GARD:0000047,SNOMED-CT,8933000,NA
GARD:0000047,UMLS,C0010324,Exact
GARD:0000047,UMLS,C2931131,Exact
GARD:0000048,ICD-10,E88.8,NTBT
GARD:0000048,OMIM,619048,BTNT
GARD:0000048,OMIM,619063,BTNT
GARD:0000048,OMIM,619062,BTNT
GARD:0000048,OMIM,619059,BTNT
GARD:0000048,OMIM,619061,BTNT
GARD:0000048,OMIM,619064,BTNT
GARD:0000048,OMIM,619055,BTNT
GARD:0000048,OMIM,220110,BTNT
GARD:0000048,OMIM,619053,BTNT
GARD:0000048,OMIM,619058,BTNT
GARD:0000048,OMIM,619052,BTNT
GARD:0000048,OMIM,619051,BTNT
GARD:0000048,OMIM,619355,BTNT
GARD:0000048,OMIM,619060,BTNT
GARD:0000048,OMIM,619054,BTNT
GARD:0000048,OMIM,619046,BTNT
GARD:0000048,Orphanet,254905,Exact
GARD:0000048,UMLS,C0268237,Exact
GARD:0000049,ICD-10,Q87.8,NTBT
GARD:0000049,MeSH,C535990,Exact
GARD:0000049,OMIM,219150,BTNT
GARD:0000049,OMIM,614438,BTNT
GARD:0000049,Orphanet,2962,Exact
GARD:0000049,SNOMED-CT,59252009,NA
GARD:0000049,UMLS,C0268354,Exact
GARD:0000054,ICD-10,Q41.0,NTBT
GARD:0000054,MeSH,C535720,Exact
GARD:0000054,MedDRA,10013812,Exact
GARD:0000054,OMIM,223400,Exact
GARD:0000054,Orphanet,1203,Exact
GARD:0000054,SNOMED-CT,51118003,NA
GARD:0000054,UMLS,C0266174,Exact
GARD:0000059,ICD-10,G11.1,NTBT
GARD:0000059,MeSH,C535738,Exact
GARD:0000059,MeSH,C535514,Exact
GARD:0000059,OMIM,133190,Exact
GARD:0000059,Orphanet,1955,Exact
GARD:0000059,SNOMED-CT,719255000,NA
GARD:0000059,UMLS,C2930921,Exact
GARD:0000059,UMLS,C1851481,Exact
GARD:0000060,ICD-10,H21.1,NTBT
GARD:0000060,MeSH,D057129,Exact
GARD:0000060,MedDRA,10053678,Exact
GARD:0000060,Orphanet,64734,Exact
GARD:0000060,SNOMED-CT,129623003,NA
GARD:0000060,UMLS,C1096100,Exact
GARD:0000060,UMLS,C0339285,Exact
GARD:0000061,ICD-10,Q87.8,NTBT
GARD:0000061,MeSH,C537916,Exact
GARD:0000061,OMIM,134780,Exact
GARD:0000061,Orphanet,1988,Exact
GARD:0000061,SNOMED-CT,13280000,NA
GARD:0000061,UMLS,C0265263,Exact
GARD:0000062,ICD-10,Q87.8,NTBT
GARD:0000062,MeSH,C538152,Exact
GARD:0000062,OMIM,272440,Exact
GARD:0000062,Orphanet,3255,Exact
GARD:0000062,SNOMED-CT,720954000,NA
GARD:0000062,UMLS,C0795940,Exact
GARD:0000064,ICD-10,Q87.8,NTBT
GARD:0000064,MeSH,C537270,Exact
GARD:0000064,OMIM,229120,Exact
GARD:0000064,Orphanet,3219,Exact
GARD:0000064,SNOMED-CT,720957007,NA
GARD:0000064,UMLS,C0795944,Exact
GARD:0000065,ICD-10,Q04.3,NTBT
GARD:0000065,MeSH,C537548,Exact
GARD:0000065,OMIM,301006,BTNT
GARD:0000065,OMIM,618348,BTNT
GARD:0000065,OMIM,618347,BTNT
GARD:0000065,OMIM,617731,BTNT
GARD:0000065,OMIM,617730,BTNT
GARD:0000065,OMIM,618349,BTNT
GARD:0000065,OMIM,617729,BTNT
GARD:0000065,OMIM,251300,BTNT
GARD:0000065,Orphanet,2065,Exact
GARD:0000065,SNOMED-CT,721297008,NA
GARD:0000065,UMLS,C0795949,Exact
GARD:0000066,ICD-10,Q87.0,Exact
GARD:0000066,MeSH,C537290,Exact
GARD:0000066,OMIM,612289,Exact
GARD:0000066,Orphanet,2095,Exact
GARD:0000066,SNOMED-CT,205800003,NA
GARD:0000066,UMLS,C0345382,Exact
GARD:0000068,ICD-10,Q87.2,NTBT
GARD:0000068,OMIM,103300,Exact
GARD:0000068,Orphanet,989,Exact
GARD:0000068,SNOMED-CT,35031005,NA
GARD:0000068,UMLS,C1863203,Exact
GARD:0000068,UMLS,C0595985,Exact
GARD:0000069,ICD-10,J17.1*,Exact
GARD:0000069,ICD-10,B33.4+,Exact
GARD:0000069,ICD-11,1D62.1,Exact
GARD:0000069,MedDRA,10019143,Exact
GARD:0000069,Orphanet,319247,Exact
GARD:0000069,SNOMED-CT,120639003,NA
GARD:0000069,UMLS,C0243025,Exact
GARD:0000070,ICD-10,D18.0,NTBT
GARD:0000070,MedDRA,10058423,Exact
GARD:0000070,OMIM,141000,Exact
GARD:0000070,Orphanet,2330,Exact
GARD:0000070,SNOMED-CT,86635005,NA
GARD:0000070,UMLS,C0221025,Exact
GARD:0000073,ICD-10,D80.5,NTBT
GARD:0000073,OMIM,308230,Exact
GARD:0000073,Orphanet,101088,Exact
GARD:0000073,SNOMED-CT,403835002,NA
GARD:0000073,UMLS,C0398689,Exact
GARD:0000076,ICD-10,Q82.4,Exact
GARD:0000076,ICD-11,LD27.02,Exact
GARD:0000076,OMIM,300291,BTNT
GARD:0000076,OMIM,612132,BTNT
GARD:0000076,OMIM,305100,BTNT
GARD:0000076,OMIM,614940,BTNT
GARD:0000076,OMIM,224900,BTNT
GARD:0000076,OMIM,614941,BTNT
GARD:0000076,OMIM,129490,BTNT
GARD:0000076,Orphanet,238468,Exact
GARD:0000076,UMLS,C0162359,Exact
GARD:0000076,UMLS,C1706004,Exact
GARD:0000076,UMLS,C0406702,Exact
GARD:0000079,ICD-10,Q78.5,NTBT
GARD:0000079,MeSH,C537564,Exact
GARD:0000079,OMIM,156400,Exact
GARD:0000079,Orphanet,33067,Exact
GARD:0000079,SNOMED-CT,24629003,NA
GARD:0000079,UMLS,C0265295,Exact
GARD:0000080,ICD-10,Q87.8,NTBT
GARD:0000080,MeSH,C535880,Exact
GARD:0000080,OMIM,243800,Exact
GARD:0000080,Orphanet,2315,Exact
GARD:0000080,SNOMED-CT,75979009,NA
GARD:0000080,UMLS,C0175692,Exact
GARD:0000081,DiseaseOntology,60811,NA
GARD:0000081,OMIM,309590,Exact
GARD:0000081,SNOMED-CT,721875000,NA
GARD:0000081,SNOMED-CT,725912001,NA
GARD:0000081,UMLS,C2678046,NA
GARD:0000081,UMLS,C0796003,NA
GARD:0000082,ICD-10,Q87.8,NTBT
GARD:0000082,MeSH,C537015,Exact
GARD:0000082,OMIM,148050,Exact
GARD:0000082,Orphanet,2332,Exact
GARD:0000082,SNOMED-CT,711156009,NA
GARD:0000082,UMLS,C0220687,Exact
GARD:0000083,ICD-10,Q87.1,NTBT
GARD:0000083,OMIM,127000,Exact
GARD:0000083,Orphanet,93325,Exact
GARD:0000084,DiseaseOntology,111135,NA
GARD:0000084,GeneticAlliance,1829,NA
GARD:0000084,OMIM,608594,Exact
GARD:0000084,UMLS,C1720862,NA
GARD:0000085,ICD-10,Q77.1,Exact
GARD:0000085,ICD-11,LD24.02,Exact
GARD:0000085,MedDRA,10049808,Exact
GARD:0000085,OMIM,187601,BTNT
GARD:0000085,OMIM,187600,BTNT
GARD:0000085,OMIM,156830,BTNT
GARD:0000085,Orphanet,2655,Exact
GARD:0000085,SNOMED-CT,29352008,NA
GARD:0000085,UMLS,C0039743,Exact
GARD:0000086,OMIM,604213,Exact
GARD:0000086,Orphanet,314597,Exact
GARD:0000086,SNOMED-CT,773610007,NA
GARD:0000086,UMLS,C1858695,Exact
GARD:0000087,ICD-10,Q11.2,NTBT
GARD:0000087,OMIM,300166,NTBT
GARD:0000087,OMIM,309800,BTNT
GARD:0000087,Orphanet,568,Exact
GARD:0000087,SNOMED-CT,438504004,NA
GARD:0000087,UMLS,C0796016,Exact
GARD:0000088,ICD-10,Q68.8,NTBT
GARD:0000088,MeSH,C537118,Exact
GARD:0000088,OMIM,151200,Exact
GARD:0000088,Orphanet,2900,Exact
GARD:0000088,SNOMED-CT,41656005,NA
GARD:0000088,UMLS,C1835450,Exact
GARD:0000088,UMLS,C0265311,Exact
GARD:0000092,ICD-10,Q82.8,NTBT
GARD:0000092,OMIM,248300,Exact
GARD:0000092,Orphanet,87503,Exact
GARD:0000092,SNOMED-CT,239069005,NA
GARD:0000092,UMLS,C0025221,Exact
GARD:0000093,ICD-10,Q84.1,NTBT
GARD:0000093,MeSH,D056734,Exact
GARD:0000093,OMIM,158000,Exact
GARD:0000093,Orphanet,573,Exact
GARD:0000093,UMLS,C0546966,Exact
GARD:0000094,ICD-10,E75.1,NTBT
GARD:0000094,OMIM,252650,Exact
GARD:0000094,Orphanet,578,Exact
GARD:0000094,SNOMED-CT,725296006,NA
GARD:0000094,UMLS,C0238286,Exact
GARD:0000095,ICD-10,Q87.1,NTBT
GARD:0000095,MeSH,C538604,Exact
GARD:0000095,MeSH,D050336,Exact
GARD:0000095,OMIM,253250,Exact
GARD:0000095,Orphanet,2576,Exact
GARD:0000095,SNOMED-CT,81604003,NA
GARD:0000095,UMLS,C0524582,Exact
GARD:0000095,UMLS,C2931895,Exact
GARD:0000101,ICD-10,G71.2,NTBT
GARD:0000101,ICD-11,8C72.01,Exact
GARD:0000101,Orphanet,595,Exact
GARD:0000101,UMLS,C0175709,Exact
GARD:0000102,ICD-10,Q87.8,NTBT
GARD:0000102,MeSH,C536405,Exact
GARD:0000102,OMIM,616038,BTNT
GARD:0000102,OMIM,256520,Exact
GARD:0000102,Orphanet,2671,Exact
GARD:0000102,SNOMED-CT,77817004,NA
GARD:0000102,UMLS,C0265218,Exact
GARD:0000104,ICD-10,N31.8,NTBT
GARD:0000104,MeSH,C536480,Exact
GARD:0000104,OMIM,236730,Exact
GARD:0000104,OMIM,615112,BTNT
GARD:0000104,Orphanet,2704,Exact
GARD:0000104,SNOMED-CT,236533008,NA
GARD:0000104,UMLS,C0403555,Exact
GARD:0000105,ICD-10,E70.3,NTBT
GARD:0000105,OMIM,257800,Exact
GARD:0000105,Orphanet,2719,Exact
GARD:0000105,SNOMED-CT,17827007,NA
GARD:0000105,UMLS,C0268496,Exact
GARD:0000105,UMLS,C2936910,Exact
GARD:0000106,ICD-10,Q87.8,NTBT
GARD:0000106,MeSH,C538088,Exact
GARD:0000106,OMIM,164180,Exact
GARD:0000106,Orphanet,1647,Exact
GARD:0000106,SNOMED-CT,403554008,NA
GARD:0000106,UMLS,C0796092,Exact
GARD:0000106,UMLS,C2931390,Exact
GARD:0000108,ICD-10,E74.0,NTBT
GARD:0000108,OMIM,263570,Exact
GARD:0000108,Orphanet,206583,Exact
GARD:0000108,UMLS,C1849722,Exact
GARD:0000109,ICD-10,M61.5,NTBT
GARD:0000109,ICD-11,FB31.0,Exact
GARD:0000109,MedDRA,10048902,Exact
GARD:0000109,OMIM,166350,Exact
GARD:0000109,Orphanet,2762,Exact
GARD:0000109,SNOMED-CT,719271000,NA
GARD:0000109,UMLS,C0334041,Exact
GARD:0000111,ICD-11,2F00.1,Exact
GARD:0000111,MeSH,C535297,Exact
GARD:0000111,MedDRA,10059314,Exact
GARD:0000111,Orphanet,60032,Exact
GARD:0000111,SNOMED-CT,472827002,NA
GARD:0000111,UMLS,C1168198,Exact
GARD:0000112,ICD-10,P22.0,Exact
GARD:0000112,ICD-11,KB23.0,Exact
GARD:0000112,OMIM,267450,Exact
GARD:0000112,Orphanet,70587,Exact
GARD:0000112,SNOMED-CT,46775006,NA
GARD:0000112,UMLS,C0852283,Exact
GARD:0000112,UMLS,C0035220,Exact
GARD:0000112,UMLS,C0020192,Exact
GARD:0000114,ICD-10,G60.0,NTBT
GARD:0000114,OMIM,311070,Exact
GARD:0000114,Orphanet,99014,Exact
GARD:0000114,SNOMED-CT,763460007,NA
GARD:0000114,UMLS,C1839566,Exact
GARD:0000116,ICD-10,E77.1,NTBT
GARD:0000116,OMIM,609241,Exact
GARD:0000116,Orphanet,79279,Exact
GARD:0000116,UMLS,C1836544,Exact
GARD:0000117,ICD-10,Q87.0,NTBT
GARD:0000117,MedDRA,10063540,Exact
GARD:0000117,OMIM,269150,Exact
GARD:0000117,Orphanet,798,Exact
GARD:0000117,SNOMED-CT,18899000,NA
GARD:0000117,UMLS,C0265227,Exact
GARD:0000118,ICD-10,Q71.8,NTBT
GARD:0000118,MeSH,C536937,Exact
GARD:0000118,OMIM,181450,Exact
GARD:0000118,Orphanet,3138,Exact
GARD:0000118,SNOMED-CT,700211007,NA
GARD:0000118,UMLS,C1866994,Exact
GARD:0000121,ICD-10,Q82.8,NTBT
GARD:0000121,MeSH,C536385,Exact
GARD:0000121,OMIM,227260,Exact
GARD:0000121,Orphanet,1807,Exact
GARD:0000121,UMLS,C1744559,Exact
GARD:0000122,ICD-10,Q78.8,NTBT
GARD:0000122,OMIM,616298,BTNT
GARD:0000122,OMIM,182250,Exact
GARD:0000122,Orphanet,85191,Exact
GARD:0000122,SNOMED-CT,254114000,NA
GARD:0000122,UMLS,C0432254,Exact
GARD:0000125,ICD-10,Q82.8,NTBT
GARD:0000125,MeSH,C535653,Exact
GARD:0000125,OMIM,101850,Exact
GARD:0000125,Orphanet,38,Exact
GARD:0000125,SNOMED-CT,111029001,NA
GARD:0000125,UMLS,C0545044,Exact
GARD:0000127,ICD-10,Q82.0,NTBT
GARD:0000127,MeSH,C538142,Exact
GARD:0000127,OMIM,272350,Exact
GARD:0000127,Orphanet,3210,Exact
GARD:0000127,SNOMED-CT,733606001,NA
GARD:0000127,UMLS,C1802405,Exact
GARD:0000132,ICD-10,E85.4+,Exact
GARD:0000132,ICD-10,L99.0*,Exact
GARD:0000132,MedDRA,10011659,Exact
GARD:0000132,Orphanet,137807,Exact
GARD:0000132,SNOMED-CT,733729003,NA
GARD:0000132,UMLS,C0268397,Exact
GARD:0000134,ICD-10,Q77.7,NTBT
GARD:0000134,OMIM,184250,Exact
GARD:0000134,Orphanet,93346,Exact
GARD:0000134,SNOMED-CT,702350003,NA
GARD:0000134,UMLS,C0700635,Exact
GARD:0000139,ICD-10,D15.1,NTBT
GARD:0000139,MeSH,C538262,Exact
GARD:0000139,OMIM,255960,Exact
GARD:0000139,Orphanet,615,Exact
GARD:0000139,SNOMED-CT,233855002,NA
GARD:0000139,UMLS,C1850635,Exact
GARD:0000140,ICD-10,Q41.1,BTNT
GARD:0000140,ICD-10,Q41.2,BTNT
GARD:0000140,ICD-10,Q41.0,BTNT
GARD:0000140,ICD-10,Q41.9,BTNT
GARD:0000140,ICD-10,Q41.8,BTNT
GARD:0000140,MeSH,C538260,Exact
GARD:0000140,MedDRA,10010626,Exact
GARD:0000140,OMIM,243600,Exact
GARD:0000140,Orphanet,1201,Exact
GARD:0000140,SNOMED-CT,84296002,NA
GARD:0000140,UMLS,C0021828,Exact
GARD:0000140,UMLS,C0266172,Exact
GARD:0000140,UMLS,C0266175,Exact
GARD:0000143,ICD-10,Q84.2,NTBT
GARD:0000143,MedDRA,10068636,Exact
GARD:0000143,OMIM,139600,Exact
GARD:0000143,Orphanet,2220,Exact
GARD:0000143,SNOMED-CT,771181009,NA
GARD:0000143,UMLS,C1841696,Exact
GARD:0000144,ICD-10,Q87.8,NTBT
GARD:0000144,OMIM,247990,Exact
GARD:0000144,Orphanet,2083,Exact
GARD:0000144,SNOMED-CT,716023007,NA
GARD:0000144,UMLS,C0796024,Exact
GARD:0000155,ICD-10,Q87.2,NTBT
GARD:0000155,MeSH,C535689,Exact
GARD:0000155,OMIM,135750,Exact
GARD:0000155,Orphanet,2378,Exact
GARD:0000155,SNOMED-CT,715440003,NA
GARD:0000155,UMLS,C1851100,Exact
GARD:0000156,ICD-10,G71.0,NTBT
GARD:0000156,OMIM,613153,BTNT
GARD:0000156,OMIM,253280,BTNT
GARD:0000156,OMIM,613154,BTNT
GARD:0000156,OMIM,613150,BTNT
GARD:0000156,OMIM,615350,BTNT
GARD:0000156,OMIM,615181,BTNT
GARD:0000156,OMIM,236670,NTBT
GARD:0000156,OMIM,253800,BTNT
GARD:0000156,Orphanet,588,Exact
GARD:0000156,SNOMED-CT,277950001,NA
GARD:0000156,UMLS,C0457133,Exact
GARD:0000157,ICD-10,Q43.1,NTBT
GARD:0000157,OMIM,235740,Exact
GARD:0000157,Orphanet,2155,Exact
GARD:0000157,SNOMED-CT,721221000,NA
GARD:0000157,UMLS,C2931452,Exact
GARD:0000158,ICD-10,E72.5,NTBT
GARD:0000158,ICD-11,5C50.71,Exact
GARD:0000158,MeSH,C537236,Exact
GARD:0000158,MedDRA,10059299,Exact
GARD:0000158,OMIM,268900,Exact
GARD:0000158,Orphanet,3129,Exact
GARD:0000158,SNOMED-CT,64852002,NA
GARD:0000158,UMLS,C0268563,Exact
GARD:0000159,ICD-10,Q87.8,NTBT
GARD:0000159,MeSH,C536623,Exact
GARD:0000159,OMIM,181270,Exact
GARD:0000159,Orphanet,2036,Exact
GARD:0000159,SNOMED-CT,721888002,NA
GARD:0000159,UMLS,C1867020,Exact
GARD:0000160,ICD-10,M35.8,NTBT
GARD:0000160,MeSH,C536616,Exact
GARD:0000160,MedDRA,10070579,Exact
GARD:0000160,OMIM,600705,Exact
GARD:0000160,Orphanet,3130,Exact
GARD:0000160,SNOMED-CT,763630007,NA
GARD:0000160,UMLS,C1833454,Exact
GARD:0000162,ICD-10,Q87.8,NTBT
GARD:0000162,OMIM,181180,Exact
GARD:0000162,Orphanet,2013,Exact
GARD:0000162,SNOMED-CT,763130006,NA
GARD:0000162,UMLS,C1867023,Exact
GARD:0000166,ICD-10,Q04.6,NTBT
GARD:0000166,ICD-11,LA05.61,Exact
GARD:0000166,OMIM,269160,Exact
GARD:0000166,Orphanet,799,Exact
GARD:0000166,SNOMED-CT,253159001,NA
GARD:0000166,UMLS,C0266484,Exact
GARD:0000169,ICD-10,Q77.7,NTBT
GARD:0000169,MeSH,C536637,Exact
GARD:0000169,OMIM,269250,Exact
GARD:0000169,Orphanet,3144,Exact
GARD:0000169,SNOMED-CT,254049009,NA
GARD:0000169,UMLS,C0432194,Exact
GARD:0000172,Orphanet,2427,Exact
GARD:0000172,SNOMED-CT,722033000,NA
GARD:0000172,UMLS,C2931595,Exact
GARD:0000175,ICD-10,E77.8,NTBT
GARD:0000175,MedDRA,10067532,Exact
GARD:0000175,OMIM,269920,Exact
GARD:0000175,Orphanet,309324,Exact
GARD:0000175,SNOMED-CT,34566007,NA
GARD:0000175,UMLS,C1096902,Exact
GARD:0000175,UMLS,C1963905,Exact
GARD:0000176,ICD-10,M60.8,NTBT
GARD:0000176,MeSH,C537829,Exact
GARD:0000176,Orphanet,592,Exact
GARD:0000176,SNOMED-CT,718175009,NA
GARD:0000176,UMLS,C2931639,Exact
GARD:0000177,ICD-10,Q87.0,NTBT
GARD:0000177,OMIM,248110,Exact
GARD:0000177,Orphanet,2432,Exact
GARD:0000177,SNOMED-CT,773282001,NA
GARD:0000177,UMLS,C1855467,Exact
GARD:0000178,ICD-10,Q87.3,NTBT
GARD:0000178,OMIM,157980,Exact
GARD:0000178,Orphanet,2563,Exact
GARD:0000178,SNOMED-CT,724137002,NA
GARD:0000178,UMLS,C1834759,Exact
GARD:0000180,ICD-10,D69.4,NTBT
GARD:0000180,OMIM,155100,Exact
GARD:0000180,OMIM,600208,BTNT
GARD:0000180,Orphanet,182050,Exact
GARD:0000180,SNOMED-CT,712922002,NA
GARD:0000180,UMLS,C1854520,Exact
GARD:0000181,ICD-10,H35.5,NTBT
GARD:0000181,MedDRA,10062766,Exact
GARD:0000181,OMIM,600110,BTNT
GARD:0000181,OMIM,248200,Exact
GARD:0000181,OMIM,603786,BTNT
GARD:0000181,Orphanet,827,Exact
GARD:0000181,SNOMED-CT,70099003,NA
GARD:0000181,UMLS,C1855465,Exact
GARD:0000181,UMLS,C0271093,Exact
GARD:0000182,ICD-10,H35.5,NTBT
GARD:0000182,OMIM,153700,Exact
GARD:0000182,Orphanet,1243,Exact
GARD:0000182,SNOMED-CT,90036004,NA
GARD:0000182,UMLS,C2745945,Exact
GARD:0000182,UMLS,C0339510,Exact
GARD:0000184,ICD-10,L60.5,NTBT
GARD:0000184,ICD-11,EE11.1,Exact
GARD:0000184,MedDRA,10048244,Exact
GARD:0000184,OMIM,153300,Exact
GARD:0000184,Orphanet,662,Exact
GARD:0000184,SNOMED-CT,400211001,NA
GARD:0000184,UMLS,C0221348,Exact
GARD:0000192,ICD-10,Q87.8,NTBT
GARD:0000192,Orphanet,1381,Exact
GARD:0000192,SNOMED-CT,715989002,NA
GARD:0000192,UMLS,C2931391,Exact
GARD:0000193,ICD-10,Q87.8,NTBT
GARD:0000193,OMIM,300000,BTNT
GARD:0000193,OMIM,145410,BTNT
GARD:0000193,Orphanet,2745,Exact
GARD:0000193,SNOMED-CT,81771002,NA
