GardID,ClassificationLevel,DisorderType,Name,Synonym
GARD:0000092,Disorder,[Disease],Mal de Meleda,"[Keratosis palmoplantaris transgrediens of Siemens, Meleda disease, Transgrediens palmoplantar keratoderma of Siemens]"
GARD:0000093,Disorder,[Disease],Monilethrix,[Moniliform hair syndrome]
GARD:0000094,Disorder,[Disease],Mucolipidosis type IV,
GARD:0000095,Disorder,[Malformation syndrome],Mulibrey nanism,"[MUL, Mulibrey growth disorder, Muscle-liver-brain-eye nanism]"
GARD:0000101,Group of disorders,[Clinical group],Centronuclear myopathy,[CNM]
GARD:0000102,Disorder,[Malformation syndrome],Neu-Laxova syndrome,
GARD:0000104,Disorder,[Malformation syndrome],Ochoa syndrome,"[Hydronephrosis-inverted smile syndrome, Inverted smile-neurogenic bladder syndrome, Partial facial palsy with urinary abnormalities, Urofacial syndrome]"
GARD:0000105,Disorder,[Malformation syndrome],"Oculocerebral hypopigmentation syndrome, Cross type",[Cross syndrome]
GARD:0000106,Disorder,[Malformation syndrome],Oculocerebrocutaneous syndrome,"[Delleman syndrome, Delleman-Oorthuys syndrome, Leichtman-Wood-Rohn syndrome, OCCS, Orbital cyst with cerebral and focal dermal malformations]"
GARD:0000108,Subtype of disorder,[Clinical subtype],Adult polyglucosan body disease,[APBD]
GARD:0000109,Disorder,[Malformation syndrome],Progressive osseous heteroplasia,"[Familial ectopic ossification, POH]"
GARD:0000111,Disorder,[Disease],Recurrent respiratory papillomatosis,
GARD:0000112,Disorder,[Disease],Infant acute respiratory distress syndrome,"[Hyaline membrane disease, Infant ARDS, Infant respiratory distress syndrome, Neonatal respiratory distress syndrome]"
GARD:0000114,Disorder,[Disease],X-linked Charcot-Marie-Tooth disease type 5,"[CMT5X, CMTX5]"
GARD:0000116,Subtype of disorder,[Clinical subtype],Alpha-N-acetylgalactosaminidase deficiency type 1,"[NAGA deficiency type 1, Schindler disease type 1]"
GARD:0000117,Disorder,[Malformation syndrome],Schinzel-Giedion syndrome,[SGS]
GARD:0000118,Disorder,[Malformation syndrome],Ulnar-mammary syndrome,"[Pallister ulnar-mammary syndrome, Schinzel syndrome, UMS]"
GARD:0000121,Subtype of disorder,[Clinical subtype],Focal facial dermal dysplasia type III,"[FFDD type III, FFDD3, Focal facial dermal dysplasia 3, Setleis type, Setleis syndrome]"
GARD:0000122,Disorder,[Malformation syndrome],Singleton-Merten dysplasia,[Singleton-Merten syndrome]
GARD:0000125,Disorder,[Disease],Acrokeratoelastoidosis of Costa,"[AKE, PPKP3, Punctate palmoplantar hyperkeratosis type 3, Punctate palmoplantar keratoderma type 3]"
GARD:0000127,Disorder,[Malformation syndrome],Summitt syndrome,
GARD:0000132,Group of disorders,[Clinical group],Primary cutaneous amyloidosis,"[PLCA, Primary localized cutaneous amyloidosis]"
GARD:0000134,Disorder,[Disease],"Spondyloepimetaphyseal dysplasia congenita, Strudwick type",
GARD:0000139,Disorder,[Disease],Familial atrial myxoma,
GARD:0000140,Disorder,[Morphological anomaly],Atresia of small intestine,"[Apple peel syndrome, Intestinal atresia type IIIb, Jejunal atresia, Jejunoileal atresia, Small intestinal atresia]"
GARD:0000143,Disorder,[Malformation syndrome],Hypertrichosis cubiti,"[Hairy elbows syndrome, MacDermot-Patton-Williams syndrome]"
GARD:0000144,Disorder,[Malformation syndrome],Prominent glabella-microcephaly-hypogenitalism syndrome,[MacDermot-Winter syndrome]
GARD:0000155,Disorder,[Malformation syndrome],Laurin-Sandrow syndrome,"[Mirror hands and feets-nasal defects syndrome, Sandrow syndrome]"
GARD:0000156,Disorder,[Malformation syndrome],Muscle-eye-brain disease,"[MEB syndrome, Muscle-eye-brain syndrome, Santavuori congenital muscular dystrophy]"
GARD:0000157,Disorder,[Malformation syndrome],Hirschsprung disease-deafness-polydactyly syndrome,"[Hirschsprung disease-hearing loss-polydactyly syndrome, Santos-Mateus-Leal syndrome]"
GARD:0000158,Disorder,[Disease],Sarcosinemia,[Sarcosine dehydrogenase complex deficiency]
GARD:0000159,Disorder,[Malformation syndrome],Scalp-ear-nipple syndrome,[Finlay-Marks syndrome]
GARD:0000160,Disorder,[Disease],Satoyoshi syndrome,[Komuragaeri disease]
GARD:0000162,Disorder,[Malformation syndrome],Cleft palate-large ears-small head syndrome,[Say-Barber-Hobbs syndrome]
GARD:0000166,Disorder,[Disease],Schizencephaly,
GARD:0000169,Disorder,[Malformation syndrome],Schneckenbecken dysplasia,"[Chondrodysplasia with snail-like pelvis, SLC35D1-CDG]"
GARD:0000172,Disorder,[Malformation syndrome],Macrocephaly-short stature-paraplegia syndrome,[Volcke-Soekarman syndrome]
GARD:0000175,Subtype of disorder,[Clinical subtype],"Free sialic acid storage disease, infantile form",[ISSD]
GARD:0000176,Disorder,[Disease],Macrophagic myofasciitis,[MMF]
GARD:0000177,Disorder,[Malformation syndrome],Macrosomia-microphthalmia-cleft palate syndrome,[Teebi-Al Saleh-Hassoon syndrome]
GARD:0000178,Disorder,[Malformation syndrome],MOMO syndrome,"[Macrocephaly-obesity-mental disability-ocular abnormalities syndrome, Macrosomia-obesity-macrocephaly-ocular abnormalities syndrome]"
GARD:0000180,Disorder,[Disease],MYH9-related disease,"[MYH9-RD, MYH9-related disorder, MYH9-related syndrome, MYH9-related syndromic thrombocytopenia]"
GARD:0000181,Disorder,[Disease],Stargardt disease,"[Fundus flavimaculatus, Stargardt 1]"
GARD:0000182,Disorder,[Disease],Best vitelliform macular dystrophy,"[BMD, BVMD, Best disease, Best macular dystrophy, Early-onset vitelliform macular dystrophy, Juvenile-onset vitelliform macular dystrophy, Polymorphic vitelline macular degeneration, Vitelliform macular dystrophy type 2]"
GARD:0000184,Disorder,[Disease],Yellow nail syndrome,"[Lymphedema with yellow nails, YNS]"
GARD:0000192,Disorder,[Malformation syndrome],Cataract-intellectual disability-anal atresia-urinary defects syndrome,[Karandikar-Maria-Kamble syndrome]
GARD:0000193,Disorder,[Malformation syndrome],Opitz GBBB syndrome,"[Hypertelorism-hypospadias syndrome, Hypertelorism-oesophageal abnormality-hypospadias syndrome, Hypospadias-dysphagia syndrome, Opitz BBB/G syndrome, Opitz BBBG syndrome, Opitz G/BBB syndrome, Opitz-Frias syndrome]"
GARD:0000194,Disorder,[Disease],Gamma-aminobutyric acid transaminase deficiency,[GABA transaminase deficiency]
GARD:0000195,Disorder,[Disease],Hyperkalemic periodic paralysis,"[Adynamia episodica hereditaria, Familial hyperPP, Familial hyperkalemic periodic paralysis, Gamstorp disease, Gamstorp episodic adynamy, HYPP, HyperKPP, HyperPP, Hyperkalemic PP, Primary hyperPP, Primary hyperkalemic periodic paralysis]"
GARD:0000198,Subtype of disorder,[Clinical subtype],Proximal spinal muscular atrophy type 3,"[Juvenile spinal muscular atrophy, Kugelberg-Welander disease, SMA type 3, SMA type III, SMA-III, SMA3]"
GARD:0000200,Disorder,[Disease],Central serous chorioretinopathy,[CSCR]
GARD:0000201,Disorder,[Malformation syndrome],Ascher syndrome,[Blepharochalasis-double lip syndrome]
GARD:0000206,Disorder,[Disease],Nephronophthisis,
GARD:0000207,Disorder,[Disease],Alveolar echinococcosis,[Echinococcus multilocularis infection]
GARD:0000212,Disorder,[Malformation syndrome],"Oculodental syndrome, Rutherfurd type","[Gingival hypertrophy-corneal dystrophy, Rutherfurd syndrome]"
GARD:0000213,Disorder,[Malformation syndrome],Axial mesodermal dysplasia spectrum,"[Blastogenesis defect, Russell-Weaver-Bull syndrome]"
GARD:0000215,Disorder,[Malformation syndrome],Familial caudal dysgenesis,[Rudd-Klimek syndrome]
GARD:0000216,Disorder,[Malformation syndrome],Camptodactyly-joint contractures-facial skeletal defects syndrome,[Rozin camptodactyly syndrome]
GARD:0000218,Disorder,[Disease],Rotor syndrome,"[Hyperbilirubinemia, Rotor type]"
GARD:0000220,Disorder,[Disease],Peripartum cardiomyopathy,[Postpartum cardiomyopathy]
GARD:0000221,Group of disorders,[Category],Dilated cardiomyopathy,
GARD:0000223,Subtype of disorder,[Clinical subtype],Vestibular schwannoma,"[Acoustic neurilemoma, Acoustic neurinoma, Acoustic neuroma]"
GARD:0000224,Disorder,[Malformation syndrome],Radio-renal syndrome,
GARD:0000225,Disorder,[Morphological anomaly],Radial hemimelia,"[Congenital longitudinal deficiency of the radius, Radial clubhand, Radial longitidinal meromelia, Radial ray agenesis]"
GARD:0000226,Disorder,[Malformation syndrome],Rabson-Mendenhall syndrome,
GARD:0000229,Disorder,[Malformation syndrome],Gómez-López-Hernández syndrome,"[Cerebellotrigeminal-dermal dysplasia syndrome, Craniosynostosis-alopecia-brain defect syndrome]"
GARD:0000230,Disorder,[Malformation syndrome],Microcephaly-deafness-intellectual disability syndrome,"[Kawashima-Tsuji syndrome, Microcephaly-hearing loss-intellectual disability syndrome]"
GARD:0000231,Disorder,[Disease],CACH syndrome,"[Childhood ataxia with diffuse central nervous system hypomyelination, Leukoencephalopathy with vanishing white matter, Myelinosis centralis diffusa]"
GARD:0000232,Disorder,[Morphological anomaly],Medullary sponge kidney,"[Cacchi-Ricci disease, MSK, Precalicial canalicular ectasia]"
GARD:0000234,Disorder,[Disease],D-glyceric aciduria,"[D-glycerate kinase deficiency, D-glyceric acidemia]"
GARD:0000236,Disorder,[Malformation syndrome],Hydrocephalus-blue sclerae-nephropathy syndrome,[Daentl-Townsend-Siegel syndrome]
GARD:0000237,Disorder,[Malformation syndrome],Dahlberg-Borer-Newcomer syndrome,"[Dahlberg syndrome, Lymphedema-hypoparathyroidism syndrome]"
GARD:0000238,Disorder,[Malformation syndrome],Odontomatosis-aortae esophagus stenosis syndrome,[Boder syndrome]
GARD:0000239,Disorder,[Malformation syndrome],Say-Barber-Miller syndrome,[Microcephaly-hypogammaglobulinemia-abnormal immunity syndrome]
GARD:0000241,Disorder,[Malformation syndrome],Scalp defects-postaxial polydactyly syndrome,
GARD:0000243,Disorder,[Malformation syndrome],Trigonocephaly-short stature-developmental delay syndrome,[Say-Meyer syndrome]
GARD:0000246,Disorder,[Malformation syndrome],Schisis association,
GARD:0000247,Disorder,[Malformation syndrome],SCARF syndrome,
GARD:0000248,Disorder,[Malformation syndrome],Cataract-deafness-hypogonadism syndrome,"[Cataract-hearing loss-hypogonadism syndrome, Schaap-Taylor-Baraitser syndrome]"
GARD:0000249,Subtype of disorder,[Malformation syndrome subtype],"Craniodiaphyseal dysplasia, autosomal dominant",
GARD:0000250,Disorder,[Disease],Schwartz-Jampel syndrome,"[Aberfeld syndrome, Burton skeletal dysplasia, Burton syndrome, Catel-Hempel syndrome, Dysostosis enchondralis metaepiphysaria, Catel-Hempel type, Myotonic chondrodystrophy, Myotonic myopathy, dwarfism, chondrodystrophy, ocular and facial anomalies, Osteochondromuscular dystrophy, SJS, SJS1, Schwartz-Jampel syndrome type 1, Schwartz-Jampel-Aberfeld syndrome]"
GARD:0000257,Disorder,[Malformation syndrome],Intellectual disability-balding-patella luxation-acromicria syndrome,[Scholte-Begeer-van Essen syndrome]
GARD:0000258,Disorder,[Malformation syndrome],Radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome,[Schmitt-Gillenwater-Kelly syndrome]
GARD:0000259,Disorder,[Disease],Nephrogenic diabetes insipidus-intracranial calcification-facial dysmorphism syndrome,
GARD:0000262,Disorder,[Disease],NARP syndrome,"[Neurogenic muscle weakness-ataxia-retinitis pigmentosa syndrome, Neuropathy-ataxia-retinitis pigmentosa syndrome]"
GARD:0000264,Disorder,[Disease],Lowry-Wood syndrome,[Epiphyseal dysplasia-microcephaly-nystagmus syndrome]
GARD:0000265,Disorder,[Malformation syndrome],Trichodental syndrome,[Kersey syndrome]
GARD:0000267,Disorder,[Malformation syndrome],Keipert syndrome,[Nasodigitoacoustic syndrome]
GARD:0000269,Disorder,[Malformation syndrome],IVIC syndrome,"[Oculo-oto-radial syndrome, Radial ray defects, hearing impairment, external ophthalmoplegia, and thrombocytopenia]"
GARD:0000270,Disorder,[Malformation syndrome],Nicolaides-Baraitser syndrome,[Intellectual disability-sparse hair-brachydactyly syndrome]
GARD:0000272,Disorder,[Malformation syndrome],VACTERL with hydrocephalus,[Sujansky-Leonard syndrome]
GARD:0000273,Subtype of disorder,[Clinical subtype],Wrinkly skin syndrome,"[WSS, Wrinkled skin syndrome]"
GARD:0000274,Disorder,[Disease],X-linked immunoneurologic disorder,[Woods-Black-Norbury syndrome]
GARD:0000276,Subtype of disorder,[Clinical subtype],Hypogonadotropic hypogonadism 12 with or without anosmia,"[Eunuchoidism, familial hypogonadotropic, gonadotropin deficiency, familial idiopathic]"
GARD:0000277,Disorder,[Malformation syndrome],Pilodental dysplasia-refractive errors syndrome,"[Euhidrotic ectodermal dysplasia, Kopysc-Barczyk-Krol syndrome]"
GARD:0000280,Disorder,[Malformation syndrome],"Hidrotic ectodermal dysplasia, Halal type","[Halal-Setton-Wang syndrome, Trichodysplasia-abnormal dermatoglyphics-intellectual disability syndrome]"
GARD:0000282,Disorder,[Malformation syndrome],Lethal osteosclerotic bone dysplasia,[Raine syndrome]
GARD:0000284,Disorder,[Malformation syndrome],Lymphedema-atrial septal defects-facial changes syndrome,"[Irons-Bhan syndrome, Irons-Bianchi syndrome]"
GARD:0000287,Disorder,[Malformation syndrome],Hypertelorism-hypospadias-polysyndactyly syndrome,"[Acrofrontofacionasal dysostosis type 2, Acrofrontofacionasal syndrome type 2, Naguib-Richieri-Costa syndrome]"
GARD:0000288,Disorder,[Malformation syndrome],Hallermann-Streiff syndrome,"[François dyscephalic syndrome, Oculomandibulofacial syndrome]"
GARD:0000290,Disorder,[Malformation syndrome],Hallermann-Streiff-like syndrome,"[Dennis-Fairhurst-Moore syndrome, Hallermann-Streiff-François syndrome, severe form, Severe Hallermann-Streiff-François syndrome]"
GARD:0000292,Disorder,[Disease],Ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome,[Jagell-Holmgren-Hofer syndrome]
GARD:0000296,Disorder,[Malformation syndrome],Short tarsus-absence of lower eyelashes syndrome,[Lopes-Gorlin syndrome]
GARD:0000298,Disorder,[Malformation syndrome],Hypergonadotropic hypogonadism-cataract syndrome,[Lubinsky syndrome]
GARD:0000299,Disorder,[Disease],Late-onset localized junctional epidermolysis bullosa-intellectual disability syndrome,[Late-onset localized JEB-intellectual disability syndrome]
GARD:0000302,Disorder,[Disease],Kostmann syndrome,"[Infantile agranulocytosis, Severe congenital neutropenia type 3]"
GARD:0000304,Disorder,[Disease],Blau syndrome,
GARD:0000305,Disorder,[Malformation syndrome],Conductive deafness-ptosis-skeletal anomalies syndrome,"[Conductive hearing loss-ptosis-skeletal anomalies syndrome, Jackson-Barr syndrome]"
GARD:0000306,Disorder,[Disease],Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome,"[Arthropathy-camptodactyly syndrome, CACP syndrome, Jacobs syndrome, Pericarditis-arthropathy-camptodactyly syndrome]"
GARD:0000307,Disorder,[Malformation syndrome],Jacobsen syndrome,"[11q terminal deletion syndrome, Del(11)(q23.3), Del(11)(qter), Distal deletion 11q, Distal monosomy 11q, Monosomy 11qter, Telomeric deletion 11q]"
GARD:0000310,Disorder,[Malformation syndrome],CHIME syndrome,"[Coloboma-congenital heart disease-ichthyosiform dermatosis-intellectual disability-ear anomalies syndrome, Congenital disorder of glycosylation due to PIGL deficiency, Neuroectodermal dysplasia, CHIME type, Neuroectodermal syndrome, Zunich type, PIGL-CDG, Zunich-Kaye syndrome]"
GARD:0000312,Disorder,[Malformation syndrome],Robinow syndrome,"[Acral dysostosis with facial and genital abnormalities, Fetal face syndrome, Mesomelic dwarfism-small genitalia syndrome, Robinow dwarfism, Robinow-Silverman-Smith syndrome]"
GARD:0000314,Disorder,[Disease],Saccharopinuria,"[Hyperlysinemia type II, Saccharopine dehydrogenase deficiency]"
GARD:0000319,Subtype of disorder,[Clinical subtype],Sacrococcygeal teratoma,
GARD:0000320,Disorder,[Malformation syndrome],Fibulo-ulnar hypoplasia-renal anomalies syndrome,[Saito-Kuba-Tsuruta syndrome]
GARD:0000321,Disorder,[Disease],Nail-patella-like renal disease,[Salcedo syndrome]
GARD:0000322,Disorder,[Disease],Senior-Loken syndrome,"[Nephronophthisis with retinal dystrophy, Renal dysplasia-retinal aplasia syndrome, SLSN]"
GARD:0000324,Disorder,[Disease],Hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,[Salti-Salem syndrome]
GARD:0000325,Disorder,[Disease],Twin to twin transfusion syndrome,[Feto-fetal transfusion syndrome]
GARD:0000329,Disorder,[Disease],Wells syndrome,[Eosinophilic cellulitis]
GARD:0000330,Disorder,[Malformation syndrome],Wiedemann-Rautenstrauch syndrome,[Neonatal progeroid syndrome]
GARD:0000331,Disorder,[Malformation syndrome],Yunis-Varon syndrome,[Cleidocranial dysplasia-micrognathia-absent thumbs syndrome]
GARD:0000332,Disorder,[Malformation syndrome],Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome,[Beare-Stevenson cutis gyrata syndrome]
GARD:0000333,Disorder,[Malformation syndrome],Lymphedema-distichiasis syndrome,
GARD:0000334,Disorder,[Disease],Dyschromatosis symmetrica hereditaria,[Acropigmentation of Dohi]
GARD:0000336,Disorder,[Disease],Autosomal recessive spastic paraplegia type 23,"[Lison syndrome, SPG23, Spastic paraparesis-vitiligo-premature graying-characteristic facies syndrome]"
GARD:0000341,Disorder,[Disease],Young syndrome,[Azoospermia-sinopulmonary infections syndrome]
GARD:0000343,Disorder,[Malformation syndrome],Pontocerebellar hypoplasia type 4,"[Fatal infantile encephalopathy with olivopontocerebellar hypoplasia, Olivopontocerebellar hypoplasia, PCH4]"
GARD:0000344,Disorder,[Malformation syndrome],Holoprosencephaly-postaxial polydactyly syndrome,[Pseudo-trisomy 13 syndrome]
GARD:0000345,Disorder,[Malformation syndrome],X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome,[Young-Hughes syndrome]
GARD:0000346,Disorder,[Disease],Hoyeraal-Hreidarsson syndrome,[Progressive pancytopenia-immunodeficiency-cerebellar hypoplasia syndrome]
GARD:0000347,Disorder,[Disease],Pancreatic hypoplasia-diabetes-congenital heart disease syndrome,[Yorifuji-Okuno syndrome]
GARD:0000348,Disorder,[Disease],Yolk sac tumor,[Endodermal sinus tumor]
GARD:0000350,Disorder,[Malformation syndrome],Skeletal dysplasia-epilepsy-short stature syndrome,[Gurrieri-Sammito-Bellussi syndrome]
GARD:0000351,Disorder,[Malformation syndrome],Dacryocystitis-osteopoikilosis syndrome,[Gunal-Seber-Basaran syndrome]
GARD:0000354,Disorder,[Malformation syndrome],Osteopenia-intellectual disability-sparse hair syndrome,[Kaler-Garrity-Stern syndrome]
GARD:0000358,Disorder,[Malformation syndrome],W syndrome,[Pallister-W syndrome]
GARD:0000359,Disorder,[Malformation syndrome],Cranioectodermal dysplasia,"[CED, Sensenbrenner syndrome]"
GARD:0000360,Disorder,[Malformation syndrome],Abruzzo-Erickson syndrome,"[CHARGE-like syndrome, Cleft palate-coloboma-deafness syndrome, Cleft palate-coloboma-hearing loss syndrome]"
GARD:0000361,Disorder,[Malformation syndrome],Acalvaria,[Primary acalvaria]
GARD:0000363,Disorder,[Disease],Acatalasemia,[Catalase deficiency]
GARD:0000364,Disorder,[Malformation syndrome],Isolated arrhinia,[Isolated nose agenesis]
GARD:0000365,Disorder,[Disease],Aromatase deficiency,[Congenital estrogen deficiency]
GARD:0000368,Disorder,[Disease],Laryngo-onycho-cutaneous syndrome,"[LOC syndrome, LOGIC syndrome, Laryngeal and ocular granulation tissue in children from the Indian subcontinent syndrome, Shabbir syndrome]"
GARD:0000369,Disorder,[Malformation syndrome],Xq21 microdeletion syndrome,"[Ayazi syndrome, Del(X)(q21), Monosomy Xq21]"
GARD:0000370,Disorder,[Disease],Cholestasis-lymphedema syndrome,[Aagenaes syndrome]
GARD:0000371,Disorder,[Disease],Qazi-Markouizos syndrome,[Dysharmonic skeletal maturation-muscular fiber disproportion syndrome]
GARD:0000372,Disorder,[Malformation syndrome],Neurofibromatosis-Noonan syndrome,"[NFNS, Neurofibromatosis type 1-Noonan syndrome]"
GARD:0000373,Disorder,[Disease],Quinquaud folliculitis decalvans,
GARD:0000374,Disorder,[Malformation syndrome],Pectus excavatum-macrocephaly-dysplastic nails syndrome,[Zori-Stalker-Williams syndrome]
GARD:0000375,Disorder,[Malformation syndrome],Cleft lip/palate-ectodermal dysplasia syndrome,"[CLPED1, Cleft lip/palate-syndactyly-pili torti syndrome, Syndactyly-ectodermal dysplasia-cleft/lip palate, Zlotogora-Ogur syndrome]"
GARD:0000376,Disorder,[Morphological anomaly],Acheiropodia,[Acheiropody]
