,Gene,Disease
216,ephrin type-a receptor 2,
217,epithelial cell kinase,
218,tyrosine-protein kinase receptor eck,
219,2.7.10.1,
220,developmentally-regulated eph-related tyrosine kinase,
221,drt,
222,ek5,
223,elk-related tyrosine kinase,
224,ephb2,ORPHA:1331
225,ephb2/ctf1,
226,ephb2/ctf2,
227,eph-like kinase 5,
228,ephrin type-b receptor 2,
229,epht3,
230,eph tyrosine kinase 3,
231,epth3,
232,erk,
233,hek5,
234,hek5,
235,renal carcinoma antigen ny-ren-47,
236,tyro5,
237,tyrosine-protein kinase receptor eph-3,
238,tyrosine-protein kinase tyro5,
239,2.7.10.1,
240,brain-specific kinase,
241,bsk,
242,ehk1,
243,ehk-1,
244,ek7,
245,epha5,
246,eph homology kinase 1,
247,eph-like kinase 7,
248,ephrin type-a receptor 5,
249,hek7,
250,hek7,
251,tyro4,
252,2.7.10.1,
253,ek8,
254,epha4,ORPHA:803
255,eph-like kinase 8,
256,ephrin type-a receptor 4,
257,hek8,
258,hek8,
259,sek,
260,tyro1,
261,tyrosine-protein kinase receptor sek,
262,tyrosine-protein kinase tyro1,
263,2.7.10.1,
264,eek,
265,ek3,
266,epha8,
267,eph- and elk-related kinase,
268,eph-like kinase 3,
269,ephrin type-a receptor 8,
270,hek3,
271,hek3,
272,kiaa1459,
273,tyrosine-protein kinase receptor eek,
274,2.7.10.1,
275,ehk2,
276,ehk-2,
277,ek12,
278,epha6,
279,eph homology kinase 2,
280,eph-like kinase 12,
281,ephrin type-a receptor 6,
282,hek12,
283,2.7.10.1,
284,ehk3,
285,ehk-3,
286,ek11,
287,epha7,
288,eph homology kinase 3,
289,eph-like kinase 11,
290,ephrin type-a receptor 7,
291,hek11,
292,hek11,
293,2.7.10.1,
294,ek2,
295,embryonic kinase 2,
296,ephb3,
297,eph-like kinase 2,
298,eph-like tyrosine kinase 2,
299,ephrin type-b receptor 3,
300,etk2,
301,hek2,
302,hek2,
303,tyro6,
304,tyrosine-protein kinase tyro6,
305,2.7.10.1,
306,ek4,
307,epha3,
308,eph-like kinase 4,
309,eph-like tyrosine kinase 1,
310,ephrin type-a receptor 3,
311,etk,
312,etk1,
313,hek,
314,hek,
315,hek4,
316,human embryo kinase,
317,tyro4,
318,tyrosine-protein kinase receptor etk1,
319,tyrosine-protein kinase tyro4,
320,2.7.10.1,
321,ek6,
322,elk,
323,elk,
324,ephb1,
325,eph-like kinase 6,
326,ephrin type-b receptor 1,
327,epht2,
328,eph tyrosine kinase 2,
329,hek6,
330,hek6,
331,net,
332,net,
333,neuronally-expressed eph-related tyrosine kinase,
334,tyrosine-protein kinase receptor eph-2,
335,2.7.10.1,
336,ephb4,ORPHA:568065
337,ephrin type-b receptor 4,
338,hepatoma transmembrane kinase,
339,htk,
340,myk1,
341,tyro11,
342,tyrosine-protein kinase tyro11,
343,2.7.10.1,
344,eph,
345,epha1,
346,ephrin type-a receptor 1,
347,epht,
348,epht1,
349,eph tyrosine kinase,
350,eph tyrosine kinase 1,
351,erythropoietin-producing hepatoma receptor,
352,hepha1,
353,tyrosine-protein kinase receptor eph,
354,ephb6,
355,ephrin type-b receptor 6,
356,hep,
357,tyrosine-protein kinase-defective receptor eph-6,
358,2.7.10.1,
359,epha10,OMIM:620283
360,ephrin type-a receptor 10,
361,2.7.11.20,
362,calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase,
363,eef-2k,
364,eef2k,
365,eef-2 kinase,
366,eukaryotic elongation factor 2 kinase,
367,ig superfamily receptor lnir,
368,lnir,
369,nectin-4,
370,nectin4,ORPHA:247820
371,nectin cell adhesion molecule 4,
372,poliovirus receptor-related protein 4,
373,processed poliovirus receptor-related protein 4,
374,prr4,
375,pvrl4,
376,synonyms=lnir,
377,bcng1,
378,bcng-1,
379,brain cyclic nucleotide-gated channel 1,
380,hcn1,ORPHA:442835
381,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,
382,c-erba-2,
383,c-erba-beta,
384,erba2,
385,nr1a2,
386,nuclear receptor subfamily 1 group a member 2,
387,thr1,
388,thrb,ORPHA:566243
389,thyroid hormone receptor beta,
390,3.4.23.-,
391,h13,
392,himp1,
393,hm13,
394,imp1,
395,imp-1,
396,impas-1,
397,intramembrane protease 1,
398,minor histocompatibility antigen h13,
399,presenilin-like protein 3,
400,psl3,
401,signal peptide peptidase,
402,spp ,
403,2.5.1.18,
404,glutathione s-transferase mu 2,
405,gst4,
406,gst class-mu 2,
407,gstm2,
408,gstm2-2,
409,2.6.1.2,
410,aat1,
411,alanine aminotransferase 1,
412,alt1,
413,glutamate pyruvate transaminase 1,
414,glutamic--alanine transaminase 1,
415,glutamic--pyruvic transaminase 1,
416,gpt,
417,gpt1,
418,gpt 1,
419,2.7.11.1,
420,2.7.11.31,
421,5'-amp-activated protein kinase catalytic subunit alpha-2,
422,acaca kinase,
423,acetyl-coa carboxylase kinase,
424,ampk,
425,ampk2,
426,ampk subunit alpha-2,
427,hmgcr kinase,
428,hydroxymethylglutaryl-coa reductase kinase,
429,prkaa2,
430,5'-amp-activated protein kinase subunit beta-2,
431,ampk subunit beta-2,
432,prkab2,
433,5'-amp-activated protein kinase subunit gamma-1,
434,ampkg,
435,ampk gamma1,
436,ampk subunit gamma-1,
437,prkag1,
438,2.7.10.1,
439,flt4,ORPHA:464293
440,flt-4,
441,fms-like tyrosine kinase 4,
442,tyrosine-protein kinase receptor flt4,
443,vascular endothelial growth factor receptor 3,
444,vegfr3,
445,vegfr-3,
446,protein g7,
447,pvhl,
448,vhl,ORPHA:29072
449,von hippel-lindau disease tumor suppressor,
450,cul9,
451,cul-9,
452,cullin-9,
453,h7ap1,
454,kiaa0708,
455,p53-associated parkin-like cytoplasmic protein,
456,parc,
457,ubch7-associated protein 1,
458,1.14.17.1,
459,dbh,ORPHA:230
460,dopamine beta-hydroxylase,
461,dopamine beta-monooxygenase,
462,soluble dopamine beta-hydroxylase,
463,edg8,
464,endothelial differentiation g-protein-coupled receptor 8,
465,s1p5,
466,s1pr5,
467,s1p receptor 5,
468,s1p receptor edg-8,
469,sphingosine 1-phosphate receptor 5,
470,sphingosine 1-phosphate receptor edg-8,
471,3.4.14.1,
472,cathepsin c,
473,cathepsin j,
474,cppi,
475,ctsc,ORPHA:678
476,dipeptidyl peptidase 1,
477,dipeptidyl peptidase 1 exclusion domain chain,
478,dipeptidyl peptidase 1 heavy chain,
479,dipeptidyl peptidase 1 light chain,
480,dipeptidyl peptidase i,
481,dipeptidyl peptidase i exclusion domain chain,
482,dipeptidyl peptidase i heavy chain,
483,dipeptidyl peptidase i light chain,
484,dipeptidyl transferase,
485,dppi,
486,dpp-i,
487,2.3.2.26,
488,e3 ubiquitin-protein ligase smurf1,
489,hect-type e3 ubiquitin transferase smurf1,
490,hsmurf1,
491,kiaa1625,
492,smad-specific e3 ubiquitin-protein ligase 1,
493,smad ubiquitination regulatory factor 1,
494,smurf1,
495,3.1.3.16,
496,ctd phosphatase ssu72,
497,rna polymerase ii subunit a c-terminal domain phosphatase ssu72,
498,ssu72,
499,nadph oxidase organizer 1,
500,nadph oxidase regulatory protein,
501,noxo1,
502,nox organizer 1,
503,nox-organizing protein 1,
504,p41nox,
505,sh3 and px domain-containing protein 5,
506,sh3pxd5,
507,apoptosis regulator bcl-2,
508,bcl2,ORPHA:545
509,bcl2-interacting mediator of cell death,
510,bcl2-l-11,
511,bcl2l11,
512,bcl-2-like protein 11,
513,bim,
514,3.4.21.22,
515,christmas factor,
516,coagulation factor ix,
517,coagulation factor ixa heavy chain,
518,coagulation factor ixa light chain,
519,f9,ORPHA:169796
520,plasma thromboplastin component,
521,ptc,
522,2.7.10.1,
523,flt4,ORPHA:464293
524,flt-4,
525,fms-like tyrosine kinase 4,
526,tyrosine-protein kinase receptor flt4,
527,vascular endothelial growth factor receptor 3,
528,vegfr3,
529,vegfr-3,
530,2.7.10.2,
531,fadk 1,
532,fak,
533,fak1,
534,focal adhesion kinase 1,
535,focal adhesion kinase-related nonkinase,
536,frnk,
537,p125fak,
538,pp125fak,
539,ppp1r71,
540,protein phosphatase 1 regulatory subunit 71,
541,protein-tyrosine kinase 2,
542,ptk2,
543,3.4.22.16,
544,cathepsin h,
545,cathepsin h heavy chain,
546,cathepsin h light chain,
547,cathepsin h mini chain,
548,cpsb,
549,ctsh,ORPHA:2073
550,pro-cathepsin h,
551,3.4.22.38,
552,cathepsin k,
553,cathepsin o,
554,cathepsin o2,
555,cathepsin x,
556,ctsk,ORPHA:763
557,ctso,
558,ctso2,
559,proteasome chain 13,
560,proteasome component c10-ii,
561,proteasome subunit beta type-3,
562,proteasome theta chain,
563,psmb3,
564,signal transducer and activator of transcription 1-alpha/beta,
565,stat1,ORPHA:319595
566,transcription factor isgf-3 components p91/p84,
567,ent1,
568,equilibrative nbmpr-sensitive nucleoside transporter,
569,equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter,
570,equilibrative nucleoside transporter 1,
571,es nucleoside transporter,
572,hent1,
573,"nucleoside transporter, es-type",
574,slc29a1,
575,solute carrier family 29 member 1,
576,3.4.14.10,
577,tpp2,ORPHA:444463
578,tpp-2,
579,tpp-ii,
580,tripeptidyl aminopeptidase,
581,tripeptidyl-peptidase 2,
582,tripeptidyl-peptidase ii,
583,gpr135,
584,g-protein coupled receptor 135,
585,complex iii subunit 9,
586,complex iii subunit x,
587,cytochrome b-c1 complex subunit 9,
588,cytochrome c1 non-heme 7 kda protein,
589,ubiquinol-cytochrome c reductase complex 7.2 kda protein,
590,ucrc ,
591,uqcr10,
592,2.7.10.1,
593,cd167 antigen-like family member b,
594,cd_antigen=cd167b,
595,ddr2,ORPHA:93358
596,discoidin domain-containing receptor 2,
597,discoidin domain-containing receptor tyrosine kinase 2,
598,discoidin domain receptor 2,
599,"neurotrophic tyrosine kinase, receptor-related 3",
600,ntrkr3,
601,receptor protein-tyrosine kinase tkt,
602,tkt,ORPHA:488618
603,tyro10,
604,tyrosine-protein kinase tyro10,
605,eaa3,
606,excitatory amino acid receptor 3,
607,gluk1,
608,glur5,
609,glur-5,
610,glur5,
611,glutamate receptor 5,
612,"glutamate receptor ionotropic, kainate 1",
613,grik1,
614,eaa2,
615,excitatory amino acid receptor 2,
616,gluk5,
617,"glutamate receptor ionotropic, kainate 5",
618,glutamate receptor ka-2,
619,grik2,ORPHA:88616
620,grik5,
621,ka2,
622,eaa1,
623,excitatory amino acid receptor 1,
624,gluk4,
625,"glutamate receptor ionotropic, kainate 4",
626,glutamate receptor ka-1,
627,grik,
628,grik4,
629,ka1,
630,eaa4,
631,excitatory amino acid receptor 4,
632,gluk2,
633,glur6,
634,glur-6,
635,glur6,
636,glutamate receptor 6,
637,"glutamate receptor ionotropic, kainate 2",
638,grik2,ORPHA:88616
639,eaa5,
640,excitatory amino acid receptor 5,
641,gluk3,
642,glur7,
643,glur-7,
644,glur7,
645,glutamate receptor 7,
646,"glutamate receptor ionotropic, kainate 3",
647,grik3,
648,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",
649,3.1.4.11,
650,phosphoinositide phospholipase c-beta-3,
651,phospholipase c-beta-3,
652,plcb3,ORPHA:589435
653,plc-beta-3,
654,hut11,
655,jk,
656,rach1,
657,slc14a1,OMIM:111000
658,solute carrier family 14 member 1,
659,urea transporter 1,
660,"urea transporter, erythrocyte",
661,ut1,
662,ute,
663,3.1.3.48,
664,cdc25c,
665,dual specificity phosphatase cdc25c,
666,m-phase inducer phosphatase 3,
667,gaba(a) receptor subunit alpha-1,
668,gabra1,ORPHA:33069
669,gamma-aminobutyric acid receptor subunit alpha-1,
670,gaba(a) receptor subunit gamma-2,
671,gabrg2,ORPHA:33069
672,gamma-aminobutyric acid receptor subunit gamma-2,
673,gaba(a) receptor subunit beta-1,
674,gabrb1,OMIM:617153
675,gamma-aminobutyric acid receptor subunit beta-1,
676,1.2.1.19,
677,1.2.1.28,
678,1.2.1.3,
679,1.2.1.36,
680,3-deoxyglucosone dehydrogenase,
681,aldehyde dehydrogenase 1a1,
682,"aldehyde dehydrogenase, cytosolic",
683,aldehyde dehydrogenase family 1 member a1,
684,aldh1,
685,aldh1a1,
686,aldh-e1,
687,alhdii,
688,pumb1,
689,pumb1 gn  ,
690,raldh1,
691,raldh 1,
692,retinal dehydrogenase 1,
693,synonyms=aldc,
694,3.6.4.12,
695,dna polymerase alpha holoenzyme-associated protein p1,
696,dna replication licensing factor mcm3,
697,mcm3,
698,p102,
699,p1-mcm3,
700,rlf subunit beta,
701,2.7.11.1,
702,kiaa0623,
703,serine/threonine-protein kinase ulk2,
704,ulk2,
705,unc-51-like kinase 2,
706,2.7.11.1,
707,mos,OMIM:620383
708,oocyte maturation factor mos,
709,proto-oncogene c-mos,
710,proto-oncogene serine/threonine-protein kinase mos,
711,3.4.11.18,
712,kiaa0094,
713,map 1,
714,metap 1,
715,metap1,
716,methionine aminopeptidase 1,
717,peptidase m 1,
718,2.7.11.1,
719,fk506-binding protein 12-rapamycin complex-associated protein 1,
720,fkbp12-rapamycin complex-associated protein,
721,frap,
722,frap1,
723,frap2,
724,mammalian target of rapamycin,
725,mechanistic target of rapamycin,
726,mtor,ORPHA:457485
727,mtor,ORPHA:457485
728,raft1,
729,rapamycin and fkbp12 target 1,
730,rapamycin target protein 1,
731,rapt1,
732,serine/threonine-protein kinase mtor,
733,synonyms=frap,
734,avo3 homolog,
735,havo3,
736,rapamycin-insensitive companion of mtor,
737,rictor,
738,synonyms=kiaa1999,
739,gable,
740,gbl,
741,g protein beta subunit-like,
742,lst8,
743,mammalian lethal with sec13 protein 8,
744,mlst8,
745,mlst8,
746,protein gbetal,
747,synonyms=gbl,
748,target of rapamycin complex subunit lst8,
749,torc subunit lst8,
750,mapkap1,
751,mip1,
752,mitogen-activated protein kinase 2-associated protein 1,
753,msin1,
754,sapk-interacting protein 1,
755,sin1,
756,stress-activated map kinase-interacting protein 1,
757,target of rapamycin complex 2 subunit mapkap1,
758,torc2 subunit mapkap1,
759,hnan,
760,peripheral nerve sodium channel 5,
761,pn5,
762,scn11a,ORPHA:46348
763,scn12a,
764,sensory neuron sodium channel 2,
765,sns2,
766,sns2 gn  ,
767,sodium channel protein type 11 subunit alpha,
768,sodium channel protein type xi subunit alpha,
769,synonyms=scn12a,
770,voltage-gated sodium channel subunit alpha nav1.9,
771,ryanodine receptor 1,
772,rydr,
773,ryr1,ORPHA:99741
774,ryr1,ORPHA:99741
775,ryr-1,
776,skeletal muscle calcium release channel,
777,skeletal muscle ryanodine receptor,
778,skeletal muscle-type ryanodine receptor,
779,type 1 ryanodine receptor,
780,12 kda fk506-binding protein,
781,12 kda fkbp,
782,5.2.1.8,
783,calstabin-1,
784,fk506-binding protein 1a,
785,fkbp1,
786,fkbp12,
787,fkbp-12,
788,fkbp1a,
789,fkbp-1a,
790,immunophilin fkbp12,
791,peptidyl-prolyl cis-trans isomerase fkbp1a,
792,ppiase fkbp1a,
793,rotamase,
794,b-cell lymphoma 5 protein,
795,b-cell lymphoma 6 protein,
796,bcl5,
797,bcl-5,
798,bcl6,ORPHA:545
799,bcl-6,
800,laz3,
801,protein laz-3,
802,zbtb27,
803,zinc finger and btb domain-containing protein 27,
804,zinc finger protein 51,
805,znf51,
806,bcl-6 corepressor,
807,bcor,ORPHA:457246
808,bcor,ORPHA:457246
809,kiaa1575,
810,amphiregulin-associated protein,
811,arap,
812,mdk,
813,midgestation and kidney protein,
814,midkine,
815,mk1,
816,negf2,
817,neurite outgrowth-promoting factor 2,
818,neurite outgrowth-promoting protein,
819,lap,
820,latency-associated peptide,
821,tgfb,
822,tgfb1,ORPHA:565788
823,tgf-beta-1,
824,transforming growth factor beta-1,
825,transforming growth factor beta-1 proprotein,
826,6.2.1.-,
827,6.2.1.15,
828,6.2.1.3,
829,acsvl4,
830,acsvl4,
831,arachidonate--coa ligase,
832,fatp4,
833,fatp-4,
834,fatty acid transport protein 4,
835,long-chain-fatty-acid--coa ligase,
836,long-chain fatty acid transport protein 4,
837,slc27a4,ORPHA:88621
838,solute carrier family 27 member 4,
839,synonyms=acsvl4,
840,very long-chain acyl-coa synthetase 4,
841,2.4.1.155,
842,"alpha-1,6-mannosylglycoprotein 6-beta-n-acetylglucosaminyltransferase a",
843,"alpha-mannoside beta-1,6-n-acetylglucosaminyltransferase v",
844,ggnt5,
845,glcnac-t v,
846,gnt-v,
847,mannoside acetylglucosaminyltransferase 5,
848,mgat5,
849,n-acetylglucosaminyl-transferase v,
850,"secreted alpha-1,6-mannosylglycoprotein 6-beta-n-acetylglucosaminyltransferase a",
851,"secreted beta-1,6-n-acetylglucosaminyltransferase v",
852,secreted gnt-v,
853,hoat3,
854,oat3,
855,organic anion/dicarboxylate exchanger,
856,organic anion transporter 3,
857,slc22a8,
858,solute carrier family 22 member 8,
859,glun1,
860,glutamate [nmda] receptor subunit zeta-1,
861,"glutamate receptor ionotropic, nmda 1",
862,grin1,ORPHA:1934
863,nmdar1,
864,nmd-r1,
865,n-methyl-d-aspartate receptor subunit nr1,
866,glun2a,
867,glutamate [nmda] receptor subunit epsilon-1,
868,"glutamate receptor ionotropic, nmda 2a",
869,grin2a,ORPHA:289266
870,hnr2a,
871,nmdar2a,
872,nmdar2a,
873,n-methyl d-aspartate receptor subtype 2a,
874,nr2a,
875,glun2b,
876,glutamate [nmda] receptor subunit epsilon-2,
877,"glutamate receptor ionotropic, nmda 2b",
878,grin2b,ORPHA:3451
879,hnr3,
880,nmdar2b,
881,nmdar2b,
882,n-methyl d-aspartate receptor subtype 2b,
883,n-methyl-d-aspartate receptor subunit 3,
884,nr2b,
885,nr3,
886,eb11,
887,glun2d,
888,glun2d,
889,glutamate [nmda] receptor subunit epsilon-4,
890,"glutamate receptor ionotropic, nmda 2d",
891,grin2d,ORPHA:442835
892,nmdar2d,
893,nmdar2d,
894,n-methyl d-aspartate receptor subtype 2d,
895,nr2d,
896,glun3b,
897,"glutamate receptor ionotropic, nmda 3b",
898,grin3b,
899,nmdar3b,
900,n-methyl-d-aspartate receptor subtype 3b,
901,nr3b,
902,glun2c,
903,glutamate [nmda] receptor subunit epsilon-3,
904,"glutamate receptor ionotropic, nmda 2c",
905,grin2c,
906,nmdar2c,
907,nmdar2c,
908,n-methyl d-aspartate receptor subtype 2c,
909,nr2c,
910,glun3a,
911,"glutamate receptor ionotropic, nmda 3a",
912,grin3a,
913,kiaa1973,
914,nmdar3a,
915,nmdar-l,
916,n-methyl-d-aspartate receptor subtype 3a,
917,nr3a,
918,p2ry6,
919,p2y6,
920,p2y purinoceptor 6,
921,bmp6,ORPHA:465508
922,bmp-6,
923,bone morphogenetic protein 6,
924,vg-1-r,
925,vg-1-related protein,
926,vgr,
927,vgr-1,
928,hn1,
929,neurogenic locus notch homolog protein 1,
930,next,
931,nicd,
932,notch 1,
933,notch1,ORPHA:402075
934,notch 1 extracellular truncation,
935,notch 1 intracellular domain,
936,tan1,
937,translocation-associated notch protein tan-1,
938,gpr157,
939,g-protein coupled receptor 157,
940,2.7.4.6,
941,gaad,
942,granzyme a-activated dnase,
943,metastasis inhibition factor nm23,
944,ndk a,
945,ndpka,
946,ndp kinase a,
947,nm23,
948,nm23-h1,
949,nme1,
950,nucleoside diphosphate kinase a,
951,tumor metastatic process-associated protein,
952,apol,
953,apo-l,
954,apol,
955,apol1,ORPHA:656
956,apol-i,
957,apolipoprotein l,
958,apolipoprotein l1,
959,apolipoprotein l-i,
960,3.2.1.18,
961,acetylneuraminyl hydrolase,
962,g9 sialidase,
963,lysosomal sialidase,
964,n-acetyl-alpha-neuraminidase 1,
965,nanh,
966,neu1,ORPHA:93400
967,sialidase-1,
968,ftp3,
969,ftp-3,
970,heterogeneous nuclear ribonucleoprotein h',
971,heterogeneous nuclear ribonucleoprotein h2,
972,"heterogeneous nuclear ribonucleoprotein h2, n-terminally processed",
973,hnrnp h',
974,hnrnp h2,
975,hnrnph2,OMIM:300986
976,hnrph2,
977,2.7.11.22,
978,2.7.11.23,
979,"cdc2-related kinase, arginine/serine-rich",
980,cdc2-related protein kinase 7,
981,cdk12,
982,cell division cycle 2-related protein kinase 7,
983,cell division protein kinase 12,
984,crk7,
985,crkrs,
986,crkrs,
987,cyclin-dependent kinase 12,
988,hcdk12,
989,kiaa0904,
990,car,
991,car,
992,constitutive activator of retinoid response,
993,constitutive active response,
994,constitutive androstane receptor,
995,nr1i3,
996,nuclear receptor subfamily 1 group i member 3,
997,orphan nuclear receptor mb67,
998,admr,
999,gpr182,
1000,g-protein coupled receptor 182,
1001,2.7.11.13,
1002,epk2,
1003,npkc-nu,
1004,prkcn,
1005,prkd3,
1006,protein kinase c nu type,
1007,protein kinase epk2,
1008,serine/threonine-protein kinase d3,
1009,2.7.11.13,
1010,pkca,
1011,pkc-a,
1012,pkc-alpha,
1013,prkaca,ORPHA:401920
1014,prkca,
1015,protein kinase c alpha type,
1016,2.7.11.13,
1017,pkcg,
1018,pkc-gamma,
1019,prkcg,ORPHA:98763
1020,protein kinase c gamma type,
1021,2.7.10.2,
1022,2.7.11.13,
1023,npkc-delta,
1024,prkcd,ORPHA:1572
1025,protein kinase c delta type,
1026,protein kinase c delta type catalytic subunit,
1027,protein kinase c delta type regulatory subunit,
1028,sdk1,
1029,sphingosine-dependent protein kinase-1,
1030,synonyms=pkcd,
1031,tyrosine-protein kinase prkcd,
1032,2.7.11.13,
1033,pkcb,
1034,pkc-b,
1035,pkc-beta,
1036,prkcb,
1037,prkcb1,
1038,protein kinase c beta type,
1039,2.7.11.13,
1040,npkc-epsilon,
1041,pkce,
1042,prkce,
1043,protein kinase c epsilon type,
1044,2.7.11.13,
1045,npkc-eta,
1046,pkcl,
1047,pkc-l,
1048,prkch,OMIM:601367
1049,prkcl,
1050,protein kinase c eta type,
1051,2.7.11.13,
1052,npkc-d1,
1053,npkc-mu,
1054,pkd,
1055,pkd1,ORPHA:88924
1056,prkcm,
1057,prkd1,ORPHA:500481
1058,protein kinase c mu type,
1059,protein kinase d,
1060,serine/threonine-protein kinase d1,
1061,2.7.11.13,
1062,npkc-theta,
1063,prkcq,
