GardId,GardName,Synonyms
"""GARD:0000073""",x-linked hyper-igm syndrome,"['higm1', 'hyper-igm syndrome due to cd40 ligand deficiency', 'hyper-igm syndrome due to cd40l deficiency', 'hyper-igm syndrome type 1', 'xhigm']"
"""GARD:0000076""",hypohidrotic ectodermal dysplasia,"['anhidrotic ectodermal dysplasia', 'hed']"
"""GARD:0000079""","metaphyseal chondrodysplasia, jansen type",[]
"""GARD:0000080""",johanson-blizzard syndrome,['jbs']
"""GARD:0000081""","intellectual developmental disorder, x-linked, syndromic, turner type","['mental retardation and macrocephaly syndrome', 'mental retardation; x-linked; with growth retardation; deafness; and microgenitalism', 'juberg-marsidi syndrome', 'mental retardation; x-linked; syndromic; brooks-wisniewski-brown type', 'mental retardation; x-linked; syndromic; turner type', 'brooks-wisniewski-brown syndrome']"
"""GARD:0000082""",kbg syndrome,['short stature-facial and skeletal anomalies-intellectual disability-macrodontia syndrome']
"""GARD:0000083""",autosomal dominant kenny-caffey syndrome,[]
"""GARD:0000084""","lipodystrophy, congenital generalized, type 1","['lipodystrophy; berardinelli-seip congenital; type 1', 'berardinelli-seip congenital lipodystrophy; type 1', 'brunzell syndrome; agpat2-related']"
"""GARD:0000085""",thanatophoric dysplasia,['td']
"""GARD:0000086""",chudley-mccullough syndrome,[]
"""GARD:0000087""","microphthalmia, lenz type",['lenz microphthalmia']
"""GARD:0000088""",leri pleonosteosis,[]
"""GARD:0000092""",mal de meleda,"['keratosis palmoplantaris transgrediens of siemens', 'meleda disease', 'transgrediens palmoplantar keratoderma of siemens']"
"""GARD:0000093""",monilethrix,['moniliform hair syndrome']
"""GARD:0000094""",mucolipidosis type iv,[]
"""GARD:0000095""",mulibrey nanism,"['mul', 'mulibrey growth disorder', 'muscle-liver-brain-eye nanism']"
"""GARD:0000101""",centronuclear myopathy,['cnm']
"""GARD:0000102""",neu-laxova syndrome,[]
"""GARD:0000104""",ochoa syndrome,"['hydronephrosis-inverted smile syndrome', 'inverted smile-neurogenic bladder syndrome', 'partial facial palsy with urinary abnormalities', 'urofacial syndrome']"
"""GARD:0000105""","oculocerebral hypopigmentation syndrome, cross type",['cross syndrome']
"""GARD:0000106""",oculocerebrocutaneous syndrome,"['delleman syndrome', 'delleman-oorthuys syndrome', 'leichtman-wood-rohn syndrome', 'occs', 'orbital cyst with cerebral and focal dermal malformations']"
"""GARD:0000108""",adult polyglucosan body disease,['apbd']
"""GARD:0000109""",progressive osseous heteroplasia,"['familial ectopic ossification', 'poh']"
"""GARD:0000111""",recurrent respiratory papillomatosis,[]
"""GARD:0000112""",infant acute respiratory distress syndrome,"['hyaline membrane disease', 'infant ards', 'infant respiratory distress syndrome', 'neonatal respiratory distress syndrome']"
"""GARD:0000114""",x-linked charcot-marie-tooth disease type 5,"['cmt5x', 'cmtx5']"
"""GARD:0000116""",alpha-n-acetylgalactosaminidase deficiency type 1,"['naga deficiency type 1', 'schindler disease type 1']"
"""GARD:0000117""",schinzel-giedion syndrome,['sgs']
"""GARD:0000118""",ulnar-mammary syndrome,"['pallister ulnar-mammary syndrome', 'schinzel syndrome', 'ums']"
"""GARD:0000121""",focal facial dermal dysplasia type iii,"['ffdd type iii', 'ffdd3', 'focal facial dermal dysplasia 3; setleis type', 'setleis syndrome']"
"""GARD:0000122""",singleton-merten dysplasia,['singleton-merten syndrome']
"""GARD:0000125""",acrokeratoelastoidosis of costa,"['ake', 'ppkp3', 'punctate palmoplantar hyperkeratosis type 3', 'punctate palmoplantar keratoderma type 3']"
"""GARD:0000127""",summitt syndrome,[]
"""GARD:0000132""",primary cutaneous amyloidosis,"['plca', 'primary localized cutaneous amyloidosis']"
"""GARD:0000134""","spondyloepimetaphyseal dysplasia congenita, strudwick type",[]
"""GARD:0000139""",familial atrial myxoma,[]
"""GARD:0000140""",atresia of small intestine,"['apple peel syndrome', 'intestinal atresia type iiib', 'jejunal atresia', 'jejunoileal atresia', 'small intestinal atresia']"
"""GARD:0000143""",hypertrichosis cubiti,"['hairy elbows syndrome', 'macdermot-patton-williams syndrome']"
"""GARD:0000144""",prominent glabella-microcephaly-hypogenitalism syndrome,['macdermot-winter syndrome']
"""GARD:0000155""",laurin-sandrow syndrome,"['mirror hands and feets-nasal defects syndrome', 'sandrow syndrome']"
"""GARD:0000156""",muscle-eye-brain disease,"['meb syndrome', 'muscle-eye-brain syndrome', 'santavuori congenital muscular dystrophy']"
"""GARD:0000157""",hirschsprung disease-deafness-polydactyly syndrome,"['hirschsprung disease-hearing loss-polydactyly syndrome', 'santos-mateus-leal syndrome']"
"""GARD:0000158""",sarcosinemia,['sarcosine dehydrogenase complex deficiency']
"""GARD:0000159""",scalp-ear-nipple syndrome,['finlay-marks syndrome']
"""GARD:0000160""",satoyoshi syndrome,['komuragaeri disease']
"""GARD:0000162""",cleft palate-large ears-small head syndrome,['say-barber-hobbs syndrome']
"""GARD:0000166""",schizencephaly,[]
"""GARD:0000169""",schneckenbecken dysplasia,"['chondrodysplasia with snail-like pelvis', 'slc35d1-cdg']"
"""GARD:0000172""",macrocephaly-short stature-paraplegia syndrome,['volcke-soekarman syndrome']
"""GARD:0000175""","free sialic acid storage disease, infantile form",['issd']
"""GARD:0000176""",macrophagic myofasciitis,['mmf']
"""GARD:0000177""",macrosomia-microphthalmia-cleft palate syndrome,['teebi-al saleh-hassoon syndrome']
"""GARD:0000178""",momo syndrome,"['macrocephaly-obesity-mental disability-ocular abnormalities syndrome', 'macrosomia-obesity-macrocephaly-ocular abnormalities syndrome']"
"""GARD:0000180""",myh9-related disease,"['myh9-rd', 'myh9-related disorder', 'myh9-related syndrome', 'myh9-related syndromic thrombocytopenia']"
"""GARD:0000181""",stargardt disease,"['fundus flavimaculatus', 'stargardt 1']"
"""GARD:0000182""",best vitelliform macular dystrophy,"['bmd', 'bvmd', 'best disease', 'best macular dystrophy', 'early-onset vitelliform macular dystrophy', 'juvenile-onset vitelliform macular dystrophy', 'polymorphic vitelline macular degeneration', 'vitelliform macular dystrophy type 2']"
"""GARD:0000184""",yellow nail syndrome,"['lymphedema with yellow nails', 'yns']"
"""GARD:0000192""",cataract-intellectual disability-anal atresia-urinary defects syndrome,['karandikar-maria-kamble syndrome']
"""GARD:0000193""",opitz gbbb syndrome,"['hypertelorism-hypospadias syndrome', 'hypertelorism-oesophageal abnormality-hypospadias syndrome', 'hypospadias-dysphagia syndrome', 'opitz bbb/g syndrome', 'opitz bbbg syndrome', 'opitz g/bbb syndrome', 'opitz-frias syndrome']"
"""GARD:0000194""",gamma-aminobutyric acid transaminase deficiency,['gaba transaminase deficiency']
"""GARD:0000195""",hyperkalemic periodic paralysis,"['adynamia episodica hereditaria', 'familial hyperpp', 'familial hyperkalemic periodic paralysis', 'gamstorp disease', 'gamstorp episodic adynamy', 'hypp', 'hyperkpp', 'hyperpp', 'hyperkalemic pp', 'primary hyperpp', 'primary hyperkalemic periodic paralysis']"
"""GARD:0000198""",proximal spinal muscular atrophy type 3,"['juvenile spinal muscular atrophy', 'kugelberg-welander disease', 'sma type 3', 'sma type iii', 'sma-iii', 'sma3']"
"""GARD:0000200""",central serous chorioretinopathy,['cscr']
"""GARD:0000201""",ascher syndrome,['blepharochalasis-double lip syndrome']
"""GARD:0000206""",nephronophthisis,[]
"""GARD:0000207""",alveolar echinococcosis,['echinococcus multilocularis infection']
"""GARD:0000212""","oculodental syndrome, rutherfurd type","['gingival hypertrophy-corneal dystrophy', 'rutherfurd syndrome']"
"""GARD:0000213""",axial mesodermal dysplasia spectrum,"['blastogenesis defect', 'russell-weaver-bull syndrome']"
"""GARD:0000215""",familial caudal dysgenesis,['rudd-klimek syndrome']
"""GARD:0000216""",camptodactyly-joint contractures-facial skeletal defects syndrome,['rozin camptodactyly syndrome']
"""GARD:0000218""",rotor syndrome,['hyperbilirubinemia; rotor type']
"""GARD:0000220""",peripartum cardiomyopathy,['postpartum cardiomyopathy']
"""GARD:0000221""",dilated cardiomyopathy,[]
"""GARD:0000223""",vestibular schwannoma,"['acoustic neurilemoma', 'acoustic neurinoma', 'acoustic neuroma']"
"""GARD:0000224""",radio-renal syndrome,[]
"""GARD:0000225""",radial hemimelia,"['congenital longitudinal deficiency of the radius', 'radial clubhand', 'radial longitidinal meromelia', 'radial ray agenesis']"
"""GARD:0000226""",rabson-mendenhall syndrome,[]
"""GARD:0000229""",gómez-lópez-hernández syndrome,"['cerebellotrigeminal-dermal dysplasia syndrome', 'craniosynostosis-alopecia-brain defect syndrome']"
"""GARD:0000230""",microcephaly-deafness-intellectual disability syndrome,"['kawashima-tsuji syndrome', 'microcephaly-hearing loss-intellectual disability syndrome']"
"""GARD:0000231""",cach syndrome,"['childhood ataxia with diffuse central nervous system hypomyelination', 'leukoencephalopathy with vanishing white matter', 'myelinosis centralis diffusa']"
"""GARD:0000232""",medullary sponge kidney,"['cacchi-ricci disease', 'msk', 'precalicial canalicular ectasia']"
"""GARD:0000234""",d-glyceric aciduria,"['d-glycerate kinase deficiency', 'd-glyceric acidemia']"
"""GARD:0000236""",hydrocephalus-blue sclerae-nephropathy syndrome,['daentl-townsend-siegel syndrome']
"""GARD:0000237""",dahlberg-borer-newcomer syndrome,"['dahlberg syndrome', 'lymphedema-hypoparathyroidism syndrome']"
"""GARD:0000238""",odontomatosis-aortae esophagus stenosis syndrome,['boder syndrome']
"""GARD:0000239""",say-barber-miller syndrome,['microcephaly-hypogammaglobulinemia-abnormal immunity syndrome']
"""GARD:0000241""",scalp defects-postaxial polydactyly syndrome,[]
"""GARD:0000243""",trigonocephaly-short stature-developmental delay syndrome,['say-meyer syndrome']
"""GARD:0000246""",schisis association,[]
"""GARD:0000247""",scarf syndrome,[]
"""GARD:0000248""",cataract-deafness-hypogonadism syndrome,"['cataract-hearing loss-hypogonadism syndrome', 'schaap-taylor-baraitser syndrome']"
"""GARD:0000249""","craniodiaphyseal dysplasia, autosomal dominant",[]
"""GARD:0000250""",schwartz-jampel syndrome,"['aberfeld syndrome', 'burton skeletal dysplasia', 'burton syndrome', 'catel-hempel syndrome', 'dysostosis enchondralis metaepiphysaria; catel-hempel type', 'myotonic chondrodystrophy', 'myotonic myopathy; dwarfism; chondrodystrophy; ocular and facial anomalies', 'osteochondromuscular dystrophy', 'sjs', 'sjs1', 'schwartz-jampel syndrome type 1', 'schwartz-jampel-aberfeld syndrome']"
"""GARD:0000257""",intellectual disability-balding-patella luxation-acromicria syndrome,['scholte-begeer-van essen syndrome']
"""GARD:0000258""",radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome,['schmitt-gillenwater-kelly syndrome']
"""GARD:0000259""",nephrogenic diabetes insipidus-intracranial calcification-facial dysmorphism syndrome,[]
"""GARD:0000262""",narp syndrome,"['neurogenic muscle weakness-ataxia-retinitis pigmentosa syndrome', 'neuropathy-ataxia-retinitis pigmentosa syndrome']"
"""GARD:0000264""",lowry-wood syndrome,['epiphyseal dysplasia-microcephaly-nystagmus syndrome']
"""GARD:0000265""",trichodental syndrome,['kersey syndrome']
"""GARD:0000267""",keipert syndrome,['nasodigitoacoustic syndrome']
"""GARD:0000269""",ivic syndrome,"['oculo-oto-radial syndrome', 'radial ray defects; hearing impairment; external ophthalmoplegia; and thrombocytopenia']"
"""GARD:0000270""",nicolaides-baraitser syndrome,['intellectual disability-sparse hair-brachydactyly syndrome']
"""GARD:0000272""",vacterl with hydrocephalus,['sujansky-leonard syndrome']
"""GARD:0000273""",wrinkly skin syndrome,"['wss', 'wrinkled skin syndrome']"
"""GARD:0000274""",x-linked immunoneurologic disorder,['woods-black-norbury syndrome']
"""GARD:0000276""",hypogonadotropic hypogonadism 12 with or without anosmia,"['eunuchoidism; familial hypogonadotropic', 'gonadotropin deficiency; familial idiopathic']"
"""GARD:0000277""",pilodental dysplasia-refractive errors syndrome,"['euhidrotic ectodermal dysplasia', 'kopysc-barczyk-krol syndrome']"
"""GARD:0000280""","hidrotic ectodermal dysplasia, halal type","['halal-setton-wang syndrome', 'trichodysplasia-abnormal dermatoglyphics-intellectual disability syndrome']"
"""GARD:0000282""",lethal osteosclerotic bone dysplasia,['raine syndrome']
"""GARD:0000284""",lymphedema-atrial septal defects-facial changes syndrome,"['irons-bhan syndrome', 'irons-bianchi syndrome']"
"""GARD:0000287""",hypertelorism-hypospadias-polysyndactyly syndrome,"['acrofrontofacionasal dysostosis type 2', 'acrofrontofacionasal syndrome type 2', 'naguib-richieri-costa syndrome']"
"""GARD:0000288""",hallermann-streiff syndrome,"['françois dyscephalic syndrome', 'oculomandibulofacial syndrome']"
"""GARD:0000290""",hallermann-streiff-like syndrome,"['dennis-fairhurst-moore syndrome', 'hallermann-streiff-françois syndrome; severe form', 'severe hallermann-streiff-françois syndrome']"
"""GARD:0000292""",ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome,['jagell-holmgren-hofer syndrome']
"""GARD:0000296""",short tarsus-absence of lower eyelashes syndrome,['lopes-gorlin syndrome']
"""GARD:0000298""",hypergonadotropic hypogonadism-cataract syndrome,['lubinsky syndrome']
"""GARD:0000299""",late-onset localized junctional epidermolysis bullosa-intellectual disability syndrome,['late-onset localized jeb-intellectual disability syndrome']
"""GARD:0000302""",kostmann syndrome,"['infantile agranulocytosis', 'severe congenital neutropenia type 3']"
"""GARD:0000304""",blau syndrome,[]
"""GARD:0000305""",conductive deafness-ptosis-skeletal anomalies syndrome,"['conductive hearing loss-ptosis-skeletal anomalies syndrome', 'jackson-barr syndrome']"
"""GARD:0000306""",camptodactyly-arthropathy-coxa-vara-pericarditis syndrome,"['arthropathy-camptodactyly syndrome', 'cacp syndrome', 'jacobs syndrome', 'pericarditis-arthropathy-camptodactyly syndrome']"
"""GARD:0000307""",jacobsen syndrome,"['11q terminal deletion syndrome', 'del(11)(q23.3)', 'del(11)(qter)', 'distal deletion 11q', 'distal monosomy 11q', 'monosomy 11qter', 'telomeric deletion 11q']"
"""GARD:0000310""",chime syndrome,"['coloboma-congenital heart disease-ichthyosiform dermatosis-intellectual disability-ear anomalies syndrome', 'congenital disorder of glycosylation due to pigl deficiency', 'neuroectodermal dysplasia; chime type', 'neuroectodermal syndrome; zunich type', 'pigl-cdg', 'zunich-kaye syndrome']"
"""GARD:0000312""",robinow syndrome,"['acral dysostosis with facial and genital abnormalities', 'fetal face syndrome', 'mesomelic dwarfism-small genitalia syndrome', 'robinow dwarfism', 'robinow-silverman-smith syndrome']"
"""GARD:0000314""",saccharopinuria,"['hyperlysinemia type ii', 'saccharopine dehydrogenase deficiency']"
"""GARD:0000319""",sacrococcygeal teratoma,[]
"""GARD:0000320""",fibulo-ulnar hypoplasia-renal anomalies syndrome,['saito-kuba-tsuruta syndrome']
"""GARD:0000321""",nail-patella-like renal disease,['salcedo syndrome']
"""GARD:0000322""",senior-loken syndrome,"['nephronophthisis with retinal dystrophy', 'renal dysplasia-retinal aplasia syndrome', 'slsn']"
"""GARD:0000324""",hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,['salti-salem syndrome']
"""GARD:0000325""",twin to twin transfusion syndrome,['feto-fetal transfusion syndrome']
"""GARD:0000329""",wells syndrome,['eosinophilic cellulitis']
"""GARD:0000330""",wiedemann-rautenstrauch syndrome,['neonatal progeroid syndrome']
"""GARD:0000331""",yunis-varon syndrome,['cleidocranial dysplasia-micrognathia-absent thumbs syndrome']
"""GARD:0000332""",cutis gyrata-acanthosis nigricans-craniosynostosis syndrome,['beare-stevenson cutis gyrata syndrome']
"""GARD:0000333""",lymphedema-distichiasis syndrome,[]
"""GARD:0000334""",dyschromatosis symmetrica hereditaria,['acropigmentation of dohi']
"""GARD:0000336""",autosomal recessive spastic paraplegia type 23,"['lison syndrome', 'spg23', 'spastic paraparesis-vitiligo-premature graying-characteristic facies syndrome']"
"""GARD:0000341""",young syndrome,['azoospermia-sinopulmonary infections syndrome']
"""GARD:0000343""",pontocerebellar hypoplasia type 4,"['fatal infantile encephalopathy with olivopontocerebellar hypoplasia', 'olivopontocerebellar hypoplasia', 'pch4']"
"""GARD:0000344""",holoprosencephaly-postaxial polydactyly syndrome,['pseudo-trisomy 13 syndrome']
"""GARD:0000345""",x-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome,['young-hughes syndrome']
"""GARD:0000346""",hoyeraal-hreidarsson syndrome,['progressive pancytopenia-immunodeficiency-cerebellar hypoplasia syndrome']
"""GARD:0000347""",pancreatic hypoplasia-diabetes-congenital heart disease syndrome,['yorifuji-okuno syndrome']
"""GARD:0000348""",yolk sac tumor,['endodermal sinus tumor']
"""GARD:0000350""",skeletal dysplasia-epilepsy-short stature syndrome,['gurrieri-sammito-bellussi syndrome']
"""GARD:0000351""",dacryocystitis-osteopoikilosis syndrome,['gunal-seber-basaran syndrome']
"""GARD:0000354""",osteopenia-intellectual disability-sparse hair syndrome,['kaler-garrity-stern syndrome']
"""GARD:0000358""",w syndrome,['pallister-w syndrome']
"""GARD:0000359""",cranioectodermal dysplasia,"['ced', 'sensenbrenner syndrome']"
"""GARD:0000360""",abruzzo-erickson syndrome,"['charge-like syndrome', 'cleft palate-coloboma-deafness syndrome', 'cleft palate-coloboma-hearing loss syndrome']"
"""GARD:0000361""",acalvaria,['primary acalvaria']
"""GARD:0000363""",acatalasemia,['catalase deficiency']
"""GARD:0000364""",isolated arrhinia,['isolated nose agenesis']
"""GARD:0000365""",aromatase deficiency,['congenital estrogen deficiency']
"""GARD:0000368""",laryngo-onycho-cutaneous syndrome,"['loc syndrome', 'logic syndrome', 'laryngeal and ocular granulation tissue in children from the indian subcontinent syndrome', 'shabbir syndrome']"
"""GARD:0000369""",xq21 microdeletion syndrome,"['ayazi syndrome', 'del(x)(q21)', 'monosomy xq21']"
"""GARD:0000370""",cholestasis-lymphedema syndrome,['aagenaes syndrome']
"""GARD:0000371""",qazi-markouizos syndrome,['dysharmonic skeletal maturation-muscular fiber disproportion syndrome']
"""GARD:0000372""",neurofibromatosis-noonan syndrome,"['nfns', 'neurofibromatosis type 1-noonan syndrome']"
"""GARD:0000373""",quinquaud folliculitis decalvans,[]
"""GARD:0000374""",pectus excavatum-macrocephaly-dysplastic nails syndrome,['zori-stalker-williams syndrome']
"""GARD:0000375""",cleft lip/palate-ectodermal dysplasia syndrome,"['clped1', 'cleft lip/palate-syndactyly-pili torti syndrome', 'syndactyly-ectodermal dysplasia-cleft/lip palate', 'zlotogora-ogur syndrome']"
"""GARD:0000376""",acheiropodia,['acheiropody']
"""GARD:0000377""","congenital absence/hypoplasia of fingers excluding thumb, unilateral","['adactyly of hand; unilateral', 'digits 2-5 hypodactyly; unilateral', 'digits 2-5 oligodactyly; unilateral']"
"""GARD:0000378""",johnson neuroectodermal syndrome,"['alopecia-anosmia-conductive hearing loss-hypogonadism syndrome', 'alopecia-anosmia-deafness-hypogonadism syndrome', 'johnson-mcmillin syndrome']"
"""GARD:0000379""",renal tubular dysgenesis,"['primitive renal tubule syndrome', 'renotubular dysgenesis']"
"""GARD:0000380""",knobloch syndrome,"['knobloch-layer syndrome', 'retinal detachment-occipital encephalocele syndrome']"
"""GARD:0000381""",arachnodactyly-abnormal ossification-intellectual disability syndrome,['kosztolanyi syndrome']
"""GARD:0000383""",albers-schönberg osteopetrosis,['osteopetrosis autosomal dominant type 2']
"""GARD:0000384""",adult syndrome,"['acro-dermato-ungual-lacrimal-tooth syndrome', 'pigment anomaly-ectrodactyly-hypodontia syndrome']"
"""GARD:0000385""",zimmermann-laband syndrome,"['gingival fibromatosis-hepatosplenomegaly-other anomalies syndrome', 'laband syndrome']"
"""GARD:0000386""",tetraamelia-multiple malformations syndrome,['zimmer phocomelia']
"""GARD:0000387""",combined immunodeficiency due to zap70 deficiency,['zeta-associated-protein 70 deficiency']
"""GARD:0000390""","endosteal hyperostosis, worth type","['autosomal dominant osteosclerosis; worth type', 'worth syndrome']"
"""GARD:0000391""",osteomesopyknosis,['axial osteosclerosis']
"""GARD:0000393""",tungiasis,[]
"""GARD:0000394""",radioulnar synostosis-microcephaly-scoliosis syndrome,"['giuffré-tsukahara syndrome', 'tsukahara syndrome']"
"""GARD:0000395""",retinal degeneration-nanophthalmos-glaucoma syndrome,['mackay-shek-carr syndrome']
"""GARD:0000396""",tularemia,[]
"""GARD:0000399""","46,xx testicular disorder of sex development","['46;xx testicular dsd', 'de la chapelle syndrome', 'xx; male syndrome']"
"""GARD:0000400""",gapo syndrome,['growth delay-alopecia-pseudoanodontia-optic atrophy syndrome']
"""GARD:0000402""","optic atrophy, hearing loss, and peripheral neuropathy, autosomal dominant",[]
"""GARD:0000404""",osteoporosis-oculocutaneous hypopigmentation syndrome,"['hernández-fragoso syndrome', 'oochs']"
"""GARD:0000405""",subaortic stenosis-short stature syndrome,['onat syndrome']
"""GARD:0000406""",foveal hypoplasia-presenile cataract syndrome,"[""o'donnell-pappas syndrome""]"
"""GARD:0000407""",ermine phenotype,"[""o'doherty syndrome"", 'pigmentary disorder with deafness', 'pigmentary disorder with hearing loss']"
"""GARD:0000408""",short stature due to growth hormone qualitative anomaly,['kowarski syndrome']
"""GARD:0000409""",pachygyria-intellectual disability-epilepsy syndrome,['kuzniecky syndrome']
"""GARD:0000411""",sanjad-sakati syndrome,"['hrd syndrome', 'hypoparathyroidism-intellectual disability-dysmorphism syndrome', 'hypoparathyroidism-short stature-intellectual disability-seizures syndrome', 'richardson-kirk syndrome', 'sss']"
"""GARD:0000412""",cheilitis glandularis,[]
"""GARD:0000413""",geroderma osteodysplastica,[]
"""GARD:0000414""",bamforth-lazarus syndrome,"['athyroidal hypothyroidism-spiky hair-cleft palate syndrome', 'bamforth syndrome', 'hypothyroidism-cleft palate syndrome']"
"""GARD:0000415""",pseudoprogeria syndrome,"['absent eyebrows and eyelashes-intellectual disability syndrome', 'hal-berg-rudolph syndrome']"
"""GARD:0000418""",pentosuria,"['essential pentosuria', 'xylitol dehydrogenase deficiency']"
"""GARD:0000420""",mismatch repair cancer syndrome 1,"['childhood cancer syndrome', 'brain tumor-polyposis syndrome 1', 'mmr deficiency', 'turcot syndrome', 'btp1 syndrome', 'mismatch repair deficiency']"
"""GARD:0000424""",xk aprosencephaly syndrome,"['garcia-lurie syndrome', 'xk syndrome', 'xk-aprosencephaly']"
"""GARD:0000425""",tufted angioma,['nakagawa angioblastoma']
"""GARD:0000427""",ptosis-vocal cord paralysis syndrome,['tucker syndrome']
"""GARD:0000428""",craniofrontonasal dysplasia-poland anomaly syndrome,['webster-deming syndrome']
"""GARD:0000429""",constriction rings syndrome,"['amniotic band sequence', 'amniotic band syndrome', 'congenital ring constrictions', 'constriction band syndrome', 'streeter dysplasia']"
"""GARD:0000431""",microtia,[]
"""GARD:0000433""",apparent mineralocorticoid excess,"['11-beta-hydroxysteroid dehydrogenase deficiency type 2', 'ulick syndrome']"
"""GARD:0000434""",hydrocephalus with stenosis of the aqueduct of sylvius,"['bickers-adams syndrome', 'hsas', 'x-linked hsas', 'x-linked acqueductal stenosis', 'x-linked hydrocephalus', 'x-linked hydrocephalus with stenosis of aqueduct of sylvius']"
"""GARD:0000435""",cleft lip-retinopathy syndrome,"['ausems-wittebol post-hennekam syndrome', 'cleft lip-cone rod dystrophy syndrome', 'cleft lip-progressive retinopathy syndrome']"
