,Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,GardName,GardId,Orphan
30,half-life extended bispecific T cell engager (BiTE®) antibody construct designed to target both CLDN18.2 and CD3,,7/31/2020,"treatment of gastric cancer, including cancer of gastroesophageal junction",Designated,,Not FDA Approved for Orphan Indication,,,,,"Amgen, Inc.",One Amgen Center Drive,,Thousand Oaks,California,' 91320 ' ,United States,752720,,,
31,highly selective histone deacetylase 6 inhibitor,,3/17/2020,treatment of charcot-marie-tooth disease,Designated,,Not FDA Approved for Orphan Indication,,,,,"Chong Kun Dang Pharmaceutical Co., Ltd.","8, Chungjeong-ro, Seodaemun-gu,",,Seoul,,' ' ,South Korea,728619,,,
32,IgG1 antibody directed against the extra domain-B splice variant of fibronectin and conjugated to auristatin,,5/3/2023,treatment of pancreatic cancer,Designated,,Not FDA Approved for Orphan Indication,,,,,Pyxis Oncology,"321 Harrison Avenue, Floor 11, Suite 1",,Boston,Massachusetts,' 02118 ' ,United States,936023,,,
33,"N-[(2R)-1-[(2S)-2-[(3-hydroxy-2-methyl-6-{[(3S)-3,5,12-trihydroxy-3-(2-hydroxyacetyl)-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl]oxy}oxan-4-yl)carbamoyl]pyrrolidin-1-yl]-1-oxopropan-2-yl]pyridine-4-carboxamide",,9/1/2022,treatment of soft tissue sarcoma,Designated,,Not FDA Approved for Orphan Indication,,,,,Avacta Life Sciences Ltd.,"Scale Space, White City, Imperial College Campus",58 Wood Lane,London,,' W12 7RZ ' ,United Kingdom,887022,soft tissue sarcoma,"""gard:0004898""",
34,"N-[(2S)-1-[(3aS,6R,6aR)-6-Ethynyl-3-oxohexahydro-2H-furo[3,2-b]pyrrol-4-yl]-4-methyl-1-oxopentan-2-yl]-4-[5-fluoro-2-(4-methylpiperazin-1-yl)-1,3-thiazol-4-yl]benzamide hydrochloride",,4/15/2024,treatment of legg-calve-perthes disease (lcpd),Designated,,Not FDA Approved for Orphan Indication,,,,,Medivir AB,"Box 1086, Lunastigen 5, 2nd floor",,Huddinge,Huddinge,' Se-141 22 ' ,Sweden,952323,,,
35,"N-[4-[[2-(1,1-Dimethylethyl)phenyl]sulfonyl]phenyl]-2,3,4-trihydroxy-5-[[2-(1-methylethyl)phenyl]methyl]benzamide",,9/14/2020,treatment of retinoblastoma,Designated,,Not FDA Approved for Orphan Indication,,,,,Oxular Ltd,Magadalen Centre,1 Robert Robinson Avenue,Oxford,,' OX4 4GA ' ,United Kingdom,764020,retinoblastoma,"""gard:0007563""",
36,nanatinostat and valganciclovir,,11/24/2021,"treatment of epstein barr virus-positive diffuse large b-cell lymphoma, not otherwise specified (ebv+ dlbcl, nos)",Designated,,Not FDA Approved for Orphan Indication,,,,,"Viracta Subsidiary, Inc.",2533 S. Coast Hwy 101,Suite 210,Cardiff,California,' 92007 ' ,United States,847721,lymphoma,"""gard:0020548""",
37,O-(2-[18F]fluoroethyl)-L-tyrosine,,10/5/2020,diagnostic for the management of glioma,Designated,,Not FDA Approved for Orphan Indication,,,,,Telix Pharmaceuticals Limited (Telix),55 Flemington Road,Suite 401,North Melbourne,Victoria,' 3015 ' ,Australia,767920,,,
38,povidone iodine,,11/27/2017,treatment of endophthalmitis,Designated,,Not FDA Approved for Orphan Indication,,,,,Veloce BioPharma LLC,7008 Lafayette Avenue,,Fort Washington,Pennsylvania,' 19034 ' ,United States,564916,endophthalmitis,"""gard:0020333""",
39,Recombinant human interleukin-7 fused to a hybrid crystallizable fragment region of a human antibody (rhIL-7-hyFc),,1/18/2024,treatment of pancreatic cancer (pc),Designated,,Not FDA Approved for Orphan Indication,,,,,NeoImmuneTech,2400 Research Blvd,,Rockville,Maryland,' 20850 ' ,United States,866621,,,
40,recombinant serotype 9 adeno-associated virus encoding a codon-optimized human MECP2 gene,,10/7/2020,treatment for rett syndrome,Designated,,Not FDA Approved for Orphan Indication,,,,,Taysha Gene Therapies,BioCenter at UT Southwestern,2280 Inwood Road,Dallas,Texas,' 75235 ' ,United States,770520,rett syndrome,"""gard:0005696""",
41,S-nitrosoglutathione reductase inhibitor,,1/13/2016,treatment of cystic fibrosis,Designated/Designation Withdrawn or Revoked,1/23/2018,Not FDA Approved for Orphan Indication,,,,,Alpine Immune Sciences,201 Elliott Ave. West,Suite 230,Seattle,Washington,' 98119 ' ,United States,435714,cystic fibrosis,"""gard:0006233""",
42,single chain urokinase plasminogen activator,,9/11/2014,treatment of empyema (pleural),Designated,,Not FDA Approved for Orphan Indication,,,,,"Lung Therapeutics, Inc.",P. O. Box 150183,,Austin,Texas,' 78715 ' ,United States,442514,,,
43,Small molecule mitofusin allosteric activator,,9/4/2020,treatment of charcot-marie-tooth disease type 2a,Designated,,Not FDA Approved for Orphan Indication,,,,,Mitochondria Emotion Inc.,"500 Boylston street, suite 1380",,Boston,Massachusetts,' 02116 ' ,United States,760320,,,
44,"((1r, 4r)-N1-(2-benzyl-7-(2-methyl-2H-tetrazol-5-yl)-9H-pyrimido[4,5-b]indol-4-yl)cyclohexane-1,4-diamine dihydrobromide dihydrate)-Expanded cord blood",,12/13/2018,prevention of graft-versus-host-disease,Designated,,Not FDA Approved for Orphan Indication,,,,,ExCellThera Inc.,2950 chemin de Polythechnique,,Montreal,,' ' ,Canada,661418,,,
45,"((2S,5S)-5-(4-amino-5-(4-(2,3-difluorophenoxy)phenyl)imidazo[5,1-f][1,2,4]triazin-7-yl)tetrahydro-2H-pyran-2-yl)methanol",,10/2/2023,treatment of central nervous system lymphoma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Dizal (Jiangsu) Pharmaceutical Co., Ltd.","No. 199 Liangjing Road, Zhangjiang Hi-Tech Park",Pudong New Area,Shanghai,,' ' ,China,963823,lymphoma,"""gard:0020548""",
46,"((4-(3-benzyl-4-hydroxybenzyl)-3,5-dimethylphenoxy)methyl)phosphonic acid",,12/5/2016,treatment of x-linked adrenoleukodystrophy,Designated,,Not FDA Approved for Orphan Indication,,,,,"Viking Therapeutics, Inc.","9920 Pacific Heights Blvd, Suite 350",,San Diego,California,' 92121 ' ,United States,494215,leukodystrophy,"""gard:0006895""",
47,"((S)-3-(1-Cyclopentyl-5-(2-(trifluoromethyl)phenyl)-1H-pyrazole-3-carboxamido)-5-(3,3-difluoropiperidin-1-yl)pentanoic acid hydrochloride)",,9/29/2022,treatment of systemic sclerosis,Designated,,Not FDA Approved for Orphan Indication,,,,,APIE Therapeutics,"P.O. Box 13169, 2 Davis Dr.",,Research Triangle Park,North Carolina,' 27709 ' ,United States,903322,systemic sclerosis,"""gard:0009748""",
48,"((S)-3-(1-Cyclopentyl-5-(2-(trifluoromethyl)phenyl)-1H-pyrazole-3-carboxamido)-5-(3,3-difluoropiperidin-1-yl)pentanoic acid hydrochloride)",,3/8/2022,treatment of idiopathic pulmonary fibrosis,Designated,,Not FDA Approved for Orphan Indication,,,,,APIE Therapeutics,P.O. Box 13169,2 Davis Dr.,Research Triangle Park,North Carolina,' 27709 ' ,United States,865821,idiopathic pulmonary fibrosis,"""gard:0008609""",
49,(+)-5-chloro-1-ethyl-3-(2-hydroxy-3-methoxybenzyl)-2-oxoindolin-3-yl dimethylcarbamate,,3/16/2021,treatment of retinitis pigmentosa,Designated,,Not FDA Approved for Orphan Indication,,,,,"MitoChem Therapeutics, Inc.",645 Meeting Street,,Charleston,South Carolina,' 29403 ' ,United States,806520,retinitis pigmentosa,"""gard:0005694""",
50,(+)-a-dihydrotetrabenazine,,3/30/2017,treatment pediatric patients with tourette's syndrome,Designated,,Not FDA Approved for Orphan Indication,,,,,"Adeptio Pharmaceuticals, Ltd",22 Bedford Row,WC1R 4JS,London,,' ' ,United Kingdom,498715,,,
51,(+)-alpha-dihydrotetrabenazine,,12/5/2018,treatment of huntington's disease.,Designated,,Not FDA Approved for Orphan Indication,,,,,"Adeptio Pharmaceuticals, Ltd",22 Bedford Row,WC1R 4JS,London,,' ' ,United Kingdom,607417,,,
52,(+)-Epicatechin,,4/6/2020,treatment of duchenne and becker muscular dystrophy,Designated,,Not FDA Approved for Orphan Indication,,,,,Epirium Bio Inc.,"9171 Towne Centre Dr.,",Suite 270,San Diego,California,' 92122 ' ,United States,732020,duchenne and becker muscular dystrophy,"""gard:0018686""",
53,(+)N-hydroxy-N-(methylacylfulvene)urea,,11/28/2023,treatment of diffuse large b-cell lymphoma/high-grade b-cell lymphoma with myc and bcl2 rearrangements,Designated,,Not FDA Approved for Orphan Indication,,,,,Lantern Pharma,1920 McKinney Ave 7th floor,,Dallas,Texas,' 75201 ' ,United States,971823,lymphoma,"""gard:0020548""",
54,(+)N-hydroxy-N-(methylacylfulvene)urea,,1/3/2023,treatment of mantle cell lymphoma,Designated,,Not FDA Approved for Orphan Indication,,,,,Lantern Pharma,1920 McKinney Avenue Suite 700,,Dallas,Texas,' 75201 ' ,United States,904222,lymphoma,"""gard:0020548""",
55,"(+-)-9-(5-bromofuran-2-yl)-12,14-dimethyl-13,15-dioxo-17-phenyl-8-oxa-1,12,14-triazatetracyclo[8.7.0.02,7.011,16]heptadeca-2(7),3,5,10,16-pentaene-4-carboxylic acid",,10/19/2022,treatment of cholera,Designated,,Not FDA Approved for Orphan Indication,,,,,Vanda Pharmaceuticals Inc.,2200 Pennsylvania Avenue NW,Suite 300E,Washington,District of Columbia,' 20052 ' ,United States,906322,cholera,"""gard:0006043""",
56,"(+/-)-7-[3-(4-acetyl-3-methoxy-2-propylphenoxy)propoxy]-3,4-dihydro-8-propyl-2H-1-benzopyran-2-carboxylic acid",,3/31/2003,prevention of serious adverse events associated with vascular leak syndrome caused by interleukin-2 therapy,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,"Intarcia Therapeutics, Inc.",24650 Industrial Blvd,,Hayward,California,' 94545 ' ,United States,164102,,,
57,"(+/-)-cis-3-(4-hydroxyphenyl)-4-(4-methoxyphenyl)-3,4-dihydro-2H-cromen-7-ol",,1/10/2008,treatment of cholangiocarcinoma,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,"Marshall Edwards, Inc.",11975 El Camino Real,Suite 101,San Diego,California,' 92130 ' ,United States,254407,cholangiocarcinoma,"""gard:0009304""",
58,"(+/-)-cis-3-(4-hydroxyphenyl)-4-(4-methoxyphenyl)-3,4-dihydro-2H-cromen-7-ol",,2/1/2008,treatment of stage iib through stage iv malignant melanoma,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,"Marshall Edwards, Inc.",11975 El Camino Real,Suite 101,San Diego,California,' 92130 ' ,United States,252307,noma,"""gard:0004001""",
59,"(+/-)-cis-3-(4-hydroxyphenyl)-4-(4-methoxyphenyl)-3,4-dihydro-2H-cromen-7-ol",,1/10/2008,treatment of pancreatic cancer,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,"Marshall Edwards, Inc.",11975 El Camino Real,Suite 101,San Diego,California,' 92130 ' ,United States,251707,,,
60,"(-)-(3aR,4S,7aR)-4-Hydroxy-4-m-tolylethynyl-octahydro-indole-1-carboxylic acid methyl ester",,10/12/2011,treatment of fragile x syndrome,Designated,,Not FDA Approved for Orphan Indication,,,,,Stalicla SA,Campus Biotech Innovation Park,Avenue de Secheron 15,Geneve,,' 1202 ' ,Switzerland,353611,fragile x syndrome,"""gard:0006464""",
61,(-)-B-Elemene,,2/14/2023,treatment of glioblastoma multiforme (gbm),Designated,,Not FDA Approved for Orphan Indication,,,,,"Sichuan Honghe Biotechnology Co., Ltd.","No. 66, Jinghua East Road, Hexi Town, Jialing District",,Nanchong,Sichuan,' ' ,China,925022,glioblastoma,"""gard:0002491""",
62,(-)-epi-gallocatechin-3-gallate,,3/21/2024,treatment of duchenne muscular dystrophy,Designated,,Not FDA Approved for Orphan Indication,,,,,Merdury Biopharmaceutical Corporation,"15th Floor, No. 653 Bannan Road",Zhonghe District,New Taipei City,,' 235030 ' ,Taiwan,995324,muscular dystrophy,"""gard:0007922""",
63,(-)-Epigallocatechin 3-gallate,,4/29/2024,treatment of pouchitis,Designated,,Not FDA Approved for Orphan Indication,,,,,PharmassetX LLC,2900 Lake Vista Drive,,Louisville,Kentucky,' 40241 ' ,United States,999124,pouchitis,"""gard:0020510""",
64,(-)-Huperzine A,,12/12/2023,treatment of myasthenia gravis,Designated,,Not FDA Approved for Orphan Indication,,,,,"Wanbangde Pharmaceutical Group Co, Ltd.","No. 28, North Baizhang Road, Chengdong Street",,Wenling,Zhejiang Province,' ' ,China,975423,myasthenia gravis,"""gard:0007122""",
65,(-)-Huperzine A,,6/7/2022,treatment of scn8a developmental and epileptic encephalopathy,Designated,,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.",9715 Key West Avenue,,Rockville,Maryland,' 20850 ' ,United States,885322,,,
66,(-)-huperzine A,,6/15/2020,treatment of lennox-gastaut syndrome,Designated,,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.",9715 Key West Avenue,,Rockville,Maryland,' 20850 ' ,United States,744420,lennox-gastaut syndrome,"""gard:0009912""",
67,(-)-Huperzine A,,5/28/2024,treatment of neonatal hypoxic-ischemic encephalopathy,Designated,,Not FDA Approved for Orphan Indication,,,,,"Wanbangde Pharmaceutical Group Co, Ltd.","No. 28, North Baizhang Road, Chengdong Street,",,Wenling,Zhejiang Province,' ' ,China,1003524,,,
68,"(1'R,6'R)-3-(Benzylamine)-6-hydroxy-3'-methyl-4-pentyl-6'-(prop-1-en-2-yl)-[1,1'-bi(cyclohexane)]-2',3,6-triene-2,5-dione",,7/6/2017,treatment of systemic scleroderma (ssc),Designated,,Not FDA Approved for Orphan Indication,,,,,Emerald Health Pharmaceuticals Inc.,5820 Nancy Ridge Drive,,San Diego,California,' 92121 ' ,United States,585717,scleroderma,"""gard:0018705""",
69,(1-hydroxy-2-oxopiperidin-3-yl)phosphonic acid,,8/9/2018,treatment of glioblastoma,Designated,,Not FDA Approved for Orphan Indication,,,,,The University of Texas MD Anderson Cancer Center,1515 Holcombe Blvd #2,,Houston,Texas,' 77030 ' ,United States,646218,glioblastoma,"""gard:0002491""",
70,"(1-methyl-2-nitro-1H-imidazole-5-yl)methyl N,N'-bis(2-broethyl) diamidophosphate",,6/5/2013,treatment of pancreatic cancer,Designated,,Not FDA Approved for Orphan Indication,,,,,EMD Serono,One Technology Place,,Rockland,Massachusetts,' 02370 ' ,United States,396513,,,
71,"(1-methyl-2-nitro-1H-imidazole-5-yl)methyl N,N'-bis(2-bromoethyl) diamidophosphate",,3/9/2012,treatment of soft tissue sarcoma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Threshold Pharmaceuticals, Inc.",170 Harbor Way,Suite 300,South San Francisco,California,' 94080 ' ,United States,365812,soft tissue sarcoma,"""gard:0004898""",
