GardID,DataSource,SourceID,ClassificationLevel,DisorderType,SourceName,SourceSynonym,OmimMember,ParentOrphaCode,ParentOrphaName,ParentGardID,RdRequestID
GARD:0006542,Orphanet,73,Disorder,[Malformation syndrome],Gorham-Stout disease,"[Gorham disease, Gorham syndrome, Idiopathic massive osteolysis, Progressive massive osteolysis, Vanishing bone disease]",[123880],,,,
GARD:0000683,Orphanet,74,Disorder,[Disease],Angiostrongyliasis,,,,,,
GARD:0008195,Orphanet,76,Disorder,[Disease],Strongyloidiasis,"[Anguilluliasis, Anguillulosis]",,,,,
GARD:0009742,Orphanet,78,Disorder,[Disease],Ankylostomiasis,"[Ancylostomiasis, Hookworm infection]",,,,,
GARD:0000731,Orphanet,79,Disorder,[Disease],Congenital alpha2-antiplasmin deficiency,,[262850],,,,
GARD:0005824,Orphanet,80,Disorder,[Disease],Antiphospholipid syndrome,"[APLS, Antiphospholipid antibody syndrome, Classic APLS, Classic antiphospholipid syndrome, Hughes syndrome]",,,,,
GARD:0000735,Orphanet,81,Disorder,[Disease],Antisynthetase syndrome,"[AS syndrome, Anti-Jo1 syndrome]",,,,,
GARD:0006148,Orphanet,82,Disorder,[Disease],Hereditary thrombophilia due to congenital antithrombin deficiency,[Hereditary thrombophilia due to congenital antithrombin 3 deficiency],[613118],,,,
GARD:0005826,Orphanet,83,Disorder,[Malformation syndrome],Antley-Bixler syndrome,,[207410],,,,
GARD:0006425,Orphanet,84,Disorder,[Malformation syndrome],Fanconi anemia,[Fanconi pancytopenia],"[614083, 600901, 616435, 227645, 300514, 609053, 610832, 227646, 609054, 617243, 617883, 617244, 603467, 613390, 615272, 227650, 614082, 613951, 617247]",,,,
GARD:0001999,Orphanet,85,Group of disorders,[Clinical group],Congenital dyserythropoietic anemia,[CDA],,,,,
GARD:0009181,Orphanet,86,Disorder,[Disease],Familial abdominal aortic aneurysm,,"[611891, 100070, 614375, 609782]",,,,
GARD:0005833,Orphanet,87,Disorder,[Malformation syndrome],Apert syndrome,"[ACS1, Acrocephalosyndactyly type 1]",[101200],,,,
GARD:0005836,Orphanet,88,Disorder,[Disease],Idiopathic aplastic anemia,[Idiopathic bone marrow failure],"[614742, 609135, 614743]",,,,
GARD:0005840,Orphanet,90,Disorder,[Disease],Argininemia,"[Arginase deficiency, Hyperargininemia]",[207800],,,,
GARD:0000365,Orphanet,91,Disorder,[Disease],Aromatase deficiency,[Congenital estrogen deficiency],[613546],,,,
GARD:0018677,Orphanet,92,Group of disorders,[Clinical group],Juvenile idiopathic arthritis,"[Juvenile chronic arthritis, Juvenile rheumatoid arthritis]",,,,,
GARD:0005854,Orphanet,93,Disorder,[Disease],Aspartylglucosaminuria,[Aspartylglucosaminidase deficiency],[208400],,,,
GARD:0012928,Orphanet,94,Group of disorders,[Clinical group],Astrocytoma,[Astrocytic tumor],[137800],,,,
GARD:0006468,Orphanet,95,Disorder,[Disease],Friedreich ataxia,"[FA, FRDA]","[601992, 229300]",,,,
GARD:0008595,Orphanet,96,Disorder,[Disease],Ataxia with vitamin E deficiency,"[AVED, Ataxia with isolated vitamin E deficiency, Familial isolated vitamin E deficiency, Friedreich-like ataxia, Isolated vitamin E deficiency]",[277460],,,,
GARD:0009602,Orphanet,97,Disorder,[Disease],Familial paroxysmal ataxia,[Episodic ataxia type 2],[108500],,,,
GARD:0004910,Orphanet,98,Disorder,[Disease],Autosomal recessive spastic ataxia of Charlevoix-Saguenay,"[ARSACS, Autosomal recessive spastic ataxia type 6, SPAX6]",[270550],,,,
GARD:0004346,Orphanet,99,Group of disorders,[Category],Autosomal dominant cerebellar ataxia,"[ADCA, Autosomal dominant spinocerebellar ataxia]",,,,,
GARD:0005862,Orphanet,100,Disorder,[Disease],Ataxia-telangiectasia,[Louis-Bar syndrome],"[208900, 208910]",,,,
GARD:0005643,Orphanet,101,Disorder,[Disease],Dentatorubral pallidoluysian atrophy,"[DRPLA, Dentatorubropallidoluysian atrophy, Naito-Oyanagi disease]",[125370],,,,
GARD:0007079,Orphanet,102,Disorder,[Disease],Multiple system atrophy,"[MSA, Multisystem atrophy]",[146500],,,,
GARD:0006870,Orphanet,104,Disorder,[Disease],Leber hereditary optic neuropathy,"[LHON, Leber optic atrophy]","[535000, 308905]",,,,
GARD:0018678,Orphanet,105,Disorder,[Morphological anomaly],Atresia of urethra,[Urethral atresia],,,,,
GARD:0010147,Orphanet,107,Disorder,[Malformation syndrome],BOR syndrome,[Branchiootorenal syndrome],"[610896, 113650]",,,,
GARD:0005878,Orphanet,108,Disorder,[Disease],Babesiosis,,,,,,
GARD:0005887,Orphanet,109,Disorder,[Malformation syndrome],Bannayan-Riley-Ruvalcaba syndrome,"[BRRS, Myhre-Riley-Smith syndrome]",[158350],,,,
GARD:0006866,Orphanet,110,Disorder,[Disease],Bardet-Biedl syndrome,[BBS],"[615985, 615992, 615986, 615993, 615994, 617119, 615995, 615987, 615981, 615988, 605231, 615989, 209900, 615996, 615990, 615982, 617406, 615983, 600151, 615984, 615991]",,,,
GARD:0005890,Orphanet,111,Disorder,[Disease],Barth syndrome,"[3-methylglutaconic aciduria type 2, BTHS, Cardioskeletal myopathy with neutropenia and abnormal mitochondria, Cardioskeletal myopathy-neutropenia syndrome, MGA2, X-linked cardioskeletal myopathy and neutropenia]",[302060],,,,
GARD:0005893,Orphanet,112,Disorder,[Disease],Bartter syndrome,"[Renal tubular normotensive hypokalemic alkalosis with hypercalciuria, Salt-losing tubular disorder, Henle's loop type, Salt-wasting tubulopathy, Henle's loop type]","[602522, 607364, 601198, 300971, 601678, 613090, 241200]",,,,
GARD:0000838,Orphanet,113,Disorder,[Disease],Bazex-Dupré-Christol syndrome,"[BDCS, Follicular atrophoderma and basal cell carcinomas]",[301845],,,,
GARD:0008663,Orphanet,114,Disorder,[Malformation syndrome],Auriculoosteodysplasia,,[109000],,,,
GARD:0005899,Orphanet,115,Disorder,[Malformation syndrome],Congenital contractural arachnodactyly,"[Beals syndrome, Beals-Hecht syndrome, CCA syndrome, Distal arthrogryposis type 9]",[121050],,,,
GARD:0003343,Orphanet,116,Disorder,[Malformation syndrome],Beckwith-Wiedemann syndrome,"[BWS, Exomphalos-macroglossia-gigantism syndrome, Wiedemann-Beckwith syndrome]",[130650],,,,
GARD:0000848,Orphanet,117,Disorder,[Disease],Behçet disease,,[109650],,,,
GARD:0000869,Orphanet,118,Disorder,[Disease],Beta-mannosidosis,[Beta-mannosidase deficiency],[248510],,,,
GARD:0003851,Orphanet,119,Disorder,[Disease],Beta-sarcoglycan-related limb-girdle muscular dystrophy R4,"[Autosomal recessive limb-girdle muscular dystrophy type 2E, Beta-sarcoglycan-related LGMD R4, Beta-sarcoglycanopathy, LGMD due to beta-sarcoglycan deficiency, LGMD type 2E, LGMD2E, Limb-girdle muscular dystrophy due to beta-sarcoglycan deficiency, Limb-girdle muscular dystrophy type 2E]",[604286],,,,
GARD:0002322,Orphanet,122,Disorder,[Malformation syndrome],Birt-Hogg-Dubé syndrome,"[Fibrofolliculomas with trichodiscomas and acrochordons, Hornstein-Knickenberg syndrome]",[135150],,,,
GARD:0000022,Orphanet,123,Disorder,[Disease],Björnstad syndrome,"[Deafness-pili torti-hypogonadism syndrome, Hearing loss-pili torti-hypogonadism syndrome]",[262000],,,,
GARD:0006274,Orphanet,124,Disorder,[Disease],Blackfan-Diamond anemia,"[Aase syndrome, Aase-Smith II syndrome, Congenital PRCA, Congenital hypoplastic anemia, Blackfan-Diamond type, Congenital pure red cell aplasia, Diamond-Blackfan anemia]","[615550, 617408, 613308, 606164, 610629, 617409, 612561, 606129, 618310, 613309, 618312, 614900, 612562, 615909, 612527, 612563, 612528, 105650, 300946, 618313]",,,,
GARD:0000915,Orphanet,125,Disorder,[Disease],Bloom syndrome,[BSyn],[210900],,,,
GARD:0000023,Orphanet,126,Disorder,[Malformation syndrome],Blepharophimosis-ptosis-epicanthus inversus syndrome,[BPES],[110100],,,,
GARD:0000936,Orphanet,127,Disorder,[Malformation syndrome],Borjeson-Forssman-Lehmann syndrome,"[BFLS, Intellectual disability-epilepsy-endocrine disorders syndrome]",[301900],,,,
GARD:0000942,Orphanet,128,Disorder,[Disease],Diphyllobothriasis,[Bothriocephalosis],,,,,
GARD:0004536,Orphanet,129,Disorder,[Disease],Pseudopelade of Brocq,,,,,,
GARD:0001030,Orphanet,130,Disorder,[Disease],Brugada syndrome,"[Idiopathic ventricular fibrillation, Brugada type]","[611876, 616399, 601144, 613119, 613123, 611875, 612838, 611777, 613120]",,,,
GARD:0005968,Orphanet,131,Disorder,[Disease],Budd-Chiari syndrome,,[600880],,,,
GARD:0007482,Orphanet,132,Disorder,[Disease],Butyrylcholinesterase deficiency,[Pseudocholinesterase deficiency],[617936],,,,
GARD:0000867,Orphanet,133,Disorder,[Disease],Chronic beryllium disease,"[Berylliosis, Chronic berylliosis, Chronic beryllium lung disease]",,,,,
GARD:0000872,Orphanet,134,Disorder,[Disease],Beta-ketothiolase deficiency,"[3-ketothiolase deficiency, 3-oxothiolase deficiency, Alpha methylacetoacetic aciduria, Alpha-methyl-acetoacetyl-CoA thiolase deficiency, Mitochondrial acetoacetyl-coenzyme A thiolase deficiency, T2 deficiency]",[203750],,,,
GARD:0000231,Orphanet,135,Disorder,[Disease],CACH syndrome,"[Childhood ataxia with diffuse central nervous system hypomyelination, Leukoencephalopathy with vanishing white matter, Myelinosis centralis diffusa]","[603896, 615889]",,,,
GARD:0001049,Orphanet,136,Disorder,[Disease],Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,"[CADASIL, Hereditary multi-infarct dementia]",[125310],,,,
GARD:0010307,Orphanet,137,Group of disorders,[Category],Congenital disorder of glycosylation,"[CDG, Carbohydrate deficient glycoprotein syndrome]",,,,,
GARD:0000029,Orphanet,138,Disorder,[Malformation syndrome],CHARGE syndrome,"[CHARGE association, Coloboma-heart defects-atresia choanae-retardation of growth and development-genitourinary problems-ear abnormalities syndrome, Hall-Hittner syndrome]",[214800],,,,
GARD:0006039,Orphanet,139,Disorder,[Disease],CHILD syndrome,"[CHILD nevus, Congenital hemidysplasia with ichthyosiform nevus and limbs defects]",[308050],,,,
GARD:0010027,Orphanet,140,Disorder,[Malformation syndrome],Campomelic dysplasia,[Campomelic dwarfism],"[602196, 211990, 114290]",,,,
GARD:0005984,Orphanet,141,Disorder,[Disease],Canavan disease,"[ACY2 deficiency, Aminoacylase 2 deficiency, Aspartoacylase deficiency, Spongy degeneration of the brain]",[271900],,,,
GARD:0000664,Orphanet,142,Disorder,[Disease],Anaplastic thyroid carcinoma,,,,,,
GARD:0007329,Orphanet,143,Disorder,[Disease],Parathyroid carcinoma,,[608266],,,,
GARD:0009905,Orphanet,144,Disorder,[Disease],Lynch syndrome,,"[614337, 120435, 609310, 614331, 614385, 614350, 613244]",,,,
GARD:0015010,Orphanet,145,Disorder,[Disease],Hereditary breast and ovarian cancer syndrome,,"[612555, 604370, 614291, 613399]",,,,
GARD:0012027,Orphanet,146,Disorder,[Disease],Differentiated thyroid carcinoma,"[Papillary or follicular thyroid carcinoma, Well-differentiated thyroid carcinoma]","[188550, 607464]",,,,
GARD:0007269,Orphanet,147,Disorder,[Disease],Carbamoyl-phosphate synthetase 1 deficiency,"[CPS1 deficiency, CPS1D, Carbamoyl-phosphate synthetase I deficiency, Carbamoyl-phosphate synthetase deficiency]",[237300],,,,
GARD:0003824,Orphanet,148,Group of disorders,[Clinical group],Multiple carboxylase deficiency,[MCD],,,,,
GARD:0007163,Orphanet,150,Disorder,[Disease],Nasopharyngeal carcinoma,[Squamous cell carcinoma of the nasopharynx],"[607107, 617075, 161550]",,,,
GARD:0002905,Orphanet,154,Disorder,[Disease],Familial isolated dilated cardiomyopathy,[Familial or idiopathic dilated cardiomyopathy],"[615396, 604145, 605582, 613881, 611615, 613424, 613286, 613642, 115200, 613694, 604765, 608569, 604288, 607482, 615184, 615235, 601493, 609915, 600884, 601494, 612877, 609909, 302045, 614672, 611407, 611878, 615916, 611879, 613252, 613426, 611880, 613172, 615248, 613122, 618189, 615373, 606685, 612158, 613697, 601154]",,,,
GARD:0001120,Orphanet,156,Disorder,[Disease],Carnitine palmitoyl transferase 1A deficiency,"[CPT1A deficiency, Carnitine palmitoyl transferase IA deficiency, Hepatic carnitine palmitoyl transferase 1 deficiency, Hepatic carnitine palmitoyl transferase I deficiency, L-CPT1 deficiency, L-CPTI deficiency]",[255120],,,,
GARD:0001121,Orphanet,157,Disorder,[Disease],Carnitine palmitoyltransferase II deficiency,"[CPT2, CPTII, Carnitine palmitoyltransferase deficiency type 2]","[608836, 255110, 600649]",,,,
GARD:0005104,Orphanet,158,Disorder,[Disease],Systemic primary carnitine deficiency,"[CDSP, CUD, Carnitine transporter defect, Carnitine uptake deficiency, Deficiency of plasma-membrane carnitine transporter, SPCD]",[212140],,,,
GARD:0001123,Orphanet,159,Disorder,[Disease],Carnitine-acylcarnitine translocase deficiency,[CACT deficiency],[212138],,,,
GARD:0012656,Orphanet,160,Disorder,[Disease],Castleman disease,"[Angiofollicular ganglionic hyperplasia, Angiofollicular lymph hyperplasia]",[148000],,,,
GARD:0001160,Orphanet,162,Disorder,[Malformation syndrome],Cataract-glaucoma syndrome,,,,,,
GARD:0002806,Orphanet,163,Disorder,[Disease],Hereditary hyperferritinemia-cataract syndrome,"[Bonneau-Beaumont syndrome, HHCS, Hereditary hyperferritinemia with congenital cataracts]",[600886],,,,
GARD:0003262,Orphanet,165,Group of disorders,[Clinical group],Neutral lipid storage disease,[Lipidosis with triglyceride storage disease],,,,,
GARD:0006034,Orphanet,166,Group of disorders,[Category],Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,"[CMT/HMSN, Charcot-Marie-Tooth hereditary neuropathy]",,,,,
GARD:0006035,Orphanet,167,Disorder,[Disease],Chédiak-Higashi syndrome,"[Chédiak-Higashi disease, Chédiak-Higashi-Steinbrink syndrome]",[214500],,,,
GARD:0003287,Orphanet,168,Disorder,[Disease],Loose anagen syndrome,,[600628],,,,
GARD:0004359,Orphanet,169,Disorder,[Disease],Ringed hair disease,[Pili annulati],[180600],,,,
GARD:0005597,Orphanet,170,Disorder,[Disease],Woolly hair,"[Familial woolly hair syndrome, Familial wooly hair syndrome, Hereditary woolly hair syndrome, Hereditary wooly hair syndrome, Wooly hair]","[194300, 604379, 615896, 616760, 278150]",,,,
GARD:0001280,Orphanet,171,Disorder,[Disease],Primary sclerosing cholangitis,[PSC],"[602114, 613806]",,,,
GARD:0015255,Orphanet,172,Disorder,[Disease],Progressive familial intrahepatic cholestasis,[PFIC],"[615878, 601847, 602347, 211600]",,,,
GARD:0006043,Orphanet,173,Disorder,[Disease],Cholera,,,,,,
GARD:0007029,Orphanet,174,Disorder,[Disease],"Metaphyseal chondrodysplasia, Schmid type",,[156500],,,,
GARD:0006996,Orphanet,175,Disorder,[Disease],Cartilage-hair hypoplasia,"[Autosomal recessive metaphyseal chondrodysplasia, Metaphyseal chondrodysplasia, McKusick type]","[250250, 250460]",,,,
GARD:0018679,Orphanet,176,Group of disorders,[Clinical group],Non-rhizomelic chondrodysplasia punctata,,,,,,
GARD:0013160,Orphanet,177,Disorder,[Disease],Rhizomelic chondrodysplasia punctata,[RCDP],"[222765, 215100, 600121, 616716]",,,,
GARD:0001303,Orphanet,178,Disorder,[Disease],Chordoma,[Notochordal sarcoma],[215400],,,,
GARD:0005926,Orphanet,179,Disorder,[Disease],Birdshot chorioretinopathy,"[Birdshot chorioretinitis, Birdshot retinochoroiditis, Birdshot retinochoroidopathy, Vitiliginous choroiditis]",[605808],,,,
GARD:0006061,Orphanet,180,Disorder,[Disease],Choroideremia,"[CHM, Tapetochoroidal dystrophy]",[303100],,,,
GARD:0010427,Orphanet,181,Subtype of disorder,[Etiological subtype],X-linked hypohidrotic ectodermal dysplasia,"[Christ-Siemens-Touraine syndrome, X-linked anhidrotic ectodermal dysplasia, XHED]",[305100],,,,
GARD:0001319,Orphanet,182,Disorder,[Disease],Chromomycosis,[Chromoblastomycosis],,,,,
GARD:0006111,Orphanet,183,Disorder,[Disease],Eosinophilic granulomatosis with polyangiitis,"[Churg-Strauss syndrome, EGPA, Granulomatous allergic angiitis]",,,,,
GARD:0006036,Orphanet,184,Disorder,[Malformation syndrome],Cherubism,[CRBM],[118400],,,,
GARD:0018680,Orphanet,185,Disorder,[Malformation syndrome],Scimitar syndrome,"[Congenital pulmonary venolobar syndrome, Epibronchial right pulmonary vein syndrome, Halasz syndrome, Hypogenetic lung syndrome]",,,,,
