GardID,DataSource,SourceID,ClassificationLevel,DisorderType,Name,Synonym
GARD:0000082,Orphanet,ORPHA:2332,Disorder,Malformation syndrome,KBG syndrome,Short stature-facial and skeletal anomalies-intellectual disability-macrodontia syndrome
GARD:0000083,Orphanet,ORPHA:93325,Subtype of disorder,Etiological subtype,Autosomal dominant Kenny-Caffey syndrome,
GARD:0000084,Orphanet+OMIM,OMIM:608594,Subtype of disorder,Disease subtype,"Lipodystrophy, congenital generalized, type 1","lipodystrophy, berardinelli-seip congenital, type 1|Berardinelli-seip congenital lipodystrophy, type 1|brunzell syndrome, agpat2-related"
GARD:0000085,Orphanet,ORPHA:2655,Disorder,Disease,Thanatophoric dysplasia,TD
GARD:0000086,Orphanet,ORPHA:314597,Disorder,Malformation syndrome,Chudley-McCullough syndrome,
GARD:0000087,Orphanet,ORPHA:568,Disorder,Malformation syndrome,"Microphthalmia, Lenz type",Lenz microphthalmia
GARD:0000088,Orphanet,ORPHA:2900,Disorder,Malformation syndrome,Leri pleonosteosis,
GARD:0000092,Orphanet,ORPHA:87503,Disorder,Disease,Mal de Meleda,Keratosis palmoplantaris transgrediens of Siemens|Meleda disease|Transgrediens palmoplantar keratoderma of Siemens
GARD:0000093,Orphanet,ORPHA:573,Disorder,Disease,Monilethrix,Moniliform hair syndrome
GARD:0000094,Orphanet,ORPHA:578,Disorder,Disease,Mucolipidosis type IV,
GARD:0000095,Orphanet,ORPHA:2576,Disorder,Malformation syndrome,Mulibrey nanism,MUL|Mulibrey growth disorder|Muscle-liver-brain-eye nanism
GARD:0000101,Orphanet,ORPHA:595,Group of disorders,Clinical group,Centronuclear myopathy,CNM
GARD:0000102,Orphanet,ORPHA:2671,Disorder,Malformation syndrome,Neu-Laxova syndrome,
GARD:0000104,Orphanet,ORPHA:2704,Disorder,Malformation syndrome,Ochoa syndrome,Hydronephrosis-inverted smile syndrome|Inverted smile-neurogenic bladder syndrome|Partial facial palsy with urinary abnormalities|Urofacial syndrome
GARD:0000105,Orphanet,ORPHA:2719,Disorder,Malformation syndrome,"Oculocerebral hypopigmentation syndrome, Cross type",Cross syndrome
GARD:0000106,Orphanet,ORPHA:1647,Disorder,Malformation syndrome,Oculocerebrocutaneous syndrome,Delleman syndrome|Delleman-Oorthuys syndrome|Leichtman-Wood-Rohn syndrome|OCCS|Orbital cyst with cerebral and focal dermal malformations
GARD:0000108,Orphanet,ORPHA:206583,Subtype of disorder,Clinical subtype,Adult polyglucosan body disease,APBD
GARD:0000109,Orphanet,ORPHA:2762,Disorder,Malformation syndrome,Progressive osseous heteroplasia,Familial ectopic ossification|POH
GARD:0000111,Orphanet,ORPHA:60032,Disorder,Disease,Recurrent respiratory papillomatosis,
GARD:0000112,Orphanet,ORPHA:70587,Disorder,Disease,Infant acute respiratory distress syndrome,Hyaline membrane disease|Infant ARDS|Infant respiratory distress syndrome|Neonatal respiratory distress syndrome
GARD:0000114,Orphanet,ORPHA:99014,Disorder,Disease,X-linked Charcot-Marie-Tooth disease type 5,CMT5X|CMTX5
GARD:0000116,Orphanet,ORPHA:79279,Subtype of disorder,Clinical subtype,Alpha-N-acetylgalactosaminidase deficiency type 1,NAGA deficiency type 1|Schindler disease type 1
GARD:0000117,Orphanet,ORPHA:798,Disorder,Malformation syndrome,Schinzel-Giedion syndrome,SGS
GARD:0000118,Orphanet,ORPHA:3138,Disorder,Malformation syndrome,Ulnar-mammary syndrome,Pallister ulnar-mammary syndrome|Schinzel syndrome|UMS
GARD:0000121,Orphanet,ORPHA:1807,Subtype of disorder,Clinical subtype,Focal facial dermal dysplasia type III,"FFDD type III|FFDD3|Focal facial dermal dysplasia 3, Setleis type|Setleis syndrome"
GARD:0000122,Orphanet,ORPHA:85191,Disorder,Malformation syndrome,Singleton-Merten dysplasia,Singleton-Merten syndrome
GARD:0000125,Orphanet,ORPHA:38,Disorder,Disease,Acrokeratoelastoidosis of Costa,AKE|PPKP3|Punctate palmoplantar hyperkeratosis type 3|Punctate palmoplantar keratoderma type 3
GARD:0000127,Orphanet,ORPHA:3210,Disorder,Malformation syndrome,Summitt syndrome,
GARD:0000132,Orphanet,ORPHA:137807,Group of disorders,Clinical group,Primary cutaneous amyloidosis,PLCA|Primary localized cutaneous amyloidosis
GARD:0000134,Orphanet,ORPHA:93346,Disorder,Disease,"Spondyloepimetaphyseal dysplasia congenita, Strudwick type",
GARD:0000139,Orphanet,ORPHA:615,Disorder,Disease,Familial atrial myxoma,
GARD:0000140,Orphanet,ORPHA:1201,Disorder,Morphological anomaly,Atresia of small intestine,Apple peel syndrome|Intestinal atresia type IIIb|Jejunal atresia|Jejunoileal atresia|Small intestinal atresia
GARD:0000143,Orphanet,ORPHA:2220,Disorder,Malformation syndrome,Hypertrichosis cubiti,Hairy elbows syndrome|MacDermot-Patton-Williams syndrome
GARD:0000144,Orphanet,ORPHA:2083,Disorder,Malformation syndrome,Prominent glabella-microcephaly-hypogenitalism syndrome,MacDermot-Winter syndrome
GARD:0000155,Orphanet,ORPHA:2378,Disorder,Malformation syndrome,Laurin-Sandrow syndrome,Mirror hands and feets-nasal defects syndrome|Sandrow syndrome
GARD:0000156,Orphanet,ORPHA:588,Disorder,Malformation syndrome,Muscle-eye-brain disease,MEB syndrome|Muscle-eye-brain syndrome|Santavuori congenital muscular dystrophy
GARD:0000157,Orphanet,ORPHA:2155,Disorder,Malformation syndrome,Hirschsprung disease-deafness-polydactyly syndrome,Hirschsprung disease-hearing loss-polydactyly syndrome|Santos-Mateus-Leal syndrome
GARD:0000158,Orphanet,ORPHA:3129,Disorder,Disease,Sarcosinemia,Sarcosine dehydrogenase complex deficiency
GARD:0000159,Orphanet,ORPHA:2036,Disorder,Malformation syndrome,Scalp-ear-nipple syndrome,Finlay-Marks syndrome
GARD:0000160,Orphanet,ORPHA:3130,Disorder,Disease,Satoyoshi syndrome,Komuragaeri disease
GARD:0000162,Orphanet,ORPHA:2013,Disorder,Malformation syndrome,Cleft palate-large ears-small head syndrome,Say-Barber-Hobbs syndrome
GARD:0000166,Orphanet,ORPHA:799,Disorder,Disease,Schizencephaly,
GARD:0000169,Orphanet,ORPHA:3144,Disorder,Malformation syndrome,Schneckenbecken dysplasia,Chondrodysplasia with snail-like pelvis|SLC35D1-CDG
GARD:0000172,Orphanet,ORPHA:2427,Disorder,Malformation syndrome,Macrocephaly-short stature-paraplegia syndrome,Volcke-Soekarman syndrome
GARD:0000175,Orphanet,ORPHA:309324,Subtype of disorder,Clinical subtype,"Free sialic acid storage disease, infantile form",ISSD
GARD:0000176,Orphanet,ORPHA:592,Disorder,Disease,Macrophagic myofasciitis,MMF
GARD:0000177,Orphanet,ORPHA:2432,Disorder,Malformation syndrome,Macrosomia-microphthalmia-cleft palate syndrome,Teebi-Al Saleh-Hassoon syndrome
GARD:0000178,Orphanet,ORPHA:2563,Disorder,Malformation syndrome,MOMO syndrome,Macrocephaly-obesity-mental disability-ocular abnormalities syndrome|Macrosomia-obesity-macrocephaly-ocular abnormalities syndrome
GARD:0000180,Orphanet,ORPHA:182050,Disorder,Disease,MYH9-related disease,MYH9-RD|MYH9-related disorder|MYH9-related syndrome|MYH9-related syndromic thrombocytopenia
GARD:0000181,Orphanet,ORPHA:827,Disorder,Disease,Stargardt disease,Fundus flavimaculatus|Stargardt 1
GARD:0000182,Orphanet,ORPHA:1243,Disorder,Disease,Best vitelliform macular dystrophy,BMD|BVMD|Best disease|Best macular dystrophy|Early-onset vitelliform macular dystrophy|Juvenile-onset vitelliform macular dystrophy|Polymorphic vitelline macular degeneration|Vitelliform macular dystrophy type 2
GARD:0000184,Orphanet,ORPHA:662,Disorder,Disease,Yellow nail syndrome,Lymphedema with yellow nails|YNS
GARD:0000192,Orphanet,ORPHA:1381,Disorder,Malformation syndrome,Cataract-intellectual disability-anal atresia-urinary defects syndrome,Karandikar-Maria-Kamble syndrome
GARD:0000193,Orphanet,ORPHA:2745,Disorder,Malformation syndrome,Opitz GBBB syndrome,Hypertelorism-hypospadias syndrome|Hypertelorism-oesophageal abnormality-hypospadias syndrome|Hypospadias-dysphagia syndrome|Opitz BBB/G syndrome|Opitz BBBG syndrome|Opitz G/BBB syndrome|Opitz-Frias syndrome
GARD:0000194,Orphanet,ORPHA:2066,Disorder,Disease,Gamma-aminobutyric acid transaminase deficiency,GABA transaminase deficiency
GARD:0000195,Orphanet,ORPHA:682,Disorder,Disease,Hyperkalemic periodic paralysis,Adynamia episodica hereditaria|Familial hyperPP|Familial hyperkalemic periodic paralysis|Gamstorp disease|Gamstorp episodic adynamy|HYPP|HyperKPP|HyperPP|Hyperkalemic PP|Primary hyperPP|Primary hyperkalemic periodic paralysis
GARD:0000198,Orphanet,ORPHA:83419,Subtype of disorder,Clinical subtype,Proximal spinal muscular atrophy type 3,Juvenile spinal muscular atrophy|Kugelberg-Welander disease|SMA type 3|SMA type III|SMA-III|SMA3
GARD:0000200,Orphanet,ORPHA:443079,Disorder,Disease,Central serous chorioretinopathy,CSCR
GARD:0000201,Orphanet,ORPHA:1253,Disorder,Malformation syndrome,Ascher syndrome,Blepharochalasis-double lip syndrome
GARD:0000206,Orphanet,ORPHA:655,Disorder,Disease,Nephronophthisis,
GARD:0000207,Orphanet,ORPHA:284,Disorder,Disease,Alveolar echinococcosis,Echinococcus multilocularis infection
GARD:0000212,Orphanet,ORPHA:2709,Disorder,Malformation syndrome,"Oculodental syndrome, Rutherfurd type",Gingival hypertrophy-corneal dystrophy|Rutherfurd syndrome
GARD:0000213,Orphanet,ORPHA:1834,Disorder,Malformation syndrome,Axial mesodermal dysplasia spectrum,Blastogenesis defect|Russell-Weaver-Bull syndrome
GARD:0000215,Orphanet,ORPHA:1768,Disorder,Malformation syndrome,Familial caudal dysgenesis,Rudd-Klimek syndrome
GARD:0000216,Orphanet,ORPHA:1323,Disorder,Malformation syndrome,Camptodactyly-joint contractures-facial skeletal defects syndrome,Rozin camptodactyly syndrome
GARD:0000218,Orphanet,ORPHA:3111,Disorder,Disease,Rotor syndrome,"Hyperbilirubinemia, Rotor type"
GARD:0000220,Orphanet,ORPHA:563,Disorder,Disease,Peripartum cardiomyopathy,Postpartum cardiomyopathy
GARD:0000221,Orphanet,ORPHA:217604,Group of disorders,Category,Dilated cardiomyopathy,
GARD:0000223,Orphanet,ORPHA:252175,Subtype of disorder,Clinical subtype,Vestibular schwannoma,Acoustic neurilemoma|Acoustic neurinoma|Acoustic neuroma
GARD:0000224,Orphanet,ORPHA:3015,Disorder,Malformation syndrome,Radio-renal syndrome,
GARD:0000225,Orphanet,ORPHA:93321,Disorder,Morphological anomaly,Radial hemimelia,Congenital longitudinal deficiency of the radius|Radial clubhand|Radial longitidinal meromelia|Radial ray agenesis
GARD:0000226,Orphanet,ORPHA:769,Disorder,Malformation syndrome,Rabson-Mendenhall syndrome,
GARD:0000229,Orphanet,ORPHA:1532,Disorder,Malformation syndrome,Gómez-López-Hernández syndrome,Cerebellotrigeminal-dermal dysplasia syndrome|Craniosynostosis-alopecia-brain defect syndrome
GARD:0000230,Orphanet,ORPHA:2533,Disorder,Malformation syndrome,Microcephaly-deafness-intellectual disability syndrome,Kawashima-Tsuji syndrome|Microcephaly-hearing loss-intellectual disability syndrome
GARD:0000231,Orphanet,ORPHA:135,Disorder,Disease,CACH syndrome,Childhood ataxia with diffuse central nervous system hypomyelination|Leukoencephalopathy with vanishing white matter|Myelinosis centralis diffusa
GARD:0000232,Orphanet,ORPHA:1309,Disorder,Morphological anomaly,Medullary sponge kidney,Cacchi-Ricci disease|MSK|Precalicial canalicular ectasia
GARD:0000234,Orphanet,ORPHA:941,Disorder,Disease,D-glyceric aciduria,D-glycerate kinase deficiency|D-glyceric acidemia
GARD:0000236,Orphanet,ORPHA:2186,Disorder,Malformation syndrome,Hydrocephalus-blue sclerae-nephropathy syndrome,Daentl-Townsend-Siegel syndrome
GARD:0000237,Orphanet,ORPHA:1563,Disorder,Malformation syndrome,Dahlberg-Borer-Newcomer syndrome,Dahlberg syndrome|Lymphedema-hypoparathyroidism syndrome
GARD:0000238,Orphanet,ORPHA:2724,Disorder,Malformation syndrome,Odontomatosis-aortae esophagus stenosis syndrome,Boder syndrome
GARD:0000239,Orphanet,ORPHA:3132,Disorder,Malformation syndrome,Say-Barber-Miller syndrome,Microcephaly-hypogammaglobulinemia-abnormal immunity syndrome
GARD:0000241,Orphanet,ORPHA:1003,Disorder,Malformation syndrome,Scalp defects-postaxial polydactyly syndrome,
GARD:0000243,Orphanet,ORPHA:3369,Disorder,Malformation syndrome,Trigonocephaly-short stature-developmental delay syndrome,Say-Meyer syndrome
GARD:0000246,Orphanet,ORPHA:63862,Disorder,Malformation syndrome,Schisis association,
GARD:0000247,Orphanet,ORPHA:3134,Disorder,Malformation syndrome,SCARF syndrome,
GARD:0000248,Orphanet,ORPHA:1383,Disorder,Malformation syndrome,Cataract-deafness-hypogonadism syndrome,Cataract-hearing loss-hypogonadism syndrome|Schaap-Taylor-Baraitser syndrome
GARD:0000249,Orphanet+OMIM,OMIM:122860,Subtype of disorder,Malformation syndrome subtype,"Craniodiaphyseal dysplasia, autosomal dominant",
GARD:0000250,Orphanet,ORPHA:800,Disorder,Disease,Schwartz-Jampel syndrome,"Aberfeld syndrome|Burton skeletal dysplasia|Burton syndrome|Catel-Hempel syndrome|Dysostosis enchondralis metaepiphysaria, Catel-Hempel type|Myotonic chondrodystrophy|Myotonic myopathy, dwarfism, chondrodystrophy, ocular and facial anomalies|Osteochondromuscular dystrophy|SJS|SJS1|Schwartz-Jampel syndrome type 1|Schwartz-Jampel-Aberfeld syndrome"
GARD:0000257,Orphanet,ORPHA:3041,Disorder,Malformation syndrome,Intellectual disability-balding-patella luxation-acromicria syndrome,Scholte-Begeer-van Essen syndrome
GARD:0000258,Orphanet,ORPHA:2252,Disorder,Malformation syndrome,Radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome,Schmitt-Gillenwater-Kelly syndrome
GARD:0000259,Orphanet,ORPHA:3145,Disorder,Disease,Nephrogenic diabetes insipidus-intracranial calcification-facial dysmorphism syndrome,
GARD:0000262,Orphanet,ORPHA:644,Disorder,Disease,NARP syndrome,Neurogenic muscle weakness-ataxia-retinitis pigmentosa syndrome|Neuropathy-ataxia-retinitis pigmentosa syndrome
GARD:0000264,Orphanet,ORPHA:1824,Disorder,Disease,Lowry-Wood syndrome,Epiphyseal dysplasia-microcephaly-nystagmus syndrome
GARD:0000265,Orphanet,ORPHA:3351,Disorder,Malformation syndrome,Trichodental syndrome,Kersey syndrome
GARD:0000267,Orphanet,ORPHA:2662,Disorder,Malformation syndrome,Keipert syndrome,Nasodigitoacoustic syndrome
GARD:0000269,Orphanet,ORPHA:2307,Disorder,Malformation syndrome,IVIC syndrome,"Oculo-oto-radial syndrome|Radial ray defects, hearing impairment, external ophthalmoplegia, and thrombocytopenia"
GARD:0000270,Orphanet,ORPHA:3051,Disorder,Malformation syndrome,Nicolaides-Baraitser syndrome,Intellectual disability-sparse hair-brachydactyly syndrome
GARD:0000272,Orphanet,ORPHA:3412,Disorder,Malformation syndrome,VACTERL with hydrocephalus,Sujansky-Leonard syndrome
GARD:0000273,Orphanet,ORPHA:2834,Subtype of disorder,Clinical subtype,Wrinkly skin syndrome,WSS|Wrinkled skin syndrome
GARD:0000274,Orphanet,ORPHA:2571,Disorder,Disease,X-linked immunoneurologic disorder,Woods-Black-Norbury syndrome
GARD:0000276,Orphanet+OMIM,OMIM:614841,Subtype of disorder,Clinical subtype,Hypogonadotropic hypogonadism 12 with or without anosmia,"Eunuchoidism, familial hypogonadotropic|gonadotropin deficiency, familial idiopathic"
GARD:0000277,Orphanet,ORPHA:2892,Disorder,Malformation syndrome,Pilodental dysplasia-refractive errors syndrome,Euhidrotic ectodermal dysplasia|Kopysc-Barczyk-Krol syndrome
GARD:0000280,Orphanet,ORPHA:1809,Disorder,Malformation syndrome,"Hidrotic ectodermal dysplasia, Halal type",Halal-Setton-Wang syndrome|Trichodysplasia-abnormal dermatoglyphics-intellectual disability syndrome
GARD:0000282,Orphanet,ORPHA:1832,Disorder,Malformation syndrome,Lethal osteosclerotic bone dysplasia,Raine syndrome
GARD:0000284,Orphanet,ORPHA:86915,Disorder,Malformation syndrome,Lymphedema-atrial septal defects-facial changes syndrome,Irons-Bhan syndrome|Irons-Bianchi syndrome
GARD:0000287,Orphanet,ORPHA:2211,Disorder,Malformation syndrome,Hypertelorism-hypospadias-polysyndactyly syndrome,Acrofrontofacionasal dysostosis type 2|Acrofrontofacionasal syndrome type 2|Naguib-Richieri-Costa syndrome
GARD:0000288,Orphanet,ORPHA:2108,Disorder,Malformation syndrome,Hallermann-Streiff syndrome,François dyscephalic syndrome|Oculomandibulofacial syndrome
GARD:0000290,Orphanet,ORPHA:2109,Disorder,Malformation syndrome,Hallermann-Streiff-like syndrome,"Dennis-Fairhurst-Moore syndrome|Hallermann-Streiff-François syndrome, severe form|Severe Hallermann-Streiff-François syndrome"
GARD:0000292,Orphanet,ORPHA:2269,Disorder,Disease,Ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome,Jagell-Holmgren-Hofer syndrome
GARD:0000296,Orphanet,ORPHA:2832,Disorder,Malformation syndrome,Short tarsus-absence of lower eyelashes syndrome,Lopes-Gorlin syndrome
GARD:0000298,Orphanet,ORPHA:2410,Disorder,Malformation syndrome,Hypergonadotropic hypogonadism-cataract syndrome,Lubinsky syndrome
GARD:0000299,Orphanet,ORPHA:231556,Disorder,Disease,Late-onset localized junctional epidermolysis bullosa-intellectual disability syndrome,Late-onset localized JEB-intellectual disability syndrome
GARD:0000302,Orphanet,ORPHA:99749,Disorder,Disease,Kostmann syndrome,Infantile agranulocytosis|Severe congenital neutropenia type 3
GARD:0000304,Orphanet,ORPHA:90340,Disorder,Disease,Blau syndrome,
GARD:0000305,Orphanet,ORPHA:3236,Disorder,Malformation syndrome,Conductive deafness-ptosis-skeletal anomalies syndrome,Conductive hearing loss-ptosis-skeletal anomalies syndrome|Jackson-Barr syndrome
GARD:0000306,Orphanet,ORPHA:2848,Disorder,Disease,Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome,Arthropathy-camptodactyly syndrome|CACP syndrome|Jacobs syndrome|Pericarditis-arthropathy-camptodactyly syndrome
GARD:0000307,Orphanet,ORPHA:2308,Disorder,Malformation syndrome,Jacobsen syndrome,11q terminal deletion syndrome|Del(11)(q23.3)|Del(11)(qter)|Distal deletion 11q|Distal monosomy 11q|Monosomy 11qter|Telomeric deletion 11q
GARD:0000310,Orphanet,ORPHA:3474,Disorder,Malformation syndrome,CHIME syndrome,"Coloboma-congenital heart disease-ichthyosiform dermatosis-intellectual disability-ear anomalies syndrome|Congenital disorder of glycosylation due to PIGL deficiency|Neuroectodermal dysplasia, CHIME type|Neuroectodermal syndrome, Zunich type|PIGL-CDG|Zunich-Kaye syndrome"
GARD:0000312,Orphanet,ORPHA:97360,Disorder,Malformation syndrome,Robinow syndrome,Acral dysostosis with facial and genital abnormalities|Fetal face syndrome|Mesomelic dwarfism-small genitalia syndrome|Robinow dwarfism|Robinow-Silverman-Smith syndrome
GARD:0000314,Orphanet,ORPHA:3124,Disorder,Disease,Saccharopinuria,Hyperlysinemia type II|Saccharopine dehydrogenase deficiency
GARD:0000319,Orphanet,ORPHA:494421,Subtype of disorder,Clinical subtype,Sacrococcygeal teratoma,
GARD:0000320,Orphanet,ORPHA:2256,Disorder,Malformation syndrome,Fibulo-ulnar hypoplasia-renal anomalies syndrome,Saito-Kuba-Tsuruta syndrome
GARD:0000321,Orphanet,ORPHA:2613,Disorder,Disease,Nail-patella-like renal disease,Salcedo syndrome
GARD:0000322,Orphanet,ORPHA:3156,Disorder,Disease,Senior-Loken syndrome,Nephronophthisis with retinal dystrophy|Renal dysplasia-retinal aplasia syndrome|SLSN
GARD:0000324,Orphanet,ORPHA:2230,Disorder,Disease,Hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,Salti-Salem syndrome
GARD:0000325,Orphanet,ORPHA:95431,Disorder,Disease,Twin to twin transfusion syndrome,Feto-fetal transfusion syndrome
GARD:0000329,Orphanet,ORPHA:901,Disorder,Disease,Wells syndrome,Eosinophilic cellulitis
GARD:0000330,Orphanet,ORPHA:3455,Disorder,Malformation syndrome,Wiedemann-Rautenstrauch syndrome,Neonatal progeroid syndrome
