d.gard_id,d.name,d.synonyms
GARD:0000068,Hanhart syndrome,"[Aglossia adactylia,Hypoglossia-hypodactylia syndrome,Peromelia with micrognathia]"
GARD:0000069,Hantavirus pulmonary syndrome,"[HPS,Hantavirus,Hantavirus-associated respiratory distress syndrome,HARDS,Four corners hantavirus]"
GARD:0000070,Hemangioma thrombocytopenia syndrome,"[Kasabach Merritt syndrome,Thrombocytopenia-hemangioma syndrome,Kasabach Merritt phenomenon,KMP]"
GARD:0000071,Human granulocytic ehrlichiosis,"[Human ehrlichial infection, human granulocytic type,HGE]"
GARD:0000072,Human monocytic ehrlichiosis,"[Human ehrlichial infection, human monocytic type,HME]"
GARD:0000073,Immunodeficiency with hyper IgM type 1,"[X-linked hyper IgM syndrome,Hyper IgM immunodeficiency, x-linked,Hyper IgM syndrome,Hyper IgM syndrome 1,XHIM,HIGM,IHIS,HIGM1]"
GARD:0000076,Hypohidrotic ectodermal dysplasia,"[HED,Ectodermal dysplasia, hypohidrotic,Anhidrotic ectodermal dysplasia,Ectodermal dysplasia anhidrotic,EDA]"
GARD:0000079,Jansen type metaphyseal chondrodysplasia,"[Metaphyseal chondrodysplasia Murk Jansen type,Murk Jansen type metaphyseal chondrodysplasia]"
GARD:0000080,Johanson-Blizzard syndrome,"[JBS,Nasal alar hypoplasia, hypothyroidism, pancreatic achylia and congenital deafness]"
GARD:0000081,Juberg Marsidi syndrome,"[Intellectual disability, X-linked with Growth Delay, Deafness, Microgenitalism,Juberg-Marsidi Intellectual disability syndrome,JMS,X-linked hypogonadism gynecomastia intellectual disability,X-linked intellectual disability-hypotonic facies syndrome 1,Juberg-Marsidi syndrome,Intellectual disability, x-linked, with growth retardation, deafness, and microgenitalism]"
GARD:0000082,KBG syndrome,"[Short stature, characteristic facies, macrodontia, mental retardation, and skeletal anomalies]"
GARD:0000083,Kenny-Caffey syndrome type 2,"[KCS2,Dwarfism, cortical thickening of tubular bones and transient hypocalcemia,Kenny-Caffey syndrome, autosomal dominant]"
GARD:0000084,Congenital generalized lipodystrophy type 1,"[Berardinelli-Seip congenital lipodystrophy type 1,BSCL1,AGPAT2-related Brunzell syndrome]"
GARD:0000085,Thanatophoric dysplasia,"[Dwarfism thanatophoric,Thanatophoric Dwarfism,TD]"
GARD:0000086,Chudley-Mccullough syndrome,"[Deafness, sensorineural, with partial agenesis of the corpus callosum and arachnoid cysts,Deafness, bilateral sensorineural, and hydrocephalus due to foramen of monro obstruction]"
GARD:0000087,Lenz microphthalmia syndrome,"[Microphthalmia syndromic 1,MCOPS1,Lenz dysplasia,Syndromic microphthalmia type 1,MAA (formerly),Microphthalmia or anophthalmos with associated anomalies (formerly),Microphthalmia Lenz type]"
GARD:0000088,Leri pleonosteosis,"[Leri type pleonosteosis,Leri's pleonosteosis,Pleonosteosis Leri type]"
GARD:0000089,Gastric Non-Hodgkin Lymphoma,"[Non-Hodgkins gastric Lymphoma,Stomach Lymphoma, Non-Hodgkins type]"
GARD:0000091,"Malignant melanoma, childhood",null
GARD:0000092,Meleda disease,"[Keratosis palmoplantaris transgradiens of Siemens,MDM,Mal de Meleda]"
GARD:0000093,Monilethrix,[Nodose hair]
GARD:0000094,Mucolipidosis type 4,"[ML 4,Berman syndrome,Ganglioside neuraminidase deficiency,Ganglioside sialidase deficiency,Mucolipidosis type IV]"
GARD:0000095,Mulibrey Nanism,"[Muscle-liver-brain-eye nanism,Pericardial constriction and growth failure,Perheentupa syndrome]"
GARD:0000101,Centronuclear myopathy,null
GARD:0000102,Neu Laxova syndrome,"[NLS,3-phosphoglycerate dehydrogenase deficiency, neonatal form,Neu-Laxova syndrome]"
GARD:0000104,Ochoa syndrome,"[Hydronephrosis with peculiar facial expression,Urofacial syndrome,Inverted smile and occult neuropathic bladder,Partial facial palsy with urinary abnormalities,Urofacial Ochoa's syndrome,UFS]"
GARD:0000105,Oculocerebral syndrome with hypopigmentation,"[Cross syndrome,Kramer syndrome,Oculocerebral hypopigmentation syndrome,Hypopigmentation oculocerebral syndrome Cross type]"
GARD:0000106,Oculocerebrocutaneous syndrome,"[Delleman syndrome,Delleman Oorthuys syndrome,Orbital cyst with cerebral and focal dermal malformations,OCCS,OCC Syndrome,Oculo-cerebro-cutaneous syndrome]"
GARD:0000108,Adult polyglucosan body disease,"[APBD,Polyglucosan body disease, adult form,Polyglucosan body neuropathy, adult form,APBN]"
GARD:0000109,Progressive osseous heteroplasia,"[POH,Familial ectopic ossification,Ectopic ossification familial type]"
GARD:0000111,Recurrent respiratory papillomatosis,"[RRP,Juvenile laryngeal papilloma,Laryngeal papilloma, recurrent,Juvenile-onset recurrent respiratory papillomatosis (type),JORRP (type),Adult-onset recurrent respiratory papillomatosis (type),AORRP (type),Respiratory papillomatosis, recurrent]"
GARD:0000112,"Respiratory distress syndrome, infant","[Hyaline membrane disease,Infantile respiratory distress syndrome,IRDS,NRDS,Neonatal respiratory distress syndrome,RDS - infants]"
GARD:0000113,"Retinopathy, arteriosclerotic","[Arteriosclerosis, retina]"
GARD:0000114,X-linked Charcot-Marie-Tooth disease type 5,"[Charcot-Marie-Tooth Neuropathy X Type 5,CMTX5,Rosenberg-Chutorian syndrome,Optic atrophy, polyneuropathy, and deafness,Optic atrophy, sensorineural hearing loss and polyneuropathy,Familial opticoacoustic nerve degeneration and polyneuropathy]"
GARD:0000116,Schindler disease type 1,"[Neuroaxonal dystrophy, Schindler type,Alpha-N-acetylgalactosaminidase deficiency, type 1,NAGA deficiency, type 1,Schindler disease type I]"
GARD:0000117,Schinzel Giedion syndrome,"[Schinzel Giedion midface-retraction syndrome,SGS,Schinzel-Giedion syndrome]"
GARD:0000118,Ulnar-mammary syndrome,"[UMS,Schinzel syndrome,Ulnar-mammary syndrome of Pallister]"
GARD:0000120,Sennetsu Fever,"[Human Ehrlichial infection, Sennetsu type]"
GARD:0000121,Facial ectodermal dysplasia,"[Setleis syndrome,Bitemporal forceps marks syndrome,Focal facial dermal dysplasia type 2,FFDD type 2]"
GARD:0000122,Singleton-Merten syndrome,"[Merten-Singleton syndrome,SM syndrome,Widened medullary cavities of bone, aortic calcification, abnormal dentition, and muscular weakness,Syndrome of widened medullary cavities of the metacarpals and phalanges, aortic calcification and abnormal dentition,Singleton-Merten dysplasia]"
GARD:0000124,Allain-Babin-Demarquez syndrome,"[Acro cephalo synostosis,Craniosynostosis synostoses hypertensive nephropathy]"
GARD:0000125,Acrokeratoelastoidosis of Costa,"[Collagenous plaques of hand and feet,AKE,Palmoplantar keratoderma, punctate type 3]"
GARD:0000130,Florid cystic endosalpingiosis of the uterus,[Cystic endosalpingiosis of the uterus]
GARD:0000132,Primary cutaneous amyloidosis,"[Primary localized cutaneous amyloidosis,PLCA,Lichen amyloidosis familial,Amyloidosis familial cutaneous lichen,Amyloidosis 9,Amyloidosis IX]"
GARD:0000133,"Aganglionosis, total intestinal","[TIA,Rare form of Hirschsprung's disease,Aganglionosis, total colonic,Near-total intestinal aganglionosis,NTIA]"
GARD:0000134,Spondyloepimetaphyseal dysplasia Strudwick type,"[Dappled metaphysis syndrome,Strudwick syndrome,SMED Strudwick type,SMED type 1,SMD]"
GARD:0000136,Dextrocardia with unusual facies and microphthalmia,"[Aughton syndrome,Dextrocardia, microphthalmia, cleft palate, choreoathetosis and mental retardation]"
GARD:0000137,Dandy-Walker malformation with nasopharyngeal teratoma and diaphragmatic hernia,[Aughton Sloan Milad syndrome]
GARD:0000139,"Atrial myxoma, familial",[Intracardiac myxoma]
GARD:0000140,Atresia of small intestine,"[Small intestine atresia,Congenital atresia of the small intestine,Small intestinal atresia]"
GARD:0000143,Hairy elbows,[Hypertrichosis cubiti]
GARD:0000144,Mac Dermot Winter syndrome,"[Prominent glabella microcephaly hypogenitalism,Macdermot-Winter syndrome]"
GARD:0000147,"Macrocephaly, benign familial","[Benign familial macrocephaly,Cole-Hughes syndrome,Benign familial megalencephaly]"
GARD:0000149,Prostatic malacoplakia associated with prostatic abscess,[Prostatic malacoplakia with prostatic and seminal vesicle abscess]
GARD:0000150,Sammartino Decreccio syndrome,"[Superficial annular corneal dystrophy, ichthyosis nigrans, microcephaly and mild mental subnormality]"
GARD:0000151,Samson Gardner syndrome,"[Craniosynostosis, microcephaly, hydrancephaly, humero-radial synostosis, and thumb aplasia]"
GARD:0000152,Samson Viljoen syndrome,"[Lateral facial cleft, cleft lip and palate, anophthalmia, microtia, clavicular agenesis and asternia]"
GARD:0000153,Sanderson Fraser syndrome,"[Proptosis, Robin association, clenched hands, and multiple abnormalities]"
GARD:0000154,Sandhaus Ben-Ami syndrome,[Patella hypoplasia skeletal malformations]
GARD:0000155,Laurin-Sandrow syndrome,"[Fibula ulna duplication tibia radius absence,Sandrow syndrome,Mirror hands and feet with nasal defects,Tetramelic mirror-image polydactyly,Laurin Sandrow syndrome]"
GARD:0000156,Muscle eye brain disease,"[MEB,Muscle-eye-brain disease,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A3]"
GARD:0000157,Santos Mateus Leal syndrome,"[Hirschsprung disease, deafness and polydactyly,Hirschsprung disease associated with polydactyly, unilateral renal agenesis, hypertelorism, and congenital deafness]"
GARD:0000158,Sarcosinemia,"[Sarcosine dehydrogenase complex deficiency,SARD deficiency,Hypersarcosinemia,SARDH deficiency]"
GARD:0000159,Scalp ear nipple syndrome,"[Hereditary syndrome of lumpy scalp, odd ears and rudimentary nipples,Sen Syndrome,Finlay-Marks Syndrome,Scalp-ear-nipple syndrome]"
GARD:0000160,Satoyoshi syndrome,"[Komuragaeri Disease,Muscle spasms, intermittent with alopecia, diarrhea and skeletal abnormalities]"
GARD:0000161,Saul Wilkes Stevenson syndrome,null
GARD:0000162,Say syndrome,"[Cleft palate large ears small head,Cleft palate, microcephaly, large ears, and short stature,Say Barber Hobbs syndrome]"
GARD:0000166,Schizencephaly,null
GARD:0000169,Schneckenbecken dysplasia,[Chondrodysplasia lethal neonatal with snail like pelvis]
GARD:0000171,Le Marec Bracq Picaud syndrome,[Complex malformation syndrome with brachymesomelia]
GARD:0000172,Macrocephaly-short stature-paraplegia syndrome,"[Volcke Soekarman syndrome,Volcke-Soekarman syndrome]"
GARD:0000173,"Macroepiphyseal dysplasia with osteoporosis, wrinkled skin, and aged appearance","[McAlister Coe Whyte syndrome,Macroepiphyseal dysplasia, McAlister Coe type]"
GARD:0000174,Kuzniecky Andermann syndrome,"[Macrogyria, pseudobulbar palsy and mental retardation]"
GARD:0000175,Infantile free sialic acid storage disease,"[Sialuria, infantile form,Infantile sialic acid storage disorder,ISSD]"
GARD:0000176,Macrophagic myofasciitis,"[MMF,Macrophagic myofasciitis, childhood]"
GARD:0000177,Macrosomia with lethal microphthalmia,"[Teebi Al-Saleh Hassoon syndrome,Macrosomia microphthalmia cleft palate]"
GARD:0000178,MOMO syndrome,"[Macrosomia, obesity, macrocephaly, ocular abnormalities,Macrocrania, obesity, ocular abnormalities (retinal coloboma and nystagmus)]"
GARD:0000179,Macrothrombocytopenia progressive deafness,[Brodie Chole Griffin syndrome]
GARD:0000180,MYH9 related thrombocytopenia,"[MYH9 related disorders,Sebastian syndrome (subtype),May-Hegglin anomaly (subtype),Fechtner syndrome (subtype),Epstein syndrome (subtype),Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,MYH9-RD,MYH9-related disease,MYH9-related disorder,MYH9-related syndrome,MYH9-related syndromic thrombocytopenia]"
GARD:0000181,Stargardt disease,"[Stargardt macular dystrophy,Juvenile onset macular degeneration]"
GARD:0000182,Best vitelliform macular dystrophy,"[Best disease,Best macular dystrophy,Macular degeneration, polymorphic vitelline,Vitelliform macular dystrophy type 2,VMD2,BVMD,Early-onset vitelliform macular dystrophy,Juvenile-onset vitelliform macular dystrophy,Polymorphic vitelline macular degeneration]"
GARD:0000183,Bubonic plague,null
GARD:0000184,Yellow nail syndrome,"[Lymphedema with yellow nails,YNS]"
GARD:0000185,Y chromosome infertility,"[Male sterility due to Y-chromosome deletions,DAZ,Deleted in azoospermia,Y chromosome microdeletions]"
GARD:0000188,N acetyltransferase deficiency,"[N acetyltransferase 1 deficiency,NAT1 deficiency,Arylamine n-acetyltransferase 1,Acetyl-CoA:arylamine n-acetyltransferase]"
GARD:0000189,Elliott Ludman Teebi syndrome,"[Multiple congenital anomalies, severe psychomotor retardation and symmetrical circumferential skin creases of arms and legs]"
GARD:0000191,Kashani Strom Utley syndrome,"[Pulmonary aortic stenosis obstructive uropathy,Hypoplastic pulmonary arteries and aorta with obstructive uropathy]"
GARD:0000192,Karandikar Maria Kamble syndrome,"[Cataract mental retardation anal atresia urinary defects,Congenital cataract with multiple congenital anomalies in a sibship]"
GARD:0000193,Opitz G/BBB syndrome,"[Hypospadias-dysphagia, syndrome,Opitz-Frias syndrome,G syndrome,Opitz-G syndrome, type 2,Hypertelorism hypospadias syndrome,Hypertelorism with esophageal abnormality and hypospadias,BBB syndrome,Telecanthus with associated abnormalities,Opitz BBBG syndrome,GBBB syndrome]"
GARD:0000194,Gamma aminobutyric acid transaminase deficiency,"[GABA transaminase deficiency,Gamma aminobutyrate transaminase deficiency,GABAT,4 alpha aminobutyrate transaminase deficiency,ABAT]"
GARD:0000195,Hyperkalemic periodic paralysis,"[HYPP,Gamstorp disease,Gamstorp episodic adynamy,Adynamia episodica hereditaria with or without myotonia,Sodium channel muscle disease]"
GARD:0000196,St Anthony's fire,[Ergotism]
GARD:0000198,Spinal muscular atrophy type 3,"[SMA3,Muscular atrophy, juvenile,SMA 3,Kugelberg-Welander syndrome,KWS,Spinal muscular atrophy, mild childhood and adolescent form]"
GARD:0000199,Cardiac hydatid cysts with intracavitary expansion,[Cardiac hydatidosis]
GARD:0000200,Central serous chorioretinopathy,"[Central serous chorioretinopathy after bone marrow transplantation,Central serous choroidopathy]"
GARD:0000201,Ascher Syndrome,"[Double upper lip, blepharochalasis and enlargement of the thyroid,Ascher's syndrome,Blepharochalasis - double lip,Blepharochalasis and double lip,Blepharochalasis-double lip syndrome]"
GARD:0000203,Crohn's disease of the esophagus,null
GARD:0000204,Dieterich's disease,"[Avascular necrosis of the metacarpal head,Dieterich disease]"
GARD:0000206,Nephronophthisis,null
GARD:0000207,Alveolar echinococcosis,[Echinococcosis]
GARD:0000208,Giant mammary hamartoma,[Giant hamartoma of the breast]
GARD:0000210,Ruzicka Goerz Anton syndrome,"[Ichthyosis deafness mental retardation skeletal anomalies,Ichthyosis congenita, neurosensory deafness, oligophrenia, dental aplasia, brachydactyly, clinodactyly, accessory cervical ribs and thyroid carcinoma]"
GARD:0000212,Rutherfurd syndrome,"[Gingival hypertrophy corneal dystrophy,Corneal dystrophy with gum hypertrophy]"
GARD:0000213,Axial mesodermal dysplasia spectrum,[Russell Weaver Bull syndrome]
GARD:0000215,Familial caudal dysgenesis,"[Caudal dysgenesis familial type,Rudd-Klimek syndrome]"
GARD:0000216,Rozin Hertz Goodman syndrome,"[Camptodactyly, joint contractures, facial skeletal defects,Camptodactyly, myopia, and fibrosis of the medial rectus muscle of eye]"
GARD:0000217,Roy Maroteaux Kremp syndrome,"[Metaphyseal modeling abnormality, skin lesions, and Spastic paraplegia]"
GARD:0000218,Rotor syndrome,"[Hyperbilirubinemia, Rotor type,Rotor-type hyperbilirubinemia]"
GARD:0000219,Congenital giant megaureter,[CGM]
GARD:0000220,Peripartum cardiomyopathy,"[Postpartum cardiomyopathy,Meadows' syndrome]"
GARD:0000221,Dilated cardiomyopathy,"[DCM,Idiopathic dilated cardiomyopathy]"
GARD:0000223,Acoustic neuroma,"[Acoustic neurilemoma,Acoustic neurinoma,Cerebellopontine angle tumor,Vestibular schwannoma,Neurinoma of the acoustic nerve,Acoustic tumor]"
GARD:0000224,Radio renal syndrome,[Radio-renal syndrome]
GARD:0000225,Radial ray agenesis,null
GARD:0000226,Rabson-Mendenhall syndrome,"[Pineal hyperplasia, insulin-resistant diabetes mellitus, and somatic abnormalities,Mendenhall Syndrome,INSR-related severe syndromic insulin resistance]"
GARD:0000229,Gomez Lopez Hernandez syndrome,"[Cerebellotrigeminal-dermal dysplasia,Cerebellotrigeminal dermal dysplasia,Gomez-Lopez-Hernández syndrome,Cerebellotrigeminal-dermal dysplasia syndrome,Craniosynostosis-alopecia-brain defect syndrome]"
GARD:0000230,Microcephaly deafness syndrome,"[Kawashima tsuji syndrome,Syndrome of microcephaly, deafness/malformed ears, mental retardation and peculiar facies]"
GARD:0000231,Leukoencephalopathy with vanishing white matter,"[Childhood ataxia with diffuse central nervous system hypomyelination,CACH syndrome,CACH/VWM syndrome,Myelinosis centralis diffusa,Cree leukoencehalopathy,Childhood ataxia with central nervous system hypomyelination/vanishing white matter,CACH/VWM,Vanishing white matter leukodystrophy,Vanishing white matter disease]"
GARD:0000232,Medullary sponge kidney,"[Cacchi Ricci disease,Precalyceal canalicular ectasia,Cacchi-Ricci syndrome,Sponge kidney,Cystic dilatation of renal collecting tubes,Cacchi-Ricci disease,MSK,Precalicial canalicular ectasia]"
GARD:0000233,D ercole syndrome,[Short stature microcephaly heart defect]
GARD:0000234,D-glycericacidemia,"[D-Glycerate kinase deficiency,Non ketotic hyperglycinemia syndrome]"
GARD:0000236,Daentl Towsend Siegel syndrome,"[Hydrocephalus blue sclera nephropathy,Familial nephrosis, hydrocephalus, thin skin, blue sclerae syndrome]"
GARD:0000237,Dahlberg Borer Newcomer syndrome,"[Lymphedema hypoparathyroidism syndrome,Hypoparathyroidism lymphedema syndrome]"
GARD:0000238,Odontoma dysphagia syndrome,"[Odontomatosis (multiple odontomas) with dysphagia,Boder syndrome]"
GARD:0000239,Say Barber Miller syndrome,"[Microcephaly hypogammaglobulinemia abnormal immunity,Microcephaly with chemotactic defect and transient hypogammaglobulinemia]"
GARD:0000240,Say Carpenter syndrome,[Metaphyseal dysplasia hypertelorism hypospadias]
GARD:0000241,Scalp defects postaxial polydactyly,[Congenital scalp defects associated with postaxial polydactyly]
GARD:0000242,Say-Field-Coldwell syndrome,"[Triphalangeal thumbs and dislocation of patella,Polydactyly with triphalangeal thumbs, brachydactyly, camptodactyly, congenital dislocation of the patellas, short stature and borderline intelligence]"
GARD:0000243,Say Meyer syndrome,"[Trigonocephaly, short stature, and retarded psychomotor development,Say-Meyer syndrome,Trigonocephaly-short stature-developmental delay syndrome]"
GARD:0000246,Schisis association,[Midline development field defects]
GARD:0000247,SCARF syndrome,"[Skeletal abnormalities, Cutis laxa, craniostenosis, Ambiguous genitalia, Retardation, and Facial abnormalities]"
GARD:0000248,Schaap Taylor Baraitser syndrome,"[Cataracts, sensorineural deafness, hypogonadism, hypertrichosis and short stature]"
GARD:0000249,Schaefer Stein Oshman syndrome,"[Dominantly inherited craniodiaphyseal dysplasia,Craniodiaphyseal dysplasia, dominant]"
GARD:0000250,Schwartz Jampel syndrome,"[Schwartz Jampel Aberfeld syndrome,Myotonic myopathy dwarfism chondrodystrophy and ocular and facial abnormalities,SJA syndrome,Chondrodystrophic myotonia,Myotonic chondrodystrophy,Myotonic myopathy, dwarfism, chondrodystrophy, ocular and facial anomalies,Aberfeld syndrome,Burton skeletal dysplasia,Burton syndrome,Catel-Hempel syndrome,Dysostosis enchondralis metaepiphysaria, Catel-Hempel type,Osteochondromuscular dystrophy,Schwartz-Jampel syndrome,Schwartz-Jampel-Aberfeld syndrome,SJS,SJS1]"
GARD:0000253,Schwartz Cohen-Addad Lambert syndrome,[Congenital melanocytosis with myelomeningocele and hydrocephalus]
GARD:0000255,Schlegelberger Grote syndrome,"[Triphalangeal thumbs thrombocytopathy deafness,Syndrome with triphalangia of thumbs, thrombasthenia Glanzmann and deafness of internal ear]"
GARD:0000256,Schrander-Stumpel Theunissen Hulsmans syndrome,"[Vitiligo, psychomotor retardation, cleft palate and facial dysmorphism,Vitiligo vulgaris, cleft palate, somatic and psychomotor retardation and facial dysmorphism]"
GARD:0000257,Scholte syndrome,"[Early balding, patella luxation, acromicria and hypogonadism]"
GARD:0000259,Diabetes insipidus nephrogenic mental retardation and intracerebral calcification,[Schofer Beetz Bohl syndrome]
GARD:0000262,Neuropathy ataxia retinitis pigmentosa syndrome,"[NARP syndrome,NARP]"
GARD:0000264,Lowry Wood syndrome,"[Epiphyseal dysplasia, microcephaly and nystagmus,LWS]"
GARD:0000265,Trichodental syndrome,"[Trichodental dysplasia,Tricho-dental syndrome,Tricho-dental dysplasia]"
GARD:0000267,Nasodigitoacoustic syndrome,[Keipert Syndrome]
GARD:0000269,IVIC syndrome,"[Instituto Venezolano de Investigaciones Cientificas syndrome,Radial ray defects, hearing impairment, external ophthalmoplegia, and thrombocytopenia,Oculootoradial syndrome,OORS]"
GARD:0000270,Nicolaides-Baraitser syndrome,"[Sparse hair and mental retardation,NCBRS]"
GARD:0000271,Vagneur Triolle Ripert syndrome,"[Hypertelorism, short midface, arachnodactyly, coloboma of Iris and delayed bone age]"
GARD:0000272,VACTERL hydrocephaly,"[Vertebral (V), anal (A), cardiac (C), tracheoesophageal (TE), renal (R) and limb (L) anomalies and hydrocephaly,VACTERL association with hydrocephaly]"
GARD:0000273,Wrinkly skin syndrome,null
GARD:0000274,Woods Black Norbury syndrome,"[Neonatal death immune deficiency,X-linked immunoneurological disorder]"
GARD:0000276,Eunuchoidism familial hypogonadotropic,"[Gonadotropin deficiency familial idiopathic,FIGD,Familial hypogonadotropic eunuchoidism]"
GARD:0000277,Pilodental dysplasia with refractive errors,[Trichodental dysplasia with hyperopia]
GARD:0000279,Hemorrhagic proctocolitis,[Haemorrhagic proctocolitis]
GARD:0000280,Halal Setton Wang syndrome,[Hidrotic ectodermal dysplasia Halal type]
