primary category,2nd category,StudyFields,Patient,HCP,Clin Res,Study Dir,Public Health Analyst,Inform. Analyst,,,"P, HCP, Infor",Overall,Comments,286
IndividualPatientData,,IPDSharingAccessCriteria,,,1,,1,1,,,1,1,,
IndividualPatientData,,IPDSharingDescription,,,1,,1,1,,,1,1,,
IndividualPatientData,,IPDSharingInfoType,,,1,,1,1,,,1,1,,
IndividualPatientData,,IPDSharingTimeFrame,,,1,,1,1,,,1,1,,
IndividualPatientData,,IPDSharingURL,,,1,,1,1,,,1,1,,
,,InterventionAncestorId,,,1,,1,,,,0,1,,
,,InterventionAncestorTerm,,,1,,1,,,,0,1,,
,,InterventionArmGroupLabel,,,1,,1,,,,0,1,,
,,InterventionBrowseBranchAbbrev,,,1,,1,,,,0,1,,
,,InterventionBrowseBranchName,,,1,,1,,,,0,1,,
,,InterventionBrowseLeafAsFound,,,1,,1,,,,0,1,,
Intervention,,InterventionBrowseLeafId,,,,,,1,,,1,1,,
Intervention,,InterventionBrowseLeafName,,,,,,1,,,1,1,,
Intervention,,InterventionBrowseLeafRelevance,,,,,,1,,,1,1,,
Intervention,,InterventionDescription,1,1,1,1,1,1,,,1,1,,
Intervention,,InterventionMeshId,,1,1,1,1,1,,,1,1,,
Intervention,,InterventionMeshTerm,,1,1,1,1,1,,,1,1,,
Intervention,,InterventionName,1,1,1,1,1,1,,,1,1,,
Intervention,,InterventionOtherName,1,1,1,1,1,1,,,1,1,,
Intervention,,InterventionType,1,1,1,1,1,1,,,1,1,,
Intervention,,IsFDARegulatedDevice,1,1,1,1,1,1,,,1,1,,
Intervention,,IsFDARegulatedDrug,1,1,1,1,1,1,,,1,1,,
,,IsPPSD,,,,,,,,,0,0,,
,,IsUSExport,,,,,,,,,0,0,,
,,IsUnapprovedDevice,,,,,,,,,0,0,Medical device,
,,Keyword,,,,,,,,,0,0,"Study-level, user-supplied key words",
,,LargeDocDate,,,,,1,,,,0,1,,
,,LargeDocFilename,,,,,,,,,0,0,,
,,LargeDocHasICF,,,,,,,,,0,0,,
,,LargeDocHasProtocol,,,1,1,,,,,0,1,,
,,LargeDocHasSAP,,,1,1,1,1,,,1,1,,
,,LargeDocLabel,,,,,,,,,0,0,,
,,LargeDocTypeAbbrev,,,,,,,,,0,0,,
,,LargeDocUploadDate,,,,,1,,,,0,1,,
Clinical Trial,,LastKnownStatus,,,,,,1,,,1,1,,
Clinical Trial,,LastUpdatePostDate,1,1,1,,,1,,,1,1,,
Clinical Trial,,LastUpdatePostDateType,1,1,1,,,1,,,1,1,,
Clinical Trial,,LastUpdateSubmitDate,,,,,,1,,,1,1,,
Sponsor,,LeadSponsorClass,,,1,1,1,1,,,1,1,Determines FunderType,
Sponsor,,LeadSponsorName,1,1,,,1,1,,,1,1,,
,,LimitationsAndCaveatsDescription,,,1,1,1,,,,0,1,,
Location,,LocationCity,1,1,,,1,,,,1,1,,
Location,,LocationContactEMail,1,1,,,1,,,,1,1,,
Location,,LocationContactName,1,1,,,1,,,,1,1,,
Location,,LocationContactPhone,1,1,,,1,,,,1,1,,
Location,,LocationContactPhoneExt,1,1,,,1,,,,1,1,,
Location,,LocationContactRole,1,1,,,1,,,,1,1,,
Location,,LocationCountry,1,1,,,1,,,,1,1,,
Location,,LocationFacility,1,1,,,1,,,,1,1,,
Location,,LocationState,1,1,,,1,,,,1,1,,
Location,,LocationStatus,1,1,,,1,,,,1,1,,
Location,,LocationZip,1,1,,,1,,,,1,1,,
Paticipant,,MaximumAge,1,1,1,1,1,1,,,1,1,,
Paticipant,,MinimumAge,1,1,1,1,1,1,,,1,1,,
Clinical Trial,,NCTId,1,1,,,1,,,,1,1,,
Clinical Trial,,NCTIdAlias,1,1,,,1,,,,1,1,,
Clinical Trial,,OfficialTitle,1,1,1,1,1,,,,1,1,,
Sponsor,,OrgClass,1,1,1,1,1,,,,1,1,,
Sponsor,,OrgFullName,1,1,1,1,1,,,,1,1,,
Sponsor,,OrgStudyId,1,1,1,1,1,1,,,1,1,,
,,OrgStudyIdDomain,,,,,1,,,,0,1,No examples,
Sponsor,,OrgStudyIdLink,,,,,1,1,,,1,1,,
Sponsor,,OrgStudyIdType,1,1,1,1,1,1,,,1,1,,
,,OtherEventAssessmentType,,,,,,,,,0,0,Events,
,,OtherEventNotes,,,,,,,,,0,0,Events,
,,OtherEventOrganSystem,,,,,,,,,0,0,Events,
,,OtherEventSourceVocabulary,,,,,,,,,0,0,Events,
,,OtherEventStatsGroupId,,,,,,,,,0,0,Events,
,,OtherEventStatsNumAffected,,,,,,,,,0,0,Events,
,,OtherEventStatsNumAtRisk,,,,,,,,,0,0,Events,
,,OtherEventStatsNumEvents,,,,,,,,,0,0,Events,
,,OtherEventTerm,,,,,,,,,0,0,Events,
,,OtherOutcomeDescription,,,1,1,1,,,,0,1,Outcome measures,
,,OtherOutcomeMeasure,,,1,1,1,,,,0,1,Outcome measures,
,,OtherOutcomeTimeFrame,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisCILowerLimit,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisCILowerLimitComment,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisCINumSides,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisCIPctValue,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisCIUpperLimit,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisCIUpperLimitComment,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisDispersionType,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisDispersionValue,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisEstimateComment,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisGroupDescription,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisGroupId,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisNonInferiorityComment,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisNonInferiorityType,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisOtherAnalysisDescription,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisPValue,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisPValueComment,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisParamType,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisParamValue,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisStatisticalComment,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisStatisticalMethod,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeAnalysisTestedNonInferiority,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeCategoryTitle,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeClassDenomCountGroupId,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeClassDenomCountValue,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeClassDenomUnits,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeClassTitle,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeDenomCountGroupId,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeDenomCountValue,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeDenomUnits,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeGroupDescription,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeGroupId,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeGroupTitle,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureAnticipatedPostingDate,,,,1,1,,,,0,1,,
,,OutcomeMeasureCalculatePct,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureDenomUnitsSelected,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureDescription,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureDispersionType,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureParamType,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasurePopulationDescription,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureReportingStatus,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureTimeFrame,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureTitle,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureType,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureTypeUnitsAnalyzed,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasureUnitOfMeasure,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasurementComment,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasurementGroupId,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasurementLowerLimit,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasurementSpread,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasurementUpperLimit,,,1,1,1,,,,0,1,Outcome measures,
,,OutcomeMeasurementValue,,,1,1,1,,,,0,1,Outcome measures,
Sponsor,,OverallOfficialAffiliation,1,1,,1,1,,,,1,1,,
Sponsor,,OverallOfficialName,1,1,,1,1,,,,1,1,,
Sponsor,,OverallOfficialRole,1,1,,1,1,,,,1,1,,
Clinical Trial,,OverallStatus,1,1,,1,1,,,,1,1,,
,,OversightHasDMC,,,,1,1,,,,0,1,,
PatientRegistry,,PatientRegistry,1,,,,,1,,,1,1,,
Clinical Trial,,Phase,1,1,,,,,,,1,1,,
Sponsor,,PointOfContactEMail,1,1,,,,,,,1,1,,
Sponsor,,PointOfContactOrganization,1,1,,,,,,,1,1,,
Sponsor,,PointOfContactPhone,1,1,,,,,,,1,1,,
Sponsor,,PointOfContactPhoneExt,1,1,,,,,,,1,1,,
Sponsor,,PointOfContactTitle,1,1,1,1,,,,,1,1,,
Clinical Trial,,PrimaryCompletionDate,1,1,1,1,1,,,,1,1,,
Clinical Trial,,PrimaryCompletionDateType,1,1,1,1,1,,,,1,1,,
StudyDesign,,PrimaryOutcomeDescription,,1,1,1,1,,,,1,1,Outcome measures,
StudyDesign,,PrimaryOutcomeMeasure,,1,1,1,1,,,,1,1,Outcome measures,
StudyDesign,,PrimaryOutcomeTimeFrame,,1,1,1,1,,,,1,1,Outcome measures,
Reference,,ReferenceCitation,,1,1,1,,,,,1,1,,
Reference,,ReferencePMID,,1,1,1,,,,,1,1,,
Reference,,ReferenceType,,1,1,1,,,,,1,1,,
,,RemovedCountry,,,,,,,,,0,0,,
Sponsor,,ResponsiblePartyInvestigatorAffiliation,1,1,1,1,1,,,,1,1,,
Sponsor,,ResponsiblePartyInvestigatorFullName,1,1,1,1,1,,,,1,1,,
Sponsor,,ResponsiblePartyInvestigatorTitle,1,1,1,1,1,,,,1,1,,
Sponsor,,ResponsiblePartyOldNameTitle,1,1,1,1,1,,,,1,1,,
Sponsor,,ResponsiblePartyOldOrganization,1,1,1,1,1,,,,1,1,,
Sponsor,,ResponsiblePartyType,1,1,1,1,1,,,,1,1,,
Clinical Trial,,ResultsFirstPostDate,1,1,1,,1,1,,,1,1,,
Clinical Trial,,ResultsFirstPostDateType,,1,,,1,,,,1,1,,
Clinical Trial,,ResultsFirstPostedQCCommentsDate,,1,,,1,1,,,1,1,,
Clinical Trial,,ResultsFirstPostedQCCommentsDateType,,1,,,1,,,,1,1,,
,,ResultsFirstSubmitDate,,,,,1,,,,0,1,,
,,ResultsFirstSubmitQCDate,,,,,1,,,,0,1,,
Reference,,RetractionPMID,,1,1,1,,,,,1,1,,
Reference,,RetractionSource,,1,1,1,,,,,1,1,,
StudyDesign,,SamplingMethod,,,1,1,1,1,,,1,1,,
Clinical Trial,,SecondaryId,1,1,1,1,1,1,,,1,1,,
Clinical Trial,,SecondaryIdDomain,1,1,1,1,1,1,,,1,1,,
Clinical Trial,,SecondaryIdLink,1,1,1,1,1,1,,,1,1,,
Clinical Trial,,SecondaryIdType,1,1,1,1,1,1,,,1,1,,
,,SecondaryOutcomeDescription,,,1,1,1,,,,0,1,Outcome measures,
,,SecondaryOutcomeMeasure,,,1,1,1,,,,0,1,Outcome measures,
,,SecondaryOutcomeTimeFrame,,,1,1,1,,,,0,1,Outcome measures,
Clinical Trial,,SeeAlsoLinkLabel,,,1,,,1,,,1,1,,
Clinical Trial,,SeeAlsoLinkURL,,,1,,,1,,,1,1,,
,,SeriousEventAssessmentType,,,,,,,,,0,0,Events,
,,SeriousEventNotes,,,,,,,,,0,0,Events,
,,SeriousEventOrganSystem,,,,,,,,,0,0,Events,
,,SeriousEventSourceVocabulary,,,,,,,,,0,0,Events,
,,SeriousEventStatsGroupId,,,,,,,,,0,0,Events,
,,SeriousEventStatsNumAffected,,,,,,,,,0,0,Events,
,,SeriousEventStatsNumAtRisk,,,,,,,,,0,0,Events,
,,SeriousEventStatsNumEvents,,,,,,,,,0,0,Events,
,,SeriousEventTerm,,,,,,,,,0,0,Events,
Clinical Trial,,StartDate,1,1,1,1,1,,,,1,1,,
Clinical Trial,,StartDateType,1,1,1,1,1,,,,1,1,,
,,StatusVerifiedDate,,,,,1,,,,0,1,,
Paticipant,,StdAge,1,1,1,1,1,1,,,1,1,,
Clinical Trial,,StudyFirstPostDate,1,1,,,1,1,,,1,1,,
Clinical Trial,,StudyFirstPostDateType,,,,,1,1,,,1,1,,
,,StudyFirstSubmitDate,,,,,1,,,,0,1,,
,,StudyFirstSubmitQCDate,,,,,1,,,,0,1,,
Paticipant,,StudyPopulation,1,1,1,1,1,1,,,1,1,,
Clinical Trial,,StudyType,1,1,1,1,1,,,,1,1,,
,,SubmissionMCPReleaseN,,,,,,,,,0,0,Major comment release number,
,,SubmissionReleaseDate,,,,,1,,,,0,1,,
,,SubmissionResetDate,,,,,1,,,,0,1,,
,,SubmissionUnreleaseDate,,1,1,1,1,,,,1,1,,
,,TargetDuration,,,,,,,,,0,0,,
,,UnpostedEventDate,,,,,1,,,,0,1,Record workflow event,
,,UnpostedEventType,,,,,1,,,,0,1,Record workflow event,
,,UnpostedResponsibleParty,,,,,,,,,0,0,,
,,VersionHolder,,,,,,1,,,1,1,,
,,WhyStopped,,,1,1,1,,,,0,1,,
