Display Name,UNII,Status,Record Protection Status,Expr1004,Generic Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication * (Shown for approvals from Jan,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
VMD-928,1JT6DVS51P,Designated,Public record,4762,"4-{[4-Amino-3-(4-cyclohexylpiperazin-1-yl)-9,10-dioxo-9,10-dihydroanthracen-1-yl]amino}benzoic acid",4/11/2018,Treatment of pancreatic cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"VM Oncology, LLC",45535 Northport Loop East,,Fremont,California,94538,United States,633518
HEC-68498 SODIUM,8PL809KPW4,Designated,Public record,4886,"soidum (5-(3-cyanopyrazolo[1,5-a]pyridin-5-yl)-2-methoxypyridin-3-yl)((2,4-difluorophenyl)sulfonyl)amide",7/9/2018,Treatment of idiopathic pulmonary fibrosis (IPF),Designated,Not FDA Approved for Orphan Indication,,,,,"Sunshine Lake Pharma Co., Ltd",Northern Industry Road #1,Song Shan Lake,Dongguan,Guangdong,,China,642518
MG-S-2525,I45A327R6A,Designated,Public record,4974,"5-(3,5-Dimethyl-4-hydroxybenzylamino)-3-(4-morpholin-4-yl-phenylamino)-1H-pyrazole-4-carboxylic acid amide",12/7/2018,Treatment of Idiopathic Pulmonary Fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,Metagone Biotech Inc.,"3F., No. 11, Ln. 77, Xing-Ai Rd",Neihu Dist,Taipei,,,Taiwan,644218
X-165,G24JS5Y1KL,Designated,Public record,5168,"(R)-N-(1-(1-(1H-indazol-5-yl)-3-methyl-2,4-dioxo-1,3,8-triazaspiro[4,5]decan-8-yl)-3-methyl-1-oxobutan-2-yl)-2-fluoro-5-(trifluoromethyl)benzamide",7/18/2019,Treatment of idiopathic pulmonary fibrosis,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"X-Rx, Inc.",100 Beaver Street,,Waltham,Massachusetts,2453,United States,693119
WSD-0922-FU,TTT6PCQ53K,Designated,Public record,5182,"(R)-6-((3,3-difluoro-1-methylpiperidine-4-yl)oxy-N-(3-ethynyl-2-fluorophenyl)-7-methoxyquinazolin-4-amine-,fumerate (2:1) (salt)",7/24/2019,Treatment of glioma (including glioblastoma and anaplastic astrocytoma),Designated,Not FDA Approved for Orphan Indication,,,,,Wayshine Biopharm Inc.,"957 Ferndale Dr,",,Corona,California,92881,United States,695019
RZL-012,M8BBT7ORRM,Designated,Public record,5294,"5-(3,6-dibromo-9H-carbazol-9-yl)-N,N,N-trimethylpentan-1-aminium chloride",11/21/2019,Treatment of Dercum’s disease (adiposis dolorosa),Designated,Not FDA Approved for Orphan Indication,,,,,"Raziel Therapeutics, Inc.","High-Tech Village, Givat Ram Campus",Hebrew University,Jerusalem,,,Israel,688219
HEMOPEXIN (HUMAN),5H7PB76DFY,Designated,Public record,5674,Hemopexin (Human),9/23/2020,Treatment of Sickle Cell Disease,Designated,Not FDA Approved for Orphan Indication,,,,,CSL Behring,1020 First Avenue,PO Box 61501,King of Prussia,Pennsylvania,19406,United States,768120
.ALPHA.1-PROTEINASE INHIBITOR HUMAN RECOMBINANT (MAMMALIAN),Q34EXF8ZZT,Designated,Public record,5718,CHO cell line produced human alpha-1 antitrypsin (CHO-AAT) protein,10/19/2020,treatment of alpha-1 antitrypsin deficiency,Designated,Not FDA Approved for Orphan Indication,,,,,Caravella Biopharma SA,Route de l’Ile-aux-Bois 1A,,Monthey,,1870,Switzerland,773920
GENTULIZUMAB,PS8L3VP5HJ,Designated,PUBLIC RECORD,6141,Gentulizumab,10/12/2021,Treatment of Acute Myeloid Leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,"Changchun GeneScience Pharmaceutical Co., Ltd.",No. 1718 Yueda Road,Changchun High-Tech Dev. Zone,Changchun City,Jilin Province,130012,China,841321
MBS-2320,38E2HYD3AW,Designated,Public record,6418,4'-chloro-2'-cyano-N-(trans-4-hydroxy-4-methylcyclohexyl)-biphenyl-4-sulfonamide,8/15/2022,Treatment of Idiopathic Pulmonary Fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,Modern Biosciences Ltd,"2nd Floor, 3 Pancras Square",,London,Greater London,,United Kingdom,894922
ASP-8731 PHOSPHATE,ZTQ38HN3AA,Designated,PUBLIC RECORD,6434,"2-[(1,3-Benzoxazol-2-yl)amino]-N-[2-(2-hydroxyethoxy)ethyl]-1-methyl-1H-benzimidazole-5- carboxamide monophosphate",9/1/2022,Treatment of Sickle Cell Disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Astellas Pharma Global Development, Inc.",1 Astellas Way,,Northbrook,Illinois,60062,United States,897122
CN-105,W525NLS74J,Designated,Public record,3447,pentapeptide with sequence Ac-VSRRR-NH2,1/13/2015,Treatment of intracerebral hemorrhage,Designated,Not FDA Approved for Orphan Indication,,,,,"AegisCN, LLKC",3105 Cone Manor Lane,Suite B,Raleigh,North Carolina,27613,United States,449014
AUT-00206,46P8AHZ243,Designated,Public record,4341,"5,5-dimethyl-3-[2-(7-methylspiro[2H-benzofuran-3,1'-cyclopropane]-4-yl)oxypyrimidin-5-yl]imidazolidine-2,4-dione",6/12/2017,Treatment of fragile X syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,Autifony Therapeutics Limited,Gunnels Wood Road,Stevenage,,England,,United Kingdom,579217
BHV-5000 FUMARATE,6P4560AP4D,Designated,Public record,4395,[(S)-1-(L-valyl)-N_((S)-1-phenyl-2-(pyridin-2-yl)ethyl)pyrrolidine-2-carboxamide fumarate],6/22/2017,Treatment of Rett Syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Biohaven Pharmaceutical Holding Company, Ltd.",215 Church Street,,New Haven,Connecticut,6511,United States,582217
NMD-670,U7PP8PY4XB,Designated,Public record,6446,bromophenoxyazole propanoic acid,9/12/2022,Treatment of Myasthenia Gravis,Designated,Not FDA Approved for Orphan Indication,,,,,"NMD Pharma, INCUBA",Palle Juul-Jensens Boulevard 82,,Aarhus,Midtjylland,8200,Denmark,859421
WSD-0628,KTC2HLR3RE,Designated,Public record,6607,"(R)-1-(3,3-difluoro-1-methlypiperidin-4-yl)-8-(6-methoxypyridin-3-yl)-3-methyl-1,3-dihydro-2H-imidazo[4,5-c]quinolin-2-one",2/7/2023,Treatment of malignant glioma,Designated,Not FDA Approved for Orphan Indication,,,,,"Wayshine Biopharm, INC","957 Ferndale Dr,",,Corona,California,92881,United States,924022
BARASERTIB TRIHYDRATE,WM1NC31680,Designated,Public record,2226,2-[[3-({4-[(5-{2-[(3-Fluorophenyl)amino]-2-oxoethyl}-1H-pyrazol-3-yl)amino]-quinazolin-7-yl}propyl](ethyl)amino]ethyl dihydrogen phosphate trihydrate,1/19/2010,Treatment of acute myeloid leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,AstraZeneca Pharmaceuticals LP,1800 Concord Pike,P. O. Box 8355,Wilmington,Delaware,19803,United States,298509
CENEGERMIN,B6E7K36KT8,Designated,Public record,2982,recombinant human nerve growth factor,8/8/2013,Treatment of retinitis pigmentosa,Designated,Not FDA Approved for Orphan Indication,,,,,Dompe S.p.A.,Via S. Martino 12-12/A,,Milan,,,Italy,402013
CENEGERMIN,B6E7K36KT8,Designated,Public record,3293,cenegermin-bkbj,6/23/2014,Treatment of neurotrophic keratitis,Designated/Approved,,Treatment of neurotrophic keratitis,8/22/2018,8/22/2025,Treatment of neurotrophic keratitis,Dompe S.p.A.,Via S. Martino 12-12/A,,Milan,,,Italy,436214
OMBURTAMAB I-124,D42C24MT3J,Designated,Public record,4034,131-I-8H9 monoclonal antibody,8/29/2016,Treatment of neuroblastoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Y-mAbs Therapeutics, Inc.",750 3rd Avenue,9th Floor,New York,New York,10017,United States,535716
GANAPLACIDE DIPHOSPHATE,R3ZA37PM4S,Designated,Public record,4302,"2-amino-1-[2-(4-fluoro-phenyl)-3-(4-fluoro-phenyl)amino)-8,8-dimethyl-5,6-dihydro-imidazo[1,2-a]pyrazin-7(8H)-yl)-ethanone diphosphate",5/11/2017,Treatment of malaria.,Designated,Not FDA Approved for Orphan Indication,,,,,Novartis Pharmaceuticals Corporation,1 Health Plaza,,East Hanover,New Jersey,7936,United States,568216
N-{2-[4-(2-Amino-5-chloropyridin-3-yl)phenoxy]pyrimidin-5-yl}-N'-[2-(methanesulfonyl)-5-(trifluoromethyl)phenyl]urea mono-4-toluenesulfonate,1C01KML96K,Designated,Public record,4525,N-{2-[4-(2-Amino-5-chloropyridin-3-yl)phenoxy]pyrimidin-5-yl}-N'-[2-(methanesulfonyl)-5-(trifluoromethyl)phenyl]urea mono-4-toluenesulfonate,9/13/2017,Treatment of tropomyosin receptor kinase (Trk) gene fusion-positive cancer,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Ono Pharmaceuticals Co. Ltd.,"8-2, Kyutaromachi l-chome",,Chuo-ku,Osaka-fu,,Japan,599717
AC-225-4-PHENYLBUTYRYL-HIS-D-PHE-ARG-TRP-GLY-LYS(EAHX-DOTA)-NH2,KUM3LNY4CP,Designated,Public record,5052,Ac-225-4-PHenylbutyryl-His-D-Phe-Arg-Trp-Gly-Lys(eAhx-DOTA)-NH2,2/28/2019,Treatment of Uveal Melanoma,Designated,Not FDA Approved for Orphan Indication,,,,,Modulation Therapeutics Incorporated,1 Medical Center Drive,MBRCC room 1817,Morgantown,West Virginia,26506,United States,675618
PL-8177,16134B0YTH,Designated,Public record,5127,Ac-Nle-cyclo-(Glu-His-D-Phe-Arg-Dap)-Trp-NH2,6/3/2019,"Treatment of non-infectious intermediate, posterior, pan, and chronic anterior uveitis",Designated,Not FDA Approved for Orphan Indication,,,,,"Palatin Technologies, Inc.",4b Cedarbrook Drive,,Cranbury Township,New Jersey,8512,United States,670418
IPL-344 ACETATE,RA35FQ7AJE,Designated,Public record,5147,"L-Leucyl-L-prolyl-L-prolyl-L-leucyl-L-prolyl-L-tyrosyl-L-proline, acetate salt",6/19/2019,Treatment of Amyotrophic Lateral Sclerosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Immunity Pharma, Ltd.","6 Rabbi Binyamin st,",,Jerusalem,,,Israel,689819
FN-1501 DIMALEATE SESQUIHYDRATE,EVI82EH5FG,Designated,Public record,5300,"4-((7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)-N-(4-((4- methylpiperazin-1-yl)methyl)phenyl)-1H-pyrazole-3-carboxamide, (2Z)-2-butenedioate (1:2), Sesquihydrate",11/26/2019,Treatment of acute myeloid leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,"Shanghai Fosun Pharmaceutical Development Co., Ltd.",16 Esquire Rd (Breas),,Billerica,Massachusetts,1862,United States,713619
Crozbaciclib fumarate,EA0UN3NLN3,Designated,Public record,5637,"5-fluoro-4-(7''-fluoro-2''-methylspiro[cyclopentane-1,3''-indol]-5''-yl)-N-(5-(1-methylpiperidin-4-yl)pyridin-2-yl)pyrimidin-2-amine fumarate",9/8/2020,Treatment of malignant glioma,Designated,Not FDA Approved for Orphan Indication,,,,,Gan & Lee Pharmaceuticals USA Corporation,520 US Highway 22 East,Suite 302,Bridgewater,New Jersey,8807,United States,760620
TRE-515,8EK0RD3M21,Designated,Public record,5818,"(R)-2-((1-(2-(4-methoxy-3-(2-morpholinoethoxy) phenyl)-5-methylthiazol-4-yl)ethyl)thio)pyrimidine-4,6-diamine",1/7/2021,Treatment of acute disseminated encephalomyelitis,Designated,Not FDA Approved for Orphan Indication,,,,,Trethera Corporation,"13547 Ventura Boulevard, Suite 363",,Sherman Oaks,California,91423,United States,792220
TRE-515,8EK0RD3M21,Designated,Public record,6084,"(R)-2-((1-(2-(4-methoxy-3-(2-morpholinoethoxy) phenyl)-5-methylthiazol-4-yl)ethyl)thio)pyrimidine-4,6-diamine",11/9/2021,Treatment of Optic Neuritis,Designated,Not FDA Approved for Orphan Indication,,,,,Trethera Corporation,"13547 Ventura Boulevard, Suite 363",,Sherman Oaks,California,91423,United States,845721
CB-103 HYDROCHLORIDE,37VB9K7MPR,Designated,Public record,6232,6-(4-(tert-butyl)phenoxy)pyridin-3-amine hydrochloride,2/23/2022,Treatment of acute lymphoblastic leukemia (ALL),Designated,Not FDA Approved for Orphan Indication,,,,,Cellestia Biotech AG,Hochbergerstrasse 60C,,Basel,Basel-Stadt,4057,Switzerland,862821
Arginyl-Glutamine Dipeptide,H694N9A9AP,Designated,Public record,6453,Arginyl-Glutamine Dipeptide,9/20/2022,Prevention of Retinopathy of Prematurity,Designated,Not FDA Approved for Orphan Indication,,,,,Infant Bacterial Therapeutics AB,Bryggargatan 10,,Sweden,Stockholm,,Sweden,899822
SPH-4336,9X8U786V5T,Designated,Public record,6650,"N-(4-(1-cyclopropyl-4-fluoro-2-methyl-1H-benzo[d]imidazol-6-yl)-5-fluoropyrimidin-2-yl)-6-(2-(dimethylamino)ethyl-5,6,7,8-tetrahydro-1,6-naphthyridin-2-amine maleate",3/21/2023,Treatment of Liposarcoma,Designated,Not FDA Approved for Orphan Indication,,,,,Shanghai Pharma Biotherapeutics USA Inc.,"3545 John Hopkins Ct., Ste 160",,San Diego,California,92121,United States,930522
"(R)-N-(5-(2-(2,5-difluorophenyl)pyrrolidin-1-yl)pyrazolo[1,5-a] pyrimidin-3-yl)-4-((4-methylpiperazin-1-yl)methyl)benzamide sulfate hydrate",X2KR249RXD,Designated,Public record,6708,"(R)-N-(5-(2-(2,5-difluorophenyl)pyrrolidin-1-yl)pyrazolo[1,5-a] pyrimidin-3-yl)-4-((4-methylpiperazin-1-yl)methyl)benzamide sulfate hydrate",5/17/2023,Treatment of NTRK fusion-positive solid tumors,Designated,Not FDA Approved for Orphan Indication,,,,,Teligene US LLC,2060 D Avenida De Los Arboles 636,,Thousand Oaks,California,91362,United States,938623
DIAZIQUONE,FQL5EUP13W,Designated/Withdrawn,Public record,1,Diaziquone,11/10/1983,Treatment of primary brain malignancies (grade III and IV astrocytomas).,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Warner-Lambert Company,"2800 Plymouth Rd., P.O. Box 1047",,Ann Arbor,Michigan,48106,United States,383
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,F43I396OIS,Designated/Withdrawn,Public record,2,Alpha-1-antitrypsin (recombinant DNA Origin),1/1/1984,As supplementation therapy for alpha-1-antitrypsin deficiency in the ZZ phenotype population.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Chiron Corporation,4560 Horton Street,,Emeryville,California,94608,United States,283
ALTRETAMINE,Q8BIH59O7H,Designated/Approved,Public record,3,Altretamine,2/9/1984,Treatment of advanced adenocarcinoma of the ovary.,Designated/Approved,,Single agent palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.,12/26/1990,12/26/1997,,"Medimmune Oncology, Inc.",One Tower Bridge,"100 Front Street, Suite 400",West Conshohocken,Pennsylvania,19428,United States,983
LEVOCARNITINE,0G389FZZ9M,Designated/Approved,Public record,4,Levocarnitine,2/28/1984,Treatment of genetic carnitine deficiency.,Designated/Approved,,,4/10/1986,4/10/1993,,"Leadiant Biosciences, Inc.",9841 Washingtonian Blvd,Suite 500,Gaithersburg,Maryland,20878,United States,1384
PENTAMIDINE ISETHIONATE,V2P3K60DA2,Designated/Approved,Public record,5,Pentamidine isethionate,2/28/1984,Treatment of Pneumocystis carinii pneumonia.,Designated/Approved,,,10/16/1984,10/16/1991,,"Fujisawa USA, Inc.",3 Parkway North Center,,Deerfield,Illinois,60015,United States,1083
CROMOLYN SODIUM,Q2WXR1I0PK,Designated/Approved,Public record,6,Cromolyn sodium,3/8/1984,Treatment of mastocytosis.,Designated/Approved,,,12/22/1989,12/22/1996,,Fisons Corporation,"755 Jefferson Rd., P.O. Box 1710",,Rochester,New York,14603,United States,1183
Bacitracin,58H6RWO52I,Designated,Public record,7,Bacitracin,3/13/1984,Treatment of antibiotic-associated pseudomembranous enterocolitis caused by toxins A and B elaborated by Clostridium difficile.,Designated,Not FDA Approved for Orphan Indication,,,,,"A. L. Laboratories, Inc.",One Executive Drive,P.O. Box 1399,Fort Lee,New Jersey,7024,United States,1284
HEMIN,743LRP9S7N,Designated/Approved,Public record,8,Hemin,3/16/1984,"Amelioration of recurrent attacks of acute intermittent porphyria (AIP) temporarily related to the menstrual cycle in susceptible women and similar symptoms which occur in other patients with AIP, porphyria variegata and hereditary coproporphyria.",Designated/Approved,,,7/20/1983,7/20/1990,,Abbott Laboratories,Diagnostics Division,,Abbott Park,Illinois,60064,United States,683
BOTULINUM TOXIN TYPE A,E211KPY694,Designated/Approved,Public record,9,Botulinum toxin type A,3/22/1984,Treatment of strabismus and blepharospasms,Designated/Approved,,Treatment of blepharospasm associated with dystonia in adults (patients 12 years of age and above),12/30/1989,12/30/1996,,"Allergan, Inc.",2525 Dupont Drive,P.O. Box 19534,Irvine,California,92713,United States,483
BOTULINUM TOXIN TYPE A,E211KPY694,Designated/Approved,Public record,10,Botulinum toxin type A,3/22/1984,Treatment of strabismus and blepharospasms,Designated/Approved,,Treatment of strabismus associated with dystonia in adults (patients 12 years of age and above),12/29/1989,12/29/1996,,"Allergan, Inc.",2525 Dupont Drive,P.O. Box 19534,Irvine,California,92713,United States,483
ETHANOLAMINE OLEATE,U4RY8MRX7C,Designated/Approved,Public record,11,Ethanolamine oleate,3/22/1984,"Treatment of patients with esophageal varices that have recently bled, to prevent rebleeding.",Designated/Approved,,,12/22/1988,12/22/1995,,QOL Medical,"4445 North Highway A1A, 241",,Vero Beach,Florida,32963,United States,1484
EPOPROSTENOL,DCR9Z582X0,Designated/Withdrawn,Public record,12,Epoprostenol,3/29/1984,Replacement of heparin in patients requiring hemodialysis and who are at risk of hemmorrage,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,27709,United States,783
SUCCIMER,DX1U2629QE,Designated/Approved,Public record,13,Succimer,5/9/1984,Treatment of lead poisoning in children.,Designated/Approved,,,1/30/1991,1/30/1998,,Bock Pharmacal Company,P.O. Box 419056,,Saint Louis,Missouri,63141,United States,1984
PEGADEMASE BOVINE,HW3H7D91F6,Designated/Approved,Public record,14,Pegademase bovine,5/29/1984,For enzyme replacement therapy for ADA deficiency in patients with severe combined immunodeficiency.,Designated/Approved,,,3/21/1990,3/21/1997,,"Sigma-tau Pharmaceuticals, Inc.",9841 Washingtonian Blvd,Suite 500,Gaithersburg,Maryland,20878,United States,2084
MONOCTANOIN,VFU0OU98LO,Designated/Approved,Public record,15,Monooctanoin,5/30/1984,For dissolution of cholesterol gallstones retained in the common bile duct.,Designated/Approved,,,10/31/1985,10/31/1992,,"Ethitek Pharmaceuticals, Inc.","7855 Gross Point Road, Unit L",,Skokie,Illinois,60077,United States,2484
CLOFAZIMINE,D959AE5USF,Designated/Approved,Public record,16,Clofazimine,6/11/1984,"Treatment of lepromatous leprosy, including dapsone-resistant lepromatous leprosy and lepromatous leprosy complicated by erythema nodosum leprosum.",Designated/Approved,,,12/15/1986,12/15/1993,,Novartis Pharmaceutical Corporation,59 Route 10,,East Hanover,New Jersey,7936,United States,2684
VILOXAZINE HYDROCHLORIDE,OQW30I1332,Designated/Withdrawn,Public record,17,viloxazine HCL,6/11/1984,Treatment of cataplexy and narcolepsy,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Stuart Pharmaceuticals,Division of ICI Americas,,Wilmington,Delaware,19897,United States,2384
LEVOCARNITINE,0G389FZZ9M,Designated/Approved,Public record,18,Levocarnitine,7/26/1984,Treatment of primary and secondary carnitine deficiency of genetic origin.,Designated/Approved,,Treatment of primary systemic carnitine deficiency. (approved 12/27/85) Treatment of secondary carnitine deficiency. (approved 12/16/92),12/16/1992,12/16/1999,,"Leadiant Biosciences, Inc.",9841 Washingtonian Blvd,Suite 500,Gaithersburg,Maryland,20878,United States,1584
NORCHOLESTENOL IODOMETHYL I-131,HFE9M7UF0L,Designated,Public record,19,Iodine 131 6B-iodomethyl-19-norcholesterol,8/1/1984,For use in adrenal cortical imaging.,Designated,Not FDA Approved for Orphan Indication,,,,,"David E. Kuhl, M.D.",University of Michigan Medical Center/1500 E. Med.,B1G412 /0028 University Hospital,Ann Arbor,Michigan,48109,United States,2184
CHENODIOL,0GEI24LG0J,Designated/Approved,Public record,20,chenodiol,9/21/1984,"For patients with radiolucent stones in well opacifying gallbladders, in whom elective surgery would be undertaken except for the presence of increased surgical risk due to systemic disease or age",Designated/Approved,,,7/28/1983,7/28/1990,,Solvay,901 Sawyer Road,,Marietta,Georgia,30062,United States,3384
QUINACRINE HYDROCHLORIDE,G6242H2NAA,Designated/Withdrawn,Public record,21,Quinacrine hydrochloride,10/17/1984,For prevention of recurrence of pneumothorax in patients at high risk of recurrence.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Lyphomed, Inc.",,,,,,,4184
SPIRAMYCIN,71ODY0V87H,Designated/Withdrawn,Public record,22,Spiramycin,10/17/1984,For symptomatic relief and parasitic cure of chronic cryptosporidiosis in patients with immunodeficiency.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Rhone-Poulenc Rorer Pharmaceuticals,500 Arcola Road,,Collegeville,Pennsylvania,19426,United States,3684
Cyproterone Acetate,4KM2BN5JHF,Designated/Withdrawn,Public record,23,Cyproterone acetate,10/26/1984,Treatment of severe hirsutism.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Berlex Laboratories, Inc.",300 Fairfield Road,,Wayne,New Jersey,7470,United States,3884
EPOPROSTENOL,DCR9Z582X0,Designated/Withdrawn,Public record,24,Epoprostenol,10/29/1984,Replacement of heparin in patients requiring hemodialysis and who are at increased risk of hemorrhage.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Upjohn Company,301 Henrietta Street,,Kalamazoo,Michigan,49001,United States,2884
PENTAMIDINE ISETHIONATE,V2P3K60DA2,Designated,Public record,25,Pentamidine isethionate,10/29/1984,Treatment of Pneumocystis carinii pneumonia.,Designated,Not FDA Approved for Orphan Indication,,,,,Aventis Behring L.L.C.,1020 First Avenue,PO Box 61501,King of Prussia,Pennsylvania,19406,United States,3784
OVINE DIGOXIN IMMUNE FAB,YB12NQZ1YN,Designated/Approved,Public record,26,Digoxin immune FAB (Ovine),11/1/1984,Treatment of potentially life threatening digitalis intoxication in patients who are refractory to management by conventional therapy.,Designated/Approved,,,4/22/1986,4/22/1993,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,27709,United States,2584
DIGOXIN IMMUNE FAB (OVINE),,Designated/Approved,Public record,26,Digoxin immune FAB (Ovine),11/1/1984,Treatment of potentially life threatening digitalis intoxication in patients who are refractory to management by conventional therapy.,Designated/Approved,,,4/22/1986,4/22/1993,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,27709,United States,2584
OXITRIPTAN,C1LJO185Q9,Designated,Public record,27,L-5 Hydroxytrytophan,11/1/1984,Treatment of postanoxic intention myoclonus.,Designated,Not FDA Approved for Orphan Indication,,,,,"Watson Laboratories, Inc.",33 Ralph Avenue,P.O. Box 30,Copiaque,New York,11726,United States,3984
POTASSIUM CITRATE,EE90ONI6FF,Designated/Approved,Public record,28,Potassium citrate,11/1/1984,Prevention of uric acid nephrolithiasis.,Designated/Approved,,,8/30/1985,8/30/1992,,University of Texas Health Science Center at Dallas,5323 Harry Hines Blvd,,Dallas,Texas,75235,United States,2784
