# Copyright (c) 1966-2024 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2024-05-16
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr1	1	27600000	1pter-p36		131190	ERPL1, HLM2	Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2)						
chr1	1	27600000	1p36		605225	IBD7	Inflammatory bowel disease 7		57042		associated with rs6426833	{Inflammatory bowel disease 7}, 605225 (2)	
chr1	1	27600000	1p36		612596	MS4	Multiple sclerosis, susceptibility to, 4		100271696		associated with rs10492972	{Multiple sclerosis, susceptibility to, 4}, 612596 (2)	
chr1	1	27600000	1p36		610320	MYP14	Myopia 14		100359407		between D1S552 and D1S1622	Myopia 14, 610320 (2), Autosomal dominant	
chr1	1	123400001	1p		605606	PSORS7	Psoriasis susceptibility 7					{Psoriasis susceptibility 7}, 605606 (2)	
chr1	1	7100000	1p36.3		604008	PTPRZ2	Protein-tyrosine phosphatase, receptor-type, zeta-2	PTPRZ2	5804				
chr1	1	94300000	1pter-p22.1		154280	SAI1, MTS1, TFS1	Suppression of anchorage independence-1 (malignant transformation suppression-1)		6298				
chr1	1	27600000	1p36		618485	ZBTB40IT1	ZBTB40 intronic transcript 1, noncoding	ZBTB40-IT1	100874345				
chr1	923923	944574	1p36.33	1p36.33	616765	SAMD11, MRS	Sterile alpha motif domain-containing protein 11	SAMD11	148398	ENSG00000187634			Samd11 (MGI:2446220)
chr1	944203	959256	1p36.33	1p36.33	610770	NOC2L, NIR	NOC2-like nucleolar-associated transcriptional repressor	NOC2L	26155	ENSG00000188976			Noc2l (MGI:1931051)
chr1	960584	965719	1p36.33	1p36.33	619262	KLHL17, AF	Kelch-like 17	KLHL17	339451	ENSG00000187961			Klhl17 (MGI:2678948)
chr1	975198	982093	1p36.33	1p36.33	615921	PERM1, C1orf170	PPARGC1-and ESRR-induced regulator, muscle, 1	PERM1	84808	ENSG00000187642			Perm1 (MGI:1921433)
chr1	998964	1000097	1p36.31	1p36.33	608060	HES4	Hes family bHLH transcription factor 4	HES4	57801	ENSG00000188290			
chr1	1013497	1014540	1p36.33	1p36.33	147571	ISG15, G1P2, IFI15, IMD38	ISG15 ubiquitin-like modifier	ISG15	9636	ENSG00000187608		Immunodeficiency 38, 616126 (3), Autosomal recessive	Isg15 (MGI:1855694)
chr1	1020120	1056116	1pter-p32	1p36.33	103320	AGRN, CMS8	Agrin	AGRN	375790	ENSG00000188157		Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive	Agrn (MGI:87961)
chr1	1167104	1167198	1p36.33	1p36.33	612091	MIR200B, MIRN200B	Micro RNA 200B	MIR200B	406984	ENSG00000207730			Mir200b (MGI:2676875)
chr1	1167863	1167952	1p36.33	1p36.33	612090	MIR200A, MIRN200A	Micro RNA 200A	MIR200A	406983	ENSG00000207607			Mir200a (MGI:2676874)
chr1	1169005	1169087	1p36.33	1p36.33	612094	MIR429, MIRN429	Micro RNA 429	MIR429	554210	ENSG00000198976			Mir429 (MGI:3619402)
chr1	1203508	1206592	1p36.3	1p36.33	603905	TNFRSF18, AITR, GITR	Tumor necrosis factor receptor superfamily, member 18	TNFRSF18	8784	ENSG00000186891			Tnfrsf18 (MGI:894675)
chr1	1211340	1214153	1p36	1p36.33	600315	TNFRSF4, TXGP1L, OX40, ACT35, IMD16	Tumor necrosis factor receptor superfamily, member 4	TNFRSF4	7293	ENSG00000186827	mutation identified in 1 IMD16 family	?Immunodeficiency 16, 615593 (3), Autosomal recessive	Tnfrsf4 (MGI:104512)
chr1	1216931	1232001	1p36.33	1p36.33	614282	SDF4, CAB45	Stromal cell-derived factor 4	SDF4	51150	ENSG00000078808			Sdf4 (MGI:108079)
chr1	1232237	1235041	1p36.3	1p36.33	615291	B3GALT6, SEMDJL1, EDSSPD2, ALGAZ	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	B3GALT6	126792	ENSG00000176022		Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive; Al-Gazali syndrome, 609465 (3), Autosomal recessive	B3galt6 (MGI:2152819)
chr1	1242453	1247280	1p36.33	1p36.33	616593	FAM132A, C1QDC2, C1QTNF12	Family with sequence similarity 132, member A	C1QTNF12	388581	ENSG00000184163			C1qtnf12 (MGI:1914639)
chr1	1253912	1273854	1p36.33	1p36.33	619756	UBE2J2, NCUBE2, UBC6	Ubiquitin-conjugating enzyme E2 J2	UBE2J2	118424	ENSG00000160087			Ube2j2 (MGI:2153608)
chr1	1280436	1292025	1p36.3-p36.2	1p36.33	601328	SCNN1D	Sodium channel epithelial 1, subunit delta	SCNN1D	6339	ENSG00000162572			
chr1	1311600	1324660	1p36.33	1p36.33	611354	INTS11, PSF3L, RC68, NEDMLOB	Integrator complex subunit 11	INTS11	54973	ENSG00000127054		Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities, 620428 (3), Autosomal recessive	Ints11 (MGI:1919207)
chr1	1324802	1328896	1p36.33	1p36.33	615467	GLTPD1, CPTP	Glycolipid transfer protein domain-containing protein 1	CPTP	80772	ENSG00000224051			Cptp (MGI:1933107)
chr1	1331280	1335314	1p36.33	1p36.33	605865	TAS1R3, T1R3	Taste receptor type 1, member 3	TAS1R3	83756	ENSG00000169962			Tas1r3 (MGI:1933547)
chr1	1335278	1349418	1p36	1p36.33	601365	DVL1, DRS2	Dishevelled segment polarity protein 1	DVL1	1855	ENSG00000107404		Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant	Dvl1 (MGI:94941)
chr1	1352689	1363541	1p36.33	1p36.33	617293	MXRA8, ASP3	Matrix remodeling-associated protein 8	MXRA8	54587	ENSG00000162576			Mxra8 (MGI:1922011)
chr1	1373736	1375207	1p36.3	1p36.33	609183	AURKAIP1, AKIP, AIP	Aurora kinase A-interacting protein 1	AURKAIP1	54998	ENSG00000175756			Aurkaip1 (MGI:1913327)
chr1	1385711	1399335	1p36.33	1p36.33	613482	CCNL2	Cyclin L2	CCNL2	81669	ENSG00000221978			Ccnl2 (MGI:1927119)
chr1	1401909	1407293	1p36.3-p35.2	1p36.33	611833	MRPL20	Mitochondrial ribosomal protein L20	MRPL20	55052	ENSG00000242485			Mrpl20 (MGI:2137221)
chr1	1435690	1442882	1p36.3	1p36.33	611901	VWA1, WARP, HMNR7	von Willebrand factor A domain-containing protein 1	VWA1	64856	ENSG00000179403		Neuronopathy, distal hereditary motor, autosomal recessive 7, 619216 (3), Autosomal recessive	Vwa1 (MGI:2179729)
chr1	1449689	1470163	1p36.33	1p36.33	617227	ATAD3C	ATPase family, AAA domain-containing, member 3C	ATAD3C	219293	ENSG00000215915			Atad3a (MGI:1919214)
chr1	1471765	1509466	1p36.33	1p36.33	612317	ATAD3B, TOB3, KIAA1273	ATPase family, AAA domain-containing, member 3B	ATAD3B	83858	ENSG00000160072			Atad3a (MGI:1919214)
chr1	1512162	1534685	1p36.33	1p36.33	612316	ATAD3A, HAYOS, PHRINL	ATPase family, AAA domain-containing, member 3A	ATAD3A	55210	ENSG00000197785		Harel-Yoon syndrome, 617183 (3), Autosomal dominant, Autosomal recessive; Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, 618810 (3), Autosomal recessive	Atad3a (MGI:1919214)
chr1	1534778	1540624	1p36.33	1p36.33	616101	TMEM240, C1orf70, SCA21	Transmembrane protein 240	TMEM240	339453	ENSG00000205090		Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant	Tmem240 (MGI:3648074)
chr1	1541673	1574863	1p36.33	1p36.33	617680	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase	SSU72	29101	ENSG00000160075			Ssu72 (MGI:1916241)
chr1	1613731	1630605	1p36.32	1p36.33	611141	MIB2	Mindbomb E3 ubiquitin protein ligase 2	MIB2	142678	ENSG00000197530			Mib2 (MGI:2679684)
chr1	1632173	1634654	1p36.3	1p36.33	603321	MMP23B, MMP22	Matrix metalloproteinase 23B	MMP23B	8510	ENSG00000189409			Mmp23 (MGI:1347361)
chr1	1635225	1659004	1p36.3	1p36.33	176873	CDK11B, CDC2L1, P58, CDK11	Cyclin-dependent kinase 11B	CDK11B	984	ENSG00000248333			Cdk11b (MGI:88353)
chr1	1661478	1692795	1p36.33	1p36.33	619315	SLC35E2B, KIAA0447	Solute carrier family 35, member E2B	SLC35E2B	728661	ENSG00000189339			Slc35e2 (MGI:2444240)
chr1	1699939	1701808	1p36.3	1p36.33	603320	MMP23A, MMP21, MIFR	Matrix metalloproteinase 23A	MMP23A	8511	ENSG00000215914			
chr1	1702379	1724357	1p36.3	1p36.33	116951	CDK11A, CDC2L2	Cyclin-dependent kinase 11A	CDK11A	728642	ENSG00000008128			Cdk11b (MGI:88353)
chr1	1751232	1780514	1p36.33-p36.21	1p36.33	611616	NADK	NAD kinase	NADK	65220	ENSG00000008130			Nadk (MGI:2183149)
chr1	1785286	1891087	1pter-p31.2	1p36.33	139380	GNB1, MRD42, MDS	Guanine nucleotide-binding protein, beta polypeptide-1	GNB1	2782	ENSG00000078369		Myelodysplastic syndrome, somatic, 614286 (3); Leukemia, acute lymphoblastic, somatic, 613065 (3); Intellectual developmental disorder, autosomal dominant 42, 616973 (3), Autosomal dominant	Gnb1 (MGI:95781)
chr1	1915260	1917296	1p36.33	1p36.33	610171	CALML6, CAGLP	Calmodulin-like 6	CALML6	163688	ENSG00000169885			
chr1	1921957	2003786	1p36.33	1p36.33	620187	CFAP74, KIAA1751, C1orf222, CILD49	Cilia- and flagella-associated protein 74	CFAP74	85452	ENSG00000142609		Ciliary dyskinesia, primary, 49, without situs inversus, 620197 (3), Autosomal recessive	Cfap74 (MGI:1917130)
chr1	2019345	2030758	1p36.3	1p36.33	137163	GABRD, GEFSP5, EIG10, EJM7	Gamma-aminobutyric acid (GABA) A receptor, delta	GABRD	2563	ENSG00000187730		{Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant; {Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant	Gabrd (MGI:95622)
chr1	2048504	2185395	1p36	1p36.33	176982	PRKCZ, PKC2	Protein kinase C, zeta form	PRKCZ	5590	ENSG00000067606			Prkcz (MGI:97602)
chr1	2184477	2212720	1p36.33	1p36.33	615183	C1orf86, FAAP20	Chromosome 1 open reading frame 86	FAAP20	199990	ENSG00000162585			Faap20 (MGI:1914763)
chr1	2228319	2310213	1p36.3	1p36.33-p36.32	164780	SKI, SGS	SKI protooncogene	SKI	6497	ENSG00000157933	formerly mapped to 1q22-q24	Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant	Ski (MGI:98310)
chr1	2300001	20100000	1p36.32-p36.13		607671	DYT13	Dystonia 13, torsion		93983			Dystonia 13, torsion, 607671 (2), Autosomal dominant	
chr1	2300001	29900000	1p36.32-p35.3		606242	KONDS	Kondoh syndrome		100653373		linked to rs966321 and rs1441834	Kondoh syndrome, 606242 (2), Autosomal recessive	
chr1	2391841	2405436	1p36.32	1p36.32	620048	RER1	Retention in endoplasmic reticulum sorting receptor 1	RER1	11079	ENSG00000157916			Rer1 (MGI:1915080)
chr1	2403974	2413827	1p36.32	1p36.32	602859	PEX10, NALD, PBD6A, PBD6B	Peroxisome biogenesis factor 10	PEX10	5192	ENSG00000157911		Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive	Pex10 (MGI:2684988)
chr1	2415943	2505532	1p36.32	1p36.32	612836	PLCH2, PLCL4	Phospholipase C, eta-2	PLCH2	9651	ENSG00000149527			Plch2 (MGI:2443078)
chr1	2508537	2526596	1p36	1p36.32	606162	PANK4, CTRCT49	Pantothenate kinase 4	PANK4	55229	ENSG00000157881	mutation identified in 1 CTRCT49 family	?Cataract 49, 619593 (3), Autosomal dominant	Pank4 (MGI:2387466)
chr1	2528745	2530263	1p36.31	1p36.32	607348	HES5	Hes family bHLH transcription factor 5	HES5	388585	ENSG00000197921			Hes5 (MGI:104876)
chr1	2554234	2563829	1p36.3-p36.2	1p36.32	602746	TNFRSF14, HVEM, TR2	Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	TNFRSF14	8764	ENSG00000157873			Tnfrsf14 (MGI:2675303)
chr1	2590639	2633016	1p36.32	1p36.32	618104	MMEL1, NEPII, NEP2, NL1, SEP	Membrane metalloendopeptidase-like 1	MMEL1	79258	ENSG00000142606			Mmel1 (MGI:1351603)
chr1	3021467	3022903	1p36.32	1p36.32	608535	ACTRT2, ARPT2, ARPM2	Actin-related protein T2	ACTRT2	140625	ENSG00000169717			Actrt2 (MGI:1920603)
chr1	3069203	3438621	1p36.3	1p36.32	605557	PRDM16, MEL1, LVNC8, CMD1LL	PR domain-containing protein 16	PRDM16	63976	ENSG00000142611		Left ventricular noncompaction 8, 615373 (3), Autosomal dominant; Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant	Prdm16 (MGI:1917923)
chr1	3454665	3481113	1p36.32	1p36.32	618871	ARHGEF16	RHO guanine nucleotide exchange factor 16	ARHGEF16	27237	ENSG00000130762			Arhgef16 (MGI:2446219)
chr1	3487951	3624786	1p36.3	1p36.32	604266	MEGF6, EGFL3	Multiple epidermal growth factor-like domains 6	MEGF6	1953	ENSG00000162591			Megf6 (MGI:1919351)
chr1	3560695	3560790	1p36.32	1p36.32	615148	MIR551A	Micro RNA 551A	MIR551A	693135	ENSG00000207776			
chr1	3625015	3630127	1p36.32	1p36.32	611460	TPRG1L, FAM79A	Tumor protein p63 regulated 1-like	TPRG1L	127262	ENSG00000158109			Tprg1l (MGI:1915058)
chr1	3630770	3650103	1p36.3	1p36.32	606040	WDR8	WD repeat-containing protein 8	WRAP73	49856	ENSG00000116213			Wrap73 (MGI:1891749)
chr1	3652516	3736201	1p36	1p36.32	601990	TP73, CILD47	p53-related protein	TP73	7161	ENSG00000078900	imprinted	Ciliary dyskinesia, primary, 47, and lissencephaly, 619466 (3), Autosomal recessive	Trp73 (MGI:1336991)
chr1	3772749	3775956	1p36	1p36.32	615242	SMIM1, VEL	Small integral membrane protein 1	SMIM1	388588	ENSG00000235169		[Blood group, Vel system], 615264 (3), Autosomal recessive	Smim1 (MGI:1916109)
chr1	3778559	3796498	1p36.32	1p36.32	619154	LRRC47, KIAA1185	Leucine-rich repeat-containing protein 47	LRRC47	57470	ENSG00000130764			Lrrc47 (MGI:1920196)
chr1	3812086	3857211	1p36.32	1p36.32	616690	CEP104, GLYBP, KIAA0562, JBTS25, MRT77	Centrosomal protein, 104kD	CEP104	9731	ENSG00000116198		Joubert syndrome 25, 616781 (3), Autosomal recessive; Intellectual developmental disorder, autosomal recessive 77, 619988 (3), Autosomal recessive	Cep104 (MGI:2687282)
chr1	3857476	3885429	1p36.3	1p36.32	601883	DFFB, CAD, DFF2	DNA fragmentation factor, 40kD, beta subunit	DFFB	1677	ENSG00000169598			Dffb (MGI:1196287)
chr1	4654609	4792534	1p36.32	1p36.32	610972	AJAP1, SHREW1	Adherens junction-associated protein 1	AJAP1	55966	ENSG00000196581			Ajap1 (MGI:2685419)
chr1	5300001	20100000	1p36.31-p36.13		614414	DFNB96	Deafness, autosomal recessive 96		100861440		between rs3817914 and rs477558	Deafness, autosomal recessive 96, 614414 (2), Autosomal recessive	
chr1	5862811	5992425	1p36	1p36.31	607215	NPHP4, SLSN4	Nephrocystin 4	NPHP4	261734	ENSG00000131697		Senior-Loken syndrome 4, 606996 (3), Autosomal recessive; Nephronophthisis 4, 606966 (3), Autosomal recessive	Nphp4 (MGI:2384210)
chr1	5992676	6101180	1p36.3	1p36.31	601142	KCNAB2, KCNA2B	Potassium voltage-gated channel, shaker-related subfamily, beta member 2	KCNAB2	8514	ENSG00000069424			Kcnab2 (MGI:109239)
chr1	6101787	6180321	1p36	1p36.31	610771	CHD5, PMNDS	Chromodomain helicase DNA-binding protein 5	CHD5	26038	ENSG00000116254		Parenti-Mignot neurodevelopmental syndrome, 619873 (3), Autosomal dominant	Chd5 (MGI:3036258)
chr1	6185020	6199595	1p36.31	1p36.31	180474	RPL22, EAP	Ribosomal protein L22	RPL22	6146	ENSG00000116251	fused with AML1 in t(3;21)		Rpl22 (MGI:99262)
chr1	6206119	6221299	1p36.31	1p36.31	616923	RNF207, C1orf188	RING finger protein 207	RNF207	388591	ENSG00000158286			Rnf207 (MGI:2684989)
chr1	6221193	6235964	1p36	1p36.31	605851	ICMT	Isoprenylcysteine carboxylmethyltransferase	ICMT	23463	ENSG00000116237			Icmt (MGI:1888594)
chr1	6244179	6245578	1p36.31	1p36.31	609971	HES3	Hes family bHLH transcription factor 3	HES3	390992	ENSG00000173673			Hes3 (MGI:104877)
chr1	6247353	6261098	1p36.31	1p36.31	614269	GPR153	G protein-coupled receptor 153	GPR153	387509	ENSG00000158292			Gpr153 (MGI:1916157)
chr1	6264272	6393767	1p36	1p36.31	602587	ACOT7, BACH, LACH	Acyl-CoA thioesterase 7	ACOT7	11332	ENSG00000097021			Acot7 (MGI:1917275)
chr1	6415232	6419919	1p36.31	1p36.31	609970	HES2	Hes family bHLH transcription factor 2	HES2	54626	ENSG00000069812			Hes2 (MGI:1098624)
chr1	6424776	6461370	1p36.3-p36.1	1p36.31	606351	ESPN, USH1M	Espin	ESPN	83715	ENSG00000187017	mutation identified in 1 USH1M family	Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive; Deafness, autosomal recessive 36, 609006 (3), Autosomal recessive; ?Usher syndrome, type 1M, 618632 (3), Autosomal recessive	Espn (MGI:1861630)
chr1	6460786	6466173	1p36.3	1p36.31	603366	TNFRSF25, TNFRSF12, DR3, LARD	Tumor necrosis factor receptor superfamily, member 25	TNFRSF25	8718	ENSG00000215788			Tnfrsf25 (MGI:1934667)
chr1	6467122	6520092	1p36	1p36.31	611101	PLEKHG5, KIAA0720, HMNR4, CMTRIC	Pleckstrin homology domain- and RhoGEF domain-containing protein G5	PLEKHG5	57449	ENSG00000171680		Neuronopathy, distal hereditary motor, autosomal recessive 4, 611067 (3), Autosomal recessive; Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive	Plekhg5 (MGI:2652860)
chr1	6521347	6554513	1p36.31	1p36.31	620304	NOL9	Nucleolar protein 9	NOL9	79707	ENSG00000162408			Nol9 (MGI:1921285)
chr1	6555307	6579755	1p36	1p36.31	606225	TAS1R1, T1R1	Taste receptor type 1, member 1	TAS1R1	80835	ENSG00000173662			Tas1r1 (MGI:1927505)
chr1	6579994	6589280	1p36.3	1p36.31	165270	ZBTB48, HKR3	Zinc finger- and BTB domain-containing protein 48	ZBTB48	3104	ENSG00000204859			Zbtb48 (MGI:2140248)
chr1	6590724	6602869	1p36.31	1p36.31	616262	KLHL21, KIAA0469	Kelch-like 21	KLHL21	9903	ENSG00000162413			Klhl21 (MGI:1919288)
chr1	6613731	6624030	1p36.31	1p36.31	620054	PHF13, SPOC1	PHD finger protein 13	PHF13	148479	ENSG00000116273			Phf13 (MGI:2446217)
chr1	6624868	6635595	1p36.31	1p36.31	612532	THAP3	THAP domain-containing protein 3	THAP3	90326	ENSG00000041988			Thap3 (MGI:1917126)
chr1	6634170	6701816	1p36.31-p36.23	1p36.31	614827	DNAJC11	DNAJ/HSP40 homolog, subfamily C, member 11	DNAJC11	55735	ENSG00000007923			Dnajc11 (MGI:2443386)
chr1	6785454	7769706	1p36	1p36.31-p36.23	611501	CAMTA1, KIAA0833, CECBA	Calmodulin-binding transcription activator 1	CAMTA1	23261	ENSG00000171735		Cerebellar dysfunction with variable cognitive and behavioral abnormalities, 614756 (3), Autosomal dominant	Camta1 (MGI:2140230)
chr1	7100001	27600000	1p36.2-p36.1		600975	GLC3B	Glaucoma 3, primary infantile, B		2728			Glaucoma 3, primary infantile, B, 600975 (2), Autosomal recessive	
chr1	7100001	15900000	1p36.2		608543	SCZD12	Schizophrenia 12		619488		max lod at D1S1612	{Schizophrenia 12}, 181500 (2), Autosomal dominant	
chr1	7771296	7781432	1p36	1p36.23	603657	VAMP3	Vesicle-associated membrane protein 3	VAMP3	9341	ENSG00000049245			Vamp3 (MGI:1321389)
chr1	7784291	7845177	1p36.33-p36.21	1p36.23	603427	PER3, FASPS3	Period circadian regulator 3	PER3	8863	ENSG00000049246	mutation identified in 1 FASPS3 family	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant	Per3 (MGI:1277134)
chr1	7847612	7913249	1p36.23	1p36.23	604097	UTS2	Urotensin II	UTS2	10911	ENSG00000049247			Uts2 (MGI:1346329)
chr1	7915871	7940839	1p36	1p36.23	602250	TNFRSF9, ILA, CD137, IMD109	Tumor necrosis factor receptor superfamily, member 9 (interleukin-activated receptor; Ly63, mouse, homolog of)	TNFRSF9	3604	ENSG00000049249		Immunodeficiency 109 with lymphoproliferation, 620282 (3), Autosomal recessive	Tnfrsf9 (MGI:1101059)
chr1	7961711	7985505	1p36	1p36.23	602533	DJ1, PARK7	Oncogene DJ-1	PARK7	11315	ENSG00000116288		Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive	Park7 (MGI:2135637)
chr1	8011727	8026309	1p36	1p36.23	608069	MIG6, RALT	Mitogen-inducible gene 6	ERRFI1	54206	ENSG00000116285			Errfi1 (MGI:1921405)
chr1	8318114	8344165	1p36.2-p36.1	1p36.23	605763	SLC45A1, DNB5, IDDNPF	Solute carrier family 45, member 1	SLC45A1	50651	ENSG00000162426		Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive	Slc45a1 (MGI:2653235)
chr1	8352404	8817640	1p36.2-p36.1	1p36.23	605226	RERE, NEDBEH	Arginine-glutamic acid dipeptide repeats	RERE	473	ENSG00000142599		Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant	Rere (MGI:2683486)
chr1	8861000	8878686	1p36.23	1p36.23	172430	ENO1, PPH, MPB1	Enolase-1, alpha	ENO1	2023	ENSG00000074800			Eno1,Eno1b (MGI:3648653,MGI:95393)
chr1	8945868	8975092	1p36.33-p36.22	1p36.23	114780	CA6	Carbonic anhydrase VI	CA6	765	ENSG00000131686			Car6 (MGI:1333786)
chr1	8992534	9026423	1p36.2	1p36.23	610371	SLC2A7, GLUT7	Solute carrier family 2 (facilitated glucose transporter), member 7	SLC2A7	155184	ENSG00000197241			Slc2a7 (MGI:3650865)
chr1	9035106	9094195	1p36.2	1p36.23	138230	SLC2A5, GLUT5	Solute carrier family 2 (facilitated glucose transporter), member 5	SLC2A5	6518	ENSG00000142583			Slc2a5 (MGI:1928369)
chr1	9151668	9151777	1p36	1p36.22	611172	MIR34A, MIRN34A	Micro RNA 34A	MIR34A	407040	ENSG00000284357			Mir34a (MGI:3619363)
chr1	9234774	9271337	1p36	1p36.22	138090	H6PD, GDH, G6PDH, CORTRD1	Hexose-6-phosphate dehydrogenase	H6PD	9563	ENSG00000049239	digenic triallelic mutations with HSD11B1	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive	H6pd (MGI:2140356)
chr1	9292894	9369532	1p36.22	1p36.22	611657	SPSB, SSB1	SPRY domain- and SOCS box-containing 1	SPSB1	80176	ENSG00000171621			Spsb1 (MGI:1921896)
chr1	9539465	9585173	1p36.22	1p36.22	610816	SLC25A33	Solute carrier family 25 (mitochondrial carrier), member 33	SLC25A33	84275	ENSG00000171612			Slc25a33 (MGI:1917806)
chr1	9627258	9729114	1p36.2	1p36.22	602839	PIK3CD, APDS, IMD14A, IMD14B, ROCHIS	Phosphatidylinositol 3-kinase, catalytic, 110kD, delta	PIK3CD	5293	ENSG00000171608	mutation identified in 1 ROCHIS family	Immunodeficiency 14A, autosomal dominant, 615513 (3), Autosomal dominant; Immunodeficiency 14B, autosomal recessive, 619281 (3), Autosomal recessive; ?Roifman-Chitayat syndrome, digenic, 613328 (3), Digenic recessive	Pik3cd (MGI:1098211)
chr1	9728926	9824526	1p36	1p36.22	611321	CLSTN1, KIAA0911	Calsyntenin 1	CLSTN1	22883	ENSG00000171603			Clstn1 (MGI:1929895)
chr1	9848276	9910269	1p36.22	1p36.22	607758	CTNNBIP1, ICAT	Catenin, beta-interacting protein 1	CTNNBIP1	56998	ENSG00000178585			Ctnnbip1 (MGI:1915756)
chr1	9922118	9943391	1p36.22	1p36.22	610458	LZIC	Leucine zipper and CTNNBIP1 domains-containing protein	LZIC	84328	ENSG00000162441			Lzic (MGI:1916401)
chr1	9942923	9996892	1p36.22	1p36.22	608700	NMNAT1, NMNAT, PNAT1, LCA9, SHILCA	Nicotinamide nucleotide adenylyltransferase 1	NMNAT1	64802	ENSG00000173614		Spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis, 619260 (3), Autosomal recessive; Leber congenital amaurosis 9, 608553 (3), Autosomal recessive	Nmnat1 (MGI:1913704)
