n.org_name,Country,zip_code,state,County,city
"""MEDICAL UNIVERSITY OF SOUTH CAROLINA""",United States,29425,South Carolina,Charleston County,Charleston
"""UNIVERSITY OF WISCONSIN MADISON""",United States,53705,Wisconsin,Dane County,Shorewood Hills
"""UNIVERSITY OF VIRGINIA CHARLOTTESVILLE""",United States,22903,Virginia,Albemarle County,Charlottesville
"""WISTAR INSTITUTE""",United States,19104,Pennsylvania,Philadelphia County,Philadelphia
"""UNIV OF MED/DENT NJ-SCH OSTEOPATHIC MED""",,,,,
"""HARVARD UNIVERSITY""",United States,02134,Massachusetts,Suffolk County,Boston
"""DARTMOUTH COLLEGE""",United States,03755,New Hampshire,Grafton County,Hanover
"""ROCKEFELLER UNIVERSITY""",United States,10065,New York,City of New York,New York County
"""HOSPITAL FOR SPECIAL SURGERY""",United States,10021,New York,City of New York,New York County
"""EMORY UNIVERSITY""",United States,30322,Georgia,DeKalb County,North Druid Hills
"""UNIVERSITY OF ILLINOIS AT CHICAGO""",United States,60607,Illinois,Cook County,West Chicago Township
"""MEMORIAL HOSPITAL FOR CANCER &ALLIED DI""",,,,,
"""UNIVERSITY OF ALABAMA AT BIRMINGHAM""",United States,35294,Alabama,Jefferson County,Birmingham
"""ST. JUDE CHILDREN'S RESEARCH HOSPITAL""",United States,38105,Tennessee,West Tennessee,Shelby County
"""DANA-FARBER CANCER INSTITUTE""",United States,02215,Massachusetts,Suffolk County,Boston
"""UNIVERSITY OF MARYLAND BALTIMORE""",United States,21240,Maryland,Baltimore,Sowebo
"""WHITEHEAD INSTITUTE FOR BIOMEDICAL RES""",,,,,
"""UNIVERSITY OF CALIFORNIA IRVINE""",United States,92612,California,Orange County,Irvine
"""CHILDREN'S HOSPITAL OF PHILADELPHIA""",United States,19104,Pennsylvania,Philadelphia County,Philadelphia
"""CASE WESTERN RESERVE UNIVERSITY""",United States,44106,Ohio,Cuyahoga County,Cleveland
"""UNIVERSITY OF CHICAGO""",United States,60637,Illinois,Cook County,Hyde Park Township
"""UNIVERSITY OF TEXAS MEDICAL BR GALVESTON""",,,,,
"""CHILDREN'S HOSPITAL MED CTR (CINCINNATI)""",United States,45267,Ohio,Hamilton County,Cincinnati
"""TUFTS MEDICAL CENTER""",United States,02111,Massachusetts,Suffolk County,Boston
"""WAKE FOREST UNIVERSITY""",United States,27109,North Carolina,Forsyth County,Winston-Salem
"""BOSTON UNIVERSITY MEDICAL CAMPUS""",United States,02118,Massachusetts,Suffolk County,Boston
"""TEMPLE UNIVERSITY""",United States,19122,Pennsylvania,Philadelphia County,Philadelphia
"""MEDICAL COLLEGE OF WISCONSIN""",United States,53226,Wisconsin,Milwaukee County,Milwaukee
"""UNIVERSITY HOSPITALS OF CLEVELAND""",United States,44106,Ohio,Cuyahoga County,Cleveland
"""ALBANY MEDICAL COLLEGE""",United States,12234,New York,Albany County,City of Albany
"""SCRIPPS CLINIC AND RESEARCH FOUNDATION""",United States,92037,California,San Diego,Torrey Pines
"""WAYNE STATE UNIVERSITY""",United States,48202,Michigan,Wayne County,Detroit
"""OKLAHOMA MEDICAL RESEARCH FOUNDATION""",United States,73105,Oklahoma,Oklahoma County,Oklahoma City
"""BRIGHAM AND WOMEN'S HOSPITAL""",United States,02115,Massachusetts,Suffolk County,Boston
"""UNIV OF MED/DENT NJ-R W JOHNSON MED SCH""",,,,,
"""MAYO CLINIC COLL OF MEDICINE, ROCHESTER""",,,,,
"""PENNSYLVANIA STATE UNIV HERSHEY MED CTR""",United States,17033,Pennsylvania,Dauphin County,Hershey
"""CITY OF HOPE NATIONAL MEDICAL CENTER""",United States,91010,California,Duarte,East Duarte Road
"""FRED HUTCHINSON CANCER RESEARCH CENTER""",United States,98109,Washington,King County,Seattle
"""MASSACHUSETTS INSTITUTE OF TECHNOLOGY""",United States,02139,Massachusetts,Middlesex County,Cambridge
"""CORIELL INSTITUTE FOR MEDICAL RESEARCH""",,,,,
"""INSTITUTE FOR CANCER RESEARCH""",United Kingdom,G61 1BZ,Alba / Scotland,East Dunbartonshire,Bearsden
"""OREGON STATE UNIVERSITY""",United States,97331,Oregon,Benton County,Corvallis
"""EUNICE KENNEDY SHRIVER CTR MTL RETARDATN""",,,,,
"""KENNEDY INSTITUTE FOR HANDICAPPED CHLDRN""",,,,,
"""WASHINGTON STATE UNIVERSITY""",United States,99163,Washington,Whitman County,Pullman
"""UNIVERSITY OF COLORADO AT BOULDER""",,,,,
"""FOX CHASE CANCER CENTER""",United States,19111,Pennsylvania,Philadelphia County,Philadelphia
"""UNIVERSITY OF NEW MEXICO""",United States,87131,New Mexico,Bernalillo County,Albuquerque
"""BROWN UNIVERSITY""",United States,02912,Rhode Island,Providence County,Providence
"""OHIO STATE UNIVERSITY""",United States,43210,Ohio,Franklin County,Sharon
"""BOSTON CITY HOSPITAL""",United States,02118,Massachusetts,Suffolk County,Boston
"""HOWARD UNIVERSITY""",United States,20059,District of Columbia,Washington,Ward 1
"""MEDICAL COLLEGE OF GEORGIA (MCG)""",,,,,
"""RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK""",,,,,
"""UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON""",,,,,
"""RESEARCH INSTITUTE ON ALCOHOLISM""",,,,,
"""UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT""",,,,,
"""TEXAS TECH UNIVERSITY""",United States,79409,Texas,Lubbock County,Lubbock
"""UNIVERSITY OF SOUTHERN CALIFORNIA""",United States,90089,California,Los Angeles County,Los Angeles
"""UNIVERSITY OF CALIFORNIA SANTA CRUZ""",United States,California,Santa Cruz County,Santa Cruz,Westside
"""UNIVERSITY OF TEXAS SW MED CTR/DALLAS""",,,,,
"""UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA""",United States,29208,South Carolina,Richland County,Columbia
"""TRUDEAU INSTITUTE, INC.""",,,,,
"""UNIVERSITY OF SOUTH FLORIDA""",United States,33620,Florida,Hillsborough County,Tampa
"""INSTITUTE FOR BASIC RES IN DEV DISABIL""",,,,,
"""UNIVERSITY OF NOTRE DAME""",United States,46556,Indiana,Saint Joseph County,Notre Dame
"""UNIVERSITY OF CALIFORNIA BERKELEY""",United States,94563,California,Contra Costa County,Vollmer Peak Trail
"""GEORGIA SOUTHERN UNIVERSITY""",United States,30460,Georgia,Bulloch County,Statesboro
"""UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN""",United States,61801,Illinois,Champaign County,Urbana
"""HAHNEMANN UNIVERSITY""",United States,19102,Pennsylvania,Philadelphia County,Philadelphia
"""UNIVERSITY OF CALIFORNIA RIVERSIDE""",United States,92521,California,Riverside County,Riverside
"""UNIVERSITY OF KANSAS LAWRENCE""",United States,66045,Kansas,Douglas County,Lawrence
"""UNIVERSITY OF MASSACHUSETTS AMHERST""",United States,01002,Massachusetts,Hampshire County,Amherst
"""UNIVERSITY OF NEVADA RENO""",United States,89557,Nevada,Washoe County,Reno
"""UNIVERSITY OF TENNESSEE KNOXVILLE""",United States,37996,Tennessee,East Tennessee,Knox County
"""BOSTON UNIVERSITY MEDICAL CENTER HOSP""",,,,,
"""UNIVERSITY OF CONNECTICUT STORRS""",United States,06269,Capitol Planning Region,Mansfield,Mansfield Four Corners
"""UNIVERSITY OF PITTSBURGH AT PITTSBURGH""",United States,15601,Pennsylvania,Westmoreland County,South Greensburg
"""SOUTHERN RESEARCH INSTITUTE""",ශ්‍රී ලංකාව இலங்கை,Southern Province,Galle District,Wanduramba,Wanduramba - Kottawa Road
"""U.S. UNIFORMED SERVICES UNIV OF HLTH SCI""",,,,,
"""UNIVERSITY OF HAWAII AT MANOA""",United States,96822,Hawaii,Honolulu County,Honolulu
"""VIRGINIA COMMONWEALTH UNIVERSITY""",United States,23284,Virginia,Richmond,Carver
"""STATE UNIVERSITY OF NEW YORK AT BUFFALO""",United States,14260,New York,Erie County,Buffalo
"""TEXAS CENTER FOR INFECTIOUS DISEASE""",United States,78223,Texas,Bexar County,San Antonio
"""MONTANA STATE UNIVERSITY (BOZEMAN)""",United States,59715,Montana,Gallatin County,Bozeman
"""ROYAL MELBOURNE HOSPITAL""",Australia,3052,Victoria,City of Melbourne,Melbourne
"""OVERTON BROOKS VA MEDICAL CENTER""",United States,71101,Louisiana,Caddo Parish,Shreveport
"""LOUISIANA STATE UNIV A&M COL BATON ROUGE""",,,,,
"""PUBLIC HEALTH RESEARCH INSTITUTE""",대한민국,13818,과천시,장군마을3길,서울특별시보건환경연구원
"""GEORGETOWN UNIVERSITY""",United States,20057,District of Columbia,Washington,Ward 2
"""UNIVERSITY OF LOWELL""",United States,01854,Massachusetts,Middlesex County,Lowell
"""HEBREW UNIVERSITY OF JERUSALEM""",ישראל,9711769,מחוז ירושלים,נפת ירושלים,ירושלים
"""UNIVERSITY OF KANSAS MEDICAL CENTER""",United States,66160,Kansas,Wyandotte County,Kansas City
"""VIRGINIA POLYTECHNIC INST AND ST UNIV""",,,,,
"""UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR""",,,,,
"""UNIVERSITY OF KENTUCKY""",United States,40506,Kentucky,Fayette County,Lexington
"""AGOURON INSTITUTE""",,,,,
"""UNIV OF MASSACHUSETTS MED SCH WORCESTER""",,,,,
"""CLEVELAND CLINIC FOUNDATION""",United States,44195,Ohio,Cuyahoga County,Cleveland
"""NEW MEXICO STATE UNIVERSITY LAS CRUCES""",United States,88003,New Mexico,Doña Ana County,Las Cruces
"""UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS""",,,,,
"""UNIVERSITY OF LOUISVILLE""",United States,40292,Kentucky,Jefferson County,Louisville
"""UNIVERSITY OF CALIFORNIA SANTA BARBARA""",United States,93106,California,Santa Barbara County,Isla Vista
"""CATHOLIC UNIVERSITY OF LOUVAIN""",,,,,
"""SUNY DOWNSTATE MEDICAL CENTER""",United States,11203,New York,City of New York,Kings County
"""VANDERBILT UNIVERSITY""",United States,37235,Tennessee,Middle Tennessee,Davidson County
"""UNIVERSITY OF ARIZONA""",United States,85721,Arizona,Pima County,Tucson
"""MONTEFIORE UNIVERSITY HOSPITAL""",,,,,
"""UNIVERSITY OF OREGON""",United States,97403,Oregon,Lane County,Eugene
"""JOSLIN DIABETES CENTER""",United States,02215,Massachusetts,Suffolk County,Boston
"""NEW YORK BLOOD CENTER""",United States,11217,New York,City of New York,Kings County
"""RUSH UNIVERSITY""",United States,60612,Illinois,Cook County,West Chicago Township
"""ST. FRANCIS HOSPITAL AND MEDICAL CENTER""",United States,06105,Connecticut,Hartford,Collins and Townley Streets Historic District
"""ST. LUKE'S-ROOSEVELT INST FOR HLTH SCI""",,,,,
"""UNIVERSITY OF TENNESSEE HEALTH SCI CTR""",,,,,
"""MONTEFIORE MEDICAL CENTER (BRONX, NY)""",United States,10467,New York,City of New York,The Bronx
"""PENNSYLVANIA STATE UNIVERSITY-UNIV PARK""",United States,16802,Pennsylvania,Centre County,State College
"""HENRY FORD HOSPITAL""",United States,48202,Michigan,Wayne County,Detroit
"""LOS ANGELES COUNTY HARBOR-UCLA MED CTR""",United States,90502,California,Los Angeles County,Torrance
"""NEW YORK MEDICAL COLLEGE""",United States,10595,New York,Westchester County,Town of Mount Pleasant
"""CHILDREN'S HOSPITAL (COLUMBUS)""",United States,43205,Ohio,Franklin County,Columbus
"""UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL""",,,,,
"""KAISER FOUNDATION RESEARCH INSTITUTE""",,,,,
"""MARQUETTE UNIVERSITY""",United States,53233,Wisconsin,Milwaukee County,Milwaukee
"""ROSWELL PARK CANCER INSTITUTE""",United States,14204,New York,Erie County,Buffalo
"""ALBERT EINSTEIN MED CTR (PHILADELPHIA)""",,,,,
"""ANTWERP STATE UNIVERSITY CENTRE""",,,,,
"""OREGON HEALTH AND SCIENCE UNIVERSITY""",,,,,
"""WEST VIRGINIA UNIVERSITY""",United States,26505,West Virginia,Monongalia County,Morgantown
"""CHILDREN'S HOSPITAL LOS ANGELES""",United States,90029,California,Los Angeles County,Los Angeles
"""UNIVERSITY OF TURKU""",Suomi / Finland,20500,Manner-Suomi,Varsinais-Suomi,Turun seutukunta
"""UNIVERSITY OF RHODE ISLAND""",United States,02881,Rhode Island,South County,Kingston
"""LOUISIANA STATE UNIV HSC SHREVEPORT""",,,,,
"""CEDARS-SINAI MEDICAL CENTER""",United States,90048,California,Los Angeles County,Los Angeles
"""TECHNION-ISRAEL INSTITUTE OF TECHNOLOGY""",ישראל,3200003,מחוז חיפה,נפת חיפה,חיפה
"""HOSPITAL FOR SICK CHLDRN (TORONTO)""",,,,,
"""LOMA LINDA UNIVERSITY""",United States,92350,California,San Bernardino County,Loma Linda
"""OREGON REGIONAL PRIMATE RESEARCH CENTER""",,,,,
"""RENSSELAER POLYTECHNIC INSTITUTE""",United States,12180,New York,Rensselaer County,City of Troy
"""MIRIAM HOSPITAL""",United States,02906,Rhode Island,Providence County,Providence
"""INTEGRATED GENETICS, INC.""",,,,,
"""JACKSON LABORATORY""",United States,39564,Mississippi,Jackson County,Ocean Springs
"""INDIANA UNIVERSITY BLOOMINGTON""",United States,47408,Indiana,Monroe County,Bloomington
"""WALTER AND ELIZA HALL INST MEDICAL RES""",,,,,
"""NORTHERN ILLINOIS UNIVERSITY""",United States,60115,Illinois,DeKalb County,DeKalb Township
"""SALK INSTITUTE FOR BIOLOGICAL STUDIES""",United States,92093,California,San Diego,Torrey Pines
"""KAROLINSKA INSTITUTE""",Sverige,141 52,Stockholms län,Huddinge kommun,Flemingsberg
"""UNIVERSITY OF TORONTO""",Canada,M5S 3M2,Ontario,Golden Horseshoe,Toronto
"""GEORGE WASHINGTON UNIVERSITY""",United States,District of Columbia,Washington,Ward 2,George Washington University
"""SOUTHWEST BIOMEDICAL RESEARCH INSTITUTE""",United States,24043,Virginia,Roanoke,Bellview Terrace
"""UNIVERSITY OF LONDON""",France,75007,France métropolitaine,Île-de-France,Paris
"""UNIVERSITY OF TEXAS MD ANDERSON CAN CTR""",,,,,
"""BURNHAM INSTITUTE FOR MEDICAL RESEARCH""",,,,,
"""WORCESTER FOUNDATION FOR BIOMEDICAL RES""",,,,,
"""PACIFIC NORTHWEST RESEARCH INSTITUTE""",United States,98122,Washington,King County,Seattle
"""BATTELLE CENTERS/PUB HLTH RES &EVALUATN""",,,,,
"""IMMUNE DISEASE INSTITUTE, INC.""",,,,,
"""UNIVERSITY OF NEBRASKA MEDICAL CENTER""",United States,68131,Nebraska,Douglas County,Omaha
"""PENNSYLVANIA COLLEGE OF PODIATRIC MED""",,,,,
"""SRI INTERNATIONAL""",United States,California,San Mateo County,Menlo Park,SRI International
"""PUGET SOUND BLOOD CENTER""",,,,,
"""ASSOCIATED UNIV-BROOKHAVEN NATL LAB""",,,,,
"""UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS""",,,,,
"""UNIVERSITY OF GEORGIA (UGA)""",United States,30602,Georgia,Athens-Clarke County,Athens-Clarke County Unified Government
"""STATE UNIVERSITY OF NEW YORK AT ALBANY""",United States,12203,New York,Albany County,City of Albany
"""UNIVERSITY OF TEXAS AUSTIN""",United States,78712,Texas,Travis County,Austin
"""LOVELACE RESPIRATORY RESEARCH INSTITUTE""",United States,87117,New Mexico,Bernalillo County,Albuquerque
"""NORTHERN CALIFORNIA CANCER CENTER""",,,,,
"""PASTEUR INSTITUTE""",India,793001,Meghalaya,East Khasi Hills,Mylliem
"""CARNEGIE-MELLON UNIVERSITY""",United States,15213,Pennsylvania,Allegheny County,Pittsburgh
"""PURDUE UNIVERSITY WEST LAFAYETTE""",United States,47907,Indiana,Tippecanoe County,West Lafayette
"""ALLEGHENY UNIVERSITY OF HEALTH SCIENCES""",,,,,
"""ROGER WILLIAMS HOSPITAL""",United States,02908,Rhode Island,Providence County,Providence
"""PRINCETON UNIVERSITY""",United States,08540,New Jersey,Mercer County,Princeton
"""LONG ISLAND JEWISH MEDICAL CENTER""",United States,11040,New York,City of New York,Queens County
"""RHODE ISLAND HOSPITAL (PROVIDENCE, RI)""",United States,02903,Rhode Island,Providence County,Providence
"""UNIVERSITY OF MAINE""",United States,04469,Maine,Penobscot County,Orono
"""FORSYTH INSTITUTE""",United States,02142,Massachusetts,Middlesex County,Cambridge
"""CREIGHTON UNIVERSITY""",United States,68102,Nebraska,Douglas County,Omaha
"""SYRACUSE UNIVERSITY AT SYRACUSE""",United States,63130,Missouri,Saint Louis County,University City
"""MISSOURI LIONS EYE RESEARCH FOUNDATION""",,,,,
"""SWEDISH MEDICAL CENTER, FIRST HILL""",United States,98122,Washington,King County,Seattle
"""EYE AND EAR HOSPITAL OF PITTSBURGH""",United States,15213,Pennsylvania,Allegheny County,Pittsburgh
"""IOWA STATE UNIVERSITY""",United States,50011,Iowa,Story County,Ames
"""LOUISIANA STATE UNIV HSC NEW ORLEANS""",,,,,
"""PRESBYTERIAN MEDICAL CENTER OF PHILA""",,,,,
"""SCHEPENS EYE RESEARCH INSTITUTE""",,,,,
"""WILLS EYE HOSPITAL (PHILADELPHIA)""",United States,19107,Pennsylvania,Philadelphia County,Philadelphia
"""HOPE COLLEGE""",United States,49423,Michigan,Ottawa County,Holland
"""MEDICAL RESEARCH INSTITUTE OF SAN FRAN""",,,,,
"""RETINA FOUNDATION OF THE SOUTHWEST""",,,,,
"""DOHENY EYE INSTITUTE""",United States,90033,California,Los Angeles County,Los Angeles
"""CALIFORNIA INSTITUTE OF TECHNOLOGY""",United States,91125,California,Pasadena,San Pasqual Street
"""UNIVERSITY OF CALIF-LAWRNC LVRMR NAT LAB""",,,,,
"""NORTHEASTERN OHIO UNIVERSITIES COLL MED""",,,,,
"""UNIVERSITY OF TEXAS DALLAS""",United States,75390,Texas,Dallas County,Dallas
"""EDWARD HINES JR VA HOSPITAL""",United States,60141,Illinois,Cook County,Proviso Township
"""GENESEE HOSPITAL""",,,,,
"""BOSTON BIOMEDICAL RESEARCH INSTITUTE""",United States,20478,Massachusetts,Middlesex County,Watertown
"""UNIVERSITY OF MISSISSIPPI MEDICAL CENTER""",United States,39216,Mississippi,Hinds County,Jackson
"""KANSAS STATE UNIVERSITY""",United States,66506,Kansas,Riley County,Manhattan
"""UNIVERSITY OF MANITOBA""",Canada,R3T 2S9,Manitoba,Winnipeg,Maclean Crescent
"""PENNSYLVANIA HOSPITAL (PHILADELPHIA)""",United States,19107,Pennsylvania,Philadelphia County,Philadelphia
"""POPULATION COUNCIL""",Nigeria,900285,Federal Capital Territory,Municipal Area Council,Abuja
"""ROSALIND FRANKLIN UNIV OF MEDICINE &SCI""",,,,,
"""WOMEN AND INFANTS HOSPITAL-RHODE ISLAND""",,,,,
"""NEW YORK STATE DEPT OF HEALTH""",,,,,
"""BLOODCENTER OF WISCONSIN, INC.""",,,,,
"""UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB""",,,,,
"""GEORGIA INSTITUTE OF TECHNOLOGY""",United States,30332,Georgia,Fulton County,Atlanta
"""SHANGHAI CHILDREN'S HOSPITAL""",中国,200007,上海市,浦东新区,塘桥
"""CITY COLLEGE OF NEW YORK""",United States,10031,New York,City of New York,New York County
"""TEXAS TECH UNIVERSITY HEALTH SCIS CENTER""",,,,,
"""UNIVERSITY CITY SCIENCE CENTER""",United States,19139,Pennsylvania,Philadelphia County,Philadelphia
"""AMC CANCER RESEARCH CENTER""",,,,,
"""SOUTHWEST FOUNDATION FOR BIOMEDICAL RES""",,,,,
"""CHILDREN'S NATIONAL MEDICAL CENTER""",United States,20009,District of Columbia,Washington,Ward 1
"""DESERET RESEARCH COMPANY""",,,,,
"""QUEEN'S UNIVERSITY AT KINGSTON""",,,,,
"""AMERICAN NATIONAL RED CROSS""",United States,23507,Virginia,Norfolk,Woodis Avenue
"""TUFTS UNIVERSITY MEDFORD""",United States,02155,Massachusetts,Middlesex County,Medford
"""LOYOLA UNIVERSITY CHICAGO""",United States,60660,Illinois,Cook County,Rogers Park Township
"""FLORIDA STATE UNIVERSITY""",United States,32301,Florida,Leon County,Tallahassee
"""ILLINOIS INSTITUTE OF TECHNOLOGY""",United States,60616,Illinois,Cook County,Chicago
"""INSTITUTE OF BIOLOGY AND EXPER MEDICINE""",,,,,
"""NORTH SHORE UNIVERSITY HOSPITAL""",United States,11030,New York,Nassau County,Town of North Hempstead
"""UNIVERSITY OF GENEVA""",United States,44041,Ohio,Ashtabula County,Geneva Township
"""EASTERN VIRGINIA MED SCH/MED COL HAMP RD""",,,,,
"""HEREDITARY DISEASE FOUNDATION""",,,,,
"""UNIVERSITY OF MISSOURI KANSAS CITY""",United States,64110,Missouri,Jackson County,Kansas City
"""UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK""",,,,,
"""OHIO UNIVERSITY ATHENS""",United States,45701,Ohio,Athens County,Athens Township
"""GORDON RESEARCH CONFERENCES""",,,,,
"""INTERNATIONAL ASSN COMP RES ON LEUKEMIA""",,,,,
"""INSTITUTE FOR CLINICAL RESEARCH, INC.""",,,,,
"""NATIONAL SPINAL CORD INJURY ASSN-RES DIV""",,,,,
"""BALL STATE UNIVERSITY""",United States,47304,Indiana,Delaware County,Muncie
"""SMITH COLLEGE""",United States,01063,Massachusetts,Hampshire County,Northampton
"""AUBURN UNIVERSITY AT AUBURN""",United States,36117,Alabama,Montgomery County,Montgomery
"""CLARK UNIVERSITY (WORCESTER, MA)""",United States,01610,Massachusetts,Worcester County,Worcester
"""ACADEMY OF NATURAL SCIENCES""",United States,19103,Pennsylvania,Philadelphia County,Philadelphia
"""AMERICAN FOUNDATION FOR BIOLOGICAL RES""",,,,,
"""FLORIDA INSTITUTE OF TECHNOLOGY""",United States,32901,Florida,Brevard County,Melbourne
"""UNIVERSITY OF TEXAS SAN ANTONIO""",United States,78249,Texas,Bexar County,San Antonio
"""NATIONAL HANSEN'S DISEASE PROGRAM""",,,,,
