researcher,C.Cluster_ID,L.Aff_FIPS
"Leigh J Mack, @institution: Mack Biotech, Corp.",1,06073
"Dana Albon, @institution: University of Virginia Health System",2,51540
"Glyn Elwyn, @institution: Dartmouth College",2,51540
"Glyn Elwyn, @institution: Dartmouth College",1,51540
"Yun M Shim, @institution: University of Virginia",2,51540
"Scott Sagel, @institution: The Childrens Hospital",2,08031
"Frank J Accurso, @institution: University of Colorado, Denver",2,08031
"Derek Low, @institution: National Jewish Health",2,08031
"Steven Shoemaker, @institution: Nivalis Therapeutics, Inc.",2,08031
"Jane E Gross, Md Phd, @institution: National Jewish Health",2,08031
"Jennifer L Taylor-Cousar, @institution: National Jewish Health",2,08031
"Jerry A. Nick, @institution: National Jewish Health",2,08031
"Milene Saavedra, @institution: National Jewish Health",2,08031
"Jane E. Gross, @institution: National Jewish Health",2,08031
"Jennifer Taylorcousar, @institution: National Jewish Health",2,08031
"Jennifer Taylor-Cousar, Mscs, @institution: National Jewish Health",2,08031
"Silvia Delgado Villalta, @institution: University of Florida",1,12001
"Jorge Lascano, @institution: University of Florida",1,12001
"Pamela M Schuler, @institution: University of Florida",2,12001
"Robert Lawrence, @institution: University of Florida",2,12001
"Mark Brantly, @institution: University of Florida, College of Medicine, Division of Pulmonary, Critical Care, and Sleep Medicine",2,12001
"Angel Barnes, @institution: Duke University School of Nursing",2,37063
"Dio Kavalieratos, @institution: Section of Palliative Care and Medical Ethics; Division of General Internal Medicine, University of Pittsburgh",2,42003
"Joseph Pilewski, @institution: Pulmonary, Allergy, and Critical Care Medicine Division; University of Pittsburgh",2,42003
"Tim Corcoran, @institution: University of Pittsburgh",2,42003
"Timothy E Corcoran, Ph.D, @institution: University of Pittsburgh",2,42003
"Joseph Pilewski, @institution: University of Pittsburgh",2,42003
"Megan Bradley, @institution: University of Pittsbugh School of Medicine",2,42003
"David M Orenstein, @institution: University of Pittsburgh",2,42003
"Tim Corcoran, Ph.D, @institution: University of Pittsburgh",2,42003
"Tim Corcoran, Ph.D, @institution: University of Pittsburgh",1,42003
"Joseph M Pilewski, @institution: University of Pittsburgh",2,42003
"Jay K Kolls, @institution: University of Pittsburgh",2,42003
"Madhumalli Sarkar, @institution: Alcresta Therapeutics, Inc.",2,42003
"Erica Osborn, @institution: University of Pittsburgh",2,42003
"David C Whitcomb, @institution: University of Pittsburgh",1,42003
"Dave Burnett, @institution: University of Kansas Medical Center",2,20209
"Dave Burnett, Ph.D, @institution: University of Kansas Medical Center",2,20209
"Peter Niedbalski, @institution: University of Kansas Medical Center",2,20209
"Milica S Chernick, @institution: National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)",1,24031
"Kevin P Fennelly, @institution: National Heart, Lung, and Blood Institute (NHLBI)",2,24031
"Andrew J Lipton, @institution: National Heart, Lung, and Blood Institute (NHLBI)",1,24031
"Joel Moss, @institution: National Heart, Lung, and Blood Institute (NHLBI)",2,24031
"Joel Moss, @institution: National Heart, Lung, and Blood Institute (NHLBI)",1,24031
"Theo Heller, @institution: National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)",2,24031
"William Bennett, @institution: University of North Carolina, Chapel Hill",2,37135
"Jennifer L Goralski, @institution: University of North Carolina, Chapel Hill",2,37135
"Scott H. Donaldson, @institution: University of North Carolina",2,37135
"Scott H Donaldson, @institution: University of North Carolina, Chapel Hill",2,37135
"Aaron T Trimble, @institution: Fellow",2,37135
"Scott Donaldson, @institution: Associate Professor of Medicine",2,37135
"Wanda K Oneal, @institution: University of North Carolina",2,37135
"Wanda K Oneal, @institution: University of North Carolina, Chapel Hill",2,37135
"Robert Aris, @institution: University of North Carolina",2,37135
"Jennifer Goralski, @institution: University of North Carolina, Chapel Hill",2,37135
"Mark Bresnik, @institution: Gilead Sciences",2,37135
"Lisa Gangarosa, @institution: University of North Carolina, Chapel Hill",1,37135
"Kim Brouwer, Pharmd, @institution: UNC School of Pharmacy",1,37135
"Thomas M. Egan, @institution: UNC-Chapel Hill",2,37135
"Emily Dimango, @institution: Columbia University",2,36081
"Deborah M Friedman, @institution: Massachusetts General Hospital (MGH)",2,36081
"Ronald G Crystal, @institution: The New York Presbyterian Hospital -- Weill Medical College of Cornell University",2,36081
"Michael Stalvey, @institution: Unversity of Massachusetts Medical School",2,25027
"Mitchell S Albert, Ph.D, @institution: UMASS Medical School",2,25027
"Paula Rodriguez Miguelez, @institution: Virginia Commonwealth University",2,51760
"Bruce K Rubin, @institution: Virginia Commonwealth University",2,51760
"Nicole Hamblett, @institution: Seattle Childrens Core for Biomedical Statistics",2,51760
"Bonnie Ramsey, @institution: Seattle Childrens Center for Clinical and Translational Research, CF Therapeutics Development Network Clinical Coordinating Center",2,51760
"Nauman Chaudary, @institution: Virginia Commonwealth University",2,51760
"Michael S Schechter, @institution: Virginia Commonwealth University",2,51760
"Thomas S Poore, @institution: University of Colorado, Denver",2,08035
"Thomas W Obrien, @institution: PDS Research",2,12097
"Richard Ahrens, @institution: Roy A. & Lucille A. Carver College of Medicine",2,01073
"Richard Moss, @institution: Stanford University",2,01073
"Felix Ratjen, @institution: University of Toronto Hospital for Sick Children",2,01073
"Margaret Rosenfeld, @institution: Childrens Hospital and Regional Medical Center",2,01073
"Stephanie Davis, @institution: University of North Carolina, Chapel Hill",2,01073
"Stefanie Krick, @institution: University of Alabama at Birmingham",2,01073
"Eric P Plaisance, @institution: University of Alabama at Birmingham",1,01073
"Brian P Osullivan, @institution: University of Massachusetts, Worcester",2,01073
"Michelle Freemer, @institution: Genentech, Inc.",2,01073
"Jennifer Taylor-Cousar, @institution: National Jewish",2,01073
"Raksha Jain, @institution: University of Texas",2,01073
"John D Lowman, @institution: University of Alabama at Birmingham",2,01073
"David Nichols, @institution: University of Washington",2,01073
"Steven Rowe, @institution: University of Alabama at Birmingham",2,01073
"Felix Ratjen, Frcpc, @institution: Hospital for Sick Kids, Toronto",2,01073
"Richard A Kronmal, @institution: University of Washington",2,01073
"Stephanie Davis, @institution: Indiana University",2,01073
"Alexandra L Quittner, @institution: University of Miami",2,01073
"Kristin A Riekert, @institution: Johns Hopkins University",2,01073
"Michael Stalvey, @institution: University of Alabama at Birmingham",2,01073
"Lucas Hoffman, Md Phd, @institution: University of Washington/Seattle Childrens",2,01073
"Bonnie Ramsey, @institution: Seattle Childrens",2,01073
"Stacey Martiniano, @institution: Childrens Hospital Colorado",2,01073
"Jerry A Nick, @institution: National Jewish Health",1,01073
"Jerry A Nick, @institution: National Jewish Health",2,01073
"Helge U Hebestreit, Dr. Med, @institution: Wuerzburg University Hosptitals",2,01073
"Cori Daines, @institution: University of Arizona",2,01073
"Hanna Phan, @institution: University of Michigan",2,01073
"Marianne S Muhlebach, @institution: UNC Childrens Hospital",2,01073
"Daniel Gelfond, @institution: Women & Childrens Hospital of Buffalo",2,01073
"James Heubi, @institution: University of Cincinnati",2,01073
"Daniel Leung, @institution: Baylor College of Medicine",2,01073
"Drucy Borowitz, @institution: State University of New York at Buffalo",2,01073
"Steven M Rowe, @institution: University of Alabama at Birmingham",2,01073
"Laurent Vernillet, Pharmd, @institution: Vertex Pharmaceuticals Incorporated",2,20091
"Robert Williams, @institution: Davita Clinical Research",2,08059
"Ryan Harris, Ph.D, @institution: Augusta University",2,13245
"Ryan Harris, @institution: Augusta University",2,13245
"Jason Woods, @institution: CCHMC",2,39061
"Mark Difrancesco, @institution: CCHMC",2,39061
"Lori Stark, Ph.D, @institution: Childrens Hospital Medical Center, Cincinnati",2,39061
"John Clancy, @institution: Childrens Hospital Medical Center, Cincinnati",2,39061
"Alexander Vinks, @institution: Childrens Hospital Medical Center, Cincinnati",2,39061
"Kathleen A Zink, @institution: Cincinnati Childrens Hospital, Division of Child Life and Integrative Care",2,39061
"William Balistreri, @institution: Childrens Hospital Medical Center, Cincinnati",2,39061
"Lori Stark, @institution: Childrens Hospital & Medical Center",2,39061
"John P Clancy, @institution: Cincinnati Childrens Hospital Medical Center",2,39061
"Jason Woods, @institution: Childrens Hospital Medical Center, Cincinnati",2,39061
"Hubert Chen, @institution: Senior Vice President of Clinical Development",2,17031
"Robert A Balk, @institution: Rush University Medical Center",2,17031
"Joseph Zabner, @institution: University of Iowa",2,17031
"Lakshmi Durairaj, @institution: University of Iowa",2,17031
"Lisa F Wolfe, @institution: Northwestern University",2,17031
"Daniel M Beswick, @institution: University of California, Los Angeles",2,06037
"Adupa P Rao, @institution: Keck Medicine of USC",2,06037
"David P Nichols, @institution: National Jewish Health",2,06037
"Michael W Konstan, @institution: Rainbow Babies and Childrens Hospital/ University Hospitals Cleveland Medical Center",2,06037
"Larry C Lands, Md Phd, @institution: McGill Uinversity Health Centre",2,06037
"Karl Donn, @institution: Parion Sciences",2,06037
"Steven D. Freedman, @institution: Beth Israel Deaconess Medical Center",2,06037
"Sarah Jane Schwarzenberg, @institution: University of Minnesota",2,06037
"Christine Hachem, @institution: St. Louis University",2,06037
"Paul M Beringer, Pharm.D, @institution: University of Southern California",2,06037
"Hengameh Raissy, Pharmd, @institution: UNM",2,35001
"Dennis W Nielson, @institution: University of California, San Francisco",2,06075
"John V Fahy, @institution: University of California, San Francisco",2,06075
"John V Fahy, M.D., M.Sc, @institution: University of California, San Francisco",2,06075
"Erik A Imel, @institution: Indiana University",2,18097
"Catherine A. Leitch, @institution: Indiana University",2,18097
"Michelle S Howenstine, @institution: Indiana University",2,18097
"Gregory Anderson, @institution: Indiana University",2,18097
"Karen Mccoy, @institution: Nationwide Childrens Hospital",2,41051
"Greg Sawicki, @institution: Harvard University and Boston Childrens Hospital",2,41051
"Andrea Hartzler, @institution: University of Washington",2,41051
"Ariel Berlinski, @institution: University of Arkansas for Med. Sciences, Arkansas Childrens Hospital",2,41051
"Margaret Rosenfeld, @institution: University of Washington, Seattle Childrens Research Institute",2,41051
"James Chmiel, @institution: Rainbow Babies and Childrens Hospital/ University",2,55025
"Michael Rock, @institution: University of Wisconsin, Madison",2,55025
"Michael J Rock, @institution: University of Wisconsin, Madison",2,55025
"Anita Laxova, @institution: Dept. Pediatrics, UW Madison",2,55025
"Mark Splaingard, @institution: Childrens Hospital and Health System Foundation, Wisconsin",2,55025
"Michael J. Rock, @institution: Dept. Pediatrics, UW Hospital",2,55025
"Philip M. Farrell, @institution: Dean University of Wisconsin Medical School",2,55025
"Christopher H. Goss, Md Msc, @institution: University of Washington",2,55025
"Patrick Flume, @institution: Medical University of South Carolina",2,55025
"Ronald L Gibson, @institution: Childrens Hospital and Regional Medica Center, Seattle, WA",2,55025
"George Retsch-Bogart, @institution: University of North Carolina Hospitals, Chapel Hill, NC",2,55025
"Timothy Craig, @institution: Penn State University",2,42043
"Bruce Montgomery, @institution: Gilead Sciences",2,42043
"Nestor A. Molfino, @institution: KaloBios Pharmaceuticals, Inc.",2,42043
"Catherine Obrien, Pharmd, @institution: University of Arkansas for Medical Sciences and Arkansas Childrens Hospital",2,05119
"Ariel Berlinski, @institution: University of Arkansas for Medical Sciences/Arkansas Childrens Hospital",2,05119
"Catherine E. Obrien, Pharm.D, @institution: University of Arkansas",2,05119
"Nicolaas Ep Deutz, @institution: University of Arkansas",2,05119
"Jonathan Zuckerman, @institution: MaineHealth",2,23005
"Eric Sorscher, @institution: Emory University",2,48201
"Ian J Griffin, @institution: Baylor College of Medicine",2,48201
"Scott Donaldson, @institution: University of North Carolina, Chapel Hill",2,48201
"Jessica Alvarez, @institution: Emory University",2,48201
"Melissa Putman, @institution: Massachusetts General Hospital",2,48201
"Adam Stein, @institution: Northwestern",2,48201
"Dennis Smith, @institution: Luminex Corporation",1,49035
"Dana S. Hardin, @institution: University of Utah",2,49035
"James Chmiel, @institution: Case Western Reserve University - Rainbow Babies and Childrens Hospital",2,49035
"Nestor A. Molfino, @institution: Humanigen, Inc.",2,49035
"Paul Beringer, Pharmd, @institution: University of Southern California",2,49035
"Paul Beringer, Pharmd, @institution: University of Southern California",1,49035
"Joanne Billings, @institution: University of Minnesota",1,49035
"Carol K. Conrad, @institution: Stanford University",2,49035
"Dana S. Hardin, @institution: Southwest Medical Center at Dallas",2,49035
"Joseph L. Kuti, Pharmd, @institution: Hartford Hospital",2,09110
"Joseph L Kuti, Pharmd, @institution: Hartford Hospital",2,09110
"Bruce K Rubin, Mengr, @institution: Wake Forest University Health Sciences",1,37067
"Baha Moshiree, @institution: Wake Forest University Health Sciences",2,37067
"Bruce Trapnell, @institution: Childrens Hospital Medical Center, Cincinnati",2,02020
"Thomas Lahiri, @institution: University of Vermont",2,50007
"Sandra Diehl, @institution: University of Vermont Medical Center",2,50007
"Ron Gibson, @institution: Childrens Hospital & Regional Medical Center, Seattle WA, USA",2,04013
"Claire Wainwright, @institution: Royal Childrens Hospital, Brisbane, QLD, Australia",2,04013
"Michael Anstead, @institution: University of Kentucky",2,04013
"Felix Ratjen, @institution: The Hospital for Sick Children, Toronto, Ontario",2,04013
"Larry Lands, @institution: Montreal Childrens Hospital of the MUHC",2,04013
"Lisa Saiman, @institution: Columbia University",2,04013
"Hasan S Jafri, Faap, @institution: Aridis Pharmaceuticals, Inc.",2,53063
"Alan H Cohen, @institution: Aridis Pharmaceuticals, Inc.",2,53063
"Deepika Polineni, @institution: University of Kansas Medical Center",2,54061
"Christina Duncan, @institution: West Virginia University",2,54061
"Kristin Forssmann, @institution: Nordmark Arzneimittel GmbH & Co. KG",2,54061
"James E. Heubi, @institution: Childrens Hospital Medical Center, Cincinnati",2,54061
"Lisa Biondo, Pharmd, @institution: West Virginia University Healthcare",2,54061
"Michael G Oconnor, @institution: Vanderbilt University",2,47037
"Bonnie S Slovis, @institution: Vanderbilt University",1,47037
"Ran D Anbar, @institution: State University of New York - Upstate Medical University",1,36067
"Jana Shaw, @institution: State University of New York - Upstate Medical University",1,36067
"Zafer Soultan, @institution: State University of New York - Upstate Medical University",2,36067
"Gregory L Kearns, Pharmd, @institution: Childrens Mercy Hospitals and Clinics, Kansas City, MO",2,01097
"Elliott Dasenbrook, M.D., @institution: Case Western Reserve University School of Medicine and Rainbow Babies and Childrens Hospital",2,01097
"Michael R Knowles, @institution: University of North Carolina, Chapel Hill",2,06085
"Ronald Gibson, M.D., Ph.D, @institution: Childrens Hospital Regional Medical Center",2,06085
"Peter Hiatt, @institution: Baylor College of Medicine",2,06085
"David Waltz, @institution: Childrens Hospital Medical Center, Cincinnati",2,06085
"Pamela Zeitlin, M.D., Ph.D, @institution: Johns Hopkins University",2,06085
"Michael Konstan, @institution: Rainbow Babies and Childrens Hospital",2,06085
"Robert Wilmott, @institution: Childrens Hospital & Medical Center",2,06085
"Richard Moss, @institution: Stanford University/Lucille Packard Childrens Health Services at Stanford",2,06085
"Jeffrey Wagener, @institution: The Childrens Hospital",2,06085
"Michael Tracy, @institution: Stanford University",2,06085
"David A Bergman, @institution: Stanford University",2,06085
"Terry Earl Robinson, @institution: Stanford University",2,06085
"Jeffrey Wine, @institution: Stanford University",2,06085
"Meghana Sathe, @institution: University of Texas Southwestern/Childrens Health",2,06085
"Baharak Moshiree, @institution: University of North Carolina Charlotte, Atrium Health",2,06085
"A. Jay Freeman, @institution: Emory University/Childrens Healthcare",2,06085
"Felix Ratjen, @institution: Toronto, Canada",2,32003
"Pat Christoff, Pharmd, @institution: Dayton Childrens Hospital",2,39113
"Kathy Christenson, Rn Cpnp, @institution: Childrens Mercy Hospital Kansas City",2,29095
"Donna Beth J Willey-Courand, @institution: UT Health San Antonio",2,48029
"Sarah J Kubes, Pharm D, @institution: UT Health San Antonio",2,48029
"Wayne J Morgan, @institution: Department of Pediatrics- Pulmonology, Allergy and Immunology, University of Arizona, Tucson, Arizona",2,04019
"Eric M Snyder, @institution: Department of Pharmacy Practice and Science, University of Arizona, Tucson, Arizona",2,04019
"Hanna Phan, Pharmd, @institution: Department of Pharmacy Practice and Science, University of Arizona, Tucson, Arizona",2,04019
"Asad Patanwalla, Pharmd, @institution: Department of Pharmacy Practice and Science, University of Arizona, Tucson, Arizona",2,04019
"Scott Sagel, @institution: University of Colorado, Denver",2,04019
"Joseph Zabner, @institution: PMID: 16781897",2,19103
"Lakshmi Durairaj, @institution: PMID: 16781897",2,19103
"Jan L Launspach, R.N., Ccrc, @institution: PMID: 16781897",2,19103
"Larry A Fox, @institution: Nemours Childrens Clinic",2,12031
"Steven Werlin, @institution: Medical College of Wisconsin",2,55079
"Sarah J Schwarzenberg, @institution: University of Minnesota",2,55079
"Molly Bozic, @institution: Indiana University School of Medicine Riley Hospital",2,55079
"Zach Holliday, @institution: University of Missouri School of Medicine",2,29019
"Thomas A Wilson, @institution: State Univeristy of New York, Stony Brook, NY",2,36103
"Aarti Shakkottai, @institution: University of Michigan",2,26161
"Samya Nasr, @institution: University of Michigan",2,26161
"Steve Porter, @institution: InterMune",2,48423
"Amanda Dye, @institution: CAMC and WVU-Charleston",2,54039
"Jen Jen Chen, @institution: MemorialCare",1,06059
"PACK, DANIEL W, @institution: UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN",2,17019
"BURKE, MARTIN D, @institution: UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN",1,17019
"WITTRUP, KARL D, @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",2,17019
"VAN DER DONK, WILFRED A., @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",2,17019
"WONG, GERARD C, @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",2,17019
"WONG, GERARD C, @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",1,17019
"FIESE, BARBARA H, @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",2,17019
"BURKE, MARTIN D., @institution: UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN",1,17019
"VAN DER DONK, WILLEM A, @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",2,17019
"LAU, GEE W, @institution: UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN",2,17019
"LAU, GEE W, @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",2,17019
"NUNN, DAVID N, @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",2,17019
"HWANG, MARK EUGENE, @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",2,17019
"HWANG, MARK EUGENE, @institution: UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN",2,17019
"LUTHEY-SCHULTEN, ZAIDA, @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",2,17019
"PACK, DANIEL W, @institution: UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN",2,17019
